"NAME:","run_5.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","155"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"1085.94","-9.41","2.67","-1.10"
"1086.05","-9.81","2.98","-1.45"
"1086.15","-8.51","2.94","-1.84"
"1086.25","-11.89","3.96","-0.90"
"1086.36","-6.51","3.65","-0.94"
"1086.46","-16.16","3.84","-2.82"
"1086.57","-19.77","4.43","2.31"
"1086.68","-4.00","4.82","0.35"
"1086.78","4.31","-4.47","-1.92"
"1086.88","-16.36","3.30","0.47"
"1086.98","-16.28","4.35","0.16"
"1087.09","-4.12","3.61","-2.47"
"1087.19","-2.00","1.22","-2.43"
"1087.30","-17.14","4.94","-4.47"
"1087.40","-4.47","10.87","2.39"
"1087.51","4.43","-6.43","-1.45"
"1087.61","-15.30","-4.75","10.28"
"1087.72","-14.24","8.12","0.04"
"1087.82","-6.16","0.20","-0.24"
"1087.93","0.27","-0.71","-2.24"
"1088.03","-20.01","-9.06","-10.04"
"1088.14","-7.45","8.83","2.94"
"1088.24","3.10","-6.16","-1.92"
"1088.35","-4.28","-6.39","6.79"
"1088.45","-11.92","7.26","5.06"
"1088.56","-9.77","0.43","4.43"
"1088.66","-1.53","-0.31","-0.67"
"1088.77","-20.01","-4.47","20.01"
"1088.88","-9.02","11.85","3.65"
"1088.98","2.55","-6.75","-0.67"
"1089.08","-2.63","-5.69","4.16"
"1089.19","-13.53","2.79","5.81"
"1089.29","-4.67","-0.90","1.37"
"1089.40","-5.77","0.75","-6.39"
"1089.50","-20.01","5.81","-8.63"
"1089.61","-5.02","9.53","-0.12"
"1089.71","0.24","-9.14","-2.71"
"1089.81","-14.71","-6.43","18.75"
"1089.92","-18.75","8.20","1.61"
"1090.03","-2.82","-0.55","-4.47"
"1090.13","-0.98","-4.20","-4.79"
"1090.24","-20.01","13.49","-1.41"
"1090.35","-0.67","6.39","-4.08"
"1090.45","-1.69","-7.02","-0.59"
"1090.56","-20.01","20.01","-9.22"
"1090.67","-14.95","5.73","-5.14"
"1090.77","-0.12","-0.24","-3.49"
"1090.88","-3.37","-3.77","4.75"
"1090.98","-20.01","11.18","9.22"
"1091.09","0.51","4.98","-5.96"
"1091.19","1.10","-5.45","0.27"
"1091.29","-20.01","14.59","1.88"
"1091.40","-16.71","5.77","-2.55"
"1091.51","-1.69","-1.33","-5.45"
"1091.61","-2.86","-4.59","2.24"
"1091.72","-17.38","13.73","3.77"
"1091.82","-0.16","6.83","-4.71"
"1091.93","-1.77","-6.98","0.55"
"1092.03","-20.01","15.10","-2.75"
"1092.14","-15.77","4.00","-4.43"
"1092.24","-0.67","0.16","-4.63"
"1092.35","-5.45","-4.47","3.30"
"1092.45","-18.01","12.43","3.80"
"1092.56","2.08","3.73","-4.43"
"1092.66","-3.49","-6.35","-0.16"
"1092.77","-20.01","20.01","-10.71"
"1092.88","-12.79","4.79","-2.12"
"1092.98","2.12","0.47","-2.39"
"1093.09","-1.92","-4.71","5.37"
"1093.19","-16.16","12.47","9.69"
"1093.30","1.33","2.86","-3.02"
"1093.40","0.51","-4.16","2.28"
"1093.50","-20.01","15.89","-5.37"
"1093.61","-11.57","3.10","0.08"
"1093.71","-0.08","0.78","-1.22"
"1093.82","-4.67","-4.12","3.96"
"1093.92","-15.93","12.87","8.94"
"1094.03","2.28","1.41","-3.33"
"1094.13","2.08","-4.59","2.63"
"1094.23","-20.01","17.18","-10.94"
"1094.34","-10.16","4.82","-2.04"
"1094.45","0.59","0.63","-3.77"
"1094.55","-2.08","-4.43","1.22"
"1094.66","-16.48","16.12","7.34"
"1094.76","-0.67","4.51","-4.63"
"1094.87","-3.37","-6.16","1.73"
"1094.97","-20.01","17.50","-8.98"
"1095.08","-13.10","5.61","-2.20"
"1095.19","-0.31","-0.12","-3.26"
"1095.29","-5.33","-3.26","2.28"
"1095.40","-18.67","16.04","4.47"
"1095.50","1.26","2.24","-4.71"
"1095.60","-1.88","-7.65","1.29"
"1095.71","-20.01","20.01","-14.75"
"1095.82","-12.04","3.06","-2.71"
"1095.93","2.67","1.06","-2.67"
"1096.03","-4.12","-5.18","5.18"
"1096.13","-16.95","17.02","7.45"
"1096.24","2.51","0.04","-3.26"
"1096.34","1.18","-6.32","5.30"
"1096.44","-19.81","20.01","-7.77"
"1096.55","-10.98","2.04","0.24"
"1096.65","2.12","1.77","-2.28"
"1096.76","-14.55","0.90","-3.84"
"1096.86","-16.99","8.20","7.85"
"1096.97","3.84","0.82","-2.24"
"1097.07","0.31","-4.12","2.16"
"1097.17","-15.26","20.01","-7.30"
"1097.28","-12.20","2.79","-1.18"
"1097.39","1.41","1.10","-2.90"
"1097.49","-10.32","-1.14","-0.94"
"1097.59","-17.65","9.92","7.49"
"1097.70","4.39","2.16","-4.04"
"1097.80","0.20","-5.92","2.51"
"1097.90","-20.01","20.01","-5.45"
"1098.01","-11.96","1.49","0.35"
"1098.12","1.80","1.14","-2.82"
"1098.22","-4.28","-3.30","2.59"
"1098.32","-20.01","13.57","7.85"
"1098.43","1.69","3.57","-5.06"
"1098.53","0.31","-7.81","1.18"
"1098.63","-20.01","17.81","-4.00"
"1098.74","-15.85","3.33","-1.41"
"1098.85","0.82","-0.55","-2.98"
"1098.95","-6.79","-3.10","3.10"
"1099.06","-16.24","15.06","7.69"
"1099.16","4.31","1.53","-3.30"
"1099.26","-0.75","-7.14","3.57"
"1099.37","-15.93","20.01","-5.73"
"1099.48","-11.81","3.53","0.47"
"1099.58","2.90","1.41","-2.35"
"1099.68","-20.01","2.90","-2.35"
