NAME:,run_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:21,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,164,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.018,-0.94,-1.33,10.32
0.044,-0.71,-1.45,10.24
0.066,-0.9,-1.37,10.12
0.13,-0.9,-1.57,10.47
0.142,-0.86,-1.45,10.24
0.167,-0.78,-1.41,10.08
0.199,-0.82,-1.57,10.4
0.233,-0.78,-1.57,10.2
0.264,-0.78,-1.73,10.59
0.297,-1.06,-1.37,10.08
0.33,-1.14,-1.65,10.51
0.364,-1.29,-1.26,10.28
0.397,-1.69,-1.53,9.89
0.429,-1.49,-1.73,9.96
0.462,-1.37,-1.8,10.12
0.925,-1.33,-1.61,10.43
0.938,-1.37,-1.53,10.51
1.423,-1.26,-1.33,10
1.436,-1.57,-1.14,10.4
1.439,-1.1,-1.45,10.4
1.459,-1.22,-1.92,10.24
1.471,-1.14,0,9.1
1.505,-2.86,0,9.53
1.555,-1.57,-0.63,8.67
1.569,-4.04,-0.24,10.55
1.604,-3.45,0.47,12.16
1.637,-2.24,-0.12,12.36
1.669,-2.71,-0.12,12.98
1.702,-3.14,-0.71,14.98
1.735,-2.04,0.24,12
1.768,-4.39,2.94,9.77
1.802,-1.26,4.28,10.94
1.835,-2.24,-1.06,11.18
1.867,-3.49,-1.88,13.18
1.899,-4.71,-3.8,13.89
1.932,-3.57,-5.53,15.49
1.965,-0.98,-5.26,15.22
2.001,0.63,-3.1,14.63
2.033,-0.08,-0.71,11.57
2.051,0.63,-1.29,7.22
2.083,1.29,-1.14,2.2
2.128,-3.06,0.9,-0.08
2.159,-0.35,-2.94,-1.33
2.17,3.53,-1.06,-0.75
2.202,-20.01,-11.73,18.44
2.259,0.55,9.02,16.51
2.287,-0.2,-3.3,7.1
2.322,-0.75,-6.75,19.89
2.355,-1.88,-3.26,20.01
2.368,-3.41,1.61,16.04
2.396,-0.35,2.47,11.85
2.428,-4.47,-4.51,4.47
2.46,0.78,-2.51,-0.04
2.494,-1.29,2.63,1.18
2.525,-3.22,1.37,2.39
2.561,-0.59,-2.59,0.51
2.593,-12.83,-5.61,9.69
2.644,9.92,-9.18,17.85
2.668,-2.43,-2.59,20.01
2.69,5.02,-2.67,19.14
2.726,-3.26,-1.37,17.06
2.761,2.86,-5.69,9.41
2.793,0,-0.08,6.51
2.825,-1.29,-0.04,-1.69
2.858,0.63,-3.69,-3.02
2.934,1.77,0.04,1.84
3.001,6.63,-1.1,20.01
3.016,-7.3,5.65,11.57
3.064,-0.35,-4.43,14.91
3.076,-1.73,-8.75,17.38
3.102,-1.61,2.79,17.73
3.112,-0.27,4.55,7.1
3.139,0,-3.06,1.06
3.171,-0.43,-1.92,1.53
3.204,-4.71,2.24,3.41
3.237,0.98,-0.59,0.59
3.269,-1.88,-2.51,1.73
3.303,-5.73,-9.34,9.3
3.338,-1.84,-10.47,20.01
3.377,-4.9,0.9,20.01
3.397,2.24,-3.22,20.01
3.429,-3.18,-1.53,16.67
3.462,0.55,-5.57,8.2
3.496,-1.14,1.18,3.69
3.545,-0.59,3.3,-2
3.574,0.71,-3.49,-2.08
3.598,0.24,-0.94,1.88
3.628,0.08,-0.75,10.04
3.662,-17.73,-9.57,16.99
3.695,-11.34,9.92,19.65
3.715,-2.67,-0.75,15.14
3.763,0.12,-8.9,20.01
3.795,-0.71,-3.41,19.97
3.816,-2.86,5.26,8.32
3.858,-0.43,-2,3.88
3.881,3.8,-3.37,4.28
3.901,-5.41,1.14,4.04
3.935,0.82,-0.16,-1.41
3.971,-1.73,-2.28,0.9
4.015,-6.39,1.14,1.37
4.046,2.16,-5.49,19.93
4.079,-0.55,-6.08,20.01
4.096,3.61,-2.28,20.01
4.121,-3.84,3.61,14.83
4.155,3.18,-7.37,11.96
4.186,0.04,-3.1,5.49
4.219,-1.29,3.49,-0.04
4.251,0.94,0.04,-2.75
4.288,0.43,-2.04,-0.47
4.319,-4.2,-2.12,9.57
4.352,-8.08,-5.92,20.01
4.385,-9.69,10.04,17.69
4.417,4.39,-4.28,11.45
4.45,-1.45,-7.61,18.55
4.487,0.98,-2.86,19.42
4.518,-7.18,4.43,11.3
4.55,-2.67,-2.35,4.67
4.583,0.08,-2.75,4.28
4.615,-3.3,-0.55,0.39
4.649,-0.27,-0.08,0.2
4.684,-2.82,-1.02,1.18
4.712,-10.67,0.39,4.82
4.774,-7.57,-5.3,20.01
4.842,5.61,-3.61,20.01
4.908,0.75,-4.71,9.53
4.914,-2.08,-0.67,4.2
4.976,-1.73,0.67,-3.14
5.009,1.69,-1.96,-0.35
5.042,-2.98,-2.47,8.98
5.059,-11.34,-10.2,20.01
5.082,-12.67,12.47,16.55
5.115,1.53,-2.51,11.34
5.148,-3.65,-8.08,19.18
5.181,8.04,-6.47,14.44
5.215,-3.69,3.22,14.2
5.25,-3.77,-0.43,6.43
5.283,-2.82,0.08,2.63
5.311,-1.14,0.12,1.49
5.345,0,-1.06,0.86
5.376,-2.47,-2.16,0.67
5.408,-10.04,3.3,3.33
5.444,-8.2,-5.02,19.5
5.477,-3.49,-9.41,20.01
5.51,-0.35,-0.98,20.01
5.541,-2.71,0.78,17.85
5.574,2.2,-4.08,10.67
5.606,-4.28,1.06,4.24
5.641,-1.02,2.28,-3.49
5.674,0.43,-4.71,-4.63
5.706,-0.47,-1.22,0.2
5.739,0.2,-1.26,8.47
5.772,-19.81,-6.16,10.59
5.805,-8.36,17.02,20.01
5.84,-0.55,-1.84,10.94
5.873,-1.53,-9.06,12.04
5.906,5.57,-5.96,20.01
5.937,-5.33,3.96,13.65
5.97,-5.57,1.41,6.24
5.991,3.18,-0.47,-0.35
6.015,-0.47,0.04,-0.31
6.056,-0.67,-1.33,1.41
6.088,-3.22,-1.88,1.1
6.121,-7.14,1.49,2.28
6.154,-4.43,-2.28,18.91
6.186,-8.71,-6.71,20.01
6.223,2.2,-3.41,19.42
6.256,-2.51,1.77,16.32
6.289,2.24,-2.63,12.71
6.32,-1.26,0.08,4.94
6.353,-0.2,2.08,-1.88
6.385,0.51,-3.3,-5.18
