NAME:,run_1_1.csv,,
EXPERIMENT TIME:,24-05-2022_2355,,
ACTIVITY TYPE:,Run,,
COUNT OF ACTUAL STEPS:,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-1.73,-9.1,-2.35
0.772199,-0.98,-10.55,-0.35
1.544899,-1.8,-9.41,-1.69
2.3181,0.47,-13.14,-2.94
3.091802,-0.98,-9.49,0.71
3.866005,0,-8.67,-0.78
4.640709,-0.78,-7.85,-0.94
5.415914,-3.14,-10.51,-1.96
6.19162,-5.45,-7.81,-3.73
6.967827,-1.92,-13.85,-3.1
7.744535,0.51,-10.36,-0.24
8.521744,-2.12,-7.61,-0.04
9.299454,-1.53,-8.32,-1.65
10.077665,-3.18,-10.67,-2.79
10.856377,1.65,-10.16,-4.2
11.63559,-1.92,-8.79,-5.49
12.415304,-2.51,-11.14,0.51
13.195519,-1.14,-8.83,-1.18
13.976235,-1.49,-7.26,-0.55
14.757452,-1.41,-8.67,-1.8
15.53917,-1.53,-12.67,-2.04
16.321389,-3.22,-8.55,-2.12
17.104109,-1.22,-12.04,-1.26
17.88733,-3.49,-11.61,0.43
18.671052,-0.35,-8.75,-1.18
19.455275,-1.96,-6.35,-1.45
20.239999,-1.57,-10.67,-2.59
21.025224,-0.98,-8.59,-4.47
21.81095,0.94,-12.87,1.49
22.597177,-1.77,-9.49,-1.65
23.383905,-1.37,-6.9,-0.16
24.171134,-1.33,-8.43,-1.41
24.958864,-2.59,-12.32,-2.2
25.747095,-0.98,-4,-0.39
26.535827,0.59,-10.04,-0.82
27.32506,-1.26,-9.77,0.12
28.114794,-0.82,-8.39,-0.98
28.905029,-1.33,-7.57,-0.94
29.695765,-1.92,-10.83,-2.24
30.487002,-3.45,-10.87,-2.71
31.27874,-3.18,-11.92,1.02
32.070979,0.78,-11.14,-2.04
32.863719,-0.63,-8.67,0.71
33.65696,-1.14,-7.37,-1.37
34.450702,-1.06,-8.47,-0.94
35.244945,-2.04,-10.94,-1.49
36.039689,-4.82,-8.32,-3.3
36.834934,0.04,-13.22,-0.47
37.63068,-1.22,-10.04,-1.61
38.426927,-0.43,-8.51,0.47
39.223675,-1.77,-9.02,-0.94
40.020924,-2.86,-10.24,-1.41
40.818674,-3.96,-8.51,-2.71
41.616925,-4.51,-11.73,-3.84
42.415677,-3.45,-14.4,0.2
43.21493,-1.84,-8.83,-2.2
44.014684,-2.12,-7.06,-0.55
44.814939,-2.12,-7.18,-1.06
45.615695,-0.82,-12.47,-2.24
46.416952,-4.2,-9.38,0.31
47.21871,-0.86,-10.4,-1.61
48.020969,-0.9,-7.69,0
48.823729,-1.45,-9.1,-1.1
49.62699,-2.04,-11.06,-0.94
50.430752,-4.35,-9.69,0.04
51.235015,-0.39,-9.1,-1.14
52.039779,-1.61,-8.47,0.2
52.845044,-0.94,-9.3,-0.82
53.65081,-2.94,-10.87,-1.69
54.457077,-1.1,-9.57,-2.08
55.263845,-2.28,-10,-0.94
56.071114,-0.98,-7.69,0.12
56.878884,-1.18,-9.02,-1.49
57.687155,-2.86,-10.83,-1.61
58.495927,-2.12,-9.14,-2.86
59.3052,-2.75,-11.61,-0.71
60.114974,-0.51,-8.59,0.08
60.925249,-1.1,-8.47,-0.9
61.736025,-0.94,-7.88,-0.59
62.547302,-4.04,-10.12,-1.8
63.35908,-2.67,-10.79,-4.16
64.171359,-1.02,-10.94,0.82
64.984139,0.63,-8.08,-0.9
65.79742,-0.04,-6.28,-0.27
66.611202,-0.94,-9.65,-0.86
67.425485,-2.31,-11.45,-1.92
68.240269,-1.57,-6.16,-1.57
69.055554,-1.65,-11.57,-0.43
69.87134,-1.53,-8.28,0.12
70.687627,-0.55,-9.02,-1.49
71.504415,-1.57,-9.14,-0.82
72.321704,-3.3,-8.9,-2.28
73.139494,-3.06,-10.47,-2.75
73.957785,-2.63,-14,1.18
74.776577,0.16,-8.32,-0.9
75.59587,-2.12,-6.47,-0.24
76.415664,-2.43,-8.79,-1.69
77.235959,-4.82,-11.45,-2.2
78.056755,-3.41,-5.96,-2.63
78.878052,-2.51,-11.96,-0.67
79.69985,-6.08,-10,-0.86
80.522149,-0.04,-9.22,-0.82
81.344949,-1.65,-6.24,0.31
82.16825,-2.04,-7.88,-1.45
82.992052,-4.71,-10.36,-1.77
83.816355,-0.71,-6.32,-2.43
84.641159,-1.29,-10.59,-0.35
85.466464,-2.59,-10.32,1.14
86.29227,-0.2,-7.77,-0.98
87.118577,-1.37,-6.86,-0.43
87.945385,-0.75,-8.83,-0.86
88.772694,-4.75,-12.91,-1.49
89.600504,-4.98,-9.06,0.47
90.428815,-0.2,-10.08,-0.2
91.257627,0.47,-7.77,0.82
92.08694,-1.02,-7.73,-0.75
92.916754,-2.63,-9.45,-1.02
93.747069,-2.35,-9.89,-2.71
94.577885,-0.71,-10.08,-4.79
95.409202,-1.33,-8.79,0.35
96.24102,-0.94,-9.69,-2.24
97.073339,-1.37,-9.65,-2.31
97.906159,-3.69,-9.73,1.8
98.73948,-0.31,-9.1,-0.63
99.573302,-4.43,-8.28,-1.53
100.407625,0.43,-11.41,-3.18
101.242449,-1.57,-9.73,-1.37
102.077774,-2.75,-9.3,-2.16
102.9136,-3.18,-9.38,-2.43
103.749927,-3.14,-9.38,-2.63
104.586755,-3.02,-9.41,-2.51
105.424084,-3.1,-9.38,-2.51
