NAME:,run_3_1.csv,,
EXPERIMENT TIME:,24/05/2022 19:30,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2052.65,-8.59,2.75,2.79
2052.69,-8.75,2.79,3.02
2052.74,-8.71,2.71,2.9
2052.78,-8.83,2.67,2.9
2052.82,-8.75,2.86,2.82
2052.86,-8.55,2.82,2.75
2052.9,-8.9,2.94,2.82
2052.95,-8.67,2.82,2.82
2052.99,-8.63,2.94,2.71
2053.03,-8.55,2.79,2.79
2053.07,-8.79,2.79,2.71
2053.11,-8.67,3.18,2.79
2053.15,-8.71,2.75,2.9
2053.19,-8.67,2.75,2.63
2053.24,-8.79,3.18,2.67
2053.28,-8.83,2.79,2.71
2053.32,-8.79,2.9,2.63
2053.36,-8.67,2.94,2.75
2053.4,-8.51,2.86,2.75
2053.44,-8.71,3.26,2.9
2053.49,-8.67,3.14,2.67
2053.53,-8.63,3.02,2.63
2053.57,-8.55,2.98,2.79
2053.61,-8.79,2.94,2.67
2053.65,-8.63,3.37,2.67
2053.69,-8.51,3.02,2.79
2053.74,-8.75,3.1,2.71
2053.78,-8.59,2.98,2.79
2053.82,-8.79,3.06,2.71
2053.86,-8.71,2.94,2.75
2053.9,-8.51,3.14,2.79
2053.95,-8.36,3.06,2.94
2053.99,-8.87,3.14,2.59
2054.03,-8.63,2.94,2.67
2054.07,-8.87,2.82,2.51
2054.11,-8.9,2.39,2.39
2054.15,-8.98,2.9,2.39
2054.19,-9.22,2.39,2.24
2054.24,-9.57,2.67,1.65
2054.28,-8.63,2.43,0.9
2054.32,-9.65,3.3,0.35
2054.36,-8.87,2.04,2.24
2054.4,-12.51,4.2,-0.39
2054.45,-11.38,3.73,0.94
2054.49,-10.75,4,-0.12
2054.53,-9.61,4.12,1.41
2054.57,-9.61,3.41,0.2
2054.61,-9.69,2.67,-0.94
2054.65,-9.02,2.79,-2
2054.7,-8.47,2.16,-2
2054.74,-9.06,2.39,-1.92
2054.78,-9.45,3.37,-2.82
2054.82,-8.71,2.28,-3.53
2054.86,-10.67,2.43,-5.18
2054.91,-11.65,-0.08,-6.32
2054.95,-14.47,1.22,-7.57
2054.99,-7.57,2.71,-3.88
2055.03,0.55,1.88,-2.86
2055.07,4.63,0.47,-2.71
2055.12,-12.91,18.91,-4.12
2055.16,-0.35,1.49,-2.43
2055.2,-5.22,3.92,4.98
2055.24,-9.85,4.94,6.32
2055.28,-16.51,5.53,8.9
2055.33,-20.01,2.12,8.87
2055.37,-12.91,9.53,2.55
2055.41,-16.36,-1.1,-0.55
2055.45,-4.94,-2.31,-7.57
2055.49,-4.67,0.86,-6.75
2055.54,-3.22,-1.96,-1.84
2055.58,-1.41,-0.59,0.9
2055.62,-16.71,9.14,0.94
2055.66,-20.01,18.16,15.02
2055.7,-19.02,2.98,-0.55
2055.75,-8.12,3.84,4
2055.79,-0.67,-0.12,5.57
2055.83,1.45,-11.85,7.06
2055.87,10.75,4.31,-14.79
2055.91,1.26,-8.04,4.71
2055.96,-8.47,2.2,-13.14
2056,-18.08,-9.96,12.83
2056.04,-13.22,2.94,10.28
2056.08,-11.73,0.86,8.24
2056.12,-15.73,-0.75,12.75
2056.16,-20.01,12.71,-3.96
2056.21,-6.9,-2.31,-6.75
2056.25,-2.2,-0.98,-7.69
2056.29,-4,-2.12,-4.43
2056.33,-1.45,-1.02,-3.41
2056.37,-9.02,-0.04,3.61
2056.42,-20.01,20.01,20.01
2056.46,-14.79,6.2,0.04
2056.5,-17.06,4.9,2.82
2056.54,-3.77,1.45,4.67
2056.58,1.77,-2.12,6.51
2056.62,4.59,-6.04,-2.31
2056.67,8.55,-4.63,-14.98
2056.71,0.31,0.59,-14.75
2056.75,-16.16,3.69,14.63
2056.79,-20.01,5.96,19.81
2056.83,-16.28,0.78,10.4
2056.88,-18.4,0.16,9.49
2056.92,-16.36,8.32,2.24
2056.96,-15.93,-4.35,-8.04
2057,-4.08,-1.1,-7.69
2057.04,-3.37,-1.77,-4.47
2057.09,-1.29,-1.18,-4.51
2057.13,-7.34,-3.3,1.49
2057.17,-20.01,15.06,20.01
2057.21,-15.34,4.55,2.59
2057.25,-15.18,4.71,5.1
2057.29,-9.41,-0.04,0.9
2057.34,0.51,0.71,3.96
2057.38,2.31,-11.49,3.88
2057.42,11.1,3.69,-6.83
2057.46,-5.1,-8.32,-0.24
2057.5,-10.4,-4.43,13.77
2057.54,-20.01,7.57,15.93
2057.59,-11.26,4.12,8.51
2057.63,-16.32,1.22,7.61
2057.67,-18.01,2.04,11.61
2057.71,-20.01,14.44,1.61
2057.75,-13.53,-5.41,-7.34
2057.8,-4.82,-3.53,-5.65
2057.84,-5.45,-7.1,-5.41
2057.88,0.55,0.43,-4.47
2057.92,-6.08,-2.82,2
2057.96,-20.01,12.12,19.93
2058,-15.97,7.73,8.32
2058.05,-16.75,6.35,3.14
2058.09,-11.57,2.12,1.14
2058.13,-1.02,1.45,4.82
2058.17,5.49,-10.79,4.51
2058.21,9.73,0.08,-6.2
2058.25,-10.98,-5.73,12.08
2058.3,7.45,1.18,2.98
2058.34,-13.93,6.12,11.49
2058.38,-10.75,2.94,9.3
2058.42,-12.04,3.53,9.14
2058.46,-17.46,2.67,11.02
2058.5,-20.01,6.32,7.02
2058.55,-15.49,-1.37,-11.77
2058.59,-3.02,-4.75,-5.84
2058.63,-3.14,-2.71,-4.12
2058.67,0.43,-0.75,-6.55
2058.71,1.02,-0.16,-1.8
2058.76,-7.61,-1.53,2.16
2058.8,-20.01,14.59,20.01
2058.84,-14.12,4.47,-3.14
2058.88,-14.83,4.63,0.04
2058.92,-3.8,2.59,5.61
2058.97,3.26,-15.57,6.16
2059.01,9.57,-0.12,-6.71
2059.05,-4.08,-6.08,-4.31
2059.09,-2.9,3.37,-8.59
2059.13,-10.67,4,13.14
2059.17,-18.55,3.77,15.69
2059.22,-3.53,5.65,5.33
2059.26,-11.41,-0.82,10.75
2059.3,-20.01,14.95,8.67
2059.34,-12.83,-8.87,-8.08
2059.38,-4.12,-3.02,-6.24
2059.43,-5.1,2.16,-7.3
2059.47,-3.61,-2.94,-7.3
2059.51,-3.41,0.9,-4.71
2059.55,-10.36,3.73,2.94
2059.59,-20.01,8.24,14.95
2059.64,-16.44,1.69,-1.53
2059.68,-15.02,0.24,2.04
2059.72,-3.26,0.12,5.1
2059.76,5.73,-7.06,3.57
2059.8,9.81,1.26,-7.85
2059.84,0.82,-10.08,1.33
2059.89,-2.9,5.1,-3.88
2059.93,-19.93,12.04,16.12
2059.97,-7.53,11.18,6.83
2060.01,-12.87,-2.04,10.43
2060.05,-20.01,4.59,14.44
2060.09,-20.01,14.71,-8.98
2060.14,-4.82,-5.49,-5.22
2060.18,-4.63,-2.2,-10.12
2060.22,-4.79,-3.1,-5.1
2060.26,-3.33,0.59,-3.49
2060.3,-10.94,-5.33,3.02
2060.35,-20.01,12.55,20.01
2060.39,-12.32,4.94,3.65
2060.43,-11.18,1.77,2.67
2060.47,-4.75,2,4.39
2060.51,3.96,-6.12,9.92
2060.56,13.1,4.43,-12.75
2060.6,3.1,-10.04,-3.57
2060.64,2.12,-3.18,1.37
2060.68,-20.01,2.94,20.01
2060.73,-14.4,6.86,8.63
2060.77,-8.9,-0.86,6.16
2060.81,-14.95,3.8,10.24
2060.85,-17.18,7.37,8.16
2060.89,-13.89,-2.2,-6.55
2060.93,-3.88,-2.59,-3.14
2060.98,-2.79,-3.8,-4.82
2061.02,-1.84,-0.04,-7.77
2061.06,-10.51,-1.84,1.02
2061.1,-20.01,12.32,20.01
2061.14,-14.28,10.12,4.79
2061.18,-9.81,3.61,3.41
2061.23,-4.35,0.63,2.51
2061.27,-0.94,-10,6.47
2061.31,12.71,-5.88,-8.98
2061.35,-5.81,-10.4,0.55
2061.39,-12.87,20.01,1.53
2061.44,-11.02,2.79,18.32
2061.48,-18.91,15.61,-0.78
2061.52,-11.69,0.86,11.92
2061.56,-20.01,10.98,11.92
2061.6,-15.53,-4.12,-9.26
2061.65,-2.04,-2.39,-4.86
2061.69,-2.9,0.12,-4.9
2061.73,-5.3,-2.35,-8.87
2061.77,-8.63,-1.45,-3.1
2061.81,-20.01,7.77,14.28
2061.86,-20.01,9.89,13.57
2061.9,-11.85,2.24,1.49
2061.94,-7.3,0.59,3.33
