NAME:,run_4_1 .csv,,
EXPERIMENT TIME:,24/05/2022 19:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
2236.02,-8.94,3.65,1.26
2236.07,-9.14,3.77,1.06
2236.11,-8.71,3.8,0.98
2236.15,-8.75,4,1.14
2236.19,-8.75,3.8,1.37
2236.23,-8.87,4.04,1.37
2236.28,-8.75,3.88,0.98
2236.32,-8.94,3.53,1.06
2236.36,-9.18,3.77,1.26
2236.4,-9.06,3.84,1.14
2236.44,-8.79,3.06,1.1
2236.49,-9.57,3.02,0.94
2236.53,-9.53,2.98,0.67
2236.57,-9.22,2.79,1.33
2236.61,-10.24,3.22,-0.04
2236.65,-9.41,3.18,1.37
2236.7,-9.73,3.3,1.1
2236.74,-9.53,2.9,1.37
2236.78,-9.26,2.82,1.02
2236.82,-9.69,2.75,0.86
2236.86,-10,2.63,0.51
2236.91,-9.92,2.75,0.31
2236.95,-9.61,3.14,0.59
2236.99,-9.34,3.14,0.71
2237.03,-9.57,2.98,-0.35
2237.07,-9.81,2.67,-0.43
2237.12,-10.16,2.59,-0.55
2237.16,-10.28,2.71,-1.1
2237.2,-9.53,3.45,-1.02
2237.24,-8.59,2.67,-0.27
2237.28,-8.9,3.06,-3.02
2237.33,-9.45,2.71,-2.31
2237.37,-9.18,3.06,-3.22
2237.41,-8.87,2.9,-3.49
2237.45,-8.79,3.02,-3.33
2237.49,-10.04,2,-5.53
2237.54,-5.65,5.96,-6.08
2237.58,-15.77,7.88,9.06
2237.62,-2.08,7.53,0.75
2237.66,-3.8,0.12,1.45
2237.7,-12.04,2.75,5.06
2237.75,-9.34,4.71,3.02
2237.79,-11.57,3.88,2.86
2237.83,-13.38,1.84,5.57
2237.87,-13.61,0,6.59
2237.91,-10.83,7.61,7.22
2237.96,-14.4,-2.59,-0.67
2238,-8.87,-3.8,-8.12
2238.04,-3.37,-2.67,-6.51
2238.08,-2.04,-1.61,-2.43
2238.12,-7.3,-1.88,-0.75
2238.17,-16.32,5.96,4.08
2238.21,-20.01,11.06,19.93
2238.25,-18.48,3.92,2.98
2238.29,-13.77,1.57,1.96
2238.33,-4.51,2.82,5.18
2238.38,1.65,1.33,2.9
2238.42,6.94,-8.12,-2.24
2238.46,5.06,-4.86,-6.94
2238.5,-4,4.82,-6.55
2238.54,-20.01,20.01,20.01
2238.59,-10.59,1.22,8.43
2238.63,-6.47,2.16,7.65
2238.67,-15.73,3.65,13.65
2238.71,-20.01,0.24,6.47
2238.75,-19.34,-7.41,-10.28
2238.8,-2.9,-3.33,-4.16
2238.84,-1.73,-2.24,-4.98
2238.88,-1.41,-1.29,-3.84
2238.92,-0.71,-1.1,-2.79
2238.96,-8.94,-1.45,-2.71
2239.01,-20.01,20.01,20.01
2239.05,-12.79,7.34,3.57
2239.09,-14,6.67,3.37
2239.13,-6.79,2.47,3.33
2239.17,1.02,0.55,1.29
2239.22,2.79,-9.92,1.29
2239.26,11.45,3.57,-6.98
2239.3,-0.27,-3.22,1.22
2239.34,-5.41,-4.24,5.77
2239.38,-20.01,20.01,7.57
2239.43,-10.12,0.12,7.77
2239.47,-20.01,13.14,4.2
2239.51,-14.87,7.22,10.32
2239.55,-17.42,-2.04,-2.12
2239.59,-4.9,-5.65,-7.81
2239.64,-5.45,-6.94,-11.65
2239.68,-2.31,-2.12,-4.82
2239.72,-2.75,-2.31,-4.75
2239.76,-13.65,-1.1,2.16
2239.8,-20.01,20.01,20.01
2239.85,-13.69,-1.88,7.3
2239.89,-7.92,3.26,1.18
2239.93,-7.45,3.26,0.12
2239.97,-0.04,3.33,1.37
2240.01,3.02,-0.43,1.49
2240.06,13.3,-6.9,-3.92
2240.1,-5.14,-4.75,-0.75
2240.14,1.02,-1.45,-2.55
2240.18,-20.01,14.67,20.01
2240.22,-7.45,0.51,3.33
2240.27,-20.01,0.39,12.75
2240.31,-20.01,1.14,11.92
2240.35,-16.44,5.45,3.61
2240.39,-12.91,-4.86,-7.1
2240.43,-3.37,-6.71,-6.43
2240.48,-3.53,-5.1,-7.14
2240.52,-0.12,-1.29,-4.04
2240.56,-2.16,-3.45,-1.53
2240.6,-9.92,-3.37,-1.02
2240.64,-20.01,20.01,20.01
2240.69,-13.42,7.22,5.22
2240.73,-10.04,4.67,2.75
2240.77,-7.69,3.3,3.3
2240.81,1.1,1.65,3.41
2240.85,3.8,-7.77,-1.02
2240.9,11.92,3.8,-19.22
2240.94,-14.2,-1.65,14.51
2240.98,-14.91,10.75,11.26
2241.02,-20.01,19.97,17.18
2241.06,-11.57,1.84,7.53
2241.11,-20.01,3.18,12.32
2241.15,-20.01,2.43,7.85
2241.19,-19.85,9.96,-12.55
2241.23,-3.33,-6.59,-5.49
2241.27,-5.96,-3.49,-7.02
2241.32,-0.86,-0.82,-3.69
2241.36,-1.88,-2.55,-3.73
2241.4,-13.34,-4.82,0.39
2241.44,-20.01,20.01,20.01
2241.48,-17.85,-1.18,8.51
2241.53,-6.2,3.37,1.49
2241.57,-6.9,1.88,0.08
2241.61,0.59,3.49,2.39
2241.65,2.39,-1.77,-0.2
2241.69,13.77,-5.18,-5.1
2241.74,-3.84,-5.77,1.06
2241.78,12.36,16.28,-16.55
2241.82,-20.01,20.01,15.97
2241.86,-12.91,5.14,5.41
2241.9,-20.01,4.67,8.87
2241.95,-17.81,4.79,7.96
2241.99,-15.18,5.1,-3.73
2242.03,-4.12,-4.75,-4.12
2242.07,-4.79,-4.55,-12.63
2242.11,-4.59,-2.28,-3.73
2242.16,-3.53,-3.65,-3.84
2242.2,-12.71,-4.35,3.02
2242.24,-20.01,20.01,20.01
2242.28,-15.38,0.04,9.3
2242.32,-7.26,2.98,1.22
2242.37,-6.12,1.84,0.63
2242.41,-0.24,1.45,5.69
2242.45,11.61,-9.73,-1.8
2242.49,7.57,-7.14,-4.71
2242.53,-7.18,-17.06,19.57
2242.58,11.18,0.31,-13.49
2242.62,-20.01,19.97,18.51
2242.66,-18.28,-0.31,10.87
2242.7,-20.01,4.55,10.08
2242.74,-18.59,2.47,4.47
2242.79,-16.99,-2.51,-9.26
2242.83,-3.3,-4.59,-7.22
2242.87,-2.31,-3.69,-7.06
2242.91,-0.24,-0.63,-3.84
2242.95,-2.59,-1.37,-3.37
2243,-15.89,-5.88,0.27
2243.04,-20.01,20.01,20.01
2243.08,-12.4,5.1,12.08
2243.12,-5.92,3.14,1.73
2243.16,-7.06,1.96,0.98
2243.21,0.51,2.35,1.53
2243.25,1.73,-0.94,-2.04
2243.29,10.04,-1.73,-5.96
2243.33,-6.98,-0.94,-3.1
2243.37,-9.06,-7.61,19.02
2243.42,-20.01,16.32,20.01
2243.46,-9.49,1.53,6.71
2243.5,-20.01,3.65,7.02
2243.54,-18.51,7.88,8.55
2243.58,-15.73,-2.63,-2.2
2243.63,-3.8,-1.57,-6.08
2243.67,-2.47,-8.47,-0.9
2243.71,-2.51,-2.12,-4.82
2243.75,-8.2,-5.84,-6
2243.79,-19.85,0.24,8.36
2243.84,-20.01,14.63,20.01
2243.88,-9.53,2.31,6.12
2243.92,-6.9,2.59,1.18
2243.96,-4.67,0.39,0.16
2244,0.59,-0.04,4.04
2244.05,6.9,-4.9,-6.12
2244.09,8.28,0.75,-7.69
2244.13,-10.71,15.69,1.02
2244.17,-17.73,6.63,19.26
2244.21,-19.93,20.01,1.92
2244.26,-20.01,3.53,10.71
2244.3,-20.01,3.06,7.34
2244.34,-15.77,3.1,-5.26
2244.38,-4.79,-3.61,-7.41
2244.42,-6.55,-1.06,-5.88
2244.47,-1.96,-0.51,-5.37
2244.51,-4.35,-1.8,-5.77
2244.55,-13.45,-3.06,-1.1
2244.59,-20.01,20.01,20.01
2244.63,-14.4,1.06,9.41
2244.68,-4.94,1.45,1.61
2244.72,-5.77,2.35,-0.31
2244.76,0.67,3.69,1.73
2244.8,0.94,-1.18,-1.1
