"NAME:","run_1_1.csv"
"EXPERIMENT TIME:","2022-05-25 22:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","150"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"935.437","-0.86","-7.61","5.33"
"935.469","3.33","-8.04","5.73"
"935.501","1.26","-2.71","-1.69"
"935.533","0.00","2.67","-1.80"
"935.565","1.06","4.39","-1.49"
"935.597","1.33","1.29","-1.69"
"935.629","1.22","-10.32","-10.12"
"935.661","6.32","-20.01","0.31"
"935.693","-16.20","-20.01","20.01"
"935.725","-3.06","-19.26","3.84"
"935.757","2.63","-14.87","0.16"
"935.789","4.08","-12.55","4.94"
"935.821","0.90","-6.55","2.16935854"
"935.977","-0.71","-1.53","-0.94"
"936.009","1.18","-5.45","-1.26"
"936.041","1.61","-20.01","5.37"
"936.073","-0.67","-20.01","5.96"
"936.105","-1.29","-14.91","3.49"
"936.137","-2.12","-17.50","0.27"
"936.169","-1.10","-14.16","-1.65"
"936.201","1.45","-14.00","5.37"
"936.233","1.37","-11.26","2.28"
"936.265","1.53","-6.00","3.06"
"936.297","4.28","-6.24","2.43"
"936.329","0.82","-1.65","-0.98"
"936.361","0.12","2.47","-0.94"
"936.393","0.35","3.49","-0.86"
"936.425","0.51","2.24","-0.78"
"936.457","1.14","-13.02","-6.79"
"936.489","6.67","-20.01","1.80"
"936.521","-15.93","-20.01","20.01"
"936.553","-1.92","-16.40","1.73"
"936.585","3.30","-13.57","1.18"
"936.617","3.53","-10.79","2.43"
"936.649","1.41","-6.32","2.20"
"936.681","-0.12","-2.63","0.35"
"936.713","-0.31","-1.37","-2.63"
"936.745","-0.47","0.94","-1.37"
"936.777","-1.49","3.26","-1.84"
"936.809","0.90","-3.33","-1.14"
"936.841","0.16","-16.83","6.75"
"936.873","-2.39","-20.01","7.22"
"936.905","2.94","-13.49","1.45"
"936.937","0.08","-19.61","3.02"
"936.969","-1.18","-14.79","3.41"
"937.001","1.33","-13.53","3.02"
"937.033","1.26","-10.83","3.49"
"937.065","1.65","-6.90","3.45"
"937.097","2.98","-5.88","1.65"
"937.129","0.98","-1.49","-0.12"
"937.161","-0.08","2.67","-0.63"
"937.193","-0.16","2.86","-1.45"
"937.225","0.82","-0.75","-3.30"
"937.257","2.12","-20.01","-9.22937289"
"937.321","-12.16","-20.01","20.01"
"937.353","-0.82","-16.40","2.24"
"937.385","3.45","-14.98","1.41"
"937.417","3.77","-11.26","3.57"
"937.449","0.31","-4.71","1.18"
"937.481","-0.59","-1.84","-1.22"
"937.513","-0.20","1.22","-1.57"
"937.545","-0.47","1.33","-0.78"
"937.577","-0.86","-2.20","-2.20"
"937.609","1.41","-5.06","-2.28"
"937.641","2.00","-16.16","8.04"
"937.673","-3.14","-18.16","10.55"
"937.705","3.77","-13.14","1.45"
"937.737","0.04","-20.01","0.39937769"
"937.799","2.20","-14.12","5.22"
"937.829","0.59","-12.79","2.20"
"937.861","2.20","-7.96","3.30"
"937.893","3.41","-5.81","3.22"
"937.925","1.41","-2.35","-0.31"
"937.957","0.59","0.86","-0.86"
"937.989","0.24","2.75","-2.82"
"938.021","0.94","1.06","-1.45"
"938.053","2.20","-5.92","-6.08"
"938.085","3.26","-20.01","-9.38"
"938.117","-1.61","-20.01","19.53"
"938.149","-4.35","-20.01","13.10"
"938.181","4.35","-14.67","-0.12"
"938.213","4.00","-11.81","1.06"
"938.245","1.53","-6.51","2.43"
"938.277","-0.98","-2.59","2.08"
"938.309","-0.47","-1.06","-1.41"
"938.341","-0.08","1.26","-2.08"
"938.373","-1.10","1.53","-1.29"
"938.405","1.14","-4.86","-5.33"
"938.437","1.45","-9.30","-1.65"
"938.469","-6.63","-20.01","20.01"
"938.501","2.31","-13.02","1.41"
"938.533","2.24","-18.63","-0.94"
"938.565","-1.69","-15.65","5.18"
"938.597","2.63","-14.36","5.88"
"938.629","1.45","-12.67","4.31"
"938.661","0.27","-9.02","1.77"
"938.693","0.94","-5.37","2.08"
"938.725","2.16","-4.43","0.55"
"938.757","0.78","-1.02","-0.35"
"938.789","0.31","2.31","-1.02"
"938.821","-0.27","2.28","-1.53"
"938.853","-0.27","-5.49","-6.51"
"938.885","4.43","-20.01","-3.57"
"938.917","-11.18","-20.01","20.01"
"938.949","-2.71","-17.30","7.18"
"938.981","3.14","-16.20","-0.78"
"939.013","5.22","-12.75","6.12"
"939.045","2.63","-9.02","4.71"
"939.077","-0.63","-4.51","0.43"
"939.109","-0.04","-0.43","-3.14"
"939.141","-0.16","1.14","-1.33"
"939.173","-0.75","1.57","-1.80"
"939.205","0.63","-4.59","-2.28"
"939.237","2.43","-7.88","-1.37"
"939.269","-2.63","-20.01","18.75"
"939.301","-0.12","-11.92","0.20"
"939.333","0.31","-12.43","0.04"
"939.365","-1.29","-20.01","2.28"
"939.397","-1.61","-14.04","4.43"
"939.429","1.65","-13.06","3.61"
"939.461","1.33","-9.34","2.35"
"939.493","3.37","-6.32","4.98"
"939.525","2.63","-4.90","0.94"
"939.557","0.31","-1.45","-0.86"
"939.589","-0.78","2.59","-0.71939621"
"939.682","-0.59","-19.14","-12.08"
"939.714","3.33","-20.01","10.24"
"939.746","-9.45","-20.01","19.93"
"939.778","0.75","-16.55","1.26"
"939.81","4.35","-13.30","2.43"
"939.842","2.20","-7.88","3.61"
"939.874","-0.08","-4.31","1.84"
"939.906","-0.27","-1.92","-2.04"
"939.938","-0.08","1.29","-1.92"
"939.97","0.00","2.35","-3.02"
"940.002","-0.63","-2.12","-2.82"
"940.034","1.45","-3.84","-4.00"
"940.066","2.31","-12.87","-3.88"
"940.098","-1.80","-18.55","7.14"
"940.13","-0.08","-14.00","2.24"
"940.162","-0.16","-19.06","0.24"
"940.194","-0.59","-13.73","0.82"
"940.226","-0.98","-13.14","6.24"
"940.258","0.00","-11.57","3.37"
"940.29","1.26","-6.43","4.16"
"940.322","3.14","-5.77","2.12"
"940.354","1.02","-1.84","-1.02"
"940.387","1.18","3.02","-1.77"
"940.42","1.88","2.86","1.10940451"
"941.249","3.02","-0.20","-3.14"
"941.281","3.49","-17.02","-8.75"
"941.313","7.85","-20.01","-1.49"
"941.345","-11.89","-20.01","19.85"
"941.377","0.08","-15.97","-1.80"
"941.408","4.04","-12.28","-0.04"
"941.438","5.61","-10.12","7.53941470"
"941.502","-0.47","-2.71","-2.67941532"
"941.565","0.20","2.43","-0.24"
"941.598","-2.00","-0.12","-1.69"
"941.63","0.27","-4.94","-3.22"
"941.662","1.18","-10.08","-0.47"
"941.694","-1.96","-20.01","18.63"
"941.726","1.26","-11.34","3.53"
"941.758","0.59","-19.81","-0.47"
"941.79","-2.43","-14.95","1.45"
"941.822","-2.43","-12.00","4.35"
"941.854","-2.28","-12.28","3.22"
"941.886","1.22","-8.47","6.00"
"941.918","3.45","-6.24","2.00"
"941.95","0.78","-2.35","-0.35"
"941.982","0.08","0.71","-0.43"
