NAME:,ofekrun2.csv
EXPERIMENT TIME:,Tue May 24 18:36:26 GMT+03:00 2022
ACTIVITY TYPE:,Running
COUNT OF ACTUAL STEPS:,85

Time [sec],ACC X,ACC Y,ACC Z
361.98,4.04,20.01,4.0
362.03,7.30,12.12,4.71
362.08,-0.98,3.49,2.28
362.14,-5.02,-4.08,-0.9
362.19,5.06,-3.61,0.59
362.24,2.71,4.43,-3.06
362.30,6.83,20.01,-2.0
362.35,-4.00,8.94,9.22
362.41,9.06,20.01,2.9
362.46,-2.86,10.55,0.08
362.51,3.84,5.88,-0.86
362.57,1.92,-1.22,-12.63
362.62,-2.67,-1.77,0.55
362.68,-2.51,0.20,-8.87
362.73,10.40,20.01,10.0
362.78,0.20,20.01,5.14
362.84,10.16,19.22,-13.85
362.89,-0.04,3.30,1.69
362.94,1.77,-7.85,-5.92
363.00,5.73,-0.43,-4.47
363.05,-0.16,6.86,-6.28
363.11,13.85,20.01,-6.32
363.16,-4.20,15.22,11.26
363.21,4.35,17.61,3.73
363.27,-1.61,8.55,-0.47
363.32,4.67,1.57,0.98
363.38,-0.90,-2.51,-3.37
363.43,-3.14,-1.14,-0.12
363.48,9.57,8.83,1.14
363.54,10.04,20.01,1.14
363.59,1.37,20.01,4.04
363.65,5.49,4.67,6.94
363.70,-5.06,-4.16,9.61
363.75,3.69,-5.92,-5.02
363.81,3.45,0.47,-2.16
363.86,3.57,20.01,0.98
363.92,5.41,7.10,11.77
363.97,5.57,20.01,2.55
364.02,-2.63,11.22,1.73
364.08,4.08,3.88,0.47
364.13,1.61,1.33,-2.31
364.19,-1.33,-1.57,-0.78
364.24,0.00,5.45,-4.35
364.29,15.18,20.01,1.61
364.35,-4.67,20.01,3.02
364.40,9.96,15.14,1.57
364.46,-1.45,-0.16,-0.43
364.51,0.47,-8.08,-3.22
364.56,3.77,-3.69,0.94
364.62,-0.86,4.75,-2.12
364.67,-4.51,6.35,2.24
364.73,-4.28,18.28,9.92
364.78,5.61,15.22,5.45
364.83,-2.08,6.71,-0.59
364.89,4.28,0.63,-0.51
364.94,-0.55,-5.37,-5.49
365.00,-1.29,-0.59,-1.61
365.05,8.36,9.30,1.53
365.10,-0.98,20.01,-0.9
365.16,3.96,20.01,5.73
365.21,5.18,6.04,4.31
365.27,-4.35,1.96,4.16
365.32,6.08,-7.14,-4.2
365.37,3.06,2.04,-0.47
365.43,8.87,4.08,-15.53
365.48,3.02,10.79,12.91
365.54,10.40,20.01,3.02
365.59,-2.75,9.30,2.94
365.64,3.22,4.00,-0.98
365.70,4.79,3.73,-6.67
365.75,-2.12,-3.57,-0.43
365.80,3.61,5.65,2.63
365.86,14.95,20.01,-3.45
365.91,-8.24,20.01,5.92
365.97,7.30,11.92,2.9
366.02,-3.22,0.90,3.73
366.08,3.61,-8.16,-3.57
366.13,3.30,-3.10,2.2
366.18,8.12,4.00,-17.1
366.24,0.27,10.71,12.83
366.29,5.14,18.75,5.92
366.34,0.51,13.89,5.18
366.40,-1.69,4.00,-0.59
366.45,5.73,-0.35,-0.55
366.51,-2.71,-5.10,-1.88
366.56,-1.80,-0.47,-3.73
366.61,11.14,20.01,-5.69
366.67,-3.57,20.01,-0.82
366.72,8.39,17.93,4.79
366.77,2.08,3.92,2.04
366.83,-4.75,-4.12,0.94
366.88,7.49,-4.43,-3.96
366.94,1.22,5.49,-0.04
366.99,11.18,20.01,-11.34
