NAME:,ofekrun3.csv
EXPERIMENT TIME:,Tue May 24 18:37:52 GMT+03:00 2022
ACTIVITY TYPE:,Running
COUNT OF ACTUAL STEPS:,86

Time [sec],ACC X,ACC Y,ACC Z
442.89,1.37,8.32,1.69
442.94,-0.16,8.20,1.57
442.99,-0.20,10.47,1.69
443.05,2.35,9.81,1.37
443.10,2.55,9.61,1.96
443.15,1.77,10.87,2.47
443.21,3.14,10.67,2.39
443.26,3.37,10.55,1.41
443.32,1.92,8.04,2.39
443.37,1.77,5.77,2.0
443.42,1.80,5.77,3.02
443.48,0.39,6.75,5.26
443.53,0.31,8.83,7.14
443.58,10.04,6.43,-6.63
443.64,5.57,10.12,-1.14
443.69,5.73,9.14,0.24
443.74,3.84,15.49,4.63
443.80,-0.51,17.57,4.55
443.85,-0.78,11.53,2.28
443.91,3.10,4.31,-0.75
443.96,0.98,0.27,-0.71
444.02,0.31,0.59,-0.86
444.07,7.73,6.98,-2.71
444.12,6.00,20.01,-0.47
444.18,5.06,20.01,5.37
444.23,4.43,15.77,1.65
444.28,-2.00,3.30,1.41
444.34,0.98,-6.47,-7.22
444.39,5.02,-1.77,0.08
444.44,0.24,1.29,-2.28
444.50,8.87,20.01,-18.67
444.55,-3.61,20.04,5.02
444.61,0.71,12.94,4.31
444.66,1.14,6.83,-1.41
444.71,4.82,1.29,0.78
444.77,-2.00,-4.04,0.59
444.82,-2.00,-0.39,0.04
444.87,2.63,17.89,0.39
444.93,8.43,20.01,-7.3
444.98,-0.94,20.01,5.69
445.03,5.37,9.38,1.37
445.09,-4.75,-9.57,-0.08
445.14,6.86,-4.35,-4.71
445.20,4.04,4.79,-4.08
445.25,13.53,15.81,-4.12
445.30,-6.98,16.67,11.73
445.36,14.55,20.01,-0.2
445.41,-4.79,8.59,-1.61
445.46,5.88,3.57,0.12
445.52,-0.63,-2.94,0.82
445.57,-2.75,-0.51,1.96
445.63,-0.86,9.85,-4.71
445.68,20.01,20.01,3.73
445.73,-2.08,20.01,7.26
445.79,5.33,9.89,5.65
445.84,-3.80,-0.67,-1.84
445.90,5.53,-9.81,-3.37
445.95,3.92,1.45,0.24
446.00,-0.63,4.47,5.02
446.06,1.33,20.01,3.45
446.11,-1.18,20.01,5.73
446.16,1.26,7.96,5.65
446.22,2.86,1.53,-0.43
446.27,3.14,0.00,-1.61
446.33,-0.31,-2.71,-0.04
446.38,1.88,-1.29,-6.75
446.43,9.22,20.01,4.47
446.49,-5.53,20.01,2.16
446.54,3.18,14.36,4.67
446.59,-14.36,-3.26,10.94
446.65,3.26,-10.94,-4.67
446.70,1.45,-0.27,0.9
446.76,10.51,7.49,-15.46
446.81,-1.57,9.96,10.71
446.86,7.85,20.01,6.43
446.92,-0.82,9.26,2.24
446.97,3.45,1.65,-0.55
447.02,1.53,0.08,-0.51
447.08,-0.82,-1.22,-2.31
447.13,-0.67,-0.78,1.06
447.18,12.63,20.01,-6.9
447.24,3.02,20.01,1.49
447.29,-3.96,18.04,6.94
447.35,1.02,11.10,-5.57
447.40,-1.77,-14.04,-8.04
447.45,6.28,0.51,0.27
447.51,0.00,7.45,-5.41
447.56,20.01,20.01,-4.86
447.61,-1.80,3.77,11.53
447.67,12.08,19.97,0.47
447.72,-4.63,7.34,1.1
