NAME:,yonirun1.csv
EXPERIMENT TIME:,Tue May 24 16:57:05 GMT+03:00 2022
ACTIVITY TYPE:,Running
COUNT OF ACTUAL STEPS:,95

Time [sec],ACC X,ACC Y,ACC Z
1279.78,-0.98,7.22,1.69
1279.84,0.90,3.37,4.9
1279.89,-1.37,10.47,-0.67
1279.94,4.63,12.55,-0.98
1280.00,0.08,10.79,1.92
1280.05,-1.73,14.36,4.47
1280.10,6.08,15.73,4.67
1280.16,3.10,9.26,4.63
1280.21,-0.43,4.75,4.12
1280.27,-0.16,-1.22,-0.9
1280.32,6.00,0.63,3.33
1280.37,10.16,17.30,-17.3
1280.43,1.69,11.53,2.31
1280.48,4.90,12.32,3.18
1280.54,-1.33,15.65,6.35
1280.59,-4.79,14.75,1.49
1280.64,-2.08,14.91,4.55
1280.70,0.00,4.31,0.78
1280.75,-0.16,-3.22,1.26
1280.81,-2.75,3.22,1.49
1280.86,-12.79,18.55,14.51
1280.91,3.92,20.01,-3.77
1280.97,1.33,11.57,2.71
1281.02,2.86,19.26,3.53
1281.07,0.98,4.16,4.94
1281.13,0.98,-1.69,1.69
1281.18,4.04,-0.59,1.92
1281.24,-0.08,-1.65,3.37
1281.29,20.01,8.20,-13.26
1281.34,9.65,11.69,-5.33
1281.40,-1.18,12.08,3.49
1281.45,2.90,15.89,4.28
1281.51,-6.75,14.63,3.88
1281.56,1.02,14.95,2.0
1281.61,-0.31,2.28,-0.47
1281.67,-1.18,-3.14,3.02
1281.72,8.63,6.16,-4.31
1281.78,-2.71,18.16,-2.31
1281.83,9.77,19.50,-0.82
1281.89,-2.12,15.49,8.0
1281.94,2.31,12.91,2.51
1281.99,1.88,0.94,4.9
1282.05,1.02,-3.22,1.96
1282.10,4.82,0.90,-0.9
1282.15,-3.06,0.67,4.35
1282.21,5.26,20.01,-7.18
1282.26,-8.20,4.39,12.67
1282.32,3.14,19.89,3.65
1282.37,-3.88,13.89,6.08
1282.42,-2.63,14.75,2.16
1282.48,-0.08,5.41,-0.47
1282.53,-2.63,-1.29,-0.08
1282.59,-0.16,-0.90,1.49
1282.64,7.69,9.49,-2.2
1282.69,0.94,15.97,3.45
1282.75,4.00,14.63,5.81
1282.80,1.06,16.24,3.45
1282.86,2.00,2.75,3.92
1282.91,-0.43,-2.59,0.39
1282.96,6.63,2.31,1.14
1283.02,-2.55,2.00,5.49
1283.07,0.24,20.01,1.14
1283.13,-8.32,4.39,11.22
1283.18,2.86,20.04,4.79
1283.23,-0.63,13.77,2.2
1283.29,-3.65,12.43,2.2
1283.34,-1.06,3.92,1.06
1283.40,-0.43,-2.04,-0.39
1283.45,4.67,1.06,-7.57
1283.50,-0.75,14.28,0.39
1283.56,6.94,20.01,-3.26
1283.61,-1.77,16.32,5.96
1283.67,1.14,15.85,1.88
1283.72,1.96,-0.12,4.71
1283.77,-1.10,-4.67,1.02
1283.83,5.49,-0.75,-0.98
1283.88,-3.41,2.35,6.08
1283.94,-1.49,20.01,1.45
1283.99,-7.10,5.69,10.12
1284.04,5.33,20.01,4.16
1284.10,-2.04,12.83,3.3
1284.15,-3.88,13.30,1.92
1284.21,1.14,2.24,2.39
1284.26,-4.12,1.22,-0.27
1284.31,0.86,1.18,-3.96
1284.37,-0.47,18.67,-1.88
1284.42,6.75,20.01,-1.18
1284.48,1.37,14.87,6.12
1284.53,0.86,14.91,1.84
