NAME: ,run_2_2,,
EXPERIMENT TIME: ,Mon May 23 20:57:32 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,139,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,4.86,-4.17,4.7
0.1,2.6,-3.4,7
0.2,3.71,0.8,-0.8
0.3,1.22,-10.29,-3.37
0.4,3.25,-13.27,-0.57
0.5,0.5,-5.32,4.09
0.6,0.96,-1.49,-0.65
0.7,6.39,-19.51,6.35
0.8,-0.88,-18.66,5.01
0.9,1.38,3.6,2.22
1,2.29,-5.78,3.86
1.1,-1.49,-12.16,-7.42
1.2,2.98,-19.51,2.33
1.3,-0.99,-8.53,6.12
1.4,-0.08,-0.92,-3.71
1.5,19.51,-14.53,6
1.6,1.64,-13.5,2.794587
2.4,6.77,-7.27,2.98
2.5,6.62,6.31,1.53
2.6,3.06,-4.36,-2.68
2.7,19.31,-19.51,0.92
2.8,13,-19.31,2.29
2.9,3.82,-12.81,6.08
3,-1.3,-4.59,2.07
3.1,1.07,-7.23,-4.25
3.2,4.93,-14.8,4.25
3.3,6.31,0.27,-0.31
3.4,1.45,2.56,-2.29
3.5,1.34,4.09,-14.15
3.6,2.33,-9.14,-0.31
3.7,9.94,-11.93,5.81
3.8,-3.06,-4.05,2.03
3.9,1.64,-0.31,-0.46
4,17.63,-16.56,5.66
4.1,6.88,-9.87,1.38
4.2,0.54,6.08,-1.3
4.3,-1.34,-6.65,3.52
4.4,6.31,-15.26,-3.56
4.5,5.55,-13.35,4.47
4.6,-1.99,-4.59,2.87
4.7,1.19,0.08,-1.03
4.8,17.06,-13.54,8.07
4.9,6.08,-5.78,2.22
5,-0.38,5.43,-3.02
5.1,-6.54,-2.22,-1.99
5.2,7.96,-12.85,-1.34
5.3,5.24,-14.8,6.12
5.4,-1.8,-4.86,4.78
5.5,2.41,-2.1,0.23
5.6,14.57,-9.29,6.23
5.7,6.12,-7.99,3.17
5.8,-1.45,4.17,-4.28
5.9,-1.45,2.49,-9.03
6,-2.1,-1.15,-2.37
6.1,6.88,-13.08,5.09
6.2,0.23,-3.17,3.75
6.3,-0.65,-1.68,-2.26
6.4,16.79,-9.94,6.27
6.5,5.89,-3.52,0.46
6.6,2.14,1.84,-3.14
6.7,2.6,-2.52,-15.95
6.8,5.16,-12.43,0.61
6.9,3.33,-14.27,6.04
7,-1.8,-2.41,3.56
7.1,2.75,-7.11,-2.29
7.2,8.64,-19.58,3.79
7.3,5.39,0.54,2.03
7.4,1.49,-1.15,-4.634645
8.1,6.04,-5.35,4.13
8.2,-0.69,4.36,0.76
8.3,0.57,-2.56,8.11
8.4,1.07,-12.35,1.15
8.5,6.62,-15.91,3.82
8.6,-1.22,-7.5,6.5
8.7,1.99,-0.57,-0.46
8.8,13.69,-17.82,6.65
8.9,4.17,-9.98,3.98
9,0.42,5.09,1.07
9.1,0.31,-8.91,9.03
9.2,5.28,-17.63,-6.2
9.3,0.69,-19.51,5.55
9.4,-1.68,-10.82,8.26
9.5,1.15,-0.69,1.26
9.6,6.31,-19.51,0.23
9.7,0.73,-19.51,5.43
9.8,2.52,5.35,2.45
9.9,2.49,-6.5,6.31
10,5.09,-16.79,-1.87
10.1,6.69,-16.29,0.04
10.2,4.51,-9.41,4.36
10.3,1.99,-0.42,2.79
10.4,6.58,-19.16,0
10.5,3.82,-19.51,2.98
10.6,2.83,4.63,1.3
10.7,2.64,-2.56,-0.73
10.8,6.04,-11.63,8.95
10.9,11.44,-15.6,-1.68
11,1.8,-9.98,5.62
11.1,0.27,-1.26,1.42
11.2,6.2,-14.38,-2.45
11.3,5.05,-19.51,4.63
11.4,3.02,2.68,0.23
11.5,2.33,-2.98,-2.64
11.6,17.17,-19.39,3.29
11.7,15.6,-13.54,-4.7
11.8,2.68,-12.39,2.79
11.9,-1.61,-2.45,2.75
12,6.65,-13.42,2.29
12.1,5.78,-19.51,0.19
12.2,4.78,1.91,0.27
12.3,1.8,-1.72,-2.33
12.4,0.34,-17.98,-5.74
12.5,15.99,-16.83,-0.73
12.6,4.51,-11.47,5.58
12.7,-1.87,-1.11,0.84
12.8,6.23,-13,-0.73
12.9,5.09,-19.51,3.98
13,4.28,2.52,0.54
13.1,1.72,-3.71,-4.054702
13.8,2.41,3.75,-1.42
13.9,2.37,-3.52,-3.82
14,4.67,-8.95,-10.44
14.1,4.93,-18.36,-0.27
14.2,3.21,-9.22,5.05
14.3,0.61,-2.26,1.53
14.4,6.96,-14.95,1.3
14.5,1.11,-19.51,5.93
14.6,2.18,4.78,-0.15
14.7,2.41,-5.01,5.74
14.8,5.05,-17.55,-10.25
14.9,7.19,-19.51,-1.8
15,2.83,-9.22,8.41
15.1,-0.34,-1.95,4.32
15.2,6.2,-19.51,-3.02
15.3,0.27,-19.51,4.32
15.4,4.51,6.12,1.87
15.5,3.52,-0.92,3.14
15.6,8.87,-19.51,-9.91
15.7,8.91,-19.51,0.88
15.8,1.95,-9.06,6.39
15.9,1.45,-0.08,2.56
16,5.01,-19.51,-3.56
16.1,-1.19,-19.51,4.13
16.2,2.6,7.34,0.99
16.3,3.6,-4.28,1.03
16.4,18.66,-18.89,-0.19
