NAME: ,run_4_2,,
EXPERIMENT TIME: ,Mon May 23 21:02:16 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,148,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,4.09,-8.64,0
0.1,4.44,-8.61,0.087268
0.7,3.82,-8.64,-0.15
0.8,4.59,-8.72,-0.11
0.9,3.98,-8.68,-0.38
1,4.25,-8.8,-0.23
1.1,4.05,-8.99,-0.23
1.2,4.13,-8.83,-0.08
1.3,3.94,-8.61,-0.31
1.4,4.21,-8.68,-0.42
1.5,4.17,-8.76,-0.27
1.6,4.25,-8.68,-0.08
1.7,4.74,-8.57,0
1.8,4.59,-8.45,-0.04
1.9,5.16,-8.26,0.15
2,5.2,-7.96,0.92
2.1,4.47,-7.8,2.52
2.2,5.16,-6.85,2.45
2.3,3.6,-6.73,1.87
2.4,4.74,-8.15,0.54
2.5,4.21,-9.33,0
2.6,2.94,-9.45,-1.15
2.7,3.25,-9.71,-0.54
2.8,2.83,-9.6,-0.88
2.9,3.17,-9.22,-0.61
3,2.94,-9.37,-0.42
3.1,2.64,-9.45,-0.57
3.2,2.49,-9.41,-0.73
3.3,2.83,-9.71,-0.73
3.4,3.02,-9.22,-1.26
3.5,3.48,-9.33,-1.11
3.6,3.67,-8.87,-0.88
3.7,3.79,-8.91,-0.96
3.8,4.09,-8.83,-0.61
3.9,3.98,-9.06,-0.8
4,3.9,-8.91,-0.88
4.1,3.48,-9.14,-0.8
4.2,3.6,-9.14,-0.76
4.3,3.71,-8.99,-0.84
4.4,3.75,-9.03,-0.88
4.5,3.75,-8.87,-0.96
4.6,3.71,-9.06,-1.07
4.7,3.71,-9.03,-0.99
4.8,3.75,-9.03,-0.88
4.9,3.67,-8.95,-0.92
5,3.67,-8.99,-0.92
5.1,3.63,-8.83,-0.73
5.2,3.82,-8.99,-0.92
5.3,3.94,-8.91,-0.96
5.4,3.94,-8.99,-0.99
5.5,3.9,-9.1,-1.11
5.6,3.9,-8.91,-0.84
5.7,3.67,-8.95,-1.19
5.8,3.98,-8.87,-0.967325
6.4,4.36,-8.83,-0.88
6.5,3.79,-8.91,-1.07
6.6,3.86,-8.87,-0.84
6.7,3.86,-8.95,-0.8
6.8,3.67,-8.95,-0.88
6.9,3.79,-9.03,-0.8
7,3.79,-8.99,-0.8
7.1,3.9,-8.99,-0.96
7.2,3.52,-8.87,-0.84
7.3,3.71,-8.95,-0.99
7.4,3.9,-8.91,-0.96
7.5,3.86,-8.83,-0.88
7.6,3.79,-8.99,-0.84
7.7,3.75,-8.95,-0.84
7.8,3.79,-9.06,-0.84
7.9,3.71,-8.95,-0.84
8,3.79,-8.95,-0.88
8.1,3.79,-9.06,-0.73
8.2,3.75,-8.99,-1.07
8.3,3.82,-8.87,-0.99
8.4,3.9,-8.95,-1.03
8.5,3.94,-9.1,-0.99
8.6,3.56,-8.99,-0.88
8.7,3.79,-9.06,-0.88
8.8,3.71,-9.03,-1.11
8.9,3.79,-8.95,-0.92
9,3.75,-8.91,-0.73
9.1,3.75,-9.03,-0.73
9.2,3.79,-8.87,-0.65
9.3,3.67,-8.91,-0.76
9.4,3.75,-9.03,-0.84
9.5,3.71,-8.91,-0.54
9.6,3.71,-8.91,-0.69
9.7,3.75,-8.95,-0.69
9.8,3.6,-9.03,-0.76
9.9,3.71,-8.91,-0.73
10,3.79,-8.95,-0.76
10.1,3.79,-9.03,-0.76
10.2,3.63,-8.95,-0.8
10.3,3.79,-8.95,-0.88
10.4,3.71,-9.06,-0.84
10.5,3.79,-8.87,-0.76
10.6,3.75,-8.95,-0.92
10.7,3.86,-8.83,-0.99
10.8,3.75,-9.03,-0.96
10.9,3.67,-8.91,-0.88
11,3.82,-8.91,-0.88
11.1,3.67,-8.95,-0.88
11.2,3.71,-8.99,-0.96
11.3,3.75,-8.95,-0.84
11.4,3.9,-9.06,-0.807381
