NAME: ,team10 run5,,
EXPERIMENT TIME: ,Mon May 23 14:26:36 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,1.3,9.37,-1.99
0.1,1.03,8.83,-2.07
0.2,0.88,6.88,-2.52
0.3,-0.11,8.91,-5.2
0.4,0.96,12.93,-7.42
0.5,0.54,12.09,-9.03
0.6,1.34,9.64,-7.34
0.7,0.27,3.63,-4.09
0.8,0.54,-1.07,-0.27
0.9,-5.62,11.36,-6.88
1,-3.63,19.51,-7.73
1.1,-0.76,4.82,-3.29
1.2,-2.29,-0.92,-2.14
1.3,0.46,17.59,2.72
1.4,-1.38,19.51,-10.33
1.5,0.23,1.49,-3.4
1.6,1.64,-2.75,1.15
1.7,13.35,18.21,-6.77
1.8,7.23,14.57,-3.44
1.9,-5.93,10.59,-4.13
2,-0.15,2.49,-1.3877118
2.3,0.96,19.51,-8.53
2.4,-0.5,-0.04,-2.22
2.5,-1.61,0.08,0
2.6,-9.22,8.3,-4.25
2.7,0.19,19.35,-8.03
2.8,-1.07,9.94,-6.85
2.9,-1.91,1.61,-0.31
3,-3.33,5.66,10.36
3.1,-0.96,16.14,-3.17
3.2,1.95,5.09,-3.67
3.3,-0.69,-4.78,1.87
3.4,8.07,9.26,-6.58
3.5,0.08,12.66,-3.37
3.6,-6.92,8.3,-2.87
3.7,0.27,4.93,-1.07
3.8,1.53,2.22,-2.45
3.9,9.83,19.51,-0.88
4,0.19,18.43,-6.23
4.1,-3.25,-5.89,-3.14
4.2,1.84,7.84,-9.06
4.3,-6.27,11.01,-12.81
4.4,-8.49,19.51,-6.31
4.5,-0.08,7.34,-3.9
4.6,-1.53,2.98,-0.8
4.7,-2.91,19.51,8.68
4.8,-2.72,19.51,-8.64
4.9,-1.03,3.71,-6.58
5,-1.95,-0.08,-3.02
5.1,5.81,14.19,-2.45
5.2,4.93,17.13,-4.93
5.3,-2.6,11.82,-3.17
5.4,1.42,2.56,-0.38
5.5,1.38,3.67,9.87
5.6,3.29,19.39,0.8
5.7,-1.42,8.34,-6.62
5.8,-2.18,-7.11,-1.26
5.9,8.18,15.3,-6.65
6,3.75,14.69,-1.64
6.1,-4.09,10.21,-4.74
6.2,0.84,5.35,-2.41
6.3,-0.76,0.73,0.69
6.4,3.52,19.51,-0.88
6.5,3.1,18.09,-9.87
6.6,-0.99,-2.49,-1.64
6.7,-1.49,4.51,-2.49
6.8,-1.45,12.89,-3.6
6.9,-6.73,19.51,-7.53
7,0.92,1.68,-3.63
7.1,-1.76,2.75,0.54
7.2,0.04,18.63,4.977717
7.4,-2.07,-0.61,-5.85
7.5,0.65,-2.03,0.8
7.6,0.23,19.51,1.42
7.7,1.49,19.2,-8.07
7.8,-0.92,7.3,-3.79
7.9,0.57,1.99,0.96
8,-0.5,19.12,5.7
8.1,1.03,17.78,-2.1
8.2,1.49,7.42,-4.97
8.3,0.76,-3.52,-3.56
8.4,9.1,12.51,-9.64
8.5,-0.76,11.82,-2.22
8.6,-4.9,11.67,-4.63
8.7,0.88,4.13,-1.68
8.8,0.65,-1.03,-1.38
8.9,5.47,15.15,-0.61
9,-3.82,18.74,-6.58
9.1,0.69,3.06,-6.46
9.2,-0.61,-0.54,0
9.3,9.06,13.81,4.25
9.4,7.84,16.33,-6.2
9.5,-2.75,10.79,-4.25
9.6,-2.49,4.47,-1.3
9.7,3.37,9.83,4.47
9.8,-1.76,15.03,-2.56
9.9,1.22,6.77,-7.73
10,-0.27,-4.7,-1.11
10.1,7,13.19,-4.55
10.2,-2.18,12.93,-2.49
10.3,-10.52,14.65,-5.55
10.4,1.64,5.51,-2.94
10.5,-2.41,3.25,-0.15
10.6,5.12,19.51,1.91
10.7,1.64,15.07,-3.94
10.8,-1.68,-6.39,-0.15
10.9,-0.34,3.17,-0.46
11,-7.53,12.28,-2.22
11.1,-4.78,19.35,-6.43
11.2,0.73,2.26,-3.6
11.3,-1.15,-0.31,-2.68
11.4,8.15,19.51,3.4
11.5,-2.03,19.51,-7.73
11.6,-1.03,-0.57,-3.29
11.7,-0.96,-1.07,-2.45
11.8,-3.25,4.32,4.82
11.9,0.04,19.2,-10.36
12,0.96,2.91,-4.7
12.1,-1.22,1.42,-0.57
12.2,1.03,12.32,6.73
12.3,0.84,17.48,-6
12.4,1.26,4.93,-4.4777222
12.8,-2.6,8.07,-3.7577226
13.2,2.49,5.24,-5.12
13.3,-1.03,-2.98,-1.42
13.4,9.68,12.01,-15.87
13.5,3.79,15.64,-1.95
13.6,-6.31,8.38,-2.68
13.7,-2.56,3.37,-1.64
13.8,-0.42,1.19,0.65
13.9,5.35,19.51,0.23
14,1.57,12.66,-6.2
14.1,-1.38,-2.72,-3.6
14.2,0.08,4.02,3.48
14.3,-7.99,7.19,-0.84
14.4,-15.26,19.43,-5.55
14.5,-1.42,8.99,-5.12
14.6,-2.14,1.07,1.57
14.7,5.24,16.37,1.53
14.8,2.26,19.31,-9.94
14.9,-4.63,-1.61,-1.91
15,0.46,0.84,-2.07
15.1,-6.96,9.03,-1.07
15.2,-4.36,19.51,-11.32
15.3,0.46,7.5,-4.7
15.4,-1.57,2.26,-0.15
15.5,0.61,15.18,2.07
15.6,-1.61,19.51,-9.56
15.7,-3.6,-0.5,-5.16
15.8,0.04,-1.49,-1.15
15.9,1.11,19.51,-4.74
16,1.87,19.51,-8.38
16.1,0,5.47,-4.7
16.2,-1.87,2.87,0.65
16.3,-0.69,19.51,5.47
16.4,-0.27,16.79,-8.68
16.5,-2.18,0.34,-5.01
16.6,1.61,-2.56,-0.08
16.7,0.19,19.51,-7.3
16.8,5.85,18.32,-7.15
16.9,-3.02,7.69,-3.25
17,-0.38,2.52,-0.04
17.1,-0.34,4.97,5.28
17.2,5.01,19.51,-0.61
17.3,1.53,9.41,-5.01
17.4,-0.46,-4.67,-3.94
17.5,1.15,3.33,-4.25
17.6,-11.13,3.52,0.31
17.7,-8.95,19.51,-4.78
17.8,0.46,0.92,-2.83
17.9,0,0.96,-0.76
18,6.2,19.51,3.56
18.1,0.27,18.28,-8.3477279
18.4,-4.25,6.04,-1.57
18.5,-12.2,18.43,-2.56
18.6,1.99,3.21,-4.7
18.7,-0.11,-0.5,-1.45
18.8,8.72,19.51,-0.84
18.9,-0.27,19.51,-6.92
19,-1.53,-3.1,-4.4
19.1,0.8,4.47,7.46
19.2,-5.01,7.88,-2.29
19.3,-8.68,9.14,-3.6
19.4,0.69,2.72,-3.79
19.5,-5.24,2.49,5.05
19.6,4.4,19.51,1.87
19.7,2.52,10.02,-3.21
19.8,-2.22,-4.86,-3.1
19.9,6.27,7.11,3.44
20,-0.27,15.95,-4.86
20.1,-4.74,7.65,-0.65
20.2,-0.11,2.18,-0.57
20.3,-1.19,2.83,-0.08
20.4,4.25,19.51,0.54
