"NAME:","run_2_1.csv"
"EXPERIMENT TIME:","23/05/2022 13:04"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","134"

"Time [sec]","ACC X","ACC Y","ACC Z"
"77.203502","-5.37","8.59","0.00"
"77.253504","-5.30","8.55","0.16"
"77.29","-5.30","8.67","0.08"
"77.31","-5.37","8.51","0.12"
"77.34","-5.33","8.51","0.08"
"77.363509","-5.41","8.51","0.20"
"77.40","-5.30","8.55","0.08"
"77.42","-5.33","8.55","0.08"
"77.453513","-5.41","8.55","0.08"
"77.493515","-5.37","8.63","0.16"
"77.543517","-5.33","8.55","0.12"
"77.58","-5.30","8.71","0.00"
"77.603520","-5.26","8.51","0.20"
"77.65","-5.33","8.59","0.24"
"77.67","-5.37","8.63","0.12"
"77.69","-5.33","8.55","0.08"
"77.713525","-5.33","8.51","0.04"
"77.763527","-5.26","8.51","0.24"
"77.803529","-5.41","8.47","0.00"
"77.84","-5.22","8.75","0.20"
"77.873532","-5.02","8.43","0.12"
"77.913534","-5.06","8.59","0.24"
"77.953536","-4.39","9.34","-0.27"
"78.003538","-4.55","8.67","-0.27"
"78.04","-4.63","9.18","0.04"
"78.06","-4.90","9.10","-0.31"
"78.093542","-5.06","9.26","-0.24"
"78.13","-3.84","9.38","-0.27"
"78.15","-3.77","9.34","0.00"
"78.18","-3.88","9.18","-0.04"
"78.203547","-4.00","9.02","-0.43"
"78.24","-3.96","9.34","-0.59"
"78.273550","-3.73","9.38","-0.90"
"78.313552","-3.61","9.10","-0.86"
"78.353554","-3.18","9.53","-0.90"
"78.40","-3.69","9.65","-0.94"
"78.42","-3.41","9.57","-0.55"
"78.44","-2.75","9.69","-0.75"
"78.463559","-2.67","9.61","-1.57"
"78.51","-1.73","9.22","-1.06"
"78.533562","-1.10","8.67","-1.18"
"78.58","-1.84","9.96","-2.04"
"78.603565","-2.16","8.83","-2.20"
"78.643567","-5.81","5.53","-3.96"
"78.69","-8.67","3.41","0.59"
"78.71","-7.34","7.61","0.94"
"78.73","-5.81","10.59","-0.47"
"78.75","-5.53","9.34","-0.43"
"78.783573","-6.67","9.38","0.35"
"78.823575","-10.59","10.67","-0.35"
"78.863577","-8.39","13.53","1.06"
"78.91","-5.49","14.08","1.88"
"78.933580","-5.10","12.40","1.33"
"78.973582","-6.79","10.16","2.67"
"79.023584","-3.65","4.82","0.94"
"79.063586","-2.43","3.80","0.90"
"79.10","-1.18","1.41","1.10"
"79.13","-0.75","0.12","1.10"
"79.15","-4.04","2.90","-0.43"
"79.173591","-5.65","12.55","-3.73"
"-7.18","7.14","1.53","79.303593"
"79.34","-7.14","13.45","1.37"
"79.36","-6.75","15.06","1.14"
"79.393597","-6.51","13.69","0.82"
"79.433599","-6.24","12.59","-0.35"
"79.47","-4.20","11.65","-1.45"
"79.503602","-3.10","8.67","-2.12"
"79.543604","-2.98","3.06","0.51"
"79.58","-0.12","0.94","1.02"
"79.60","-0.43","-0.04","1.37"
"79.63","-1.92","2.82","-2.04"
"79.653609","-5.22","8.20","-2.24"
"79.69","-7.22","11.30","-1.69"
"79.71","-6.00","11.81","-1.33"
"79.74","-8.08","14.67","-0.82"
"79.763614","-10.04","14.83","0.39"
"79.81","-9.38","15.81","2.28"
"79.833617","-8.00","14.47","2.31"
"79.873619","-4.00","10.16","2.00"
"79.92","-4.98","6.20","2.79"
"79.94","-3.37","2.75","0.51"
"79.96","-1.69","0.51","-0.24"
"79.983624","-1.49","0.78","-0.20"
"80.03","-3.02","1.33","0.31"
"80.05","-3.10","0.51","4.43"
"80.07","-5.02","10.43","-7.41"
"80.09","-8.55","20.01","-9.73"
"80.11","-1.92","11.34","3.41"
"80.14","-2.04","0.98","-0.16"
"80.163632","-8.28","5.45","3.49"
"80.20","-7.88","15.93","0.24"
"80.223635","-6.16","13.38","2.43"
"80.273637","-8.79","13.93","-0.59"
"80.31","-7.18","13.14","1.84"
"80.33","-2.35","9.69","2.31"
"80.36","-2.31","7.81","1.69"
"80.383642","-3.37","5.81","0.43"
"80.44","-1.18","1.06","-0.35"
"80.47","1.33","-0.67","0.08"
"80.49","-2.28","1.06","1.57"
"80.513648","-3.73","3.41","4.08"
"80.56","-6.75","15.65","-1.57"
"80.58","-10.00","13.45","-3.14"
"80.60","-3.57","9.57","1.80"
"80.62","-9.77","13.73","1.02"
"80.64","-11.18","15.14","1.02"
"80.67","-8.43","14.87","1.06"
"80.693656","-6.75","15.57","2.12"
"80.73","-8.59","14.98","2.67"
"80.753659","-5.10","12.36","0.71"
"80.803661","-4.90","6.79","1.69"
"80.84","-2.35","3.02","0.63"
"80.86","0.24","0.31","-0.67"
"80.89","-4.20","2.75","-0.67"
"80.913666","-4.12","1.69","1.41"
"80.95","-0.75","2.51","-2.39"
"80.97","-4.67","11.14","-9.45"
"81.00","-10.32","16.28","0.24"
"81.023671","-2.43","11.02","0.16"
"81.063673","-7.53","14.47","-1.10"
"81.113675","-7.34","10.12","0.59"
"81.15","-8.55","14.08","1.26"
"81.17","-6.71","11.61","1.26"
"81.20","-5.30","10.90","0.71"
"81.223680","-5.65","12.00","1.37"
"81.263682","-2.98","9.30","2.67"
"81.31","-2.35","4.82","-0.31"
"81.33","-1.22","0.90","-0.67"
"81.35","-0.08","-1.37","-0.27"
"81.37","-0.31","0.08","-0.94"
"81.393688","-1.02","-0.98","0.71"
"81.44","-12.79","18.01","-9.41"
"81.463691","-9.38","16.32","-3.61"
"81.503693","-4.67","10.63","2.24"
"81.553695","-9.14","13.65","1.88"
"81.59","-7.02","13.96","2.82"
"81.61","-7.22","12.71","1.49"
"81.64","-6.20","11.61","1.41"
"81.663700","-3.45","11.06","0.63"
"81.73","-5.69","6.51","0.20"
"81.75","-2.47","3.77","0.59"
"81.77","0.00","3.18","-0.04"
"81.79","-0.59","2.35","-0.78"
"81.81","-2.75","1.26","0.47"
"81.843708","-2.39","1.22","2.24"
"81.883710","-8.94","17.57","-8.94"
"81.92","-4.98","1.06","0.39"
"81.95","-8.36","6.43","3.30"
"81.97","-8.75","13.85","1.45"
"81.993715","-6.98","16.79","-2.04"
"82.04","-9.34","12.16","-2.08"
"82.063718","-9.02","11.38","-0.43"
"82.103720","-3.73","10.90","1.80"
"82.153722","-2.31","7.41","2.43"
"82.19","-1.53","3.61","-0.04"
"82.21","-2.39","1.84","-0.20"
"82.23","-2.08","0.78","-0.08"
"82.26","0.00","-1.10","0.55"
"82.28","-1.61","0.63","1.53"
"82.303729","-2.12","4.98","-2.59"
"82.483735","-8.12","15.14","-0.08"
"82.52","-7.41","12.12","1.29"
"82.54","-4.51","10.63","0.82"
"82.57","-3.77","7.77","1.80"
"82.593740","-2.55","7.41","2.08"
"82.633742","-0.94","2.20","2.28"
"82.683744","-0.90","1.45","0.71"
