NAME:,run_5_1.csv,,
EXPERIMENT TIME:,22-05-22 20:32,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,165,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
97.771,4.79,3.73,7.1
97.807,2.94,1.73,7.34
97.844,3.53,1.33,6.83
97.88,6.79,6.04,5.73
97.917,5.49,9.96,8.47
97.953,1.02,13.85,9.34
97.991,-1.57,15.53,14.98
98.03,0.24,10.55,12.94
98.069,3.33,4.24,11.77
98.106,1.65,2.12,6.2
98.143,-3.14,-1.22,-5.77
98.182,1.22,-2.75,-3.49
98.221,2.12,-3.33,-0.12
98.259,-1.57,-1.61,3.37
98.298,3.69,-0.67,20.01
98.337,4.98,-4.86,-2.67
98.375,12.16,4.55,-10
98.415,-2.39,10.43,10.08
98.454,-2.79,1.65,1.14
98.492,-1.26,-1.53,-0.12
98.531,1.88,-3.02,-3.77
98.57,2.71,-3.1,-3.57
98.608,-5.49,-1.06,6.47
98.647,3.92,-3.22,7.85
98.684,-5.02,-4.16,11.02
98.724,-11.18,4.75,16.83
98.841,-0.67,-1.02,1.45
98.879,0.98,-4.08,-0.55
98.918,3.92,-4.43,-3.22
98.956,0.86,-4.67,1.61
98.994,1.49,8.51,20.01
99.031,-19.73,18.16,10.59
99.072,-14.12,4.82,4.24
99.11,-9.61,8.16,2.43
99.148,-4.12,5.49,0.55
99.185,0.59,2.75,-3.49
99.223,4.12,-3.45,-3.33
99.261,2.39,-4.55,-1.18
99.3,-2.98,-3.69,4.28
99.339,-20.01,16.63,20.01
99.457,0.63,-0.16,13.38
99.496,1.53,-1.77,-0.78
99.534,-3.49,2.16,4.59
99.572,2.08,-2.39,-2.59
99.61,4.47,-4.82,-4.71
99.649,-3.41,-6.63,5.92
99.688,-4.51,8.04,-4.04
99.726,-1.14,-1.88,10.08
99.766,-6.47,4.98,-12.43
99.805,-11.65,10.87,0.86
99.845,-3.77,0.67,1.29
99.882,-1.84,1.69,0.04
99.92,2.82,-2.47,-3.65
99.958,4.16,-4.47,-2.47
99.997,-0.51,-5.41,3.3
100.111,-9.89,5.57,-0.08
100.15,-1.96,3.3,11.34
100.189,-5.22,8.55,14.71
100.227,-3.41,-0.08,4.12
100.266,-9.85,7.45,2.79
100.303,6.98,-5.3,-4.98
100.342,2.12,-1.88,3.06
100.379,-20.01,20.01,15.77
100.42,1.1,-0.04,20.01
100.458,-14.87,6.55,3.69
100.497,-10.28,7.81,6.47
100.535,-7.37,5.26,1.96
100.573,-0.78,2.55,0.16
100.61,6.24,-2.82,-5.22
100.649,2.55,-5.02,-1.02
100.767,-1.73,3.22,1.8
100.804,-14.16,10.28,8
100.844,-10.67,4.2,16.91
100.883,-6.83,5.22,10.55
100.922,-2.63,1.69,3.53
100.959,2.35,-6.2,2.28
100.997,5.84,-6.55,-4.67
101.035,4,-6.55,2.39
101.073,0.67,0,8.43
101.109,-4.39,7.65,20.01
101.148,-8.36,8.9,12.55
101.186,-8.2,8.67,8.16
101.224,-7.45,6.12,5.57
101.261,-1.96,1.33,-0.71
101.416,-11.73,17.34,19.97
101.456,-9.65,9.1,13.06
101.495,-6.71,3.33,1.22
101.532,-12.59,2.16,7.85
101.571,-9.3,3.22,17.42
101.609,-3.73,4.16,13.93
101.648,-1.26,3.84,-5.88
101.686,8.59,-4.79,-10.51
101.726,6.47,-6.94,-3.41
101.765,-3.33,-0.78,7.26
101.803,-13.57,13.26,7.1
101.843,-3.84,-1.1,6.2
101.881,-14.75,9.92,5.18
101.92,-9.53,4.59,3.96
101.957,-3.37,-0.78,4
101.996,2.04,-2.24,-1.84
102.034,2.2,-4,1.06
102.072,0.31,-4.59,1.96
102.109,-14.47,7.18,15.18
102.149,-15.14,0,10
102.189,-6.83,6.43,-1.1
102.227,-8.51,11.77,8.83
102.266,-7.18,6.2,13.38
102.304,-4.35,2.82,7.41
102.342,1.41,0.2,-2.55
102.379,4.04,-5.65,-3.3
102.418,-2.2,-3.45,6.63
102.456,-2.28,0.82,5.92
102.494,14.08,-1.61,20.01
102.533,-12.83,12.55,-3.06
102.574,-10.98,9.85,3.49
102.689,5.02,2.75,-2.9
102.726,3.02,-0.82,1.14
102.764,0.47,-4.79,2.75
102.801,-3.88,-3.65,8.28
102.84,-20.01,15.73,20.01
102.88,-13.1,12.32,12.55
102.921,-4.75,2.08,2.59
102.958,-7.88,4.82,13.02
102.997,-4.08,3.61,9.65
103.034,-2.16,0.82,1.29
103.072,0.2,-3.3,1.06
103.109,2.86,-3.53,-1.65
103.148,1.96,-3.18,3.45
103.185,-2,3.41,9.3
103.3,-11.22,8.98,2.94
103.339,-0.9,2.59,7.14
103.376,-1.61,1.65,3.18
103.414,1.61,-0.86,0.9
103.451,0.86,-4.71,0.55
103.489,0.39,-3.02,0.55
103.526,-20.01,20.01,20.01
103.567,-18.63,12.24,-3.06
103.607,-17.3,3.77,2.71
103.646,-0.86,-1.18,11.45
103.685,-5.96,5.84,11.1
103.724,-3.57,3.3,-1.45
103.763,1.06,-3.3,1.33
103.8,3.73,-4.82,-1.1
103.839,0.47,-5.57,6.67
103.993,-12.04,9.06,-1.53
104.032,-1.84,0.71,15.22
104.071,2.24,6.86,1.1
104.107,2.67,-0.94,-1.41
104.146,1.37,-5.06,1.37
104.183,0.31,-3.84,0.86
104.221,-20.01,7.61,20.01
104.26,-17.22,16.87,2
104.3,-5.33,-3.1,2.79
104.339,-6.51,6.39,19.3
104.377,0.2,4.31,-3.61
104.415,-4.71,2.35,0.94
104.452,1.26,0.94,-2.63
104.603,2.08,16.55,18.36
104.642,-20.01,1.61,14.36
104.681,-3.18,-2.16,10.2
104.721,-9.61,0.71,11.22
104.759,-3.37,3.73,0.04
104.797,-1.77,-0.51,0.51
104.835,2.04,-4.75,0.24
104.873,2.24,-3.22,-1.49
104.911,-3.06,-0.08,1.06
104.95,-16.04,20.01,20.01
104.991,-10.36,14.44,-5.02
105.031,-1.69,7.18,5.69
105.069,-1.26,6.55,-4.75
105.107,-4.63,8.87,14.67
105.146,-1.45,1.33,-0.31
105.259,-0.47,-4.39,7.37
105.298,1.26,20.01,20.01
105.336,-6.2,2.35,14.47
105.375,-19.81,5.77,3.57
105.414,-13.45,-0.12,6.24
105.453,-7.69,4.86,0.55
105.491,2.24,5.49,8.51
105.527,2.55,-2.2,2.9
105.565,1.73,-5.3,3.1
105.602,-1.18,-4.24,3.84
105.641,-20.01,20.01,20.01
105.681,12.4,-0.59,0
105.72,-4.24,4.94,-5.92
105.758,-9.38,5.77,4.24
105.873,-4.04,1.22,3.69
105.91,0.98,0,-1.96
105.948,2.16,-2.79,-1.84
105.986,0.82,-3.26,1.49
106.024,-20.01,20.01,20.01
106.065,-16.51,19.89,20.01
106.105,-7.06,5.73,-2.28
106.144,-9.38,9.45,3.57
106.181,0.24,3.57,6.67
106.218,0.39,1.77,-0.16
106.255,2.04,-0.59,0.55
106.293,-0.67,-3.1,4
106.331,-8.04,2.63,14.2
106.37,3.37,0,4.98
106.482,-0.55,2.08,12.55
106.521,-12.91,15.65,4.75
106.56,-5.26,1.92,1.65
106.598,0.86,-5.3,3.37
106.635,2.98,-4.31,-0.04
106.674,0.04,-2.51,5.02
106.711,-13.22,20.01,11.06
106.752,-1.61,3.02,19.97
106.791,-9.06,0.12,-10
106.83,-11.3,6.55,-2.39
106.87,-7.41,11.18,1.33
106.908,0.12,4.39,14.95
106.946,2.28,0.98,-0.71
106.983,2.63,-3.18,0.59
107.021,0.04,-5.41,3.26
107.136,-11.26,9.73,-5.02
107.176,-7.26,6.12,4.35
107.214,-6.51,7.65,13.18
107.252,-3.61,7.22,8.2
107.29,0.98,-2.86,1.02
107.327,3.26,-0.2,-4.9
107.366,2.59,-2.28,0.51
107.403,-2.2,-2.08,8.36
107.442,-16.63,20.01,18.48
107.482,2.43,3.8,4.98
107.519,-12.12,4.55,3.92
107.557,-11.38,16.55,-1.88
107.598,-0.16,10.2,11.22
107.638,-7.41,6.2,-0.59
107.791,-20.01,20.01,19.18
107.831,-10,10,4.98
107.871,-5.26,2.2,0.75
107.908,-10.28,7.96,5.49
107.947,-6.47,10.16,16.2
107.986,-7.18,5.3,7.1
108.024,-3.88,1.1,2.04
108.061,0.63,-4.04,3.37
108.099,4.67,-3.3,-2.43
108.138,-0.71,-0.94,3.33
108.176,-20.01,20.01,20.01
108.217,-18.79,19.93,20.01
108.257,-5.26,4.43,2.2
108.295,-8.94,10.51,1.06
108.407,4.79,-2.08,-2.2
108.446,-1.06,-2.47,2.47
108.484,-2,-2.55,4.9
108.523,-20.01,20.01,20.01
108.564,-9.14,-10,6.16
108.603,-10.55,8.83,3.73
108.642,-4.51,4.39,9.77
108.679,-5.65,12.79,8.71
108.718,-7.49,7.37,1.92
108.755,-1.41,0.27,1.22
108.793,2.98,-3.73,1.77
108.83,2.63,-3.57,2.86
108.868,-1.88,-0.2,6.67
