"NAME:","run_2_1.csv"
"EXPERIMENT TIME:","25-05-22 15:20"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","73"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.002","0.43","9.61","-4.24"
"0.025","0.31","10.20","-4.79"
"0.097","0.16","9.85","-4.31"
"0.099","0.00","9.89","-4.35"
"0.102","24","9.73","-4.16"
"0.143",".82","9.73","-5.41"
"0.165",".71","7.69","-4.94"
"0.212",".90","6.86","-2.75"
"0.233",".57","10.08","-3.18"
"0.256","67","13.77","-3.10"
"0.312",".06","12.91","-3.22"
"0.337","0.12","10.55","-2.98"
"0.373","1.29","8.24","-2.67"
"0.4","1.33","8.51","-3.14"
"0.426",".14","8.00","-0.78"
"0.463","0.55","8.32","-0.43"
"0.503","0.90","9.26","-0.20"
"0.545","1.41","10.28","-0.90"
"0.574","0.82","10.63","-1.33"
"0.611",".24","11.89","-2.39"
"0.636","1.26","12.59","-1.92"
"0.658","0.39","11.77","0.51"
"0.695","0.71","15.14","-0.67"
"0.718",".10","13.22","-6.79"
"0.754","86","9.81","-0.20"
"0.791",".22","6.28","-1.18"
"0.824",".78","12.32","-5.30"
"0.868","0.08","10.98","-4.75"
"0.908",".75","9.30","-3.65"
"0.937","16","6.63","-2.31"
"0.939",".75","5.37","-3.45"
"0.999",".55","6.12","-3.80"
"1.04",".51","7.57","-5.33"
"1.069","0.94","6.35","-3.30"
"1.095","-2.63","9.38","-3.65"
"1.119","2.86","9.61","-2.63"
"1.142",".20","10.28","-4.24"
"1.18","2.55","11.89","-6.59"
"1.204",".18","8.94","-7.30"
"1.249","55","10.67","-6.35"
"1.252","2.43","9.65","-6.55"
"1.307","1.26","11.77","-8.12"
"1.404",".88","18.24","-9.81"
"1.412","0.43","11.45","-2.00"
"1.507",".08","20.01","-20.01"
"1.512","2.90","-2.51","20.01"
"1.554","2.35","5.26","0.27"
"1.558","1.41","6.16","-1.33"
"1.59","0.43","4.39","-1.22"
"1.619",".96","9.22","-6.51"
"1.643","0.24","11.30","-2.51"
"1.667","4.59","8.43","2.86"
"1.692",".96","4.20","-13.22"
"1.732",".92","20.01","-20.01"
"1.759","4.16","10.24","0.98"
"1.801",".00","10.98","1.49"
"1.804",".22","15.57","-4.98"
"1.839","1.22","9.49","-4.12"
"1.88","-0.08","7.06","-2.86"
"1.907","0.04","6.12","-1.88"
"1.945","2.43","9.02","-3.65"
"1.971",".04","10.40","-2.90"
"2.01","0.82","6.59","-5.30"
"2.041",".18","7.92","-4.98"
"2.08","0.78","5.57","-1.33"
"2.107",".63","2.94","-4.35"
"2.146",".12","4.31","-5.22"
"2.149",".31","10.87","-2.47"
"2.189","1.06","20.01","-9.34"
"2.234","5.96","16.51","0.20"
"2.259","4.82","16.32","-2.12"
"2.301","2.16","17.26","-1.18"
"2.326","1.53","12.00","-1.45"
"2.371","2.55","9.06","-1.96"
"2.398","1.37","5.10","-0.86"
"2.429",".65","1.14","-2.04"
"2.454",".45","1.61","-7.02"
"2.496","1.65","4.59","-0.78"
"2.54",".69","-1.18","-7.22"
"2.541","5.06","11.26","0.47"
"2.58",".82","14.91","-3.92"
"2.619","4.98","18.95","-1.41"
"2.655",".94","16.83","-1.92"
"2.705","1.88","14.40","-2.55"
"2.753","2.90","12.63","-5.26"
"2.784",".90","12.75","-6.20"
"2.829",".90","6.32","-5.65"
"2.832",".51","1.06","-5.41"
"2.871","3.22","-1.41","-0.04"
"2.915","1.80","-3.88","-7.41"
"2.941",".65","1.10","-5.96"
"2.985",".18","16.40","-10.83"
"2.988",".77","20.01","-16.87"
"3.024",".39","19.65","-4.31"
"3.07","3.65","17.97","-4.79"
"3.098",".55","15.57","-5.10"
"3.126","2.67","9.73","0.12"
"3.168","1.73","4.47","0.12"
"3.17",".28","0.31","-2.12"
"3.224",".75","-1.53","-1.88"
"3.269",".37","1.10","-3.77"
"3.272",".10","3.18","-3.49"
"3.325",".98","-1.69","-17.65"
"3.357","4.28","20.01","-4.00"
"3.432","2.43","2.71","11.34"
"3.437",".24","18.83","-2.63"
"3.44",".33","16.44","-3.80"
"3.478",".04","15.81","-3.06"
"3.527","2.51","15.85","-7.06"
"3.53","3.61","16.20","-7.53"
"3.574",".69","3.69","7.88"
"3.623","2.55","4.28","-10.00"
"3.656",".43","0.67","-4.31"
"3.693","-1.65","-0.27","-2.47"
"3.74","3.26","-2.08","0.04"
"3.772",".33","12.55","-8.79"
"3.825",".55","20.01","-13.02"
"3.827","-3.22","20.01","-6.28"
"3.871","0.35","14.32","-3.14"
"3.905",".30","14.63","-5.18"
"3.933","0.35","8.59","-2.55"
"3.976",".04","2.39","0.75"
"4.004",".18","-2.28","-2.31"
"4.07","1.22","2.94","-1.41"
"4.109",".53","-1.22","-10.08"
"4.14",".55","20.01","-4.43"
"4.183","0.78","2.24","1.14"
"4.186","5.06","20.01","-4.79"
"4.223",".67","18.67","-4.28"
"4.266","1.69","15.10","-6.63"
"4.269","6.32","15.97","-5.61"
"4.308",".92","11.96","-6.71"
"4.352",".98","5.49","-9.49"
"4.39",".31","-1.69","-2.00"
"4.42","2.98","0.20","-9.96"
"4.448","2.55","-1.61","-1.26"
"4.479",".18","-2.16","-2.04"
"4.509",".85","3.69","-10.04"
"4.537","0.55","20.01","-11.45"
"4.584",".94","20.01","-16.87"
"4.586","3.02","16.87","-4.63"
"4.624",".47","15.73","-5.33"
"4.674",".00","9.73","0.67"
"4.705","3.18","2.79","-0.04"
"4.751",".26","0.20","0.39"
"4.753",".61","-2.59","-5.22"
"4.792",".98","4.63","-6.08"
"4.824",".26","2.47","-5.41"
"4.88",".34","19.89","-4.35"
"4.909","2.20","9.41","-7.69"
"4.939","12.98","20.01","1.45"
"4.969",".38","16.24","-2.39"
"5.0",".02","18.87","-8.04"
"5.029","12.20","18.59","-11.38"
"5.061","2.79","12.00","-5.92"
"5.091","0.71","7.41","-8.63"
"5.122",".31","0.55","-6.86"
"5.154",".20","-2.00","-0.82"
"5.204","5.22","-2.39","5.69"
"5.206","0.27","-2.67","-1.14"
"5.238",".83","3.26","-9.85"
