NAME:,run_3_1.csv,,
EXPERIMENT TIME:,25-05-22 15:22,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.043,0.14,13.34,-5.57
0.045,0.9,10.79,-7.06
0.092,0.47,7.73,-6.12
0.135,0.16,5.57,-4.24
0.138,0.2,7.96,-5.1
0.184,0.9,8.47,-4.86
0.228,0.8,9.06,-5.77
0.23,0.33,8.36,-5.22
0.273,0.59,7.92,-5.06
0.316,2.71,8.59,-4.79
0.36,3.06,9.69,-6.28
0.362,1.02,8.51,-4.47
0.408,0,8.2,-4.39
0.46,1.02,10.12,-4.55
0.462,0.78,8.9,-4.86
0.509,0.06,8.79,-5.22
0.511,0.45,12.08,-7.02
0.596,0.78,12.04,-6.55
0.598,2.79,9.69,-8.16
0.599,0.12,9.53,-5.96
0.661,0.27,8,-7.69
0.708,0.59,7.85,-8.67
0.709,0.31,15.69,-11.22
0.756,0.08,14.67,-6.12
0.802,0.1,15.3,-8.04
0.85,55,15.81,-4.86
0.852,0.22,17.22,-3.65
0.926,1.33,12.83,-2.31
0.944,-3.06,9.1,-2.04
1.077,1.33,2.55,-1.96
1.089,4,-0.12,-1.96
1.093,4.28,0.71,-1.96
1.175,0.12,-0.47,-1.02
1.178,1.73,-2,-4.98
1.18,0.67,10.24,2.31
1.182,0.94,14.87,-10.9
1.235,0.28,19.38,-0.31
1.236,0.55,17.77,-5.18
1.238,1.02,16.71,-7.88
1.285,1.37,12.32,-4.39
1.333,1.8,14.83,-11.26
1.381,0.55,9.65,-6.67
1.437,2.16,0.82,-4.28
1.489,0.86,0.24,-5.61
1.491,0.67,0.35,-5.77
1.538,0.41,8.12,-7.18
1.586,1.8,20.01,-19.38
1.588,6.9,20.01,-8.2
1.641,0.04,19.97,-8.43
1.687,0.37,15.69,-4.82
1.689,2.63,8.39,-2
1.736,0.12,1.45,-2.12
1.783,0.06,-0.55,-0.82
1.785,0.49,-2.55,-0.82
1.832,0.59,0.63,-3.14
1.834,0.43,-0.98,-2.75
1.881,0.06,11.61,-4.24
1.929,0.69,11.61,-5.02
1.931,0.9,20.01,-5.61
1.978,0.24,18.28,-3.53
2.026,0.63,19.06,-9.69
2.028,2.86,14.4,-7.69
2.076,3.61,14.44,-10.55
2.078,0.86,4.9,-4.63
2.131,0.82,-2.2,-4.08
2.179,2.16,0.63,-2.98
2.227,1.53,0.31,-6.28
2.229,0.27,-0.55,-2.35
2.28,0.08,1.73,-5.69
2.284,1.18,13.14,-16
2.332,4.63,20.01,-12.32
2.384,0.35,20.01,-11.26
2.387,0.51,17.61,-2.31
2.436,0.49,13.49,-4.28
2.437,5.3,4.35,-2.63
2.486,1.45,0.51,-1.73
2.536,0.33,-1.41,-0.82
2.59,0.63,-1.37,-1.18
2.592,0.55,-0.27,0.67
2.643,0.47,6.86,-15.53
2.647,10.04,17.81,-4.94
2.696,0.92,11.69,0.71
2.747,0.51,18.4,-4.55
2.752,0.24,18.75,-6
2.802,5.33,10.67,-3.3
2.806,0.94,16,-9.65
2.854,0.57,8.43,-7.02
2.904,0.78,-1.02,-6.83
2.906,1.41,-1.18,-4.12
2.988,1.65,-1.29,-2.75
2.992,0.12,-0.63,-2.31
2.994,0.14,4.51,-6.75
3.048,0.57,19.73,-13.61
3.052,0.65,20.01,-20.01
3.103,0.47,20.01,-13.1
3.152,0.94,17.89,-3.92
3.154,0.08,13.1,-2.9
3.204,4.71,3.41,-0.27
3.255,0.73,-1.02,-0.67
3.257,0.77,-3.84,-0.82
3.308,0.16,-0.98,-1.33
3.357,1.8,0.47,-3.73
3.359,0.65,7.22,-20.01
3.409,9.73,18.95,-1.06
3.411,0.04,15.49,3.53
3.462,0.24,15.22,0.31
3.464,2.86,20.01,-8.32
3.514,0.75,9.81,-3.18
3.565,4.9,18.91,-15.77
3.566,0.35,10.94,-1.14
3.618,0.39,3.88,-6.86
3.668,0.9,-3.06,-4.51
3.67,1.61,-1.37,-2.51
3.721,1.33,-1.77,-2.16
3.772,0.94,-2.31,-1.92
3.774,0.18,7.14,-5.22
3.824,4.24,20.01,-14.51
3.826,14.16,20.01,-3.18
3.877,0.31,19.97,-5.88
3.878,0.02,17.69,-5.49
3.93,1.41,9.77,-2.16
3.98,5.69,2.47,-1.26
3.982,0.22,-0.35,-1.33
4.034,92,-3.22,-0.43
4.085,0.24,0.9,0.04
4.086,1.57,0.98,-5.37
4.138,0.75,11.61,-7.22
4.14,8.24,15.49,-7.61
4.192,16,15.93,-0.35
4.244,0.04,20.01,-3.88
4.245,2.9,20.01,-7.02
4.297,3.53,15.42,-9.38
4.35,3.22,15.77,-8
4.352,0.73,7.81,-1.88
4.405,0.24,1.1,-8.83
4.407,0.59,-1.69,-3.57
4.46,1.29,-2.31,-3.37
4.512,2.31,-1.61,-2.51
4.564,0.61,10.87,-12.4
4.566,1.02,20.01,-9.96
4.619,4.08,20.01,-4.31
4.62,0.29,20.01,-8.75
4.673,0.84,18.4,-4.79
4.726,4.08,11.69,-0.71
4.728,2.16,3.26,-2.08
4.779,0.35,-1.69,-1.22
4.781,0.26,-2.86,-2
4.833,67,2.28,-0.08
4.887,0.82,-0.2,-4.47
4.888,0.26,17.69,-3.77
4.941,1.37,5.22,-0.31
4.943,5.77,20.01,-8.51
4.996,0.2,19.14,-5.88
5.05,2.39,15.85,-6
5.052,0.67,12.24,-8.55
5.104,0.57,14.79,-8.67
5.157,0.96,9.41,-6.59
5.158,0.43,-1.06,-6.32
5.214,0.39,-2.39,-6.75
5.216,3.22,-3.37,-0.04
5.311,0.12,-2.04,-1.77
5.313,0.53,13.85,-11.57
5.314,2.47,20.01,-16.99
5.378,4.55,20.01,-10.98
5.38,0.98,16.87,-4.12
5.435,0.61,14.04,-3.69
5.488,2.43,6.83,-0.2
5.541,0.12,-0.31,-0.43
5.542,0.45,-2.12,0.31
5.596,0.8,-1.65,-1.65
5.597,1.77,1.02,-0.24
5.652,63,-0.67,-10.28
5.654,0.94,15.26,-4.04
5.708,0.55,11.1,-2.24
5.762,1.41,20.01,-3.45
5.764,0.88,16.71,-3.61
5.818,0.82,18.01,-4.82
