"NAME:","run_5_1.csv"
"EXPERIMENT TIME:","25-05-22 15:25"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.115","9.61","0.51","-0.90"
"0.118","10.04","0.59","-0.78"
"0.12","9.69","0.35","-1.33"
"0.122","9.38","0.16","-1.14"
"0.239","9.38","-0.20","-0.82"
"0.241","10.51","0.39","-0.78"
"0.243","10.83","0.51","-0.59"
"0.245","10.55","-0.39","0.55"
"0.369","10.94","-1.37","-1.10"
"0.372","10.43","-1.61","-2.71"
"0.374","13.10","4.04","-2.59"
"0.375","13.81","4.12","-4.08"
"0.495","12.32","3.49","-3.14"
"0.497","10.90","6.20","-2.47"
"0.499","10.28","7.41","-2.12"
"0.501","14.40","0.39","-2.82"
"0.621","9.49","-0.16","-1.33"
"0.623","7.37","-0.35","-1.73"
"0.625","6.08","-0.94","-1.77"
"0.745","4.98","0.75","-2.43"
"0.747","8.20","0.63","0.16"
"0.748","10.94","2.12","2.94"
"0.75","10.16","-0.63","1.92"
"0.751","-8.39","-1.84","1.37"
"0.872","10.67","-1.02","0.86"
"0.874","10.90","0.75","1.69"
"0.876","7.65","-0.04","1.41"
"0.877","7.65","-2.86","2.08"
"0.998","10.08","9.73","-0.16"
"1.0","9.26","3.53","-0.71"
"1.023","7.41","0.04","-0.55"
"1.226","15.10","1.26","0.24"
"1.23","12.51","3.30","1.77"
"1.233","14.79","3.30","1.65"
"1.237","14.83","0.67","0.98"
"1.242","12.75","1.10","0.08"
"1.248","13.22","-1.02","-0.27"
"1.403","6.86","-2.39","0.78"
"1.405","6.59","1.22","-1.65"
"1.407","-3.41","2.00","-2.47"
"1.409","0.47","2.94","-3.53"
"1.41",".41","0.75","-4.59"
"1.412",".12","-3.37","-4.75"
"1.533","6.47","6.75","-0.94"
"1.535","20.01","5.33","-2.79"
"1.537","-20.01","1.69","0.94"
"1.539","20.01","3.73","0.08"
"1.541","19.85","-0.63","-0.39"
"1.662","16.28","-0.71","3.33"
"1.664","9.06","-1.41","-0.08"
"1.665","2.55","-2.75","-1.26"
"1.667",".59","0.39","-0.59"
"1.787",".43","2.67","-2.08"
"1.79","0.35","1.77","-3.14"
"1.791","5.14","-0.16","-2.39"
"1.793","2.12","10.04","-5.73"
"1.795","20.01","4.20","2.51"
"1.916","16.95","-4.43","4.43"
"1.917","14.63","8.47","3.26"
"1.919","15.10","2.63","1.69"
"2.041","12.55","-1.02","0.31"
"2.043","17.46","0.12","-0.08"
"2.045","9.65","0.94","1.22"
"2.046","6.67","1.22","-2.04"
"2.169",".45","3.26","-4.00"
"2.17",".49","-0.16","-4.04"
"2.172","0.20","-2.71","-2.39"
"2.173",".39","1.57","-5.45"
"2.301","4.90","7.88","-0.82"
"2.303","20.01","3.18","-2.79"
"2.305","20.01","14.40","-15.38"
"2.306","20.01","-1.29","0.82"
"2.429","16.87","-1.14","0.31"
"2.431","10.47","0.35","1.57"
"2.433","9.06","-3.06","1.06"
"2.434","3.96","-3.06","-2.79"
"2.557",".82","-0.08","-2.08"
"2.559",".16","4.04","-3.10"
"2.561","4.98","1.96","-0.67"
"2.562","3.73","8.94","-9.14"
"2.687","20.01","8.87","4.04"
"2.688","-4.86","-0.20","-3.18"
"2.69","20.01","-0.16","1.33"
"2.691","13.18","4.75","4.04"
"2.816","13.69","-1.53","0.04"
"2.817","13.45","0.35","0.67"
"2.819","-15.14","2.20","0.67"
"2.82","5.88","3.06","-2.63"
"2.945","1.45","3.92","-2.98"
"2.947",".90","-0.12","-2.82"
"2.949","0.43","-1.73","-3.37"
"2.95","0.12","-0.16","-5.81"
"3.083","6.63","4.47","-1.80"
"3.115","20.01","6.71","-3.06"
"3.12","20.01","18.51","-16.28"
"3.123","20.01","0.24","2.51"
"3.262","14.51","-3.80","-0.86"
"3.264","14.28","-0.20","2.55"
"3.265","9.30","-3.14","2.24"
"3.267",".02","-2.75","-1.69"
"3.268",".12","2.47","-4.98"
"3.27",".22","3.49","-2.51"
"3.4","4.16","2.28","-0.04"
"3.402","3.06","0.63","-4.39"
"3.403","16.00","10.16","4.59"
"3.405","1.41","-2.79","-6.32"
"3.531","20.01","-1.45","-1.41"
"3.533","12.51","5.37","3.53"
"3.534","14.83","1.06","0.63"
"3.536","12.94","0.24","-0.98"
"3.661","16.28","-0.59","1.22"
"3.663","8.63","3.84","-2.08"
"3.665","2.04","5.02","-3.61"
"3.666","0.20","0.55","-2.12"
"3.668",".92","-3.06","-3.41"
"3.794",".26","-4.43","-2.63"
"3.796","2.86","0.75","-5.69"
"3.798","13.49","2.20","-7.73"
"3.924","20.01","14.16","-4.59"
"3.926","20.01","2.28","1.96"
"3.928","16.04","-0.86","-0.39"
"3.929","-13.14","-0.16","-0.75"
"4.059","8.98","-0.63","1.26"
"4.063","4.28","-2.86","-3.33"
"4.064",".55","2.16","-1.49"
"4.066",".08","2.82","-2.24"
"4.192","2.31","2.39","-2.31"
"4.194","17.61","6.43","8.39"
"4.195","10.94","-0.75","-2.98"
"4.197","20.01","-10.59","2.39"
"4.327","14.12","10.20","2.31"
"4.329","17.42","3.18","0.98"
"4.331","15.14","-2.04","-1.10"
"4.333","11.26","-0.63","-0.08"
"4.46","8.59","-2.04","0.78"
"4.462","2.75","1.73","-3.33"
"4.463",".39","3.30","-6.35"
"4.465",".65","1.41","-2.47"
"4.466",".78","-2.82","-2.04"
"4.593","0.39","0.39","-6.79"
"4.595","9.38","7.18","-2.71"
"4.596","20.01","6.79","-3.30"
"4.598","13.45","4.43","4.71"
"4.726","20.01","0.35","1.61"
"4.728","17.77","-0.82","-2.39"
"4.73","13.14","0.08","0.20"
"4.731","-7.14","-1.65","-0.31"
"4.858",".16","-1.65","-1.06"
"4.86",".28","1.33","-2.28"
"4.862",".49","2.20","-3.57"
"4.863","3.57","1.61","-1.41"
"4.991","3.88","-1.92","-2.67"
"4.993","14.12","7.30","8.90"
"4.994","16.91","-0.08","-6.47"
"4.996","20.01","-6.94","-1.96"
"5.124","16.08","7.02","4.39"
"5.126","13.93","3.22","2.24"
"5.127","13.34","1.57","0.31"
"5.129","14.32","-2.20","-1.65"
"5.258","6.20","-0.16","-3.02"
"5.26","-1.88","4.59","-4.51"
"5.261",".31","1.84","-2.59"
"5.263","0.12","-2.43","-3.33"
"5.265",".59","-1.57","-4.31"
"5.398","5.06","5.10","-1.29"
"5.402","19.46","10.16","-3.65"
"5.53","20.01","11.92","-11.81"
"5.533","16.24","0.35","-0.12"
"5.534","12.55","0.31","0.94"
"5.536","9.18","-0.86","0.98"
"5.537","4.00","-4.51","-2.04"
"5.666",".22","1.69","-2.31"
"5.667",".94","2.08","-3.37"
"5.669","3.92","1.53","-0.67"
"5.67","4.59","8.36","-8.75"
"5.799","20.01","2.71","-1.53"
"5.801","7.85","-2.28","-2.00"
"5.802","20.01","-0.75","-2.12"
"5.804","12.16","6.47","3.61"
"5.937","16.08","-0.94","0.39"
"5.94","14.67","0.20","0.31"
"5.941","9.57","1.33","1.41"
"5.943","8.08","0.71","-3.33"
"5.944","0.75","3.61","-4.47"
"6.074",".61","0.31","-2.51"
"6.075",".16","-0.47","-3.26"
"6.077",".20","3.06","-1.22"
"6.078","9.18","3.65","-4.90"
"6.209","20.01","10.90","-3.53"
"6.21","20.01","11.06","-13.96"
"6.212","20.01","-3.14","0.90"
"6.213","14.28","0.16","-0.27"
"6.344","10.24","0.82","2.16"
"6.345","5.61","-3.61","-0.47"
"6.347",".08","-0.67","-1.18"
"6.349",".08","1.10","-4.20"
"6.48","0.24","2.08","-2.82"
"6.482","4.31","-0.39","0.20"
"6.484","6.00","10.43","2.82"
"6.485","-13.45","0.71","-1.18"
"6.487","20.01","-6.86","9.57"
"6.62","13.14","4.67","2.86"
"6.622","15.10","5.06","2.86"
"6.623","12.98","-0.47","-0.27"
"6.625","16.16","0.27","-0.71"
"6.756","10.94","0.24","-0.98"
"6.758","3.77","2.55","-4.35"
"6.759","0.04","3.10","-2.16"
"6.761",".63","-1.26","-3.61"
"6.892",".29","-2.12","-3.65"
"6.894",".43","0.63","-4.16"
"6.896","4.67","4.51","-1.06"
"6.897","20.01","5.65","-4.35"
"7.03","19.93","6.98","-5.61"
"7.032","20.01","-1.22","2.82"
"7.033","16.55","-1.22","0.43"
"7.035","8.79","-0.16","1.37"
"7.166","7.92","-3.84","1.02"
"7.168","3.49","-2.86","-1.14"
"7.171",".39","3.02","-6.55"
"7.173",".39","4.04","-1.65"
"7.175","2.86","-0.51","-1.33"
"7.311","2.35","1.14","-7.65"
"7.313","20.01","11.06","11.45"
"7.315","3.92","1.61","-12.12"
"7.316","19.97","-3.14","2.75"
"7.45","14.59","2.71","4.16"
"7.452","11.22","-1.10","1.92"
"7.453","16.16","0.75","1.10"
"7.455","10.24","1.65","-0.24"
"7.456","4.90","2.24","-4.31"
"7.588",".16","3.33","-2.82"
"7.589",".02","-1.65","-3.77"
"7.591",".47","0.16","-3.18"
"7.592",".63","3.41","-6.12"
"7.728","8.04","-0.04","-8.63"
"7.729","20.01","10.20","4.75"
"7.731","15.30","-9.02","15.46"
"7.732","20.01","-2.00","1.73"
"7.734","17.81","-0.47","0.04"
"7.872","10.94","-0.39","2.20"
"7.873","4.55","-4.08","0.27"
"7.875","28","-0.67","-0.78"
"7.881",".08","2.28","-4.43"
"8.014",".29","3.53","-1.61"
"8.015","4.63","1.22","0.04"
"8.017","4.82","0.27","-8.12"
"8.019","20.01","13.49","6.39"
"8.02","-9.34","0.63","-17.65"
"8.159","20.01","-2.86","-1.41"
"8.16","15.46","6.16","3.49"
"8.162","13.42","2.04","0.47"
"8.164","14.24","2.39","0.78"
"8.301","10.75","-2.28","0.90"
"8.303","6.79","-1.14","-2.04"
"8.304","-1.84","2.39","-5.02"
"8.306","0.04","1.92","-4.79"
"8.443",".59","-0.98","-2.55"
"8.445",".51","-1.45","-2.39"
"8.447","1.26","0.59","-8.28"
"8.448","12.98","4.79","-10.90"
"8.45","20.01","13.45","-3.92"
"8.584","20.01","-3.14","8.32"
"8.585","18.36","-2.47","1.10"
"8.587","14.16","-0.43","-2.16"
"8.588","12.40","0.51","0.59"
"8.724","7.96","-0.55","2.04"
"8.726",".84","-1.69","-2.67"
"8.727",".24","0.94","-4.90"
"8.729",".90","2.71","-3.96"
"8.867","2.98","1.69","0.39"
"8.869","5.26","5.06","-9.26"
"8.87","20.01","13.85","4.67"
"8.872",".16","1.02","-9.06"
"8.874","17.22","1.65","2.86"
"9.009","15.38","5.65","4.47"
"9.011","15.85","-1.69","-0.35"
"9.012","14.75","-2.12","0.12"
"9.014","12.47","-0.47","-1.41"
"9.149","-6.39","2.98","-2.55"
"9.151","0.94","4.12","-6.20"
"9.152",".61","0.86","-4.28"
"9.154","1.10","-1.22","-2.94"
"9.155",".14","-1.29","-2.98"
"9.292","5.14","3.57","-1.33"
"9.294","17.77","3.10","-8.75"
"9.296","20.01","16.32","-4.98"
"9.298","20.01","-1.37","1.29"
"9.299","-15.26","-1.80","-0.20"
"9.434","10.40","1.02","1.22"
"9.436","7.22","-1.45","-1.18"
"9.437","1.02","-3.65","-3.53"
"9.439",".83","1.37","-2.55"
"9.574",".59","2.98","-6.00"
"9.575","1.37","2.31","0.43"
"9.577","7.69","7.85","-13.34"
"9.578","20.01","5.41","1.77"
"9.715",".00","1.57","-3.22"
"9.717","20.01","1.84","-0.43"
"9.719","11.96","6.00","2.67"
"9.72","14.16","0.98","0.82"
"9.722","12.63","-1.57","-1.06"
"9.858","10.32","0.94","0.55"
"9.86","6.00","1.29","-1.73"
"9.861","1.65","2.94","-3.92"
"9.863",".00","-0.27","-4.79"
"10.001","0.90","-2.67","-2.59"
"10.003","86","-0.08","-3.61"
"10.005","7.73","3.33","-3.77"
"10.006","20.01","7.96","-4.12"
"10.143","18.24","20.01","-19.22"
"10.145","20.01","-2.75","1.18"
"10.147","15.65","0.24","-0.82"
"10.148","10.00","0.75","0.98"
"10.285","7.96","-0.90","-1.61"
"10.287",".55","0.04","-2.98"
"10.289",".30","3.06","-2.43"
"10.29",".26","2.47","-3.61"
"10.292","5.10","-0.63","-0.04"
"10.293","-7.65","3.02","-7.85"
"10.431","20.01","10.08","8.43"
"10.432","3.69","-0.27","-7.53"
"10.434","14.83","4.39","2.43"
"10.436","15.30","5.22","2.31"
"10.573","14.71","0.86","-0.94"
"10.575","16.48","-1.69","-0.86"
"10.576","8.98","0.86","0.43"
"10.578","5.65","2.31","-4.20"
"10.719","0.67","1.84","-4.35"
"10.721",".78","-0.47","-3.45"
"10.722",".10","-2.04","-2.43"
"10.724","0.63","0.98","-6.51"
"10.725","9.57","3.26","-6.51"
"10.864","20.01","11.14","2.86"
"10.866","20.01","-9.49","11.69"
"10.867","18.67","-0.59","0.63"
"10.869","13.57","1.53","-2.94"
"11.007","-9.53","0.71","2.59"
"11.009","5.30","-3.80","-0.43"
"11.01",".51","-1.53","0.20"
"11.012",".98","-0.12","-6.79"
"11.013","0.16","0.35","-1.88"
"11.152","4.98","0.75","-2.39"
