NAME:,run2,,
EXPERIMENT TIME:,24-05-22 16:40,,
Activity,Running,,
COUNT OF ACTUAL STEPS,125,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.51,6.28,3.92
0.044,-7.1,6.04,1.53
0.088,-9.85,10.08,3.53
0.133,-8.04,11.96,5.02
0.178,-8.32,11.26,2.63
0.222,-8.04,7.3,1.06
0.266,-5.77,9.14,0.16
0.309,-3.26,6,0.16
0.354,-2.55,1.37,-0.43
0.399,-0.9,0.51,-0.31
0.444,-7.02,1.77,16.79
0.49,-14.67,9.92,-3.18
0.534,-4.67,10.08,6.55
0.58,-16.55,15.02,4.51
0.626,-10.16,11.14,3.49
0.67,-7.85,8.47,1.57
0.715,-2.82,4.75,-0.12
0.759,-0.63,0.08,-2.12
0.804,-2.12,-1.22,0.2
0.849,-2.98,0.55,-0.71
0.895,-12.55,0.39,11.22
0.942,-14,10.94,16.32
0.987,-15.3,12.91,2.35
1.033,-12.87,17.89,8.75
1.077,-8.28,8.08,0.55
1.121,-3.96,6.04,0.78
1.166,0.16,-1.61,-1.96
1.21,0.59,-2.67,-0.59
1.254,-1.22,0.82,0.43
1.298,-3.06,0.35,1.88
1.343,-3.49,4.94,20.01
1.39,-20.01,14.4,20.01
1.435,-6.75,15.34,11.06
1.481,-14.59,16.08,2.31
1.526,-3.33,0,-2.9
1.571,4.79,-3.69,-2.31
1.616,0.24,-1.02,-1.41
1.659,-5.18,0.04,0.24
1.705,-1.22,-1.29,-0.12
1.75,-9.02,9.61,15.97
1.797,-20.01,16.71,17.89
1.843,-14.87,14.32,9.22
1.888,-12.28,15.65,7.92
1.933,-6.86,4.08,-1.53
1.978,1.57,-1.1,-1.61
2.023,1.1,-4,-1.88
2.068,-1.65,-0.27,0.78
2.111,-2.71,0.39,0
2.155,0,2.98,-3.61
2.201,-20.01,3.69,20.01
2.248,-20.01,19.93,14.67
2.292,-4.82,6.59,4.43
2.338,-10.9,12.4,-1.22
2.383,-1.1,2.79,-2
2.428,0.27,-1.53,-3.53
2.472,-1.14,0.39,2
2.518,-2.59,-1.49,-1.77
2.562,-7.26,1.77,-2.12
2.607,-1.57,11.18,2.71690622
2.745,-10.4,13.18,5.02690759
2.833,0.71,0.16,-2.98
2.878,-1.18,0.27,-1.18690891
3.104,-10,13.06,8.83
3.15,-12.67,12.47,2.31
3.194,-6.9,9.49,2.43
3.237,-1.53,1.02,0.67
3.282,0.08,-2,-3.26
3.326,-1.92,1.18,1.77
3.371,-2.08,1.22,-0.67
3.418,-20.01,-1.1,17.65
3.465,-19.81,16.24,16.44
3.509,-12.28,9.34,2.43
3.555,-11.89,15.18,6.79
3.599,-7.37,7.18,1.69
3.644,-4.86,4.59,-0.9
3.688,-0.31,0.39,-1.53
3.734,-1.29,-1.22,-0.75
3.779,-1.61,-1.53,0.75
3.824,-5.1,0.51,-6.79
3.87,-20.01,8.55,20.01
3.916,-20.01,15.89,3.1
3.959,-3.73,9.69,3.92
4.005,-16.51,17.89,2.16
4.049,-4.16,7.34,0.55
4.093,0.04,2.35,-0.98
4.138,-1.29,-2.94,-3.53
4.182,-4.75,0.27,0.27
4.226,1.02,0.82,-0.59
4.273,-19.02,-0.12,12.87
4.32,-18.48,20.01,13.81
4.366,-11.1,9.92,-0.78
4.411,-11.92,14.98,6
4.455,-7.06,6.83,0.27
4.5,-2.16,3.26,-1.02
4.546,-0.16,-1.22,-0.98
4.591,-1.69,-1.57,0.78
4.634,-1.73,0.59,2.12
4.68,-17.93,11.3,0.78
4.727,-13.02,13.38,11.38
4.773,-11.96,15.18,7.26
4.819,-11.34,13.61,3.65
4.862,-4.9,5.02,0.67
4.906,1.65,0.82,-1.33
4.951,0.47,-2.39,-2.35
4.995,-4.2,0.78,1.49
5.038,-6.24,0.27,0.35
5.083,-0.75,12.98,9.77
5.129,-16.2,9.18,-2.12
5.175,-14.47,15.34,5.88
5.221,-10.24,10.51,5.26
5.265,-5.84,6.55,0.78
5.309,-0.82,0.08,-2.71
5.354,0.2,-2.24,-2.67
5.399,-1.96,-1.1,0.51
5.444,-1.65,0.27,-0.27
5.488,-6,2,20.01
5.535,-20.01,15.42,13.69
5.58,-7.02,11.45,8.55
5.626,-15.57,15.77,4.71
5.671,-7.02,11.49,2.94
5.715,2.43,0.31,-1.84
5.759,0.04,-3.3,-3.92
5.803,-4.67,0.04,1.84
5.847,2.82,2.35,-0.24
5.89,1.45,2.59,0.67
5.934,-20.01,5.41,9.22
5.981,-20.01,20.01,19.73
6.027,-13.06,4.24,-0.43
6.072,-9.02,16.32,7.18
6.117,-7.49,4.47,-2.63
6.16,0.51,0.94,-2.08
6.206,-0.63,-0.71,-0.67
6.251,-1.18,-2.51,1.22
6.295,-4.82,2.08,7.73
6.342,-19.22,20.01,-7.73
6.386,-4,13.1,4.75
6.432,-15.14,15.57,5.41
6.478,-10.2,12.24,2.31
