NAME:,run_4_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:57,,
ACTIVITY TYPE:,Running,,
Count of actual steps:,156,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
929.84,16,3.96,8.63
929.89,9.18,2.59,8.28
929.94,8.63,7.69,6.94
929.99,6.24,8.71,4.51
930.04,3.53,6.98,2.75
930.09,0.71,5.14,2.2
930.14,-0.78,5.84,3.41
930.19,1.02,6.35,4.12
930.24,7.1,9.3,6.12
930.29,11.34,12.55,10.4
930.35,12.59,12.2,11.77
930.4,9.57,5.41,7.34
930.45,4.24,1.37,4.94
930.5,2,0.31,3.8
930.55,2.94,-0.04,3.53
930.6,6,0.98,5.37
930.65,11.06,2.82,6.86
930.7,13.38,8.83,10.43
930.75,9.73,11.85,10.59
930.8,5.26,7.88,7.34
930.86,1.53,3.65,5.33
930.91,0.86,2.75,5.33
930.96,0.86,4.39,4.94
931.01,3.77,8.67,6.2
931.06,8.55,12.04,8.39
931.11,11.26,14.83,9.26
931.16,10.04,8.36,8.51
931.21,6.2,3.45,6.83
931.26,4.82,0.59,3.96
931.32,4.98,-1.18,3.3
931.37,7.06,1.73,2.82
931.42,10.83,-0.08,4.28
931.47,9.53,5.61,5.26
931.52,7.45,10.47,5.3
931.57,4.79,8.04,4.82
931.62,3.69,5.53,4.24
931.67,2.16,4.2,3.41
931.72,2,8.12,5.14
931.77,5.57,10,5.61
931.83,10.63,10.55,7.96
931.88,13.38,12.63,11.26
931.93,15.77,8.59,9.61
931.98,9.3,3.84,5.53
932.03,5.3,1.69,3.88
932.08,4.2,-0.12,2.9
932.13,4.16,-0.98,3.65
932.18,7.3,2.04,4.04
932.23,10.98,3.45,5.92
932.28,11.34,11.49,8.55
932.34,7.96,12.08,6.55
932.39,2.94,6.28,4.24
932.44,1.18,7.57,3.96
932.49,-0.63,7.69,2.31
932.54,0.59,7.18,3.37
932.59,6.16,10.98,7.81
932.64,11.45,12.51,11.77
932.69,13.18,11.3,12.71
932.74,7.45,4.51,6.12
932.79,4.16,0.9,3.84
932.84,3.37,-0.59,3.57
932.9,3.14,-1.84,3.14
932.95,4.28,0.08,3.65
933,12.59,-1.61,11.1
933.05,13.06,14.36,10.24
933.1,4.9,16.32,7.88
933.15,2.39,5.96,4.43
933.2,2.82,3.26,2.16
933.25,1.69,4.35,2.2
933.3,2.79,6.35,4.82
933.35,8.2,8.94,9.1
933.41,12.91,8.04,9.45
933.46,12.94,10.87,12.71
933.51,13.42,6.39,8.59
933.56,7.26,3.26,5.57
933.61,3.02,1.26,4.2
933.66,2.31,-0.04,3.41
933.71,2.94,-0.16,4.31
933.76,6.83,4.75,8.98
933.81,13.65,5.14,7.1
933.86,13.45,9.73,6.71
933.92,7.81,11.57,6.98
933.97,2.2,6.12,4.47
934.02,-1.18,5.73,4.24
934.07,0,6.67,4.24
934.12,4.24,7.53,4.86
934.17,7.22,8.71,7.34
934.22,8.16,14.04,10.9
934.27,10.43,11.96,10.16
934.32,8.55,6.47,6.12
934.37,5.69,1.8,5.1
934.43,3.65,-1.45,3.96
934.48,3.65,-0.86,4.67
934.53,8.24,0.24,7.14
934.58,12.75,5.92,6.51
934.63,10.71,14.71,6.43
934.68,8.67,12.32,6.2
934.73,3.61,6.16,5.61
934.78,-0.9,4.86,4.16
934.83,-0.12,6.83,3.77
934.89,1.84,7.53,5.14
934.94,8.67,6.35,9.1
934.99,13.18,9.92,15.42
935.04,15.06,5.57,14.71
935.09,9.41,2.47,10.08
935.14,3.1,1.49,6.71
935.19,2.47,-0.16,4.47
935.24,3.14,-1.88,2.75
935.29,4.98,0.04,4.79
