"NAME:","run_2.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","157"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"809.23","-9.34","3.96","1.22"
"809.34","-8.47","4.59","1.80"
"809.43","-8.51","4.51","1.80"
"809.53","-8.71","4.20","1.80"
"809.64","-8.32","4.71","2.16"
"809.73","-7.96","4.47","2.63"
"809.84","-7.77","4.98","3.02"
"809.93","-6.35","4.55","3.41"
"810.03","-5.96","3.10","5.10"
"810.14","-11.73","7.81","4.31"
"810.24","-7.85","1.84","0.35"
"810.34","-11.96","6.59","-0.90"
"810.44","-11.49","6.94","-0.75"
"810.54","-6.12","1.96","-0.39"
"810.65","-1.02","3.73","-1.92"
"810.75","-20.01","-0.59","5.10"
"810.85","-12.79","7.69","2.79"
"810.96","-0.47","4.71","-1.77"
"811.06","-2.16","-6.12","-0.55"
"811.16","-19.97","16.00","-4.59"
"811.27","-15.34","4.71","-2.39"
"811.37","-5.22","2.79","0.27"
"811.47","-1.53","1.49","-3.02"
"811.57","-15.57","-4.75","3.84"
"811.68","-12.51","11.81","4.98"
"811.78","0.04","-2.00","0.08"
"811.88","-1.53","-5.53","-1.77"
"811.99","-11.38","14.75","-2.12"
"812.09","-13.38","2.90","-0.08"
"812.20","-0.47","2.08","-3.26"
"812.30","-3.26","-4.75","6.71"
"812.40","-19.02","13.45","5.02"
"812.51","-2.55","5.81","-0.04"
"812.61","-1.37","-3.88","-1.02"
"812.71","-20.01","2.12","8.79"
"812.81","-16.28","5.88","1.61"
"812.92","-6.67","2.79","1.49"
"813.02","-1.80","2.00","-1.22"
"813.12","-20.01","-6.51","9.77"
"813.22","-11.49","11.45","5.30"
"813.33","0.90","-1.80","0.51"
"813.43","-1.57","-5.77","-2.20"
"813.53","-12.67","15.14","-6.35"
"813.64","-13.14","5.26","1.61"
"813.74","1.80","2.31","-1.73"
"813.84","-13.45","-1.37","-3.06"
"813.95","-16.24","8.87","7.92"
"814.05","-0.39","2.90","-2.04"
"814.15","-1.88","-3.88","-0.16"
"814.25","-20.01","20.01","-5.37"
"814.36","-14.47","6.35","-1.84"
"814.46","-0.71","2.35","-4.82"
"814.57","-2.94","-5.61","-1.18"
"814.67","-18.48","10.20","4.59"
"814.77","-4.51","8.00","0.94"
"814.87","-1.80","-6.98","0.78"
"814.98","-8.12","-1.77","2.98"
"815.08","-13.93","5.37","2.16"
"815.18","-9.10","3.26","3.92"
"815.28","0.82","1.84","-0.67"
"815.38","-20.01","6.90","5.49"
"815.48","-14.55","10.83","5.37"
"815.59","1.69","0.86","-2.16"
"815.69","1.06","-4.31","1.18"
"815.79","-20.01","17.85","-6.39"
"815.89","-15.49","1.73","-2.24"
"816.00","0.08","0.59","-4.08"
"816.10","-1.69","-5.18","3.18"
"816.20","-18.75","16.75","4.47"
"816.30","-0.90","5.77","-0.63"
"816.41","-3.14","-3.77","-1.29"
"816.51","-20.01","11.49","4.35"
"816.61","-14.75","7.77","-1.65"
"816.72","-5.37","1.10","-1.49"
"816.82","0.04","-1.29","-2.79"
"816.92","-12.83","-1.77","1.49"
"817.03","-6.04","9.10","3.14"
"817.13","-0.04","-4.94","0.04"
"817.23","-5.84","-5.45","0.90"
"817.33","-12.67","7.14","0.82"
"817.43","-9.18","2.51","5.30"
"817.53","0.20","2.79","-0.86"
"817.63","-20.01","8.83","2.08"
"817.73","-14.47","11.02","6.90"
"817.84","2.51","-0.47","-1.69"
"817.94","0.86","-5.02","0.94"
"818.04","-17.50","20.01","-7.77"
"818.15","-14.12","2.39","0.20"
"818.25","-0.43","0.27","-3.26"
"818.35","-3.61","-5.69","1.29"
"818.45","-19.02","13.81","4.63"
"818.56","-1.65","5.88","-2.63"
"818.66","-3.18","-4.82","0.16"
"818.76","-20.01","4.31","10.51"
"818.87","-18.71","7.22","0.94"
"818.97","-2.82","1.02","-2.98"
"819.07","0.35","-2.35","-1.73"
"819.17","-14.95","-0.98","0.71"
"819.28","-6.43","8.83","3.41"
"819.38","1.14","-4.94","0.51"
"819.48","-7.30","-6.00","1.92"
"819.58","-12.24","7.61","-0.67"
"819.68","-9.34","1.06","3.57"
"819.78","1.26","2.71","-0.86"
"819.88","-20.01","2.16","-2.51"
"819.99","-15.46","10.04","7.02"
"820.09","1.06","0.71","-3.37"
"820.19","3.14","-4.98","1.14"
"820.29","-19.73","18.24","-5.18"
"820.40","-13.61","2.43","-2.98"
"820.50","0.12","-0.31","-1.65"
"820.60","-4.43","-4.08","5.81"
"820.71","-18.71","14.79","4.20"
"820.81","0.35","3.26","-2.28"
"820.91","-3.14","-4.47","-0.71"
"821.01","-19.77","11.81","1.77"
"821.12","-17.10","4.08","-0.94"
"821.22","-3.26","2.71","-2.75"
"821.32","-1.22","-2.20","-5.37"
"821.43","-17.69","8.63","-5.88"
"821.53","-5.81","9.73","1.73"
"821.63","4.98","-6.86","0.20"
"821.73","-6.63","-8.94","-2.71"
"821.84","-9.02","11.18","0.12"
"821.94","-11.26","4.59","3.18"
"822.04","3.30","1.53","-2.16"
"822.14","-13.85","0.55","-3.33"
"822.24","-15.93","8.28","8.00"
"822.35","0.63","3.45","-3.18"
"822.45","-0.04","-7.10","-0.63"
"822.55","-20.01","20.01","-2.82"
"822.66","-17.18","5.73","-3.84"
"822.76","-1.65","0.24","-4.20"
"822.86","-0.71","-2.55","-4.90"
"822.97","-18.24","13.69","1.10"
"823.07","-5.30","7.65","1.61"
"823.17","0.90","-6.35","-0.51"
"823.27","-13.30","1.02","0.00"
"823.38","-14.87","4.86","3.22"
"823.48","-6.04","0.47","10.00"
"823.58","-2.16","0.16","-0.98"
"823.68","-20.01","-6.47","7.65"
"823.79","-14.32","9.85","3.18"
"823.89","2.90","-3.02","0.12"
"823.99","-1.10","-3.33","0.31"
"824.09","-16.83","20.01","-10.12"
"824.20","-12.79","2.75","1.45"
"824.30","1.18","0.82","-3.02"
"824.40","-2.82","-4.71","2.43"
"824.50","-17.73","12.71","7.81"
"824.61","-0.71","5.02","-3.02"
"824.71","-3.14","-5.73","1.10"
"824.81","-20.01","14.36","-1.80"
"824.92","-15.77","4.20","-5.41"
"825.02","-1.65","0.47","-3.33"
"825.12","-1.37","-4.94","-4.20"
