NAME:,run_3_1.csv,,
EXPERIMENT TIME:,25-05-22 18:17,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,136,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.034,-0.98,-1.18,10.43
0.043,-1.22,-1.33,10.47
0.068,-0.94,-1.02,10.28
0.1,-1.18,-1.33,10.32
0.133,-1.06,-1.33,10.2
0.207,-1.26,-1.29,10.36
0.229,-1.22,-1.29,10.24
0.275,-1.33,-1.33,10.2
0.296,-1.45,-1.26,10.2
0.346,-1.37,-1.26,10.36
0.363,-1.37,-1.29,10.04
0.426,-1.84,-1.73,10.4
0.444,-1.45,-2.04,10.36
0.447,-1.57,-2.67,10.24
0.474,-1.14,-3.49,10.28
0.507,-0.47,-2.55,10.67
0.542,0.27,-1.77,10
0.575,0.71,-1.26,9.65
0.907,0.9,-0.94,10.24
0.928,0.59,-0.75,10.83
1.393,1.18,-1.22,10.79
1.461,0.16,-2.51,9.85
1.533,0.12,-3.26,9.92
1.561,-0.59,-3.37,9.96
1.573,0.04,-3.8,9.81
1.587,-1.88,0.82,9.65
1.623,-1.57,0.94,10.4
1.655,-1.41,2.28,10
1.675,-0.43,2.47,13.42
1.729,0.27,1.69,14.16
1.761,1.8,0.08,11.69
1.795,-1.02,2.08,7.26
1.826,-2.51,2.04,4.67
1.859,-3.06,2.75,9.92
1.893,-3.84,0.16,10.2
1.928,-4.59,-2.79,13.81
1.961,-1.92,-5.69,17.34
1.993,0.16,-3.65,17.22
2.066,1.53,-1.57,16.16
2.135,-0.39,-0.08,13.42
2.201,5.69,-6.75,7.53
2.223,4.71,-4.67,5.84
2.255,-0.86,2.82,-0.08
2.273,-0.39,2.2,3.18
2.291,2.67,2.35,20.01
2.304,-0.16,3.57,12.75
2.359,4.16,-7.14,10.87
2.39,2.63,-6.35,18.67
2.405,-3.37,3.53,16.28
2.492,2.12,2.75,11.57
2.558,-3.73,-1.29,0.82
2.572,-2.86,-0.86,1.18
2.589,2.35,-0.16,1.06
2.623,-13.61,-0.31,7.53
2.656,1.1,4.55,20.01
2.693,-2.43,-11.81,20.01
2.725,7.06,-5.22,17.53
2.759,-1.92,4.71,15.81
2.791,2.24,-2.79,10.75
2.822,4.9,-2.43,4.16
2.857,-0.04,1.73,0.27
2.892,0.39,-5.02,-1.84
2.924,-0.47,-0.86,0.24
2.956,0.82,-0.86,6.75
2.989,-4.16,-6.63,6.9
3.022,9.65,-3.14,20.01
3.038,10.51,1.92,-3.92
3.087,10.16,-8.71,20.01
3.118,-6.9,-5.69,14.28
3.149,-4.12,3.3,11.57
3.183,-0.75,1.8,10.12
3.214,-2,-1.26,8.24
3.247,-4.16,1.53,4.75
3.284,0.16,0.31,-2.67
3.317,-1.73,0.04,1.84
3.348,-1.84,-1.65,2.63
3.382,-17.53,-2.43,8.87
3.406,-2.55,-1.57,20.01
3.427,-6.51,-9.92,20.01
3.463,5.06,-8.9,18.4
3.496,-0.39,1.92,16.12
3.528,3.22,-4.82,11.85
3.56,1.1,-0.59,4.43
3.596,1.22,3.02,0.39
3.625,-0.16,-3.45,-3.65
3.661,-1.1,-0.47,-0.43
3.694,-1.33,-1.02,6.86
3.768,-15.18,-9.85,20.01
3.785,13.38,5.06,12.83
3.834,6.24,1.8,0.35
3.851,0.82,-3.3,17.06
3.872,6.63,-8.83,17.3
3.886,-4.51,-0.16,18.36
3.945,0.55,3.1,6.94
4.01,-0.2,-2.12,-0.12
4.037,-3.22,-0.08,1.1
4.078,-4.79,-0.59,1.8
4.103,-6.83,-0.2,4
4.125,1.37,-1.1,20.01
4.166,8,-4.2,19.97
4.199,-1.65,1.84,17.53
4.236,2,-0.98,10.16
4.267,-0.75,-0.12,3.84
4.298,-1.96,0.63,0.24
4.343,1.49,-4.04,-3.8
4.368,0.31,-1.06,-0.35
4.392,-1.53,-0.71,6.39
4.427,-20.01,-8.79,20.01
4.459,-13.81,7.22,20.01
4.492,2.63,1.65,15.26
4.524,2.24,-4.9,6.51
4.557,3.61,-7.65,20.01
4.59,-0.78,0.71,13.53
4.627,-4.63,2.82,7.81
4.659,-1.8,-1.26,4.24
4.683,-2.12,-2.55,-0.9
4.718,-1.61,-2.98,0.16
4.751,-1.18,-1.57,2.63
4.784,-7.96,-0.71,7.26
4.821,-9.3,7.18,20.01
4.853,4.51,-8.43,18.2
4.886,5.69,-6.63,16.91
4.918,0.27,3.73,13.69
4.95,1.77,-4.59,10
4.965,2.04,1.14,3.92
5.035,-0.67,1.69,0.67
5.071,0.31,-1.88,-2.28
5.101,-0.59,-0.9,-0.2
5.131,-7.37,-6.47,9.38
5.149,8.83,-2.24,20.01
5.16,5.96,2.75,-3.77
5.186,4.2,-2.71,11.85
5.219,3.37,-6.55,20.01
5.251,-1.18,2.2,17.93
5.284,-1.77,2.55,10.12
