NAME:,team10 run1,,
EXPERIMENT TIME:,Mon May 23 14:18:29 GMT+03:00 2022,,
ACTIVITY TYPE:,Run,,
COUNT OF ACTUAL STEPS:,132,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,4.4,10.44,-7.5
0.1,1.99,7.99,-7.15
0.2,0.84,6.04,-7.5
0.3,-0.88,7.84,-8.49
0.4,0.69,5.32,-8.8
0.5,6.12,7.57,-6.46
0.6,3.29,15.11,-8.11
0.7,2.49,12.58,-8.87
0.8,0.31,4.67,-5.16
0.9,-0.54,0.5,-0.57
1,3.17,14,-5.43
1.1,0.5,13,-12.43
1.2,1.91,4.97,-6.77
1.3,-2.29,-2.75,-0.6172471
1.5,-3.14,14.95,-11.47
1.6,2.07,12.62,-7.69
1.7,0.84,1.07,-1.99
1.8,1.49,2.52,-3.86
1.9,13.27,13.16,-9.22
2,0.65,6.77,-9.52
2.1,-3.4,-2.94,-2.22
2.2,5.66,5.66,-8.68
2.3,5.28,11.17,-9.22
2.4,-1.57,10.06,-7.65
2.5,1.11,0.88,-0.54
2.6,2.6,19.51,-1.64
2.7,0.96,12.12,-8.26
2.8,-1.49,2.75,-5.47
2.9,-1.11,-2.1,1.45
3,14.5,19.51,-15.91
3.1,8.15,18.13,-10.44
3.2,1.07,1.11,-3.6
3.3,0.08,0.88,0
3.4,1.68,19.51,-1.42
3.5,0.69,14.72,-10.71
3.6,-0.73,2.52,-5.7
3.7,-2.45,-1.61,-0.04
3.8,14.92,18.78,-15.8
3.9,8.45,17.29,-12.85
4,0.5,5.62,-6.85
4.1,1.42,1.76,-0.54
4.2,-0.92,15.72,-5.32
4.3,1.68,15.76,-9.83
4.4,0.11,5.51,-7.61
4.5,-2.83,-2.1,-0.65
4.6,2.98,12.24,-6.62
4.7,3.4,12.81,-11.51
4.8,-2.03,11.78,-9.1
4.9,-0.27,3.37,-0.57
5,-0.92,0,-1.99
5.1,7.57,19.51,-6.88
5.2,2.98,14.84,-14.5
5.3,-1.07,2.72,-3.29
5.4,-1.84,0.04,-1.22
5.5,8.99,16.03,-8.87
5.6,5.51,17.48,-9.98
5.7,-0.69,6.2,-4.25
5.8,0.76,1.53,1.15
5.9,1.15,14.84,-2.49
6,1.34,12.24,-11.01
6.1,-0.84,3.1,-8.11
6.2,-0.23,-3.17,-2.6
6.3,9.45,19.51,-9.83
6.4,5.7,18.59,-11.4772522
6.6,1.07,2.26,-0.6172524
6.8,2.6,16.45,-14.3
6.9,-4.55,-2.29,0.8
7,2.83,1.42,-3.17
7.1,-2.6,12.77,-9.83
7.2,-2.18,18.55,-10.14
7.3,2.98,0.92,-2.07
7.4,0.31,1.76,-2.83
7.5,13.73,19.51,-12.74
7.6,2.72,7.38,-10.63
7.7,-4.21,-2.75,-1.61
7.8,7.76,8.91,1.91
7.9,-1.72,10.4,-9.52
8,-0.54,10.67,-7.99
8.1,-0.31,0.54,0
8.2,-0.23,1.95,-3.1
8.3,9.75,18.89,-13.12
8.4,1.8,8.95,-10.17
8.5,-4.13,-3.02,-0.65
8.6,9.41,8.53,2.37
8.7,2.26,7.19,-12.35
8.8,0.61,10.79,-8.07
8.9,2.98,0.08,-1.49
9,1.15,1.95,-2.07
9.1,12.89,14.92,-12.51
9.2,4.4,12.32,-13.88
9.3,-1.72,-2.79,-2.79
9.4,1.53,-0.38,-2.18
9.5,1.42,13.62,-5.62
9.6,3.75,12.24,-7.73
9.7,0.92,2.91,-4.93
9.8,-0.31,2.72,-1.64
9.9,9.98,19.51,-4.74
10,3.67,16.06,-11.63
10.1,0.38,1.91,-4.32
10.2,-1.03,-0.19,-0.38
10.3,7.38,19.51,-11.32
10.4,8.38,14.5,-9.33
10.5,1.19,5.39,-7.11
10.6,0.5,0.96,-0.54
10.7,7.73,17.36,-1.95
10.8,6.46,13.69,-8.72
10.9,0.08,3.98,-3.86
11,-1.07,-0.08,-1.11
11.1,7.8,19.51,-13
11.2,4.17,19.05,-12.7
11.3,-0.31,6.31,-6.54
11.4,2.03,2.49,0.99
11.5,1.87,14.61,-6.43
11.6,5.12,16.14,-12.66
11.7,0.69,2.56,-5.5572575
12,-6.88,19.51,-0.38
12.1,-0.54,19.51,-5.66
12.2,0.61,3.4,-1.61
12.3,-0.23,0.96,-2.18
12.4,14.19,19.51,-17.17
12.5,0.84,11.82,-10.48
12.6,-3.44,-3.06,0.92
12.7,7,10.14,3.9
12.8,2.07,4.13,-10.52
12.9,-1.45,6.2,-6.5
13,-0.19,1.34,-0.5
13.1,4.02,15.45,5.58
13.2,4.55,16.56,-7.73
13.3,2.41,1.15,-4.25
13.4,-5.47,-2.68,1.76
13.5,15.95,14.57,-17.67
13.6,4.93,14.11,-9.83
13.7,0.8,1.26,-3.98
13.8,2.03,1.99,-0.84
13.9,2.03,18.78,-14.61
