NAME: ,team10 run2,,
EXPERIMENT TIME: ,Mon May 23 14:21:04 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,3.44,7.61,4.13
0.1,2.6,7.57,4.67
0.2,2.91,7.08,4.59
0.3,2.98,6.85,4.78
0.4,1.22,6.5,2.75
0.5,2.87,7.38,3.14
0.6,1.49,11.78,5.55
0.7,1.3,11.47,5.01
0.8,2.18,4.74,0.38
0.9,1.91,0.11,0.04
1,6.46,14.61,11.32
1.1,3.52,15.34,7.42
1.2,-2.18,0.04,-3.33
1.3,2.64,0.61,-4.05
1.4,-2.1,8.18,6.2
1.5,-1.95,19.51,5.51
1.6,1.42,2.64,-0.27
1.7,-1.34,0.08,-2.64
1.8,9.68,13.31,14.07
1.9,-0.88,19.51,8.3473956
2.2,-7.65,19.51,3.82
2.3,4.82,19.51,7.27
2.4,-0.65,10.33,1.53
2.5,0.15,0.04,-0.84
2.6,1.11,15.11,14.84
2.7,-0.11,14.19,4.82
2.8,-2.03,2.56,-2.37
2.9,3.71,-3.9,-1.95
3,-7.65,19.51,9.06
3.1,5.7,19.51,8.34
3.2,-3.82,4.7,1.03
3.3,1.68,0.84,0.69
3.4,-3.21,13.16,17.55
3.5,-4.93,16.03,6.69
3.6,4.47,10.14,2.07
3.7,-2.64,0.15,-3.63
3.8,4.7,-7.69,15.37
3.9,-0.69,4.59,2.03
4,-3.48,17.55,5.2
4.1,-1.3,0.34,2.1
4.2,0.23,-1.26,7.57
4.3,4.09,16.29,10.48
4.4,0.46,12.51,-1.42
4.5,2.07,1.07,-3.98
4.6,7.65,9.06,6.88
4.7,2.64,8.57,1.64
4.8,-1.68,7.34,-0.84
4.9,2.72,1.95,0.69
5,-0.61,13.42,15.03
5.1,-0.69,19.43,2.68
5.2,-5.62,-1.07,-1.95
5.3,3.86,-4.74,-3.9
5.4,1.22,10.33,13.85
5.5,3.06,16.75,16.9
5.6,4.36,4.36,4.51
5.7,0.38,0.73,-1.19
5.8,5.74,17.13,12.66
5.9,-1.03,19.51,3.02
6,0.08,-3.33,-4.74
6.1,1.72,-1.49,-1.8
6.2,-8.03,12.24,5.01
6.3,0.46,17.29,4.63
6.4,1.22,4.02,-1.84
6.5,0.76,2.37,-0.54
6.6,10.86,17.78,8.22
6.7,-1.61,18.51,2.56
6.8,-0.46,2.14,-3.29
6.9,1.49,-1.68,-4.25
7,-10.94,17.06,7.19
7.1,0.54,17.06,2.0374008
7.4,4.7,13.65,3.6774011
7.7,0.08,-3.52,-0.31
7.8,12.01,12.12,-1.3474015
8.1,0.15,0.88,0.27
8.2,1.95,10.33,5.9774019
8.4,-0.31,11.28,-1.3874021
8.6,3.79,3.48,-1.3
8.7,-1.64,14.38,6.31
8.8,-0.27,16.79,1.76
8.9,7.11,16.22,-3.14
9,-1.95,1.84,-5.12
9.1,7.46,18.86,14.19
9.2,1.19,14.57,1.49
9.3,-2.68,-0.65,1.22
9.4,6,8.03,5.32
9.5,0.92,4.55,12.58
9.6,-1.42,7.38,5.93
9.7,-1.03,-0.27,3.17
9.8,3.44,-1.45,13.92
9.9,-0.57,9.33,18.09
10,-2.79,8.38,7.34
10.1,-0.76,2.52,-3.06
10.2,3.79,-3.29,6.31
10.3,-1.68,5.7,13.19
10.4,-1.45,9.56,16.9
10.5,2.68,3.06,-0.73
10.6,0.15,0.99,0.34
10.7,8.68,7.65,16.29
10.8,2.18,13.19,16.33
10.9,-1.57,2.52,-1.3
11,3.4,-1.11,-4.28
11.1,-18.4,8.3,12.39
11.2,4.13,12.58,15.91
11.3,-0.31,5.89,-1.57
11.4,-0.27,1.3,-1.26
11.5,-1.07,7.46,16.03
11.6,1.57,16.41,15.45
