NAME: ,team10 run4,,
EXPERIMENT TIME: ,Mon May 23 14:24:58 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,127,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.61,9.83,-1.22
0.1,0.69,9.68,-1.53
0.2,0.65,9.98,-0.27
0.3,1.03,9.18,-3.06
0.4,2.07,8.57,-3.37
0.5,1.76,14.34,-7.34
0.6,2.75,9.45,-5.55
0.7,1.84,5.24,-4.32
0.8,1.15,6.65,1.03
0.9,-2.6,19.51,-6.39
1,-2.68,18.17,-9.6
1.1,-1.64,9.75,-2.1
1.2,-0.73,-0.11,-2.79
1.3,-3.17,3.48,1.76
1.4,5.28,19.01,-2.33
1.5,2.37,9.75,-7.57
1.6,-1.11,-3.33,-1.19
1.7,1.72,5.01,7.3
1.8,-9.79,11.86,-3.63
1.9,-3.14,12.43,-4.17
2,0.42,1.95,-0.96
2.1,0.5,-1.91,-1.42
2.2,6.08,19.51,-2.94
2.3,3.1,15.99,-7.15
2.4,-3.37,-2.41,-1.8
2.5,0.34,5.32,2.64
2.6,-8.72,11.28,-1.76
2.7,-7.84,16.03,-6.81
2.8,-1.61,4.74,-0.38
2.9,-2.49,1.07,-1.72
3,9.75,19.35,-4.32
3.1,5.7,18.17,-6.73
3.2,-2.64,0.69,-1.8
3.3,1.95,1.07,-1.95
3.4,2.6,11.7,-3.75
3.5,3.71,19.51,-5.55
3.6,-2.56,14.23,-3.56
3.7,-1.64,2.72,2.0376199
4,2.49,16.25,-5.93
4.1,-2.22,-5.32,-1.11
4.2,0.88,4.02,-1.11
4.3,-7.92,7.96,-2.18
4.4,-6.58,19.51,-6.04
4.5,1.42,3.9,-1.87
4.6,1.15,1.22,-2.26
4.7,7.27,19.51,3.1
4.8,-0.5,19.51,-8.18
4.9,-1.11,-1.22,-4.25
5,3.63,1.64,-4.74
5.1,-18.13,3.02,-4.59
5.2,1.3,17.06,-12.09
5.3,-0.92,10.52,-2.6
5.4,0.31,0.11,-0.88
5.5,9.87,3.29,-10.75
5.6,3.82,19.51,-11.55
5.7,-2.79,1.19,-4.4
5.8,0.46,-1.34,-4.36
5.9,-8.99,19.51,-6.27
6,1.53,19.51,-9.91
6.1,0.15,9.71,-1.99
6.2,-1.07,-0.04,-1.45
6.3,-4.93,18.09,7.96
6.4,1.64,19.54,-4.82
6.5,1.76,5.05,-4.74
6.6,-1.72,-3.02,-2.56
6.7,-0.76,1.11,3.06
6.8,-3.52,11.93,-1.19
