"NAME:","run_3_2.csv"
"EXPERIMENT TIME:","25-05-2022 13:44"
"ACTIVITY TYPE:","Run"
"COUNT OF ACTUAL STEPS","110"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","1.45","-0.69","10.20"
"0.027","1.46","-0.69","10.21"
"0.054","1.46","-0.69","10.20"
"0.081","1.44","-0.65","10.17"
"0.108","1.44","-0.66","10.11"
"0.135","1.52","-0.69","10.05"
"0.162","1.56","-0.70","10.05"
"0.189","1.52","-0.67","10.12"
"0.216","1.45","-0.62","10.19"
"0.243","1.39","-0.56","10.23"
"0.27","1.39","-0.54","10.21"
"0.298","1.42","-0.52","10.18"
"0.325","1.46","-0.53","10.14"
"0.352","1.48","-0.55","10.18"
"0.379","1.42","-0.53","10.26"
"0.406","1.33","-0.49","10.32"
"0.433","1.27","-0.48","10.35"
"0.46","1.27","-0.49","10.30"
"0.487","1.31","-0.50","10.26"
"0.514","1.39","-0.53","10.21"
"0.541","1.42","-0.56","10.17"
"0.568","1.40","-0.58","10.12"
"0.595","1.37","-0.56","10.10"
"0.623","1.27","-0.55","10.11"
"0.65","1.20","-0.46","10.19"
"0.677","1.19","-0.32","10.24"
"0.704","1.27","-0.23","10.18"
"0.731","1.32","-0.21","10.07"
"0.758","1.27","-0.20","9.99"
"0.784","1.17","-0.18","9.98"
"0.81","1.09","-0.11","10.07"
"0.837","1.04","0.01","10.23"
"0.863","0.99","0.08","10.34"
"0.889","1.07","0.08","10.32"
"0.915","1.18","-0.04","10.21"
"0.942","1.20","-0.23","10.14"
"0.969","1.07","-0.35","10.14"
"0.996","0.97","-0.37","10.20"
"1.024","0.98","-0.38","10.23"
"1.051","1.07","-0.40","10.16"
"1.078","1.15","-0.50","9.97"
"1.104","1.21","-0.71","9.85"
"1.13","1.16","-0.91","9.91"
"1.156","0.96","-0.95","10.07"
"1.183","0.64","-0.72","10.27"
"1.21","0.41","-0.46","10.37"
"1.237","0.35","-0.45","10.35"
"1.264","0.49","-0.58","10.23"
"1.291","0.80","-0.76","10.13"
"1.318","1.10","-1.02","10.05"
"1.345","1.21","-1.28","9.98"
"1.371","1.27","-1.60","9.91"
"1.398","1.54","-1.89","9.81"
"1.424","2.25","-2.26","9.79"
"1.45","3.18","-2.89","9.76"
"1.476","3.84","-3.56","9.92"
"1.502","3.88","-3.91","10.37"
"1.529","3.44","-3.95","10.96"
"1.556","2.79","-3.81","11.32"
"1.583","2.42","-3.68","11.54"
"1.61","2.39","-3.61","11.69"
"1.637","2.49","-3.39","11.71"
"1.664","2.22","-3.02","11.61"
"1.691","1.20","-2.57","11.24"
"1.718","-0.00","-2.14","10.66"
"1.746","-0.74","-1.80","9.88"
"1.774","-0.76","-1.58","8.85"
"1.801","-0.53","-1.74","7.80"
"1.828","-0.53","-2.20","6.85"
"1.855","-0.58","-2.52","7.78"
"1.882","0.22","-2.17","8.82"
"1.908","1.26","-1.76","9.55"
"1.934","2.10","-1.78","9.98"
"1.96","2.79","-2.05","10.56"
"1.987","2.95","-2.13","11.54"
"2.014","2.78","-2.23","12.40"
"2.041","2.92","-2.29","12.73"
"2.068","3.16","-1.92","12.78"
"2.095","3.36","-1.31","12.64"
"2.122","3.31","-0.82","10.71"
"2.15","2.18","-0.95","8.80"
"2.176","0.58","-1.13","7.16"
