NAME:,run_1_1.csv,,
EXPERIMENT TIME:,24/05/2022 19:21,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1494.66,-9.41,2.59,2.08
1494.7,-8.9,2.86,2.04
1494.75,-9.45,2.55,2.12
1494.79,-9.1,2.47,2.04
1494.83,-9.34,2.63,2.12
1494.87,-9.18,2.39,1.8
1494.91,-9.26,2.59,2.2
1494.96,-9.14,2.55,2.08
1495,-9.3,2.59,2.12
1495.04,-9.1,2.51,1.96
1495.08,-9.18,2.71,2.16
1495.12,-9.06,2.63,1.77
1495.17,-9.38,2.75,2.12
1495.21,-9.06,2.94,1.96
1495.25,-9.06,2.67,1.77
1495.29,-9.41,2.47,1.73
1495.33,-8.9,2.67,2
1495.38,-9.41,2.55,2.08
1495.42,-9.3,2.55,1.49
1495.46,-9.38,2.67,1.69
1495.5,-9.26,2.51,1.65
1495.54,-9.3,2.39,2
1495.59,-8.87,2.67,2
1495.63,-9.26,2.82,2.16
1495.67,-9.26,2.47,1.77
1495.71,-9.1,2.59,1.88
1495.75,-9.14,2.31,1.84
1495.8,-9.65,2.2,2.12
1495.84,-9.14,2.51,2.2
1495.88,-9.1,2.94,2.43
1495.92,-9.34,2.43,2.04
1495.96,-9.3,2.04,1.88
1496.01,-9.22,2.35,1.96
1496.05,-9.06,2.39,2
1496.09,-8.9,2.08,2.04
1496.13,-8.94,2.67,2.28
1496.17,-9.41,2.63,2.71
1496.22,-9.1,1.84,2.51
1496.26,-8.55,2.55,2.04
1496.3,-9.14,2.79,2.12
1496.34,-9.53,1.96,2.16
1496.38,-9.18,2.12,1.61
1496.43,-9.22,2,1.73
1496.47,-8.71,2.55,1.96
1496.51,-9.41,1.57,1.8
1496.55,-9.53,1.96,1.22
1496.59,-9.57,0.94,0.98
1496.64,-8.67,1.73,2.51
1496.68,-9.81,2.2,4.12
1496.72,-11.45,3.84,3.33
1496.76,-11.77,2,2.31
1496.8,-11.81,2.63,1.8
1496.85,-10.71,0.55,-0.98
1496.89,-9.38,-1.53,-4.59
1496.93,-8.71,-3.26,-1.49
1496.97,-7.92,1.18,-0.63
1497.01,-13.49,4.39,3.61
1497.06,-20.01,13.26,6.59
1497.1,-11.34,1.73,0.78
1497.14,-17.97,0.82,-4.08
1497.18,-15.61,3.53,-0.35
1497.22,-6.43,2,1.57
1497.27,-0.9,-0.27,-0.27
1497.31,-0.39,-2.31,-1.22
1497.35,-2.63,-1.96,-1.49
1497.39,2.28,3.22,-3.49
1497.43,-13.65,12.16,4.2
1497.48,-13.81,6.98,4.08
1497.52,-5.53,0.04,2.63
1497.56,-17.42,5.53,1.61
1497.6,-18.63,6.39,5.3
1497.64,-13.1,2.24,-1.06
1497.69,-14.12,-1.92,-5.81
1497.73,-2.98,-3.65,-7.1
1497.77,-3.57,-1.8,-7.41
1497.81,-2.47,-0.12,-1.8
1497.85,-13.26,2.51,4.51
1497.9,-20.01,20.01,20.01
1497.94,-14.51,-2.67,3.65
1497.98,-11.57,1.96,2.43
1498.02,-12.04,1.69,-2.71
1498.06,-4.55,1.26,0.55
1498.11,2.08,-0.39,0.63
1498.15,4.04,-1.73,-0.2
