"NAME:","run_1_2.csv"
"EXPERIMENT TIME:","2022-05-25 22:19"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","154"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"1031.964","0.24","3.88","3.65"
"1031.996","0.00","0.67","-2.00"
"1032.028","1.80","-13.77","-2.79"
"1032.06","7.45","-20.01","-2.55"
"1032.092","-8.98","-20.01","16.99"
"1032.124","1.14","-15.18","1.02"
"1032.156","4.47","-13.77","-1.33"
"1032.188","3.53","-9.18","1.10"
"1032.22","1.84","-2.55","4.90"
"1032.252","1.14","-0.78","-1.06"
"1032.284","-1.18","2.28","-3.73"
"1032.316","-2.82","6.71","2.35"
"1032.348","-1.10","0.12","-1.10"
"1032.38","0.00","-3.92","5.41"
"1032.412","-2.79","-20.01","2.63"
"1032.444","2.35","-19.26","4.82"
"1032.476","2.94","-16.16","2.55"
"1032.508","-1.96","-20.01","1.96"
"1032.54","2.31","-15.06","0.71"
"1032.572","3.10","-11.61","5.81"
"1032.602","1.22","-10.04","2.901032632"
"1032.754","1.33","0.86","-2.82"
"1032.786","3.88","0.31","-1.33"
"1032.818","3.77","-12.67","-8.28"
"1032.85","-0.71","-20.01","-11.49"
"1032.882","-4.47","-20.01","20.01"
"1032.914","-4.08","-20.01","12.20"
"1032.946","3.30","-14.04","0.27"
"1032.978","2.71","-11.18","0.71"
"1033.01","0.27","-7.06","0.51"
"1033.042","-0.51","-3.37","3.65"
"1033.074","0.86","-1.84","-1.45"
"1033.106","-0.63","1.37","-3.14"
"1033.138","-1.06","9.10","-6.20"
"1033.17","0.71","2.08","-3.18"
"1033.202","1.22","-3.37","-4.98"
"1033.234","4.04","-20.01","18.12"
"1033.266","6.24","-17.89","13.85"
"1033.298","2.00","-19.77","3.77"
"1033.331","-0.31","-15.61","-0.55"
"1033.363","-0.39","-12.87","-4.24"
"1033.395","2.00","-13.45","7.26"
"1033.427","0.04","-8.75","5.41"
"1033.459","-0.12","-5.37","4.75"
"1033.492","3.45","-5.26","-0.24"
"1033.525","0.55","0.63","-1.26"
"1033.557","2.39","-1.26","-2.67"
"1033.588","0.98","5.45","-1.801033618"
"8.103392E-5","-1.06","1.45","-2.121033948"
"1034.337","-0.63","0.24","-0.71"
"1034.369","-0.78","1.61","-2.121034400"
"1034.614","3.45","-11.34","-0.43"
"1034.646","1.77","-6.63","2.90"
"1034.678","-0.20","-2.31","1.80"
"1034.71","-0.47","-0.51","-1.57"
"1034.742","-0.43","0.75","-1.69"
"1034.774","0.20","1.29","-2.24"
"1034.806","-0.27","0.27","-2.63"
"1034.838","-0.27","-1.92","-4.20"
"1034.87","0.12","-18.12","-4.90"
"1034.903","5.14","-20.01","14.91"
"1034.935","-2.28","-19.89","2.00"
"1034.967","-0.04","-16.40","-0.71"
"1034.999","2.20","-13.26","-2.20"
"1035.031","1.14","-13.30","6.63"
"1035.063","0.82","-10.43","5.41"
"1035.095","1.73","-6.16","4.86"
"1035.127","3.92","-4.98","1.26"
"1035.159","-0.47","1.29","-4.00"
"1035.191","0.04","-0.31","-1.02"
"1035.223","0.04","7.57","0.94"
"1035.255","2.71","-3.41","-4.47"
"1035.287","0.43","-17.93","-7.06"
"1035.319","13.69","-20.01","-6.28"
"1035.351","-11.57","-20.01","20.01"
"1035.383","0.20","-19.42","8.32"
"1035.415","4.24","-13.53","-1.33"
"1035.447","2.90","-10.47","-0.27"
"1035.479","1.92","-6.00","0.59"
"1035.511","0.20","-1.45","1.57"
"1035.543","-0.71","1.14","-3.49"
"1035.575","1.49","0.35","-0.90"
"1035.607","0.31","4.67","-14.83"
"1035.639","1.18","-1.29","-0.67"
"1035.671","-1.14","-15.77","-1.57"
"1035.703","-18.63","-15.38","-2.75"
"1035.735","6.16","-20.01","9.61"
"1035.768","-1.22","-18.20","2.241035800"
"1035.923","4.08","-5.37","4.20"
"1035.955","2.28","-3.14","-1.96"
"1035.987","-0.35","1.41","-1.02"
"1036.019","-0.82","1.92","0.00"
"1036.051","1.57","3.41","0.31"
"1036.083","4.20","-5.06","-4.04"
"1036.115","0.20","-12.36","-19.81"
"1036.147","4.43","-20.01","1.65"
"1036.179","-11.45","-20.01","20.01"
"1036.211","2.39","-17.06","1.18"
"1036.243","2.67","-12.04","-2.63"
"1036.275","0.78","-6.79","-0.47"
"1036.307","0.55","-2.90","4.20"
"1036.339","-0.20","-0.86","-0.08"
"1036.371","-0.35","1.37","-2.631036403"
"1036.435","0.20","2.75","-4.94"
"1036.467","1.53","-2.71","-1.45"
"1036.499","-1.06","-19.93","-5.22"
"1036.531","-20.01","-19.85","16.83"
"1036.563","0.12","-18.95","6.00"
"1036.595","-0.43","-16.87","0.16"
"1036.627","1.80","-12.59","-2.28"
"1036.659","3.77","-12.91","6.79"
"1036.691","1.96","-9.81","5.02"
"1036.723","1.33","-5.84","3.92"
"1036.755","2.86","-5.02","0.67"
"1036.787","0.08","-0.86","-1.49"
"1036.819","-0.75","8.43","-4.94"
"1036.851","-2.24","7.26","-1.33"
"1036.883","2.04","-1.96","-4.00"
"1036.915","4.39","-16.99","-12.98"
"1036.947","0.47","-20.01","2.67"
"1036.979","-12.32","-20.01","20.01"
"1037.011","1.77","-18.16","1.69"
"1037.043","4.12","-13.10","-0.63"
"1037.075","2.12","-9.61","0.39"
"1037.107","0.63","-5.22","2.28"
"1037.139","-0.20","-2.67","0.78"
"1037.172","-1.45","2.55","-3.26"
"1037.204","0.27","1.14","-1.14"
"1037.236","-1.10","3.49","-4.43"
"1037.268","1.10","-2.43","-5.22"
"1037.3","-0.67","-17.93","6.16"
"1037.332","-5.30","-20.01","17.65"
"1037.364","6.75","-17.77","9.96"
"1037.396","-1.14","-17.73","-1.18"
"1037.428","-0.27","-14.04","-1.33"
"1037.46","1.61","-13.81","4.98"
"1037.492","2.35","-10.90","5.65"
"1037.524","2.20","-6.55","3.53"
"1037.557","3.92","-5.41","3.06"
"1037.589","-1.22","-1.18","-0.75"
"1037.621","-0.78","1.57","-1.29"
"1037.653","1.02","0.27","-1.22"
"1037.685","4.20","2.47","-5.26"
"1037.717","2.24","-10.71","-3.61"
"1037.749","6.08","-20.01","-0.39"
"1037.781","-13.22","-20.01","20.01"
"1037.813","0.16","-18.59","3.73"
"1037.845","2.51","-13.34","-2.43"
"1037.878","2.28","-9.38","-1.26"
"1037.91","2.04","-5.65","1.61"
"1037.942","1.41","-2.35","5.26"
"1037.974","0.59","-1.92","-0.90"
"1038.006","-1.33","2.55","-2.79"
"1038.038","-0.16","0.78","-2.31"
"1038.07","1.69","-1.61","-1.10"
"1038.102","0.47","-12.04","-0.71"
"1038.134","-7.85","-20.01","9.81"
"1038.166","3.30","-20.01","5.921038196"
"1038.29","1.22","-11.02","7.65"
"1038.322","-1.02","-7.96","2.86"
"1038.354","-0.24","-4.24","3.45"
"1038.386","1.77","-3.77","-0.47"
"1038.418","0.16","0.27","-0.24"
"1038.45","0.63","0.90","-3.26"
"1038.482","2.67","2.28","-4.28"
"1038.514","2.86","-8.63","-4.51"
"1038.546","4.08","-20.01","-9.89"
"1038.578","-19.06","-20.01","20.01"
"1038.61","-5.26","-20.01","8.51"
"1038.642","2.55","-13.45","-1.33"
"1038.674","4.39","-11.85","1.10"
"1038.706","2.86","-7.57","2.24"
"1038.738","0.94","-2.75","1.33"
"1038.771","0.00","-0.51","-2.98"
"1038.803","-0.55","0.82","-2.39"
"1038.835","2.71","9.73","-8.67"
"1038.867","-0.04","-0.20","-5.53"
"1038.899","-0.08","-5.10","2.67"
"1038.931","-3.37","-20.01","14.40"
"1038.963","3.88","-18.40","7.53"
"1038.995","0.43","-18.04","1.33"
"1039.027","-2.08","-13.06","-0.35"
"1039.059","0.86","-15.26","3.77"
"1039.091","3.37","-12.55","8.12"
"1039.123","2.71","-8.08","3.65"
"1039.155","3.49","-4.98","4.63"
"1039.187","2.75","-3.92","-1.41"
"1039.219","-0.67","1.22","-0.35"
"1039.251","1.26","-0.31","-1.92"
"1039.283","1.57","9.61","-8.67"
"1039.315","2.20","-7.49","-4.16"
"1039.347","3.73","-20.01","-9.65"
"1039.38","-11.57","-20.01","20.01"
"1039.413","-1.69","-20.01","11.141039445"
"1040.217","-0.78","-18.44","2.94"
"1040.249","1.73","-11.81","-0.67"
"1040.281","2.28","-9.45","0.12"
"1040.313","2.59","-7.30","2.79"
"1040.345","0.59","-2.31","1.77"
"1040.377","-1.10","0.27","-1.10"
"1040.409","-0.67","1.37","-2.43"
"1040.441","-1.77","3.92","-2.35"
"1040.473","1.41","-0.27","-4.79"
"1040.505","-0.35","-5.02","1.84"
"1040.537","0.27","-20.01","8.79"
"1040.569","3.77","-18.91","10.40"
"1040.601","-1.33","-18.95","2.94"
"1040.633","0.63","-15.89","-0.59"
"1040.665","5.41","-14.04","5.22"
"1040.697","2.71","-10.94","6.59"
"1040.729","-1.37","-6.94","2.39"
"1040.761","1.77","-4.82","2.67"
"1040.793","1.53","-2.04","-1.88"
"1040.825","-0.47","1.84","-0.35"
"1040.857","1.92","-0.27","-0.82"
"1040.889","2.75","0.67","-2.24"
"1040.921","0.59","-3.45","-0.24"
"1040.953","0.24","-20.01","-5.57"
"1040.985","-9.22","-20.01","20.01"
"1041.017","-4.12","-20.01","6.75"
"1041.049","2.63","-14.04","0.98"
"1041.081","3.69","-10.67","0.94"
"1041.113","1.84","-7.06","1.49"
"1041.145","0.31","-3.45","2.86"
"1041.177","-0.67","-0.98","-1.77"
"1041.209","-1.18","1.84","-1.37"
"1041.241","-1.29","2.39","-2.63"
"1041.273","0.47","0.71","-6.98"
"1041.305","0.00","-5.88","5.61"
"1041.337","-0.59","-20.01","11.85"
"1041.369","5.45","-19.81","9.30"
"1041.401","-1.02","-17.85","2.20"
"1041.433","0.12","-14.75","-0.98"
"1041.465","3.22","-13.30","1.65"
"1041.497","0.90","-13.45","7.53"
"1041.529","-1.49","-9.49","5.22"
"1041.561","2.51","-6.71","4.24"
"1041.593","1.41","-2.55","-1.06"
"1041.625","-0.39","2.24","-0.55"
"1041.657","1.10","0.20","0.86"
"1041.689","2.16","2.51","0.27"
"1041.721","3.80","-6.28","-6.08"
"1041.753","5.33","-20.01","-6.24"
"1041.785","-2.55","-20.01","20.01"
"1041.817","-8.36","-20.01","18.36"
"1041.849","0.55","-15.06","1.29"
"1041.881","1.53","-9.06","-0.31"
"1041.912","1.65","-6.32","1.771041942"
"1042.004","-0.39","1.57","-1.53"
"1042.036","4.08","1.53","-3.69"
"1042.068","-0.39","0.24","-3.18"
"1042.1","0.59","-1.57","-1.84"
"1042.132","-1.29","-18.75","-3.73"
"1042.164","3.02","-20.01","17.97"
"1042.196","-2.86","-16.83","10.24"
"1042.228","-1.29","-17.10","-0.24"
"1042.26","2.35","-14.51","-1.96"
"1042.292","4.94","-12.83","3.77"
"1042.324","0.51","-8.04","5.77"
"1042.356","2.08","-6.24","3.57"
"1042.388","1.92","0.75","-6.20"
"1042.42","0.75","0.75","-0.94"
"1042.452","0.04","1.02","-2.67"
"1042.484","2.67","8.83","-5.37"
"1042.516","1.33","-1.22","-3.73"
"1042.548","0.43","-20.01","-6.12"
"1042.58","-8.12","-20.01","13.14"
"1042.612","-7.73","-20.01","20.01"
"1042.644","2.51","-15.81","2.98"
"1042.676","3.49","-10.71","0.94"
"1042.708","2.39","-7.26","0.27"
"1042.74","1.26","-3.96","1.41"
"1042.772","-0.43","-1.10","-0.94"
"1042.804","-1.18","2.04","-1.77"
"1042.836","-0.31","1.29","-0.39"
"1042.868","-0.67","-0.63","-0.24"
"1042.9","0.94","-2.86","-2.86"
"1042.932","0.39","-20.01","5.02"
"1042.964","2.55","-20.01","18.28"
"1042.996","-1.02","-16.20","6.59"
"1043.028","0.98","-17.18","0.35"
"1043.06","2.82","-14.55","-1.69"
"1043.092","5.73","-13.85","6.39"
"1043.124","2.51","-10.63","6.67"
"1043.156","2.04","-7.26","4.75"
"1043.188","3.84","-5.57","-0.51"
"1043.22","0.63","0.24","-0.31"
"1043.252","0.04","1.53","-2.51"
"1043.284","0.04","6.98","-14.12"
"1043.316","0.98","-0.59","-2.79"
"1043.348","2.51","-10.43","-9.89"
"1043.38","8.16","-20.01","-7.65"
"1043.412","-8.12","-20.01","20.01"
"1043.444","1.73","-20.01","8.90"
"1043.476","3.77","-14.32","0.43"
"1043.508","2.08","-9.49","0.201043540"
"1043.573","-0.75","-3.65","2.43"
"1043.605","-0.27","-1.92","-1.73"
"1043.637","-0.71","1.22","-1.61"
"1043.669","-1.06","1.10","-0.75"
"1043.7","-0.90","-0.82","0.59"
"1043.73","-1.65","-2.75","4.201043762"
"1043.854","2.12","-16.16","-2.67"
"1043.886","5.18","-14.47","1.80"
"1043.918","4.55","-10.00","6.59"
"1043.95","-0.82","-7.02","1.53"
"1043.982","0.16","-3.92","3.49"
"1044.014","1.53","-2.16","-0.86"
"1044.046","-0.59","1.61","-1.37"
"1044.078","-0.75","4.47","-3.26"
"1044.11","4.55","2.75","4.55"
"1044.142","5.57","-5.65","-10.47"
"1044.174","0.08","-20.01","-6.86"
"1044.206","0.39","-20.01","14.16"
"1044.238","-10.71","-20.01","20.01"
"1044.27","1.29","-16.51","0.43"
"1044.302","4.35","-11.61","0.75"
"1044.334","1.80","-8.20","0.78"
"1044.366","-0.63","-3.80","1.73"
"1044.398","-0.08","-1.57","0.43"
"1044.43","-0.86","1.18","-0.98"
"1044.462","-0.43","0.43","-1.26"
"1044.494","0.20","3.69","-3.69"
"1044.526","1.14","-1.02","-3.02"
"1044.558","2.90","-15.81","3.37"
"1044.59","4.39","-20.01","17.57"
"1044.622","1.18","-18.40","11.02"
"1044.654","0.43","-17.73","-0.98"
"1044.686","2.31","-12.47","-2.55"
"1044.718","3.80","-11.30","3.84"
"1044.75","2.59","-10.67","9.10"
"1044.782","1.80","-7.65","2.75"
"1044.814","2.90","-4.00","1.22"
"1044.846","1.06","-0.43","-0.27"
"1044.878","-0.82","1.26","-2.63"
"1044.91","1.53","11.22","-5.61"
"1044.942","0.90","-0.63","-4.08"
"1044.974","2.16","-18.16","-4.86"
"1045.006","10.87","-20.01","5.77"
"1045.038","-8.55","-20.01","20.01"
"1045.07","1.73","-18.95","2.39"
"1045.102","3.33","-12.91","-0.94"
"1045.135","1.92","-8.87","-1.26"
"1045.167","0.82","-3.84","3.22"
"1045.199","0.51","-1.96","0.27"
"1045.231","-0.82","1.22","-1.96"
"1045.264","-0.67","2.12","-3.021045297"
"-0.002391046","3.41","14.59","-17.061045752"
"1046.105","-2.20","2.75","-2.63"
"1046.137","0.82","-1.57","-4.04"
"1046.169","2.71","-17.81","5.61"
"1046.201","-11.57","-20.01","4.47"
"1046.233","2.31","-20.01","13.81"
"1046.265","-0.98","-16.55","1.26"
"1046.297","0.43","-14.51","-3.53"
"1046.329","3.80","-14.36","0.86"
"1046.361","0.90","-8.90","6.47"
"1046.393","1.33","-7.22","3.88"
"1046.425","3.73","-5.69","1.41"
"1046.457","0.86","-0.82","-1.41"
"1046.489","0.12","1.73","-1.29"
"1046.521","-0.55","0.43","-2.16"
"1046.553","3.06","0.90","0.51"
"1046.585","2.28","-3.22","-6.35"
"1046.617","-0.24","-20.01","-7.57"
"1046.649","-8.98","-20.01","20.01"
"1046.681","0.31","-19.81","4.86"
"1046.713","2.90","-13.69","-1.33"
"1046.745","2.24","-9.73","-1.77"
"1046.777","1.10","-6.00","1.57"
"1046.809","-1.73","-1.57","3.26"
"1046.841","-1.02","-1.14","-0.12"
"1046.873","-1.26","2.55","-2.67"
"1046.905","-0.39","-0.75","-0.90"
"1046.937","0.31","2.59","-7.34"
"1046.969","0.78","-2.94","1.65"
"1047.001","2.59","-18.01","6.67"
"1047.033","4.35","-20.01","13.26"
"1047.065","-1.18","-19.81","4.51"
"1047.097","0.04","-16.08","-0.59"
"1047.129","1.53","-14.91","-0.86"
"1047.161","2.79","-12.59","7.88"
"1047.193","0.24","-9.30","5.45"
