NAME:,run_2_2.csv,,
EXPERIMENT TIME:,25/05/2022 16:58,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-2.63,-4.82,6.86
0.041,-2.67,-5.1,6.47
0.082,-2.63,-5.14,6.71
0.124,-2.47,-5.06,7.18
0.165,-2.67,-5.37,7.1
0.206,-2.86,-5.88,5.92
0.247,-3.73,-6,5.73
0.288,-1.92,-6.43,7.22
0.329,-2.59,-7.65,9.57
0.37,-3.1,-10.2,16.55
0.411,-3.65,-11.49,13.22
0.452,-4.51,-12.36,11.65
0.493,-5.37,-10.51,9.1
0.534,-1.92,-11.81,1.88
0.575,-3.61,-9.85,0.24
0.616,-7.81,-0.63,3.57
0.657,-2.59,1.92,-0.39
0.698,-1.88,2.71,1.02
0.739,-2.47,-1.73,3.1
0.78,-5.88,-1.37,1.26
0.821,-4.9,-5.02,12.2
0.862,-2.47,-9.41,18.99
0.903,-6.55,-16.71,19.38
0.944,-6.71,-19.46,12.4
0.985,3.22,-8.47,1.1
1.026,7.1,-6.04,-2.75
1.067,3.3,-8.39,-2.9
1.108,-0.24,-10.67,-2.75
1.149,-2,-9.06,1.77
1.19,-7.73,-12.98,8.47
1.231,-3.33,-11.65,13.53
1.272,-1.96,-13.38,20.01
1.313,-6.71,-13.18,11.61
1.354,-3.14,-8.24,-0.82
1.395,-2.71,2.94,0.63
1.436,1.06,5.57,0.9
1.477,-1.77,0.43,-0.47
1.518,-2.24,-1.53,1.06
1.559,-3.73,-4.04,5.02
1.6,-4.55,-4.98,18.59
1.641,-2.28,-9.1,20.01
1.682,-3.45,-14.51,17.89
1.723,-2.94,-13.1,14.51
1.764,1.06,-7.96,1.06
1.805,5.33,-3.22,-3.45
1.846,4.31,-6.63,-5.61
1.887,0.27,-9.34,-2.9
1.928,-3.06,-11.73,3.41
1.969,-3.77,-15.02,10.16
2.01,-4.98,-18.75,20.01
2.051,-5.57,-17.46,19.97
2.092,-1.69,-6.28,6.51
2.133,-0.16,1.84,3.26
2.174,-0.59,5.84,-1.14
2.215,1.57,6.32,-1.02
2.256,-1.37,2,-2.08
2.297,-6.79,-4.08,-0.08
2.338,-6.79,-7.18,11.96
2.379,4.24,-3.77,20.01
2.42,-0.86,-10.36,20.01
2.461,-4.98,-19.65,17.02
2.502,1.69,-9.41,9.14
2.543,3.8,-2.82,-0.63
2.584,3.22,-3.69,-7.3
2.625,3.77,-5.37,-6.9
2.666,1.61,-7.41,-0.82
2.707,-3.33,-12.98,3.41
2.748,-2.59,-15.3,6.12
2.789,1.02,-14.44,16
2.83,-6.08,-16.59,16.95
2.871,-8.39,-12.67,9.34
2.912,-1.53,-1.29,6.86
2.954,0.12,1.77,3.49
2.995,1.57,3.49,1.45
3.036,2.24,3.96,1.69
3.077,-0.9,0.24,1.22
3.118,-4.75,-2.79,5.37
3.159,-3.3,-8,14.63
3.2,3.8,-10,16.2
3.241,-5.02,-14.87,20.01
3.282,-4.82,-18.55,12.98
3.323,3.49,-7.06,2.43
3.364,6.59,-1.53,-2.2
3.405,2.86,-4.9,-5.92
3.446,3.41,-6.35,-1.8
3.487,2.28,-14.83,-1.14
3.528,-3.37,-20.01,2.79
3.569,-4.51,-20.01,17.14
3.61,-1.69,-15.97,19.97
3.651,-9.41,-17.89,5.18
3.692,-1.22,6.55,7.69
3.733,2,10.08,2.47
3.774,-0.63,8.24,0
3.815,-1.92,4.16,-2.35
3.856,-3.3,1.41,0.51
3.897,-2.75,-3.45,8.2
3.938,-1.57,-10.32,20.01
3.979,-14.47,-16.83,20.01
4.02,-3.06,-19.61,11.45
4.061,9.45,-0.39,5.18
4.102,7.26,-0.86,-1.8
4.143,2.2,-6.35,-8
4.184,2.51,-7.57,-7.37
4.225,1.73,-7.37,0.39
4.266,-1.88,-13.61,4.55
4.307,0.59,-18.24,7.41
4.348,3.53,-12.24,19.5
4.389,0.67,-11.85,16.99
4.43,-5.73,-7.53,6.39
4.471,-6.08,0.86,-1.1
4.512,3.18,10,1.18
4.553,0.04,4.63,2.43
4.594,-2.71,0,2.51
4.635,-4.16,-3.41,5.73
4.676,-4.43,-5.96,14.55
4.717,3.96,-5.41,20.01
4.758,0.2,-10.32,20.01
4.799,2,-10.94,10.83
4.84,6.39,-3.8,2.39
4.881,7.37,-3.26,-3.49
4.922,3.77,-4.12,-9.38
4.963,0.98,-3.65,-8.59
5.004,0.63,-3.8,-2.98
5.045,-0.59,-7.73,10.24
5.086,4.51,-6.79,20.01
5.127,-1.1,-7.41,20.01
5.168,-6.67,-6.08,10.87
5.209,-2.63,1.53,3.14
5.25,-2.16,4.08,-0.27
5.291,-5.49,3.92,-0.86
5.332,-3.8,3.57,-0.71
5.373,-4.75,-0.71,5.33
5.414,-3.96,-1.92,9.85
5.455,-4.28,0.2,17.5
5.496,-8.51,-12.51,20.01
5.537,-4.9,-7.81,20.01
5.578,6.55,0.98,7.18
5.619,4.9,-5.53,0.78
5.66,6.51,-5.22,-3.14
5.701,5.69,-6.35,-2.67
5.742,2.94,-6.94,2.35
5.783,0.08,-3.84,5.65
5.824,-4.98,-4.04,11.77
5.865,-11.18,-11.77,20.01
5.906,-10.24,-8.12,16.95
5.947,-5.73,-0.71,10.04
5.988,-1.41,1.73,4.39
6.029,1.18,2.79,2.55
6.07,2.04,2.82,2.28
6.111,0.08,-0.2,3.49
6.152,-6.35,-1.8,6.98
6.193,-9.77,-0.16,13.45
