"NAME:","run_1_2.csv"
"EXPERIMENT TIME:","23/05/2022 21:09:38"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","186"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.013","2.91","-5.01","-7.64"
"0.053","3.09","-5.04","-7.87"
"0.056","3.14","-5.01","-7.90"
"0.083","3.32","-4.86","-7.80"
"0.111","3.27","-4.73","-7.69"
"0.144","3.53","-4.88","-7.82"
"0.178","3.32","-4.78","-7.82"
"0.213","3.12","-5.01","-8.13"
"0.246","3.35","-4.98","-8.44"
"0.321","3.94","-5.14","-8.59"
"0.387","4.37","-4.98","-8.97"
"0.447","4.81","-7.59","-8.05"
"0.489","2.84","-5.96","-7.08"
"0.515","2.99","-7.52","-6.65"
"0.533","2.99","-6.65","-7.11"
"0.563","2.12","-6.01","-7.57"
"0.6","3.48","-7.59","-7.52"
"0.641","4.37","-7.08","-7.11"
"0.97","2.58","-6.80","-6.14"
"1.507","5.96","-16.95","-18.02"
"1.563","0.10","-19.38","-18.97"
"1.612","1.74","-17.41","-14.24"
"1.681","1.30","-7.67","-6.31"
"1.72","1.48","-1.58","-0.79"
"1.745","4.65","8.36","4.40"
"1.748","0.00","-5.98","1.66"
"1.778","-1.89","-8.87","-9.46"
"1.811","6.42","-14.85","-8.21"
"1.846","1.92","-6.85","-12.65"
"1.885","7.57","3.63","4.96"
"1.889","17.79","-8.97","-14.44"
"1.922","2.91","-15.90","-15.44"
"1.945","-1.02","-13.75","-18.05"
"1.978","-0.23","-11.35","-14.60"
"2.041","-0.64","-9.87","-7.31"
"2.06","-1.92","-7.57","-4.50"
"2.096","-6.42","-5.19","-5.50"
"2.098","-5.90","-1.07","0.41"
"2.132","-3.73","0.92","2.89"
"2.159","-1.94","1.15","-1.56"
"2.189","5.57","-11.76","-10.10"
"2.226","17.38","-11.35","-19.84"
"2.258","9.33","-16.44","-15.75"
"2.291","-5.27","-19.76","-20.99"
"2.324","-4.88","-17.97","-14.70"
"2.342","0.13","-5.47","-6.31"
"2.363","4.14","1.92","0.26"
"2.401","9.13","6.26","1.61"
"2.435","8.13","11.50","7.36"
"2.467","3.53","3.58","4.75"
"2.507","-3.86","-9.69","-4.75"
"2.532","3.91","-26.05","-27.91"
"2.565","1.35","-0.23","0.05"
"2.598","10.74","6.01","6.14"
"2.631","13.50","-18.92","-19.63"
"2.665","2.35","-14.78","-12.07"
"2.699","-5.27","-14.57","-21.96"
"2.702","2.22","-13.06","-10.92"
"2.732","1.64","-8.79","-6.95"
"2.8","-2.76","-5.62","-4.63"
"2.868","-7.64","-5.34","-3.45"
"2.973","-6.08","-2.99","0.56"
"3.017","-4.60","0.08","1.07"
"3.071","-1.92","0.74","-2.76"
"3.163","5.52","-11.04","-15.21"
"3.311","1.38","-14.03","-18.66"
"3.317","-3.32","-9.05","-6.98"
"3.431","10.12","-12.30","-14.62"
"3.535","-7.29","-6.52","-4.55"
"3.588","-6.42","-2.91","1.02"
"3.591","-5.57","0.05","1.94"
"3.624","-3.53","-0.10","-1.20"
"3.627","4.04","-2.38","-5.70"
"3.677","10.69","-18.76","-28.09"
"3.708","20.07","-19.04","-16.46"
"3.74","1.18","-20.27","-17.97"
"3.772","-8.00","-18.25","-17.77"
"3.802","0.15","-9.46","-6.31"
"3.838","2.20","-0.26","1.10"
"3.868","5.78","7.49","0.20"
"3.904","8.97","13.52","8.67"
"3.936","5.88","2.79","5.73"
"3.971","-2.07","-10.79","-9.87"
"3.974","-5.52","-12.55","-13.57"
"4.003","22.80","-16.03","-13.16"
"4.038","-9.59","-8.84","-0.08"
"4.075","9.36","0.72","2.33"
"4.102","12.12","-20.19","-28.86"
"4.143","-2.17","-17.25","-14.93"
"4.181","-0.23","-10.71","-12.73"
"4.25","3.89","-11.04","-6.98"
"4.278","0.49","-6.31","-3.04"
"4.309","-4.52","-1.53","1.56"
"4.342","-3.66","1.48","-0.84"
"4.384","3.04","-4.81","-7.75"
"4.45","14.93","-17.84","-22.14"
"4.475","13.22","-15.72","-12.83"
"4.532","2.25","-1.81","1.74"
"4.56","3.02","7.44","0.03"
"4.594","4.63","14.78","4.40"
"4.627","5.62","4.98","3.99"
"4.66","-0.89","-11.73","-1.99"
"4.692","-3.94","-14.70","-13.34"
"4.723","20.71","-17.23","-15.72"
"4.726","-7.75","1.58","-1.97"
"4.757","17.20","-2.53","8.23"
"4.792","1.12","-10.61","-30.88"
"4.825","1.58","-13.91","-10.53"
"4.861","3.02","-11.32","-12.30"
"4.89","2.63","-10.63","-8.08"
"4.923","-3.48","-5.55","-3.83"
"4.96","-6.65","-5.32","-4.40"
"4.989","-3.99","-4.27","1.12"
"5.021","-4.06","-0.92","0.74"
"5.041","-2.17","1.64","-1.66"
"5.079","3.17","-8.87","-11.76"
"5.13","16.54","-17.20","-20.09"
"5.2","11.27","-17.89","-12.63"
"5.266","-5.65","-20.88","-20.81"
"5.307","-1.71","-18.15","-14.62"
"5.35","5.75","8.54","5.16"
"5.38","-2.53","-10.38","0.36"
"5.415","-4.37","-13.34","-15.24"
"5.46","13.14","-13.14","-10.76"
"5.528","-15.57","-2.12","-15.13"
"5.568","3.45","7.26","9.92"
"5.571","2.15","-12.09","-14.49"
"5.598","4.01","-11.71","-7.18"
"5.642","1.05","-7.69","-5.24"
"5.681","-5.96","-6.31","-6.85"
"5.708","-8.84","-4.42","-1.53"
"5.728","-7.49","-1.99","2.63"
"5.762","-6.03","1.56","-0.89"
"5.794","2.45","-0.20","-2.33"
"5.833","7.80","-12.12","-15.47"
"5.86","22.24","-17.66","-18.46"
"5.892","10.40","-16.69","-12.78"
"5.914","-6.39","-20.55","-19.94"
"5.948","-2.61","-15.95","-12.96"
"5.979","2.43","-6.24","-2.74"
"6.013","4.83","3.22","0.23"
"6.044","6.80","10.10","3.22"
"6.084","6.83","14.72","8.38"
"6.116","0.31","-2.30","3.30"
"6.148","-3.35","-15.90","-11.99"
"6.181","0.41","-10.89","-3.58"
"6.185","15.59","-20.27","-29.12"
"6.213","-1.84","10.79","12.45"
"6.247","18.25","-8.21","-1.94"
"6.281","-0.72","-23.70","-26.56"
"6.315","1.00","-12.73","-11.76"
"6.35","3.20","-11.45","-11.20"
"6.386","3.91","-9.23","-6.70"
"6.389","-4.42","-4.35","-4.96"
"6.418","-7.75","-6.34","-5.01"
"6.452","-6.57","-4.12","1.51"
"6.487","-6.19","0.79","2.58"
"6.819","-2.45","2.33","-2.56"
"7.323","5.21","-8.05","-10.05"
"7.373","-9.69","-23.06","-21.80"
"7.41","-0.95","-15.16","-11.84"
"7.441","3.20","-3.30","-0.77"
"7.477","6.19","4.65","0.82"
"7.508","8.69","9.56","2.94"
"7.514","6.34","14.32","8.15"
"7.544","-0.20","-0.36","2.02"
"7.578","-2.76","-16.67","-11.63"
"7.612","1.61","-13.22","-6.85"
"7.648","13.88","-16.00","-26.07"
"7.682","-0.26","3.17","11.09"
"7.709","21.29","-12.53","-10.17"
"7.742","-0.84","-20.63","-22.55"
"7.775","-1.81","-13.70","-13.91"
"7.81","2.84","-10.92","-11.15"
"7.843","2.94","-9.64","-5.62"
"7.877","-4.78","-5.80","-6.16"
"7.88","-7.69","-5.27","-3.25"
"7.91","-6.08","-3.17","2.15"
"7.944","-5.47","2.43","1.58"
"8.008","-0.77","1.05","-2.74"
"8.078","5.78","-9.97","-11.89"
"8.115","19.48","-19.22","-18.51"
"8.143","-3.30","-17.61","-15.06"
"8.178","1.92","-5.57","-3.94"
"8.211","4.91","1.97","0.97"
"8.248","8.49","7.41","1.79"
"8.251","6.83","13.47","7.46"
"8.278","2.84","7.26","4.14"
"8.347","-2.53","-14.34","-1.69"
"8.415","-0.36","-16.21","-16.87"
"8.483","14.16","-26.46","-20.94"
"8.539","-2.84","18.35","14.39"
"8.581","-0.15","-5.67","-2.35"
"8.612","-8.08","-5.90","-7.13"
"8.648","-7.18","-5.44","1.07"
"8.68","-6.14","-1.33","2.81"
"8.684","-4.96","3.14","-1.87"
"8.712","3.22","-0.13","-4.22"
"8.745","8.54","-16.87","-18.66"
"8.78","23.19","-17.77","-17.20"
"8.814","8.74","-16.56","-14.83"
"8.85","-12.50","-22.57","-20.30"
"8.879","-2.05","-14.95","-10.92"
"8.911","2.17","-2.58","-0.72"
"8.949","5.52","4.63","-0.46"
"8.982","10.15","10.84","4.73"
"9.016","9.15","16.08","8.44"
"9.049","-0.54","-4.88","3.30"
"9.052","-2.07","-19.43","-16.82"
"9.081","-3.91","-5.09","-1.74"
"9.116","21.32","-20.96","-18.23"
"9.141","-7.69","1.05","3.22"
"9.174","18.23","-7.90","-4.50"
"9.211","0.20","-21.63","-25.03"
"9.277","1.30","-13.88","-9.66"
"9.331","2.30","-9.33","-11.20"
"9.368","2.05","-8.87","-5.44"
"9.402","-3.99","1.69","2.12"
"9.433","-0.97","1.84","-3.17"
"9.469","5.55","-11.02","-12.93"
"9.506","22.47","-18.69","-20.19"
"9.551","8.28","-14.75","-10.23"
"9.555","-8.03","-22.19","-20.22"
"9.584","-2.79","-18.33","-14.67"
"9.617","2.71","-5.93","-3.17"
"9.652","3.43","2.25","0.26"
"9.686","7.34","8.46","2.40"
"9.718","7.13","13.01","5.78"
"9.748","3.68","5.32","3.76"
"9.777","-0.77","-13.14","-2.61"
"9.815","-4.24","-13.32","-13.50"
"9.818","23.31","-22.62","-16.08"
"9.849","-10.99","3.81","9.36"
"9.884","14.03","0.00","4.24"
"9.923","8.00","-25.61","-33.38"
"9.957","0.87","-13.93","-10.38"
"9.991","-0.31","-11.86","-13.55"
"10.02","2.71","-10.69","-6.85"
"10.054","-0.41","-6.11","-2.40"
"10.085","-8.79","-5.06","-5.50"
"10.121","-6.62","-3.32","2.10"
"10.154","-5.04","0.92","1.00"
"10.209","-3.37","1.25","-3.02"
"10.236","3.94","-4.06","-8.03"
"10.285","15.82","-21.06","-19.27"
"10.354","15.90","-15.59","-10.33"
"10.438","7.46","12.40","4.17"
"10.482","6.85","9.94","5.96"
"10.486","-1.20","-8.38","1.38"
"10.556","-2.86","-17.82","-21.45"
"10.624","12.22","-10.61","4.27"
"10.672","1.97","-18.12","-22.44"
"10.709","0.08","-13.19","-12.30"
"10.741","3.20","-12.07","-7.41"
"10.774","1.66","-8.00","-3.48"
"10.808","-8.05","-5.65","-6.75"
"10.84","-7.44","-2.07","0.56"
"10.877","-5.57","-2.05","2.10"
"10.907","-4.73","1.58","-1.05"
"10.942","3.81","-3.20","-5.65"
