NAME:,run_5_2.csv,,
EXPERIMENT TIME:,23/05/2022 21:18,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,165,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.048,-0.51,-5.8,10.05
0.048,-0.2,-6.19,10.86
0.106,-0.46,-6.42,11.55
0.107,-1.92,-4.14,12.09
0.14,-2.1,-2.68,12.37
0.157,-3.32,-3.81,9.23
0.176,-3.37,-5.24,10.79
0.198,-2.48,-4.06,9.66
0.231,-3.02,-2.74,8.23
0.263,-3.94,-1.38,8.33
0.296,-3.94,-1.33,6.34
0.328,-4.01,-1.15,6.39
0.361,-3.89,-0.31,6.98
0.386,-4.86,-0.15,7.13
0.403,-5.06,0.56,6.7
0.431,-4.98,2.1,5.57
0.463,-5.5,3.5,5.52
0.541,-5.57,2.86,6.26
0.574,-3.96,1.99,4.86
0.61,-1.56,-0.05,20.37
0.831,-6.7,-2.86,7.9
1.32,4.35,3.89,-5.62
1.385,2.61,-3.71,13.37
1.448,-2.3,-2.4,17.05
1.49,0.69,-10.25,25.51
1.537,-10.76,-5.42,17.25
1.54,-15.29,-8.74,17.54
1.569,-4.75,-2.66,13.37
1.603,-5.19,-1.74,10.63
1.636,-6.6,-0.31,8.08
1.67,-6.9,-0.03,2.61
1.702,-5.5,0.36,-0.38
1.736,-2.4,1.69,-0.31
1.739,1.38,-2.28,0.77
1.771,-0.72,-7.69,15.29
1.804,2.07,-14.78,26.64
1.837,-4.47,-4.32,27.17
1.874,-15.11,-5.24,18.92
1.904,-12.04,-5.21,14.83
1.938,-0.1,1.76,4.4
1.971,3.48,-0.31,-3.48
2.004,7.46,-5.32,-9.74
2.037,11.02,-2.2,-8.61
2.082,5.11,3.94,4.45
2.085,-8,-3.02,22.14
2.118,-4.14,-2.63,25.43
2.12,-3.58,-6.77,9.92
2.154,8.46,-0.46,-11.91
2.19,6.6,-6.29,25.69
2.22,-10.51,-8.41,23.82
2.25,-8.82,-6.24,16.1
2.287,-2.91,-5.34,14.44
2.322,-1.94,-1.51,10.94
2.325,-6.62,-1.15,5.21
2.35,-10.38,-0.33,2.38
2.438,-4.75,2.12,1.87
2.506,-2.1,-9.51,15.13
2.544,7.31,-14.75,27.4
2.574,2.3,-6.77,24.51
2.607,-11.32,-4.24,22.93
2.657,-15.21,-4.86,16.23
2.66,-6.21,-2.33,10.79
2.709,2.02,-1.46,1.43
2.74,5.5,-4.09,-5.78
2.773,12.68,-4.68,-13.7
2.807,-15.29,-7.06,14.88
2.843,10.38,-2.58,17.84
2.876,-15.98,-10.79,18.51
2.908,10.76,0.87,-7.54
2.911,5.9,-10.3,27.76
2.942,-9.87,-6.39,20.65
2.974,-9.56,-7.87,16.9
3.009,-2.28,-4.01,13.96
3.043,-2.4,-0.43,9.97
3.071,-8.95,-1.35,4.22
3.102,-9.3,0.54,0.59
3.104,-6.19,2.74,1.1
3.133,-5.62,0.26,-1.92
3.166,-0.26,-4.22,1.56
3.196,-0.77,-13.27,22.37
3.229,10.86,-10.69,24.9
3.267,-2.97,-7.34,24.82
3.295,-17.77,-6.7,19.94
3.332,-8.9,-3.45,15.03
3.334,-0.74,-0.66,5.01
3.359,5.11,-2.94,-1.97
3.392,12.78,-4.86,-11.25
3.427,15.44,-2.12,-12.37
3.459,3.6,6.03,8.59
3.491,-12.55,-1.61,23.13
3.524,-2.68,-0.23,8.51
3.556,-4.29,-14.88,31.34
3.581,3.86,4.91,-14.83
3.601,11.09,-8.03,23.88
3.633,-8.08,-10.23,24.05
3.665,-4.63,-6.26,16.13
3.698,-3.3,-5.04,12.86
3.73,-3.58,-1.66,10.84
3.752,-6.39,0.74,5.24
3.784,-11.22,-2.84,3.07
3.808,-5.27,3.17,0.54
3.875,-5.83,1.3,0.05
3.911,-0.82,-3.37,-1.43
3.946,-0.38,-10.99,18.33
3.973,11.17,-12.09,23.59
3.976,-1.25,-6.77,23.52
4.008,-16.67,-7.23,22.65
4.009,-10.86,-5.06,17.25
4.042,-4.19,-1.38,10.12
4.074,1.43,0.43,2.38
4.111,5.5,-3.35,-6.29
4.144,14.78,-5.96,-15.98
4.175,7.54,6.75,0.77
4.207,-9.74,-0.66,20.07
4.237,-7.46,-0.54,3.99
4.284,7.59,-16.33,22.65
4.307,-8.84,-3.55,-5.52
4.352,11.68,2.17,2.35
4.38,3.94,-14.95,30.39
4.42,-6.75,-5.7,19.5
4.463,-6.49,-9.53,14.8
4.466,-3.32,-4.27,12.6
4.493,-9.43,-1.28,0.46
4.532,-4.98,3.07,0.77
4.565,-4.7,-0.13,-1.46
4.599,1.28,-4.12,0.79
4.632,1.64,-12.78,22.6
4.664,11.27,-9.82,22.78
4.701,-3.86,-7.82,26.2
4.704,-18.76,-7.64,22.78
4.733,-6.88,-3.63,16.82
4.764,0.26,-0.64,4.68
4.798,2.15,-2.51,-3.6
4.834,7.16,-1.97,-10.33
4.868,12.37,-1.97,-13.73
4.896,3.14,2.43,4.32
4.932,-8.79,0.08,19.53
4.969,-0.79,-0.72,16.03
4.971,-6.77,-11.45,18.89
5.009,5.67,1.43,-10.86
5.047,9.43,-6.9,24.44
5.084,-6.54,-9.82,24.26
5.087,-6.65,-6.93,16.31
5.149,-2.58,-5.14,13.6
5.186,-1.12,-1.35,11.53
5.224,-3.86,0.23,5.52
5.273,-9.41,-3.35,3.96
5.276,-5.42,2.76,0.61
5.278,-5.21,1.43,-0.61
5.305,-2.81,-1.84,-1.99
5.343,0.59,-9.1,13.27
5.386,10.38,-13.47,25.36
5.389,4.06,-6.77,22.65
5.421,-10.23,-7.87,23.34
5.449,-15.03,-4.35,18.41
5.475,-5.67,-3.71,13.8
5.492,-0.2,0.23,5.75
5.569,2.43,-2.3,-3.32
5.571,8.97,-3.91,-10.51
5.603,12.47,-3.09,-11.25
5.604,-2.38,9,9.59
5.63,-12.63,-5.27,16.74
5.661,14.16,-3.48,22.34
5.7,-10.4,-3.58,7.39
5.737,9.59,1.97,-9.53
5.769,8.54,-14.09,32.06
5.794,-5.19,-4.93,18.2
5.83,-3.63,-6.16,17.71
5.862,-6.14,-7.03,13.91
5.869,-3.4,-1.74,12.63
5.901,-5.37,0.56,6.83
5.934,-9.36,-3.22,3.17
5.967,-4.88,2.53,0.77
5.999,-5.19,1,-0.41
6.032,-0.2,-2.35,-1.35
6.04,-0.26,-10.05,17.51
15.522,12.04,-11.45,21.34
15.523,0.26,-7.44,24.72
15.523,-16.33,-8.36,22.93
15.523,-14.39,-6.16,19.61
15.524,-4.5,-2.66,10.61
15.524,2.15,-1.38,2.76
15.525,5.52,-1.48,-3.37
15.525,11.99,-4.52,-14.62
15.526,9.69,0.08,-10.05
15.526,-4.45,7.46,11.27
15.526,-11.02,-5.37,21.34
15.527,2.79,-15.31,26.87
15.527,-0.28,2.2,-21.37
15.528,11.94,-5.44,14.95
15.528,-3.45,-22.04,28.89
15.528,-4.98,-4.35,14.37
15.529,-2.58,-7.54,14.34
15.529,-2.02,-3.4,12.65
15.53,-2.07,0,9.28
15.53,-7,-1.71,6.14
15.531,-8.08,-0.54,1.46
15.531,-4.58,2.84,0.33
15.531,-6.49,-0.49,-2.45
15.532,1.18,-4.45,2.97
15.532,3.17,-13.83,22.39
15.532,12.58,-9.07,23.08
15.533,-5.14,-9.23,23.47
15.534,-14.42,-6.34,22.06
15.534,-6.34,-3.09,16.18
15.535,-3.14,-0.82,7.26
15.535,1,-1.58,-1.79
15.535,4.73,-1.61,-6.16
15.536,10.97,-3.09,-13.06
15.536,5.85,1.23,-4.32
15.536,-4.14,5.39,12.24
15.537,-9.05,-4.58,12.53
15.537,17.74,-11.61,31.29
15.538,-13.22,-0.31,-11.22
15.538,9.53,4.24,5.98
15.539,5.57,-21.45,28.55
15.539,-4.75,-4.12,15.54
15.54,-4.78,-8.46,15.47
15.54,-3.07,-5.75,12.99
15.54,-2.56,-1.23,11.58
15.541,-4.42,-0.05,6.9
15.541,-8.46,-3.27,3.32
15.542,1.3,-10.15,20.12
15.542,13.57,-11.17,20.42
15.542,-0.59,-8.61,20.83
15.543,-11.2,-7.46,22.44
15.543,-8.56,-4.68,19.66
15.544,-4.32,-1.74,12.68
15.544,0.54,-0.59,2.07
15.544,3.86,-1.12,-3.22
15.545,9.02,-2.97,-12.3
15.545,8.23,-0.18,-7.49
15.546,-3.4,6.06,10.12
15.547,-11.55,-5.16,12.83
15.548,11.71,-6.08,28.66
15.548,-11.84,0.69,-3.09
15.549,8.08,2.43,-12.19
15.55,8.46,-10.05,28.86
15.55,-7.92,-8.33,19.17
15.551,-5.42,-7.72,14.8
15.551,-2.74,-6.14,12.68
15.552,-0.46,-0.74,11.55
15.552,-3.86,1.43,7.64
15.552,-9.33,-3.91,2.2
15.553,-7.16,1.92,-0.31
15.553,-4.19,0.08,0.79
15.554,-1.58,-2.43,1.38
15.554,0.31,-7.77,22.62
15.554,13.45,-11.4,21.01
15.555,0.05,-5.98,21.4
15.555,-13.45,-8.33,22.93
15.556,-9.64,-5.21,19.53
15.556,-1.87,-2.07,11.91
15.556,1.97,0.08,1.12
15.557,3.94,-0.2,-4.42
15.557,6.67,-1.23,-12.6
15.558,9.53,-3.4,-11.5
15.558,-1.84,6.24,8.38
15.559,-8.23,-3.89,21.96
15.559,2.35,-14.14,29.22
15.559,-0.74,0.74,-15.77
15.56,10.84,-1.25,12.88
15.56,-2.86,-20.63,30.01
15.561,-2.61,-3.86,14.62
15.561,-5.6,-9.46,17.08
15.561,-4.14,-6.62,13.85
15.562,-3.17,-1.46,11.66
15.562,-3.81,0.56,8.49
15.563,-9.18,-2.99,3.37
15.563,-6.52,2.53,-1.35
15.563,-5.19,1.18,0.18
15.564,-0.95,-1.66,-0.18
15.564,0,-8.97,15.77
15.564,12.4,-11.81,23.06
15.565,2.05,-6.83,22.93
15.565,-12.04,-9.02,22.44
15.566,7.77,-1.94,-10.97
15.566,10.94,-2.35,-13.52
15.566,-1.58,6.34,8.23
15.567,-11.35,-6.39,19.68
15.567,1.46,-1.89,28.89
15.567,-4.83,-12.93,0.46
15.568,3.5,2.1,-8.97
15.568,10.56,-4.45,23.95
15.568,-4.73,-10.1,19.96
15.569,-6.6,-6.88,15.95
15.569,-0.05,0.84,9.59
15.569,-6.01,-1.79,4.37
15.57,-10.1,-1.35,0.23
15.57,-4.83,2.28,1.76
15.57,-3.91,-2.02,-0.15
15.571,0.87,-4.04,8.95
15.571,8.44,-11.04,20.32
15.571,10.12,-8.61,20.68
15.572,-3.3,-9.48,24.03
15.572,-11.48,-6.85,22.27
15.572,-5.42,-3.83,17.23
15.573,-1.97,-0.64,8.46
15.573,1.25,-0.54,-0.84
15.573,5.24,0.15,-4.58
15.574,9.3,-2.45,-13.55
15.574,2.35,-0.05,-0.49
15.574,-3.6,4.29,17.25
15.575,-6.37,-2.94,15.39
15.575,8.46,-9.43,25.49
15.575,-5.34,-2.58,-8
15.576,11.02,0.1,9.84
15.576,-0.13,-13.37,23.7
15.576,-4.68,-5.04,16.85
15.577,-8.97,-12.96,18.84
15.577,-2.02,-5.21,13.5
15.577,0.15,-1.23,10.07
15.578,-2.12,-1.48,7.62
15.578,-10.12,-1.66,2.91
15.578,-8.26,4.09,0.38
15.579,-4.88,0.54,0.82
15.579,-1.84,-2.89,1.48
15.579,-0.2,-8.51,20.65
15.58,10.69,-14.11,20.96
15.58,5.06,-7.85,23.01
15.58,-10.07,-8.64,22.65
15.581,-10.43,-6.21,18.84
15.581,-4.14,-1.53,12.3
15.581,1.64,-0.15,1.84
15.582,4.4,0.18,-4.19
15.582,6.42,0.49,-11.4
15.582,9.71,-3.3,-8.92
15.583,-1.2,5.93,11.15
15.583,-7.11,-3.55,19.68
15.583,6.62,2.15,6.44
15.584,-0.66,-25.18,36.55
15.584,6.16,10.17,-10.12
15.585,-0.56,-2.84,14.42
15.585,-0.36,-0.59,11.89
15.586,-5.37,-2.38,6.21
15.586,-9.61,0.1,-0.64
15.586,0.15,-3.4,3.78
15.587,2.48,-13.16,19.91
15.587,14.24,-7.82,21.47
