"NAME:","run_3_1"
"EXPERIMENT TIME:","23/05/2022 13:07"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","128"

"Time [sec]","ACC X","ACC Y","ACC Z"
"201.609095","-4.47","8.98","-0.98"
"201.65","-4.35","8.83","-0.90"
"201.67","-4.55","8.94","-0.90"
"201.69","-4.47","8.83","-0.98"
"201.719100","-4.55","8.79","-0.90"
"201.859105","-4.51","8.94","-0.94"
"201.92","-4.39","8.94","-0.90"
"201.949109","-4.43","8.87","-0.94"
"201.999111","-4.20","8.94","-0.71"
"202.039113","-4.35","8.87","-1.14"
"202.079115","-3.33","8.83","-0.82"
"202.12","-3.65","9.30","-0.75"
"202.149118","-3.41","8.75","-0.51"
"202.189120","-3.96","9.38","-0.98"
"202.239122","-2.67","9.96","-0.67"
"202.27","-2.43","9.96","-1.06"
"202.30","-2.71","9.81","-1.14"
"202.32","-2.86","9.34","-1.18"
"202.349127","-2.98","9.73","-1.10"
"202.38","-2.55","9.61","-1.29"
"202.419130","-2.31","10.08","-1.41"
"202.459132","-1.57","10.20","-1.53"
"202.509134","-1.02","10.83","-1.92"
"202.54","-0.59","10.12","-2.43"
"202.56","-0.27","9.57","-2.20"
"202.58","0.20","9.41","-1.69"
"202.609139","0.47","8.98","-1.18"
"202.65","-1.49","8.59","-2.04"
"202.67","-4.24","7.92","-2.12"
"202.69","-4.94","8.28","-1.92"
"202.72","-3.84","7.53","-2.59"
"202.749145","-3.30","6.24","0.35"
"202.789147","-6.20","10.20","-2.43"
"202.839149","-4.94","9.69","-1.06"
"202.87","-7.92","9.45","-2.08"
"202.89","-7.65","10.51","-0.90"
"202.91","-5.53","10.75","-0.27"
"202.949154","-4.67","10.55","0.98"
"202.98","-5.33","11.65","0.00"
"203.009157","-3.57","9.73","1.26"
"203.059159","-5.88","10.04","1.18"
"203.099161","-4.43","7.92","0.94"
"203.139163","-3.06","6.63","0.55"
"203.18","-1.65","3.18","1.37"
"203.209166","-1.80","3.26","1.73"
"203.259168","-2.08","10.43","-2.79"
"203.29","-4.98","7.53","-3.18"
"203.319171","-6.32","8.47","0.00"
"203.369173","-3.65","14.00","-3.41"
"203.40","-6.04","12.75","-1.53"
"203.429176","-5.37","15.02","-0.59"
"203.479178","-4.59","15.22","-2.86"
"203.51","-1.77","12.16","-1.45"
"203.539181","-1.22","10.43","-0.78"
"203.58","-2.51","4.24","-2.24"
"203.609184","-4.08","2.51","0.04"
"203.649186","0.04","0.39","1.45"
"203.699188","-1.65","2.94","-1.14"
"203.739190","-6.24","12.12","-3.06"
"203.77","-4.98","11.53","-2.28"
"203.809193","-6.35","13.73","-3.10"
"203.849195","-8.94","16.40","-2.51"
"203.889197","-4.86","14.16","-0.59"
"203.93","-0.94","9.65","0.20"
"203.95","-1.84","9.26","2.04"
"203.97","-3.80","7.65","1.80"
"204.009202","-2.55","5.26","1.41"
"204.04","-0.82","3.33","0.75"
"204.069205","-1.37","2.55","1.14"
"204.119207","-4.08","0.98","3.10"
"204.159209","-0.82","19.50","-16.40"
"204.19","-2.67","1.22","1.57"
"204.22","-5.10","8.32","-0.55"
"204.24","-8.59","15.42","-1.06"
"204.269214","-4.31","15.18","-2.24"
"204.31","-5.22","14.98","-1.69"
"204.339217","-5.65","14.20","-0.55"
"204.37","-4.20","12.51","-1.37"
"204.39","-2.39","11.22","0.16"
"204.41","-1.65","10.51","0.90"
"204.449222","-2.16","9.92","0.98"
"204.489224","-1.80","3.61","-0.43"
"204.53","-0.20","2.28","1.92"
"204.55","0.82","1.33","0.55"
"204.57","-2.08","0.67","-0.16"
"204.599229","-2.08","2.59","1.61"
"204.64","-7.92","15.73","-2.00"
"204.66","-7.14","12.71","-6.98"
"204.68","-1.88","8.75","2.51"
"204.709234","-2.90","11.30","0.94"
"204.759236","-5.22","15.93","-0.39"
"204.79","-5.81","15.97","-0.04"
"204.81","-5.57","13.38","0.43"
"204.839240","-4.67","12.43","-0.12"
"204.949243","-2.75","3.30","1.18"
"205.04","-6.08","8.55","-4.04"
"205.079248","-1.73","17.34","-10.94"
"205.119250","-3.61","3.14","1.49"
"205.15","-7.26","15.42","-0.71"
"205.18","-3.33","16.08","-0.04"
"205.20","-4.67","11.53","2.16"
"205.229255","-7.06","12.32","-0.98"
"205.26","-4.12","12.63","0.43"
"205.299258","-1.18","13.34","-0.12"
"205.339260","-2.28","10.04","0.08"
"205.37","-0.51","4.31","-1.06"
"205.40","-1.29","2.28","-2.08"
"205.42","-1.45","1.18","-1.14"
"205.449265","-0.31","-0.63","0.31"
"205.49","-4.51","6.98","-6.94"
"205.519268","-6.16","13.85","-4.51"
"205.559270","-2.55","10.55","-2.67"
"205.60","-6.51","15.22","0.08"
"205.62","-7.10","15.93","-1.84"
"205.649274","-3.41","16.24","0.59"
"205.68","-3.69","14.16","0.00"
"205.71","-3.33","12.20","0.59"
"205.739278","-3.41","10.40","0.75"
"205.779280","-1.57","6.75","1.37"
"205.82","-2.47","2.51","-0.90"
"205.84","-2.94","3.33","0.24"
"205.86","-2.35","1.45","-0.78"
"205.88","-1.69","0.08","1.22"
"205.90","-3.96","4.39","1.26"
"205.93","-4.31","12.36","-4.12"
"205.959288","-5.92","20.01","-16.16"
"205.99","-5.41","2.79","1.73"
"206.029291","-9.41","10.43","0.47"
"206.069293","-2.20","14.63","-0.55"
"206.109295","-7.57","14.91","-1.49"
"206.159297","-3.49","13.30","-1.49"
"206.19","-0.78","9.92","-0.51"
"206.229300","-1.65","8.28","0.75"
"206.269302","-2.55","6.28","1.80"
"206.30","0.71","0.35","-1.14"
"206.339305","-0.08","0.27","0.20"
"206.379307","-1.84","2.59","3.80"
"206.41","-10.04","18.79","-6.55"
"206.44","-6.90","9.65","-6.43"
"206.46","-1.80","8.04","0.08"
"206.489312","-3.41","14.67","-0.71"
"206.53","-3.73","15.61","-1.80"
"206.559315","-5.10","16.24","0.00"
"206.599317","-7.18","13.18","0.35"
"206.63","-2.24","10.79","0.98"
"206.66","-1.29","8.83","0.90"
"206.68","-2.24","7.22","0.82"
"206.709322","-4.24","5.41","1.92"
"206.759324","1.29","2.16","0.39"
"206.79","1.18","2.24","1.53"
"206.819327","-1.33","2.98","2.31"
"206.869329","-6.71","17.30","-10.51"
"206.90","-5.57","5.41","-2.31"
"206.92","-6.43","10.20","2.20"
"206.94","-7.14","17.30","-3.61"
"206.97","-3.88","14.83","-2.47"
"206.99","-4.43","13.85","-1.02"
"207.01","-6.32","14.47","-2.16"
"207.039337","-6.79","13.81","-1.33"
"207.089339","-3.73","13.26","-0.67"
"207.12","-1.88","9.53","0.63"
"207.14","-3.06","7.73","-0.20"
"207.169343","-1.92","3.73","-0.27"
"207.21","-0.43","0.59","-0.31"
"207.23","-0.78","0.98","0.20"
"207.259347","-0.67","0.39","1.69"
"207.30","-4.28","8.08","-8.87"
"207.329350","-5.30","15.30","-3.41"
"207.369352","-4.16","10.08","-0.43"
"207.419354","-6.67","15.65","-3.06"
"207.459356","-7.92","15.42","-0.39"
"207.509358","-6.35","13.73","-0.16"
"207.54","-3.10","9.02","1.69"
"207.56","-4.86","9.45","2.35"
"207.58","-4.00","6.20","2.04"
"207.619363","-1.92","3.92","-0.71"
"207.65","-1.10","4.35","0.43"
"207.679366","-2.00","1.77","0.78"
"207.729368","-1.96","1.26","3.33"
"207.76","-2.00","17.57","-10.16"
"207.78","-3.45","16.28","-5.65"
"207.80","-1.37","2.16","-0.16"
"207.839373","-7.57","8.36","1.84"
"207.879375","-6.20","18.01","-3.18"
"207.91","-5.22","12.63","0.20"
"207.94","-7.49","15.42","-1.10"
"207.96","-6.86","14.24","-0.86"
"207.989380","-3.61","13.14","0.86"
"208.099383","-1.29","3.18","0.00"
"208.14","-0.35","1.29","-0.94"
"208.16","0.16","-0.35","-0.90"
"208.18","-2.31","2.39","-0.67"
"208.209388","-4.28","8.47","-7.53"
"208.259390","-4.67","13.30","-6.55"
"208.29","-0.98","11.73","0.75"
"208.31","-5.49","14.47","-2.20"
"208.349394","-5.65","15.46","0.12"
"208.389396","-5.57","15.93","0.63"
"208.459399","-4.04","11.18","0.12"
"208.49","-4.24","6.67","0.59"
"208.51","-2.94","3.65","-0.43"
"208.53","-1.22","0.78","0.00"
"208.569404","-0.86","2.55","-0.04"
"208.60","-1.53","2.24","-0.71"
"208.629407","-0.82","2.47","2.28"
"208.679409","-2.55","20.01","-14.55"
"208.719411","-5.33","1.96","4.47"
"208.769413","-5.92","19.93","-0.12"
"208.80","-3.80","12.79","2.12"
"208.82","-6.94","13.73","0.39"
"208.84","-7.06","13.26","0.27"
"208.879418","-6.43","13.57","-0.20"
"208.91","-0.12","11.85","-1.06"
"208.939421","-2.28","9.22","-0.94"
"208.989423","-3.69","4.35","0.98"
"209.02","2.47","1.57","0.04"
"209.04","2.04","-0.39","-0.63"
"209.06","-2.67","0.00","-0.39"
"209.099428","-3.77","2.90","0.51"
"209.13","-4.71","14.75","-2.20"
"209.15","-5.22","10.20","-2.47"
"209.18","-1.26","11.14","2.55"
"209.209433","-4.08","14.98","-2.79"
"209.24","-4.98","15.81","-1.37"
"209.269436","-6.24","17.02","0.16"
"209.319438","-5.53","14.08","0.59"
"209.35","-1.92","9.96","2.59"
"209.37","-3.10","7.18","2.47"
"209.40","-2.35","5.57","-1.29"
"209.429443","-2.04","2.51","0.59"
