"NAME:","run_5_1.csv"
"EXPERIMENT TIME:","23/05/2022 13:16"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","130"

"Time [sec]","ACC X","ACC Y","ACC Z"
"29.651350","-9.06","4.04","1.37"
"29.69","-9.14","4.04","1.26"
"29.72","-9.14","4.04","1.33"
"29.741354","-9.02","4.08","1.26"
"29.78","-9.34","4.35","1.22"
"29.80","-8.79","4.35","1.10"
"29.83","-8.94","4.67","0.78"
"29.851359","-9.10","4.47","0.75"
"29.89","-8.83","4.39","1.02"
"29.91","-8.59","4.63","1.02"
"29.94","-8.98","4.75","0.67"
"29.961364","-9.14","4.55","0.67"
"30.00","-8.47","4.79","0.98"
"30.031367","-8.79","4.94","0.71"
"30.071369","-8.36","4.90","0.51"
"30.11","-8.63","4.94","0.51"
"30.141372","-8.63","4.94","0.51"
"30.181374","-8.67","5.45","0.51"
"30.23","-8.39","5.22","0.90"
"30.251377","-8.12","5.22","0.94"
"30.291379","-8.59","5.53","0.67"
"30.34","-8.16","5.26","0.67"
"30.361382","-8.04","5.33","0.31"
"30.401384","-8.43","5.84","0.24"
"30.451386","-8.16","6.86","0.43"
"30.491388","-7.49","6.67","-0.08"
"30.53","-7.45","6.98","0.35"
"30.561391","-6.43","7.02","0.24"
"30.601393","-7.06","7.18","-0.31"
"30.64","-7.26","7.14","-1.02"
"30.671396","-8.04","5.73","-2.00"
"30.711398","-9.81","-0.27","-1.33"
"30.751400","-8.94","3.80","1.49"
"30.80","-9.02","6.59","0.63"
"30.821403","-9.89","5.06","0.78"
"30.86","-12.71","4.12","0.94"
"30.89","-12.79","4.94","0.24"
"30.91","-12.36","5.49","0.71"
"30.93","-11.41","5.73","1.33"
"30.95","-10.59","5.37","1.37"
"30.98","-10.08","4.90","1.77"
"31.00","-9.69","4.28","2.28"
"31.021412","-8.83","4.28","1.88"
"31.061414","-6.83","2.43","1.57"
"31.11","-4.16","2.39","1.80"
"31.131417","-3.57","0.98","0.94"
"31.171419","-6.83","2.63","-0.75"
"31.221421","-10.87","8.59","-1.22"
"31.26","-8.28","1.96","0.27"
"31.28","-12.63","2.35","0.67"
"31.30","-13.22","5.14","-0.90"
"31.331426","-11.96","5.73","0.51"
"31.371428","-12.20","7.02","0.78"
"31.411430","-11.30","6.24","1.06"
"31.46","-10.94","6.98","1.33"
"31.481433","-9.65","6.67","1.69"
"31.521435","-7.26","4.98","1.80"
"31.57","-4.63","2.28","-0.43"
"31.59","-4.00","1.53","0.16"
"31.61","-2.00","2.16","0.43"
"31.641440","-2.47","0.27","0.59"
"31.681442","-7.96","1.73","-2.63"
"31.721444","-11.92","4.79","-1.45"
"31.77","-12.47","5.61","0.00"
"31.791447","-14.87","5.84","-0.12"
"31.831449","-16.12","6.00","0.98"
"31.88","-12.43","6.83","2.31"
"31.901452","-9.73","6.47","2.12"
"31.941454","-9.18","4.79","2.98"
"31.99","-4.55","3.18","1.49"
"32.011457","-3.14","1.10","1.69"
"32.06","-1.45","-0.31","2.12"
"32.081460","-1.65","-0.75","1.26"
"32.121462","-11.18","5.53","-5.81"
"32.17","-3.06","1.33","3.92"
"32.191465","-6.32","2.79","0.71"
"32.231467","-15.49","9.49","0.67"
"32.28","-14.04","7.53","2.31"
"32.30","-12.59","5.06","2.16"
"32.321471","-11.18","5.96","2.16"
"32.441475","-3.41","2.04","0.00"
"32.511478","-0.71","0.86","1.29"
"32.551480","-6.75","1.65","-2.63"
"32.601482","-12.83","6.28","-0.12"
"32.64","-8.43","6.47","1.80"
"32.661485","-11.38","7.18","0.82"
"32.711487","-13.45","6.43","2.75"
"32.751489","-13.49","5.33","2.04"
"32.79","-12.91","6.04","3.41"
"32.82","-10.83","5.69","3.18"
"32.84","-8.71","4.55","3.61"
"32.861494","-8.08","3.37","2.31"
"32.91","-4.20","0.47","1.26"
"32.931497","-4.39","0.78","1.22"
"32.97","-2.94","0.63","1.77"
"32.991500","-5.61","2.24","-0.35"
