NAME:,run_1_1.csv,,
EXPERIMENT TIME:,22-05-22 20:14,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,160,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
392.202,2.67,5.61,6.51
392.355,3.33,9.73,11.06
392.392,1.73,7.92,5.61
392.428,1.53,4.24,2.39
392.465,2.28,0.67,-0.08
392.502,2.39,-1.92,-1.88
392.541,4.24,-2.94,0.71
392.578,12.55,-4.04,20.01
392.618,-5.33,5.84,9.22
392.656,4.08,1.69,2.79
392.692,1.53,0.47,16.87
392.729,-7.45,1.06,4.35
392.767,1.22,7.57,-15.42
392.806,-4.71,6.55,13.49
392.844,-1.65,5.61,7.14
392.882,7.41,-7.77,10.51
392.92,1.73,-0.67,-4.82
392.959,-3.22,-1.53,-8.43
392.998,2.31,-2.51,2.98
393.036,12.91,-1.29,14.71
393.075,20.01,1.69,19.97
393.114,-20.01,20.01,-1.1
393.154,-2.55,7.26,16.71
393.193,-5.1,8.2,4.12
393.231,-1.84,2.51,-6.63
393.269,3.73,-2.12,-3.1
393.308,4.2,-3.3,1.18
393.345,-1.02,0.98,0
393.383,1.06,-3.84,-3.1
393.421,-9.65,4.08,17.34
393.46,9.69,9.81,-4.75
393.497,-3.77,5.37,20.01
393.613,3.53,-0.55,1.61
393.65,0,-4.67,-7.45
393.689,2.67,-2.55,-5.33
393.727,2.47,-0.75,1.29
393.765,9.65,1.53,7.81
393.801,15.46,18.75,20.01
393.841,12.2,2.2,20.01
393.879,-3.02,7.57,18.12
393.918,-4.47,8.47,5.81
393.956,-1.45,2,-1.73
393.994,3.45,-3.18,-3.49
394.033,3.61,-3.84,-2.86
394.071,-3.14,2,0
394.109,-1.29,1.49,1.29
394.146,12.47,-4.79,20.01
394.186,-15.02,12.47,4.98
394.303,8.32,-4.71,7.06
394.341,2,-1.53,-12
394.381,3.84,-4.67,0.31
394.418,-1.22,0.31,-2
394.457,2.47,0.51,3.3
394.493,5.96,-2.2,11.18
394.532,13.61,12.04,20.01
394.571,-13.89,18.95,-6.9
394.612,-2.59,7.65,3.57
