NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-9.53,13.02,4.86
0.046,-9.65,10.59,1.33
0.091,-0.67,2.12,-0.63
0.137,2.43,-1.06,-2.67
0.181,0.08,1.8,0.12
0.226,-2.43,0.12,0.31
0.274,-18.71,-6.16,17.97
0.319,-8.43,20.01,8.75
0.367,-14.4,11.26,-1.57
0.414,-12.79,17.14,8.04
0.459,-9.06,7.88,1.49
0.505,-0.51,1.18,-2.35
0.551,2.43,-1.02,-1.96
0.598,-2.39,-2.08,-1.84
0.641,2,0.47,3.1
0.686,-4.67,2.51,2.86
0.734,-20.01,15.69,10.83
0.781,-9.3,18.36,10.55
0.828,-12.16,12.59,6.79
0.875,-11.96,12.94,5.33
0.921,-0.55,0.51,-5.26
0.966,2.9,-6.39,-3.41
1.01,4.24,0.9,1.1
1.055,-7.69,0.71,1.26
1.1,2.86,2.75,-1.61
1.148,-20.01,-3.84,20.01
1.196,-20.01,20.01,12.08
1.243,-11.53,10,-3.02
1.29,-13.85,15.81,6.59
1.336,-8.36,4.47,-0.08
1.381,-0.24,0.04,1.37
1.426,2.71,-1.77,0
1.473,-1.29,-3.69,-4.59
1.518,-2.35,-0.39,0
1.564,-4.43,3.8,-2
1.612,-20.01,12.32,20.01
1.66,-18.91,19.38,19.22
1.706,-9.49,12.63,8.79
1.753,-14.12,15.65,6.08
1.798,-1.8,5.18,0.86
1.843,2.31,-5.61,-2.39
1.889,2.2,-3.77,-0.63
1.934,-5.57,2.47,0.75
1.98,-1.29,0.98,-1.33
2.028,-20.01,-4.82,15.46
2.075,-4.82,19.93,15.3
2.123,-17.89,13.93,-0.27
2.169,-10.32,16.12,6.51
2.215,-10.94,8.87,2.79
2.261,-2.08,-2.2,9.92
2.307,2.51,-3.73,-0.82
2.352,0.63,-4.94,0.2
2.397,0,-0.86,1.45
2.441,-4.31,2.79,4.98
2.489,-20.01,14.32,20.01
2.536,-7.69,17.53,10.98
2.583,-10.9,13.06,4.67
2.63,-13.69,13.93,2.51
2.676,-0.71,2.47,-1.26
2.722,4.24,-2.59,-0.71
2.767,1.06,-3.22,-1.8
2.813,-4.47,-0.24,1.14
2.859,-3.18,0.86,-0.43
2.906,-13.69,9.49,15.77
2.954,-20.01,10.79,17.53
3.001,-12.32,10.51,7.77
3.049,-13.89,18.87,10
3.093,-8.12,8.51,1.02
3.138,-2.55,1.8,0.55
3.184,2.51,-0.86,-3.53
3.231,-1.65,-0.55,-0.98
3.278,-3.1,-1.69,-1.22
3.323,-1.49,1.65,2.35
3.369,-19.46,9.45,20.01
3.417,-19.1,18.24,18.83
3.462,-4.98,8.39,5.14
3.509,-15.49,17.18,4.79
3.556,-7.77,10.87,-0.751465113
3.739,1.57,3.02,-1.841465296
4.017,-5.33,4.75,-1.73
4.063,1.33,-0.86,-3.1
4.109,0,-1.96,-1.88
4.154,-0.98,1.14,1.22
4.2,-1.57,0,-0.86
4.246,-6.39,5.06,20.01
4.293,-20.01,20.01,-9.3
4.338,-4.08,9.49,2.28
4.385,-13.69,15.02,3.3
4.431,-7.65,11.57,1.77
4.477,-3.57,6.59,-1.8
