NAME:,run_2_1.csv,,
EXPERIMENT TIME:,22-05-22 20:16,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,163,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
516.699,3.53,0.43,6.43
516.735,4.86,2,7.34
516.772,4.98,3.18,9.18
516.808,2.47,5.3,13.61
516.846,1.22,10.04,14.04
516.884,-1.1,9.61,16.87
516.923,-1.88,3.49,16.79
517.035,1.45,-3.22,0.43
517.073,2.47,-3.8,-4.51
517.111,3.61,-2.39,-4.71
517.15,2.55,-2.82,8
517.188,11.85,-2.2,16.48
517.227,20.01,-0.75,20.01
517.267,6.35,11.18,20.01
517.305,-0.55,6.08,11.96
517.344,-2.94,6.2,6.75
517.381,-5.96,8.36,-2.67
517.42,1.49,-1.1,-6.28
517.458,3.41,-2.2,-0.98
517.497,2.94,-3.06,0.12
517.534,-0.82,-0.08,0
517.573,2.98,0.27,8.55
517.684,-0.31,11.1,20.01
517.724,-2.71,6.12,2.9
517.761,4.79,-0.98,11.73
517.8,4.24,-5.57,12.63
517.839,1.73,-1.53,-4.59
517.877,2.08,-3.8,-9.65
517.916,3.3,-2.43,1.06
517.953,11.26,-5.37,13.89
517.993,8.43,10.43,15.73
518.031,-4.71,10.04,2.59
518.07,-0.08,9.81,18.87
518.108,1.49,8.9,12.75
518.146,-2.67,3.06,0.16
518.183,-1.88,2.39,-3.06
518.335,0.04,2.2,-1.02
518.373,-4.67,6.59,20.01
518.411,-9.45,-0.86,14.98
518.451,-3.61,7.57,8.79
518.489,4,1.1,4.67
518.525,4.71,-1.65,12.59
518.564,-0.98,-1.92,3.92
518.602,1.45,-2.08,-5.18
518.641,4.51,-3.73,-4.59
518.679,5.3,-2.75,-0.04
518.718,2.43,-0.04,10.12
518.756,14.55,6.2,16.59
518.795,9.1,-0.55,20.01
518.833,-2.08,8.9,11.81
518.984,-2.04,-2.75,-4.9
519.024,1.61,-1.61,-0.67
519.063,-0.82,4.12,-0.55
519.101,20.01,-12.51,20.01
519.142,-15.46,9.14,19.14
519.181,6.98,4.47,18.32
519.219,1.29,3.57,13.45
519.256,3.77,0.47,15.06
519.294,1.96,0.43,3.53
519.33,-2.24,0.04,3.33
519.368,3.22,-4.12,-6.28
519.406,6.9,-4.9,-1.8
519.445,3.45,1.65,4.35
519.6,6.47,2.98,18.2
519.638,-1.1,5.88,11.38
519.676,-5.06,3.22,1.41
519.714,-1.18,0.12,-4.04
519.752,-1.92,-2.86,-7.77
519.792,5.84,-0.9,4.28
519.829,-2.16,4,-0.9
519.868,18.4,-20.01,20.01
519.908,-15.81,20.01,7.26
519.948,6.86,9.3,13.85
519.985,-0.82,4.08,17.57
520.024,7.41,2.82,16.12
520.061,5.73,1.61,7.1
520.25,-2.63,-0.59,6.55
520.289,17.69,4.63,20.01
520.327,17.77,-7.69,20.01
520.367,-2.82,5.37,6.86
520.404,3.06,5.22,4.79
520.441,-3.22,4.51,4.04
520.478,-2.94,1.65,-2.51
520.517,0.98,-2.43,-3.53
520.555,1.61,-3.45,-3.14
520.594,-2.47,2.71,3.18
520.631,9.92,-11.22,15.53
520.671,-7.34,8,6.32
520.9,0.55,-1.96,-2.59
520.939,3.96,-4.94,-3.61
520.977,1.26,0.43,0.08
521.014,-0.2,-4.79,5.45
521.052,20.01,2.35,20.01
521.091,14.4,-1.22,20.01
521.13,12.36,0.59,13.89
521.169,-1.88,8.63,-2.16
521.207,-0.98,3.26,4.67
521.245,2.71,-0.31,-0.9
521.283,-2.63,-2.59,-9.22
521.323,0.67,-0.27,1.84
521.36,-2.43,4.94,-0.78
521.399,20.01,-20.01,20.01
521.519,-0.43,0.9,10.08
521.557,7.26,-2.98,17.26
521.596,6.47,-2.2,8.98
521.633,2.28,0.24,-7.22
521.671,0.78,-2.31,-7.96
521.709,3.1,-4,-4.12
521.748,-0.59,1.18,5.57
521.785,20.01,2.67,20.01
521.824,15.65,-6.9,20.01
521.864,17.97,2.43,14.98
