"NAME:","run_3.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS","160"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"909.64","-9.06","1.37","-0.75"
"909.74","-10.04","1.96","-0.31"
"909.84","-8.87","2.59","-0.35"
"909.95","-9.02","2.43","-0.31"
"910.05","-10.87","3.96","-0.43"
"910.15","-9.53","1.84","-2.16"
"910.25","-11.61","4.98","-0.86"
"910.36","-16.44","3.57","2.79"
"910.46","-6.00","7.73","1.65"
"910.56","0.31","-2.08","-0.43"
"910.66","-15.61","-4.71","-1.53"
"910.77","-13.65","5.69","-0.35"
"910.87","-11.41","6.90","0.98"
"910.97","0.63","1.22","-2.79"
"911.07","-19.46","3.14","-2.28"
"911.18","-17.06","6.28","5.65"
"911.28","3.73","3.14","-4.51"
"911.38","-1.33","-4.75","0.16"
"911.48","-19.81","13.69","-1.73"
"911.59","-19.46","3.92","-0.12"
"911.69","-1.57","2.24","-4.28"
"911.79","-1.02","-4.75","-2.47"
"911.90","-12.43","12.43","-1.57"
"912.01","-3.37","7.85","2.16"
"912.10","-0.71","-5.02","-0.43"
"912.21","-11.61","1.69","0.94"
"912.31","-11.26","4.28","4.39"
"912.41","-6.98","1.65","-0.94"
"912.52","-2.75","0.82","-1.29"
"912.62","-20.01","-5.92","9.65"
"912.72","-13.10","8.75","3.45"
"912.82","2.20","-1.29","-1.41"
"912.93","-1.41","-4.86","-1.14"
"913.03","-14.44","15.85","-7.37"
"913.14","-13.06","3.33","0.04"
"913.24","0.86","1.37","-3.10"
"913.34","-9.77","-1.33","-0.59"
"913.44","-17.10","11.81","8.71"
"913.55","2.24","2.98","-4.90"
"913.65","-2.39","-5.22","0.43"
"913.75","-20.01","17.89","-6.00"
"913.85","-15.97","4.43","-3.49"
"913.96","-1.18","-0.43","-4.04"
"914.06","-2.24","-4.98","1.37"
"914.17","-19.14","14.51","4.51"
"914.27","-1.73","5.53","-1.65"
"914.37","-1.77","-5.14","-1.45"
"914.48","-20.01","1.49","2.94"
"914.58","-16.51","6.94","2.59"
"914.68","-5.22","0.43","-2.90"
"914.78","0.47","-1.57","-2.08"
"914.88","-20.01","-4.00","-2.31"
"914.99","-7.30","9.26","4.47"
"915.09","1.22","-5.10","0.71"
"915.19","-4.04","-6.86","-2.67"
"915.29","-12.75","6.63","0.75"
"915.40","-9.53","5.02","3.69"
"915.50","0.04","1.57","-2.79"
"915.60","-8.94","-2.79","1.02"
"915.70","-17.65","16.67","7.96"
"915.80","-0.67","0.71","-3.69"
"915.91","-1.22","-5.69","-0.43"
"916.01","-20.01","20.01","-4.82"
"916.12","-14.16","5.26","-1.84"
"916.22","0.04","0.04","-3.65"
"916.32","-2.39","-5.06","-1.69"
"916.42","-20.01","15.49","4.51"
"916.53","-1.77","7.77","-0.12"
"916.63","-2.94","-5.96","-2.04"
"916.73","-16.79","-2.12","1.06"
"916.84","-16.63","6.94","0.63"
"916.94","-3.61","-0.08","-2.94"
"917.04","-1.22","-1.49","-4.20"
"917.15","-16.44","4.43","-1.69"
"917.25","-8.08","10.47","3.65"
"917.35","0.86","-7.92","-0.98"
"917.46","-14.44","-2.86","8.87"
"917.56","-13.69","6.75","1.77"
"917.66","-7.14","0.63","6.35"
"917.76","-2.59","1.57","-1.80"
"917.87","-20.01","-7.88","8.90"
"917.97","-11.14","8.98","2.31"
"918.07","2.67","-1.84","-0.24"
"918.17","-4.51","-7.30","-1.06"
"918.28","-12.16","11.96","-2.24"
"918.38","-10.04","2.94","3.57"
"918.49","1.65","1.77","-2.20"
"918.59","-20.01","3.61","-2.43"
"918.69","-15.34","11.53","8.55"
"918.79","1.33","1.53","-3.45"
"918.90","-0.20","-5.18","1.29"
"919.00","-15.26","17.22","-2.67"
"919.10","-16.04","3.73","-2.00"
"919.21","-0.63","-0.16","-4.00"
"919.31","-4.63","-5.37","4.24"
"919.41","-19.02","11.57","5.22"
"919.52","-2.04","6.47","0.43"
"919.62","-0.75","-5.69","-1.29"
"919.72","-20.01","0.04","4.86"
"919.82","-15.53","8.36","0.98"
"919.93","-4.39","-0.27","-0.55"
"920.03","-2.75","1.61","-3.22"
"920.13","-20.01","-7.02","-0.63"
"920.24","-10.36","7.53","4.35"
"920.34","3.73","-5.45","0.86"
"920.44","-5.14","-7.61","-5.02"
"920.54","-10.79","11.38","-1.69"
"920.65","-9.18","3.57","4.51"
"920.75","2.16","1.61","-3.22"
"920.85","-18.79","-0.47","-2.24"
"920.96","-15.42","10.59","7.92"
"921.06","2.55","2.31","-3.14"
"921.16","0.59","-4.00","-0.12"
"921.26","-18.28","16.44","-4.12"
"921.37","-13.53","3.18","-0.51"
"921.47","1.29","0.94","-3.96"
"921.57","-9.10","-2.94","-1.57"
"921.68","-16.99","9.89","7.77"
"921.78","1.33","4.55","-2.71"
"921.88","-2.51","-6.00","-1.06"
"921.98","-20.01","19.69","-6.35"
"922.09","-16.83","4.71","-3.14"
"922.20","-2.04","-0.04","-4.79"
"922.30","-1.06","-4.55","-2.39"
"922.40","-17.73","12.91","1.37"
"922.51","-3.65","7.30","-2.98"
"922.61","-0.55","-5.10","-0.55"
"922.71","-19.93","-0.75","3.80"
"922.82","-16.59","7.34","-2.28"
"922.92","-3.80","-0.31","-3.06"
"923.03","0.35","-1.84","-2.59"
"923.13","-15.02","7.81","-1.29"
"923.23","-5.77","7.26","2.51"
"923.33","3.77","-7.30","-0.35"
"923.43","-12.08","-2.16","5.14"
"923.54","-12.00","5.30","4.16"
