"NAME:","walk_4.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"398.03","-8.32","1.26","2.24"
"398.13","-9.10","2.24","2.43"
"398.23","-8.16","3.06","2.90"
"398.33","-8.24","2.20","3.10"
"398.43","-8.43","1.53","4.59"
"398.53","-16.99","-0.94","1.80"
"398.63","-9.61","0.71","-1.29"
"398.73","-8.47","-1.41","1.37"
"398.84","-9.85","-0.08","-0.20"
"398.94","-9.45","0.94","0.24"
"399.04","-8.98","-0.04","1.22"
"399.14","-10.79","-0.39","-0.67"
"399.25","-11.77","-1.18","-3.37"
"399.36","-13.65","-4.59","2.55"
"399.46","-9.18","1.33","0.98"
"399.56","-7.45","-0.20","2.12"
"399.66","-5.02","1.69","2.35"
"399.76","-13.89","0.51","3.18"
"399.86","-17.22","-1.57","1.49"
"399.97","-6.04","-2.86","-0.43"
"400.07","-9.89","-2.31","0.59"
"400.17","-9.81","1.29","-0.82"
"400.28","-9.45","2.82","1.69"
"400.38","-10.16","0.04","-0.31"
"400.48","-11.10","-1.22","-1.80"
"400.59","-13.65","-5.65","1.65"
"400.69","-7.22","2.04","0.86"
"400.79","-6.43","-0.27","2.31"
"400.89","-6.59","1.65","3.30"
"400.99","-12.08","3.77","4.98"
"401.10","-15.06","-2.55","0.82"
"401.20","-10.83","-0.94","-1.29"
"401.31","-8.51","-1.14","-0.43"
"401.41","-8.87","1.73","-0.16"
"401.51","-9.41","1.57","-0.78"
"401.61","-11.02","-0.78","0.86"
"401.72","-8.87","-2.08","-0.31"
"401.82","-11.69","2.28","0.82"
"401.92","-5.96","-0.04","1.26"
"402.03","-5.84","0.35","3.14"
"402.13","-11.26","1.41","2.31"
"402.23","-8.43","2.90","4.59"
"402.33","-6.71","-2.47","1.29"
"402.43","-12.32","-0.67","-0.78"
"402.54","-8.75","-0.47","-0.63"
"402.64","-8.55","2.08","0.59"
"402.74","-10.98","0.04","-0.47"
"402.85","-10.43","-1.14","-1.18"
"402.95","-15.73","-5.41","3.18"
"403.06","-8.43","2.47","1.02"
"403.16","-5.92","0.12","1.73"
"403.26","-5.92","1.10","3.06"
"403.36","-12.55","4.04","4.71"
"403.46","-17.77","-4.79","1.80"
"403.56","-6.71","-0.51","-1.10"
"403.67","-8.63","-1.80","-0.31"
"403.77","-9.53","1.53","-0.31"
"403.87","-9.57","0.67","0.08"
"403.97","-10.28","-0.31","-0.71"
"404.08","-9.69","-2.16","-1.22"
"404.18","-12.40","-1.26","1.96"
"404.29","-6.55","1.80","1.41"
"404.39","-5.26","-0.71","2.94"
"404.49","-10.40","0.16","2.86"
"404.59","-10.12","3.37","3.26"
"404.69","-7.61","-2.39","-0.04"
"404.80","-9.85","-1.88","-0.27"
"404.90","-9.02","-0.16","-0.71"
"405.01","-8.87","1.69","0.51"
"405.11","-10.71","0.20","1.14"
"405.21","-11.45","-1.61","-0.94"
"405.31","-15.53","-4.16","2.51"
"405.42","-8.55","2.94","0.90"
"405.52","-7.34","0.16","1.92"
"405.62","-5.61","0.39","3.26"
"405.72","-14.32","0.86","3.49"
"405.82","-14.87","-2.12","3.65"
"405.92","-7.14","-1.41","-0.31"
"406.03","-9.73","-1.06","-0.16"
"406.13","-10.24","0.16","-0.67"
"406.24","-9.65","1.92","0.90"
"406.34","-11.18","-0.16","0.35"
"406.44","-9.96","-1.96","-2.82"
"406.55","-11.81","-3.53","-0.31"
"406.65","-7.65","0.82","1.77"
"406.75","-6.16","-0.16","2.79"
"406.85","-7.96","1.33","1.92"
"406.95","-8.08","5.41","4.79"
"407.05","-8.08","-0.20","2.47"
"407.16","-10.59","-1.53","-0.35"
"407.26","-8.71","-1.18","-0.67"
"407.37","-8.59","2.55","-0.12"
"407.47","-10.51","1.61","-0.20"
"407.57","-11.89","-1.49","0.04"
"407.68","-16.91","-4.86","2.24"
"407.78","-10.24","2.63","1.69"
"407.88","-6.35","0.51","1.33"
"407.98","-5.69","-0.35","2.82"
"408.08","-16.79","0.20","3.57"
"408.19","-16.87","-2.55","1.41"
"408.29","-9.30","-1.84","-1.88"
"408.39","-8.75","-2.35","-0.08"
"408.50","-9.53","1.29","-0.31"
"408.60","-9.61","1.92","0.31"
"408.70","-10.59","-0.31","-1.80"
"408.81","-10.59","-3.14","-0.59"
"408.91","-10.43","-0.59","1.29"
"409.02","-7.57","1.92","2.12"
"409.12","-6.00","0.43","2.35"
"409.22","-10.24","-0.71","2.90"
"409.32","-8.36","3.61","4.79"
"409.42","-9.18","-2.71","1.06"
"409.52","-9.85","-4.12","0.43"
"409.63","-8.71","-0.20","-0.78"
"409.73","-8.83","0.90","0.78"
"409.83","-11.38","-1.14","1.02"
"409.93","-10.87","-2.90","-0.59"
"410.04","-10.20","-2.47","0.63"
"410.14","-7.41","2.12","1.53"
"410.24","-6.04","-0.59","2.28"
"410.35","-11.49","-0.20","3.41"
"410.45","-5.37","5.92","2.51"
"410.55","-8.87","0.78","-2.82"
"410.65","-12.16","-2.24","-0.35"
"410.76","-8.79","-1.53","-0.71"
"410.86","-9.18","2.51","0.82"
"410.96","-11.26","-0.31","0.20"
"411.07","-8.98","-3.69","-3.96"
"411.17","-14.00","-3.30","1.02"
"411.28","-6.20","1.61","0.55"
"411.38","-6.47","-0.08","2.67"
"411.48","-9.57","-0.51","1.84"
"411.58","-5.14","5.73","2.28"
"411.68","-10.90","1.61","-0.39"
"411.79","-12.59","-1.10","0.82"
"411.89","-8.08","0.08","-0.43"
"411.99","-8.71","1.49","0.20"
"412.09","-11.34","-0.08","0.55"
"412.20","-11.77","-0.75","-0.04"
"412.30","-15.53","-3.84","0.78"
"412.41","-9.69","1.84","0.59"
"412.51","-6.86","0.08","2.59"
"412.61","-5.06","0.47","2.75"
"412.71","-13.42","2.16","3.26"
"412.81","-15.30","-3.30","3.37"
"412.91","-7.69","0.51","-0.86"
"413.01","-8.28","-1.33","0.31"
"413.12","-9.69","1.49","0.08"
"413.22","-9.57","0.75","0.12"
"413.32","-11.57","0.82","-0.94"
"413.42","-9.30","-2.63","-2.24"
"413.52","-10.98","-1.22","0.31"
"413.63","-6.83","0.31","1.26"
"413.73","-6.00","0.16","2.98"
"413.83","-10.94","0.43","3.06"
"413.93","-12.36","1.73","2.98"
"414.03","-9.30","-2.55","-0.35"
"414.14","-10.00","-3.10","0.75"
"414.24","-9.10","-0.12","-1.02"
"414.35","-9.65","0.94","0.67"
"414.45","-11.38","0.63","-0.82"
"414.55","-10.12","-2.04","-4.04"
"414.66","-12.67","-4.94","0.78"
"414.76","-7.61","1.14","0.82"
"414.86","-6.35","0.20","2.31"
"414.96","-8.16","1.45","2.35"
