NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,25-05-22 18:08,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.024,-2.63,-0.82,7.53
0.125,-2.9,0.04,7.57
0.127,-3.88,-0.2,7.81
0.137,-1.29,-1.92,8.47
0.156,-2.82,-1.84,8.55
0.189,-2.75,-1.88,10.47
0.213,-3.3,-1.65,9.49
0.284,-5.26,-1.22,10.98
0.348,-4.79,-1.53,13.93
0.416,-2.9,-0.59,13.53
0.469,-8.51,0.55,15.26
0.496,-6.12,1.61,13.89
0.499,-5.1,-2.82,7.69
0.501,-2.51,-4.79,11.02
0.543,-3.06,-3.26,10.43
0.564,-2.63,-1.33,7.22
0.588,-3.06,-0.12,7.3
0.625,-0.71,-2.55,6
0.657,-0.12,-3.37,6.51
0.69,-0.2,-2.16,6.24
0.728,0.67,-2.43,6.94
0.761,0.24,-2.71,7.26
0.793,0.39,-1.49,7.34
0.825,0.67,-1.53,11.02
0.857,2.24,-2.16,11.77
0.894,2.2,-2.63,13.61
0.927,2.51,-5.73,14.51
0.96,2.08,-6.12,13.89
0.978,-0.67,-9.45,17.93
1.003,-4.43,-7.3,10.59
1.038,-1.88,-3.06,5.3
1.069,-3.22,-1.29,10.36
1.104,-1.1,-2.98,11.22
1.138,-3.61,-3.26,9.38
1.169,-4.35,-2.47,8.75
1.192,-0.98,-1.8,6.59
1.227,-2.47,0,6.12
1.299,-3.53,-0.04,7.69
1.368,-3.84,-1.37,8.08
1.394,-3.57,-1.37,8.94
1.417,-3.73,0.2,9.61
1.451,-4.39,-3.22,12.59
1.483,-4.59,-0.86,11.06
1.517,-4.2,0.86,12.43
1.551,-8,-2.43,16.79
1.587,-9.1,1.57,12.12
1.621,-8.24,1.69,7.41
1.653,-2.47,-5.18,7.53
1.689,-3.45,-6.59,13.14
1.724,-4.39,-2.75,14.4
1.758,-4.31,-1.02,8.94
1.777,-2.82,-1.53,5.96
1.799,0.63,-2.04,4.82
1.832,-0.47,-2.51,5.88
1.874,-0.94,-2.35,5.37
1.895,0.67,-2.75,6.67
1.928,1.14,-2.9,6.94
1.961,1.06,-3.8,7.85
1.994,0.98,-2.51,9.69
2.028,1.22,-0.47,13.96
2.064,-1.33,-3.22,16.51
2.139,4.63,-5.77,14
2.213,-1.45,-2.82,15.06
2.271,-4.55,-8.51,7.37
2.338,-3.61,-3.3,7.49
2.357,-1.41,-1.26,10.75
2.361,-1.26,-2.94,6.04
2.385,-2.94,-2.94,5.92
2.418,-3.73,-0.31,7.45
2.451,-2.86,-0.16,7.34
2.475,-1.57,-0.78,8.08
2.51,-1.37,-1.65,7.45
2.586,-2.63,-0.2,9.3
2.653,-2.86,-1.14,10.12
2.689,-5.06,-2.79,13.93
2.705,-2.55,0.59,12.67
2.707,-5.26,0.04,14.98
2.73,-7.85,-3.49,13.89
2.764,-9.89,3.49,7.14
2.796,-6.2,-2.55,12.08
2.833,-4.71,-8.08,12.32
2.864,-3.06,-4,12.4
2.898,-2.79,-0.59,8.51
2.935,-3.45,0.39,4.75
2.966,1.02,-2.79,3.73
2.999,0,-2.28,6.35
3.032,-0.31,-1.37,5.22
3.066,1.8,-2.86,6.63
3.103,1.77,-4.82,7.88
3.136,1.02,-2.2,8.43
3.167,2.51,-0.12,13.61
3.185,0.82,-2.16,17.65
3.23,2.86,-4.94,12.71
3.263,3.02,-5.33,13.73
3.284,-4.59,-3.96,12.63
3.305,-6.28,-11.69,10.67
3.338,-3.18,-3.96,10.28
3.372,-1.29,-0.27,9.57
3.405,-0.75,-0.75,8.39
3.442,-3.65,-0.94,9.65
3.475,-3.02,-2.28,7.81
3.517,-0.55,-2.16,4.31
3.544,-3.65,-0.27,7.85
3.58,-4.51,-0.2,8.2
3.611,-1.84,-0.98,6.59
3.643,-2.24,-0.63,6.43
3.678,-2.75,-0.16,9.38
3.711,-4.16,-1.33,12.75
3.737,-3.45,-3.14,13.3
3.754,-8.2,1.18,15.14
3.797,-6.28,1.65,15.3
3.866,-4.51,-2.98,12.63
3.935,-9.06,2.24,7.37
4.002,-5.22,0.71,9.96
4.067,-6.28,-5.3,11.96
4.08,-3.49,-6.71,14.59
4.139,-4.79,-0.27,8.63
4.184,-3.06,-0.51,3.84
4.2,1.8,-1.57,4
4.203,0.47,-3.22,5.1
4.206,2.12,-2.39,7.65
4.232,3.73,-2.75,13.85
4.288,-0.04,-1.69,18.75
4.307,3.61,-4.94,12.91
4.335,4.16,-4.94,13.53
4.364,0.12,-1.69,13.38
4.397,-6.79,-11.14,11.77
4.43,-4.08,-3.37,10.59
4.469,-0.94,0.08,8.28
4.487,-0.98,-1.53,8.94
4.521,-3.22,-3.26,10.28
4.554,-3.14,-3.02,8.63
4.591,-0.12,-0.82,3.65
4.624,-4.39,-0.43,6.86
4.657,-4.63,0.71,7.61
4.688,-1.61,-0.86,5.96
4.712,-2.47,-1.18,8.04
4.745,-3.92,0.04,10.71
4.78,-2.43,-1.53,10.75
4.811,-2.98,-4.24,14.32
4.848,-4.39,1.53,12.24
4.881,-5.41,0.08,15.73
4.914,-6.2,-4.79,14.08
4.948,-9.77,2.43,6.55
5.297,-4.98,-0.55,10.63
5.783,-3.49,-5.88,12.16
5.796,-5.77,-5.26,14.12
5.801,-3.41,-2.39,11.89
5.935,0.82,-3.22,18.01
5.995,-3.61,0.43,8.36
6.009,-3.3,0.39,10.4
6.048,-4.47,-3.02,14.63
6.061,-2.55,-1.49,11.3
6.063,-4.16,1.8,13.93
6.074,-5.02,-1.61,15.1
6.095,-5.69,-2.2,11.22
6.13,-4.08,-7.61,13.89
6.163,-3.49,-5.57,14.83
6.195,-0.86,-1.29,5.37
6.213,-5.06,2.28,2.47
6.262,0.63,-1.92,3.96
6.28,0.04,-1.8,5.96
6.327,0.59,-2.55,4.79
6.358,1.33,-2.51,5.88
6.438,1.57,-3.45,7.1
6.462,2.51,-2.51,8.28
6.507,2.71,-1.33,14.44
6.542,-1.02,-1.06,19.97
6.544,4.86,-5.1,13.22
6.546,1.37,-7.3,17.1
6.577,-5.88,-4.35,13.38
6.613,-2.71,-9.49,8.12
6.645,-4.08,-1.77,7.14
6.678,-2.71,-0.71,10.36
6.695,-0.98,-3.18,8.36
6.718,-2.47,-1.8,7.26
6.752,-1.57,-1.33,4.79
6.785,-2.16,-1.06,5.26
6.819,-3.61,-0.43,8.63
6.853,-2.63,-0.39,7.34
6.887,-2.04,-0.71,8.12
6.926,-3.96,0.55,9.14
6.955,-3.65,-1.37,10.87
6.997,-4.98,-5.84,15.22
7.022,-2.79,0.55,11.81
7.042,-3.02,5.65,13.61
7.074,-6.63,-2.51,17.02
7.108,-10.2,1.26,10.67
7.139,-3.18,-0.82,7.96
7.174,-5.45,-5.73,10.24
7.198,-3.8,-7.1,14.75
7.232,-6.59,-1.84,11.26
7.265,-2.28,0.04,2.82
7.298,2.08,-2.12,3.88
7.333,1.1,-2,6.39
7.365,0.27,-2.47,4.98
7.398,1.41,-2.59,5.84
7.431,0.9,-2,7.14
7.464,1.77,-2.47,8.12
7.497,2.04,-1.65,12.16
7.533,-0.24,-1.65,18.04
7.567,2.59,-4.82,14.2
7.599,3.1,-5.69,15.3
7.631,-5.92,-2.75,15.22
7.707,-1.45,-9.26,9.92
7.777,-2.67,-1.61,6.24
7.846,-0.71,-0.51,8.79
7.911,-2.55,-1.92,8.39
7.983,-1.57,-2.16,5.61
8.051,-3.37,-1.45,5.49
8.077,-1.37,-0.16,8.83
8.08,-3.33,0.2,8.47
8.083,-2.35,-5.69,14.36
8.096,-6.79,2.98,13.1
8.133,-8.28,0.2,17.53
8.17,-10.67,-1.33,13.22
8.203,-9.85,1.73,7.02
8.235,-3.37,-5.73,9.3
8.268,-2.75,-6,14.2
8.304,-6.2,-3.14,13.89
8.337,-3.3,-0.47,7.45
8.372,1.22,-1.77,2.98
8.404,-0.67,-2.24,6.2
8.426,-0.08,-2,4.98
8.45,0,-2.67,5.45
8.478,0.78,-2.31,6.63
8.512,1.61,-3.33,7.14
8.542,2.2,-2.55,9.22
8.58,2,-1.77,14.71
8.612,-1.73,-3.33,17.73
8.645,3.57,-7.02,13.81
8.683,0.2,-3.84,17.18
8.716,-6.9,-9.61,12.79
8.749,-2.35,-2.86,5.49
8.782,-1.57,0.27,8
8.817,0,-2.43,10.67
8.852,-2.82,-3.18,8.39
8.885,-2.16,-0.63,5.92
8.919,-3.33,-0.75,5.61
8.988,-2.55,-1.06,8.43
9.057,-3.88,-0.63,8.47
9.092,-1.84,-1.45,8.08
9.104,-1.96,-0.51,7.77
9.115,-5.06,-1.61,13.96
9.136,-2.28,-3.61,13.06
9.169,-4.12,3.41,13.18
9.203,-4.55,-1.37,15.77
9.22,-6.94,-2.82,12.55
9.252,-9.34,1.73,5.26
9.284,-3.61,-2.47,10.43
9.318,-3.88,-6.16,14.08
9.352,-7.81,-2.59,14.98
9.388,-1.1,-0.04,5.84
9.423,-0.55,-0.59,2.67
9.456,0.24,-2.71,4.63
9.488,-0.12,-2.71,5.37
9.57,-0.04,-2.55,4.94
9.574,0.39,-2.28,6.86
9.635,1.53,-3.18,7.85
9.702,2.31,-2.47,10.47
9.764,0.71,-1.33,17.1
9.786,4.75,-5.02,13.49
9.815,-0.39,-4.55,5.49
9.836,-1.73,-0.67,9.02
9.872,-0.78,-2.12,11.34
9.908,-3.8,-2.63,8.59
9.944,-1.53,-2.12,5.84
9.968,-2.63,-0.86,5.3
9.986,-2.31,-0.75,6.98
10.018,-3.73,0.08,7.53
10.051,-1.65,-0.63,7.65
10.084,-3.26,-0.43,7.49
10.121,-4.43,-0.31,9.53
10.155,-4.28,-2.51,12.4
10.187,-2.08,-5.06,12.43
10.264,-3.57,1.84,12.24
10.331,-6.51,2.86,15.49
10.377,-6.32,-3.18,15.22
10.398,-11.85,2.94,7.57
10.414,-4.28,-3.57,12.94
10.433,-3.3,-0.59,7.53
10.492,-4.16,0.43,4.39
10.517,0.08,-2.59,4.04
10.532,0.39,-2.16,5.88
10.561,0.04,-2.43,5.26
10.593,1.06,-3.3,7.22
10.63,1.53,-3.57,7.22
10.662,1.92,-2.59,8.75
10.695,3.49,-0.98,14.51
10.729,-1.02,-1.02,20.01
10.765,5.3,-5.53,12.59
10.799,1.02,-4.67,16.4
11.148,-12.32,-10.71,13.89
11.635,-1.45,-4.55,6.32
11.769,-2.08,-0.2,9.18
11.8,-2.31,-1.14,11.45
11.815,-2.39,-3.18,7.49
11.829,0.77,-3,8.53
11.832,2.35,-3.02,11.1
11.848,4.79,-5.33,14.79
11.867,-2.55,-2,13.89
11.9,-4.67,-9.96,10.59
11.938,-3.22,-1.41,10.67
11.97,-1.96,-0.24,6.98
12.005,-1.92,-3.1,9.49
12.037,-4.94,-3.14,9.92
12.074,-0.39,-1.02,6.2
12.108,-2.55,0.43,4.75
12.139,-2.75,-0.08,6.04
12.171,-1.1,-1.65,8.75
12.207,-1.69,-0.59,9.3
12.241,-3.1,1.1,8.32
12.257,-3.26,-1.1,10.71
12.282,-4.59,-5.18,15.61
12.318,-2.79,-0.82,11.92
12.352,-4,3.02,13.77
12.386,-5.73,-5.57,15.22
12.428,-11.53,2.51,6.9
12.445,-5.45,0.47,9.73
12.488,-6.63,-5.77,11.77
12.523,-4.24,-6.63,14.95
12.558,-6.04,-2.31,13.06
12.591,-3.57,0.04,4
12.624,1.8,-1.65,2.86
12.643,-0.39,-2.51,6.2
12.668,1.02,-2.08,5.1
12.7,0.71,-2.31,5.02
12.735,1.29,-2.79,6.32
12.809,2.63,-2.75,7.73
12.826,2,-2.55,12.32
12.88,-0.55,-1.73,20.01
12.927,2.94,-5.18,14.98
12.961,-6.9,-4.94,12.63
