NAME: ,team10 walk3,,
EXPERIMENT TIME: ,Mon May 23 13:27:22 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,96,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-7.92,5.39,-2.29
0.1,-7.15,5.32,-1.95
0.2,-8.15,6.39,-1.95
0.3,-7.04,6.23,-2.45
0.4,-7.34,6.23,-2.22
0.5,-6.85,6.31,-1.49
0.6,-7.5,6.5,-1.22
0.7,-7.34,6.54,-1.45
0.8,-8.76,8.8,-4.28
0.9,-8.15,6.88,-4.21
1,-7.3,4.13,-1.84
1.1,-5.7,2.6,-0.34
1.2,-7.5,2.33,1.22
1.3,-11.17,5.05,3.98
1.4,-13.88,2.56,-3.6
1.5,-11.44,7.46,-2.83
1.6,-7.27,3.67,-2.87
1.7,-5.85,4.05,-2.52
1.8,-6.43,5.58,-0.42
1.9,-8.72,6.58,0.08
2,-9.83,7.92,-5.32
2.1,-11.17,7.84,-3.98
2.2,-7.46,4.59,-2.07
2.3,-5.05,2.41,-1.07
2.4,-7.99,2.45,0.5
2.5,-12.93,4.44,3.98
2.6,-17.25,3.67,-3.52
2.7,-14.3,8.91,-2.52
2.8,-6.12,2.64,-2.75
2.9,-6.16,4.67,-2.1
3,-7.15,5.12,-0.57
3.1,-10.48,7.65,-0.76
3.2,-8.41,6.92,-6.08
3.3,-10.21,6.85,-2.83
3.4,-4.63,2.94,-1.11
3.5,-7.38,1.3,-1.87
3.6,-8.3,4.93,-0.15
3.7,-9.52,7.73,0.8
3.8,-8.95,1.84,-4.97
3.9,-8.15,5.28,-2.91
4,-6.69,3.48,-2.91
4.1,-6.88,5.55,-0.5
4.2,-8.38,4.51,-1.95
4.3,-10.4,8.64,-2.6443354
4.5,-9.26,6.12,-4.0943356
4.7,-6.96,2.07,-0.92
4.8,-7.3,5.12,0.65
4.9,-8.87,7.42,-0.69
5,-6.81,2.14,-4.28
5.1,-10.4,5.93,-2.41
5.2,-6.65,4.32,-2.52
5.3,-6.43,5.66,-1.03
5.4,-7.53,4.9,-1.42
5.5,-10.86,7.23,-3.21
5.6,-9.1,5.39,-6.62
5.7,-10.17,7.11,-3.75
5.8,-4.36,3.1,-0.04
5.9,-5.85,1.34,-0.27
6,-10.36,5.55,-0.65
6.1,-6.85,5.28,-0.27
6.2,-6.46,2.26,-4.74
6.3,-7.46,6.77,-1.34
6.4,-4.74,3.14,-2.18
6.5,-7.73,4.13,-1.68
6.6,-8.8,4.51,-2.37
6.7,-10.36,9.41,-4.09
6.8,-9.22,4.9,-5.01
6.9,-7.96,7.19,-1.61
7,-4.86,2.52,-1.95
7.1,-6.58,2.56,-0.8
7.2,-9.56,5.16,2.1
7.3,-6.23,6.54,-3.94
7.4,-3.71,4.86,-3.21
7.5,-7.76,6.27,-2.14
7.6,-4.74,5.66,-2.33
7.7,-8.38,5.85,-2.87
7.8,-7.57,5.35,-1.99
7.9,-8.41,9.6,-3.48
8,-6.5,6.81,-5.16
8.1,-8.34,8.15,-2.6
8.2,-6.46,3.17,-2.87
8.3,-5.58,2.18,-0.99
8.4,-8.8,4.25,-0.08
8.5,-9.26,6.62,0
8.6,-7.5,2.33,-2.6
8.7,-8.3,6.16,-1.61
8.8,-5.39,4.7,-1.72
8.9,-7.46,5.05,-1.11
9,-7.73,5.12,-1.45
9.1,-9.79,8.15,-1.07
9.2,-8.15,5.97,-4.51
9.3,-8.76,6.58,-3.06
9.4,-5.78,3.71,-2.22
9.5,-5.85,2.49,-0.84
9.6,-7.53,4.59,0.1143407
10.4,-9.18,7.38,-6.54
10.5,-10.25,6.54,-3.06
10.6,-4.97,3.1,-1.53
10.7,-5.58,1.11,-1.53
10.8,-9.1,4.4,-0.11
10.9,-9.6,7.23,0.46
11,-6.62,2.29,-4.78
11.1,-10.17,5.89,-2.41
11.2,-6.96,3.14,-2.41
11.3,-7.19,4.86,-0.42
11.4,-8.18,4.55,-0.38
11.5,-9.18,6.54,-1.19
11.6,-10.4,7.23,-5.55
11.7,-10.67,5.89,-3.56
11.8,-6.73,3.52,-1.61
11.9,-5.93,1.84,-0.5
12,-8.49,4.78,-0.31
12.1,-10.14,7.23,0.54
12.2,-7.42,2.83,-3.94
12.3,-8.38,5.43,-1.84
12.4,-5.01,3.48,-2.29
12.5,-6.77,4.93,-1.19
12.6,-9.06,5.05,-1.72
12.7,-11.44,7.76,-5.16
12.8,-8.91,5.58,-4.78
12.9,-8.38,5.89,-2.1
13,-5.58,2.18,-1.72
13.1,-6.62,1.42,-1.11
13.2,-11.59,5.66,1.68
13.3,-13.5,4.55,-2.87
13.4,-5.97,5.55,-3.71
13.5,-6.69,2.87,-3.17
13.6,-5.32,4.78,-1.61
13.7,-7,4.97,0.23
13.8,-8.76,6,-0.65
13.9,-9.41,7.96,-3.9
14,-10.86,6.92,-4.47
14.1,-6.46,5.09,-1.68
14.2,-4.55,1.68,-0.73
14.3,-9.06,3.02,1.03
14.4,-11.55,6.04,2.18
14.5,-8.61,5.05,-4.36
14.6,-12.51,7,-3.02
14.7,-5.66,3.94,-2.22
14.8,-7.19,3.94,-2.87
14.9,-7.08,5.32,-1.19
15,-9.64,6.23,0.15
15.1,-8.18,6.27,-6.46
15.2,-9.94,8.41,-3.75
15.3,-5.24,4.13,-2.52
15.4,-4.47,1.61,-1.95
15.5,-9.37,4.93,1.0743466
16.1,-6.73,6.04,-1.11
16.2,-9.75,5.51,-1.26
16.3,-9.64,10.17,-4.7
16.4,-10.29,9.6,-4.47
16.5,-6.54,4.21,-2.91
16.6,-3.82,2.6,-1.57
16.7,-9.14,1.34,-0.57
16.8,-9.14,6.08,4.55
16.9,-13.46,3.63,-4.7
17,-14.34,7.84,-2.98
17.1,-6.08,3.06,-1.72
17.2,-6.27,3.44,-1.95
17.3,-7.3,4.51,-0.65
17.4,-10.63,6.23,-1.53
17.5,-12.24,8.18,-9.1
17.6,-9.91,6.35,-5.89
17.7,-5.78,3.33,-2.52
17.8,-3.86,1.07,-1.11
17.9,-8.26,4.97,-0.31
18,-7.8,6.39,2.45
18.1,-7.04,1.87,-3.02
18.2,-10.86,5.43,-2.49
18.3,-4.63,3.56,-2.79
18.4,-6.46,4.7,-0.88
18.5,-9.37,5.97,-2.18
18.6,-10.25,9.79,-5.62
18.7,-8.64,6.16,-4.74
18.8,-8.64,6.81,-3.29
18.9,-2.98,2.26,-2.1
19,-5.47,0.5,-0.84
19.1,-13.85,5.12,4.21
19.2,-13.42,4.9,-2.6
19.3,-15.91,9.56,-2.29
19.4,-7,4.36,-2.37
19.5,-4.82,3.14,-1.68
19.6,-6.88,6.04,-0.65
19.7,-10.86,6.23,0.27
19.8,-10.56,8.61,-7
19.9,-10.98,7.42,-4.47
20,-7.08,4.51,-2.64
20.1,-3.71,1.26,-1.38
20.2,-6.85,2.68,-1.87
20.3,-11.05,8.95,4.21
20.4,-10.98,2.41,-5.28
20.5,-9.98,6.77,-3.17
20.6,-5.24,2.22,-3.14
20.7,-6.04,4.93,-1.22
20.8,-8.91,5.01,-1.19
20.9,-9.71,6.58,-1.22
21,-9.87,6.62,-7.5043521
21.8,-5.05,3.25,-1.99
21.9,-7.99,5.01,-0.31
22,-11.4,5.89,-0.8
22.1,-8.53,8.15,-5.16
22.2,-11.93,7.46,-3.9
22.3,-6.35,4.51,-2.33
22.4,-3.94,0.92,-2.14
22.5,-10.52,2.37,-0.31
22.6,-11.82,5.66,4.82
22.7,-14.76,2.98,-3.98
22.8,-12.85,7.92,-3.17
22.9,-6.08,2.68,-3.25
23,-5.85,3.98,-1.91
23.1,-8.18,5.05,-1.38
23.2,-10.86,5.01,-0.96
23.3,-10.21,6.46,-8.64
23.4,-10.86,6.08,-4.17
23.5,-6.08,2.94,-1.53
23.6,-5.01,0.69,-1.8
23.7,-8.99,5.58,-1.95
23.8,-9.98,6.43,0.15
23.9,-9.1,3.29,-4.59
24,-14.5,5.62,-3.63
24.1,-6.73,3.25,-3.52
24.2,-6.62,6.2,-0.15
24.3,-7.23,4.44,-0.04
24.4,-10.59,4.36,-0.73
24.5,-8.64,7.08,-4.17
24.6,-12.54,5.93,-4.17
24.7,-7,5.01,-0.31
24.8,-4.86,0.96,-0.92
24.9,-8.83,2.94,-1.34
25,-11.17,5.55,-0.73
25.1,-11.17,2.14,-5.93
25.2,-10.21,6.39,-4.17
25.3,-6.58,3.37,-3.25
25.4,-6.58,4.9,-0.84
25.5,-7.92,5.05,0.11
25.6,-10.9,8.95,-1.38
25.7,-7.38,4.51,-5.16
25.8,-10.17,7.5,-2.49
25.9,-5.81,3.33,-2.64
26,-5.39,2.33,-0.27
26.1,-9.56,1.95,-0.69
26.2,-7.42,6.46,-4.02
26.3,-5.05,4.93,-2.26
26.4,-7.84,4.97,-1.03
26.5,-4.63,3.29,-3.6
26.6,-6.62,2.56,-2.56
26.7,-9.75,7.76,-1.3443578
27.5,-12.43,8.07,-2.64
27.6,-5.93,3.56,-2.49
27.7,-5.62,4.55,-1.45
27.8,-7.42,4.97,-1.11
27.9,-10.33,5.66,-0.08
28,-10.29,7.23,-5.51
28.1,-11.13,6.62,-5.16
28.2,-6.73,5.43,-2.03
28.3,-4.82,1.45,-1.45
28.4,-6.58,3.48,-0.54
28.5,-13.54,5.39,4.13
28.6,-11.82,6.04,-5.2
28.7,-9.75,8.07,-3.33
28.8,-5.89,2.94,-3.6
28.9,-5.43,3.06,-1.99
29,-9.1,5.28,-2.91
29.1,-9.68,7.65,-0.84
29.2,-11.44,7.53,-8.41
29.3,-9.1,6.04,-3.21
29.4,-3.82,1.91,-1.3
29.5,-4.44,0.99,-0.88
29.6,-11.44,5.24,1.64
29.7,-14.19,4.9,-3.17
29.8,-5.16,4.59,-2.56
29.9,-7.27,3.82,-1.87
30,-5.85,3.56,-2.26
30.1,-6.08,3.86,-1.26
30.2,-11.01,6.16,-0.34
30.3,-8.72,6.62,-5.39
30.4,-12.28,6.85,-5.97
30.5,-7.19,5.7,-1.8
30.6,-2.52,1.34,-1.19
30.7,-5.62,1.76,-0.73
30.8,-14.46,5.35,3.21
30.9,-17.21,4.28,-5.97
31,-13.88,9.33,-3.17
31.1,-5.16,4.05,-2.6
31.2,-6.81,3.56,-2.75
31.3,-5.05,3.82,-0.54
31.4,-12.32,5.55,-1.45
31.5,-9.03,9.41,-5.55
31.6,-11.13,8.03,-6.27
31.7,-8.11,5.2,-3.9
31.8,-3.44,1.38,-0.76
31.9,-4.47,0.76,0.42
32,-14.53,2.41,1.26
32.1,-17.55,4.25,-3.4
32.2,-9.48,7,-4.28
32.3,-6.23,4.36,-2.45
32.4,-5.35,4.32,-2.6843635
32.6,-11.44,4.86,-1.1943637
33.2,-11.51,5.01,1.68
33.3,-19.58,1.8,-0.23
33.4,-11.7,7.11,-5.97
33.5,-6.23,4.47,-4.32
33.6,-6.04,4.4,-2.6
33.7,-6.77,5.47,0.5
33.8,-10.29,4.59,-0.54
33.9,-11.47,7.38,-6.77
34,-9.98,6.69,-5.7
34.1,-6.77,4.44,-2.94
34.2,-5.35,1.07,-1.53
34.3,-8.18,3.44,1.91
34.4,-11.63,5.05,-0.04
34.5,-6.04,3.37,-7.08
34.6,-9.94,4.74,-3.06
34.7,-5.24,2.52,-3.4
34.8,-5.7,4.4,-1.57
34.9,-7.99,4.21,-2.18
35,-10.14,6.54,-2.03
