NAME:,walk_5_1.csv,,
EXPERIMENT TIME:,24-05-2022_2352,,
ACTIVITY TYPE:,Walk,,
COUNT OF ACTUAL STEPS:,76,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.55,-8.87,-2.63
0.585827,-5.37,-8.83,-2.12
1.172155,-4.82,-8.63,-0.82
1.758984,-1.22,-8.79,-2.94
2.346314,-2,-10.2,-2.59
2.934145,-1.77,-8.98,-0.27
3.522477,-1.57,-8.83,-2.55
4.11131,-0.9,-11.85,-3.33
4.700644,-2.79,-8,-0.94
5.290479,-2.59,-9.61,-2.31
5.880815,-0.75,-10.2,-1.33
6.471652,-1.18,-8.9,-0.27
7.06299,-4.24,-9.73,-3.49
7.654829,-1.02,-9.73,-1.73
8.247169,-1.61,-9.22,-0.67
8.84001,-3.73,-8.63,-2.2
9.433352,0.08,-9.57,-2
10.027195,-1.65,-9.53,-0.78
10.621539,-3.1,-8.79,-2.47
11.216384,-0.04,-9.65,-1.77
11.81173,-1.29,-9.45,-0.75
12.407577,-2.24,-7.34,-0.63
13.003925,-0.71,-9.77,-0.98
13.600774,-2.2,-10.08,-1.45
14.198124,-4.51,-10.63,-0.35
14.795975,-1.18,-9.53,-0.9
15.394327,-1.88,-9.96,-2.12
15.99318,-0.67,-10.04,0.2
16.592534,-1.26,-9.81,-1.41
17.192389,-2.43,-8.12,-1.96
17.792745,-1.57,-9.81,0.27
18.393602,-1.92,-9.26,-1.53
18.99496,-3.18,-12.63,-2.75
19.596819,-1.1,-8.51,-0.47
20.199179,-5.14,-8.87,-1.53
20.80204,-0.94,-9.41,-0.9
21.405402,-1.65,-8.94,-0.71
22.009265,-3.57,-8.71,-3.14
22.613629,0.04,-9.57,-1.49
23.218494,-1.41,-8.94,-0.24
23.82386,-3.22,-9.26,-2
24.429727,-0.2,-9.49,-1.37
25.036095,-1.45,-10.04,-0.94
25.642964,-2.51,-9.92,-0.27
26.250334,-0.98,-9.45,-1.37
26.858205,-2.39,-10.24,-1.8
27.466577,-2.39,-13.26,-1.26
28.07545,-1.73,-9.61,-1.69
28.684824,-2.63,-8.04,-2.79
29.294699,-1.45,-9.18,-0.71
29.905075,-2.98,-9.06,-2.43
30.515952,-1.49,-10.83,-1.88
31.12733,-1.33,-8.79,-0.24
31.739209,-3.26,-9.18,-2.63
32.351589,0.12,-9.65,-1.37
32.96447,-1.84,-10,-1.45
33.577852,-4.75,-10.28,-0.75
34.191735,-1.06,-9.65,-1.33
34.806119,-2.2,-9.49,-1.65
35.421004,-0.98,-9.3,0.08
36.03639,-2.47,-9.41,-2.12
36.652277,-0.98,-9.65,-1.65
37.268665,-1.73,-9.34,-0.51
37.885554,-2.28,-8.24,-0.63
38.502944,-1.57,-9.45,-1.1
39.120835,-2.9,-9.02,-3.1
39.739227,-2.55,-10.2,0.04
40.35812,-1.45,-9.53,-1.57
40.977514,-2.71,-10.08,-2.16
41.597409,-0.71,-9.1,-0.04
42.217805,-2.43,-9.45,-2.04
42.838702,-0.82,-9.57,-1.06
43.4601,-1.61,-8.32,-0.47
44.081999,-3.06,-9.26,-2.79
44.704399,-0.71,-9.57,-1.33
45.3273,-2.12,-9.18,-1.1
45.950702,-4.94,-10.98,-0.43
46.574605,-1.02,-9.96,-0.86
47.199009,-2.75,-11.1,-1.65
47.823914,0.59,-10.51,0.78
48.44932,-0.78,-9.65,-1.53
49.075227,-2.59,-8.43,-2.28
49.701635,-1.06,-9.18,0.08
50.328544,-2.47,-9.49,-1.61
50.955954,-1.1,-10.43,-1.84
51.583865,-1.49,-8.59,-0.39
52.212277,-2.55,-9.53,-2.47
52.84119,-0.31,-9.73,-1.41
53.470604,-1.88,-8.98,-0.35
54.100519,-3.22,-8.87,-2.51
54.730935,-0.78,-9.34,-1.29
55.361852,-2.55,-9.92,-1.61
55.99327,-3.45,-12.51,-0.82
56.625189,-1.37,-9.45,-1.14
57.257609,-2.43,-8.98,-2.24
57.89053,-0.43,-9.49,0.12
58.523952,-2.28,-9.41,-2.12
59.157875,-0.39,-10.51,-2.35
59.792299,-1.26,-8.32,-0.16
60.427224,-2.55,-8.87,-1.8
61.06265,-1.92,-9.57,-1.14
61.698577,-1.65,-9.06,-0.43
62.335005,-2.28,-9.14,-0.43
62.971934,-1.57,-9.57,-1.53
63.609364,-2.71,-10.79,-2.08
64.247295,-2.16,-12.63,-0.75
64.885727,-1.73,-9.61,-1.18
65.52466,-2.51,-8.32,-2.51
66.164094,-1.22,-10.16,0.2
66.804029,-2.35,-9.26,-2
67.444465,-1.45,-11.81,-2.43
68.085402,-1.33,-8.75,-0.31
68.72684,-3.1,-9.96,-2.08
69.368779,-1.45,-9.49,-0.86
70.011219,-1.49,-9.65,-2.35
70.65416,-2.79,-10.83,-3.02
71.297602,-2.2,-9.1,-5.1
71.941545,-1.33,-9.85,-2.43
72.585989,-1.73,-8.36,-0.86
73.230934,-2.43,-9.26,-2.28
73.87638,-1.57,-10,-1.69
74.522327,-1.45,-8.43,-0.35
75.168775,-2.82,-9.02,-2.71
75.815724,-0.35,-10.28,-1.45
76.463174,-0.71,-8.32,-0.47
77.111125,-2.43,-8.51,-3.96
77.759577,-3.65,-8.83,-2.04
78.40853,-5.49,-8.36,-3.53
79.057984,-5.77,-8.24,-3.37
79.707939,-5.45,-8.39,-3.33
