NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,24/05/2022 19:00,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
279.25,-9.26,3.02,1.61
279.29,-9.34,2.39,1.49
279.33,-9.22,3.02,1.49
279.38,-9.3,3.26,1.45
279.42,-9.06,2.51,1.18
279.46,-9.38,3.02,1.1
279.5,-9.41,2.86,0.98
279.54,-9.49,3.06,0.75
279.59,-9.41,2.98,0.86
279.63,-9.89,3.02,0.67
279.67,-9.65,3.14,0.35
279.71,-9.85,2.94,-0.24
279.75,-9.41,2.16,-0.35
279.8,-10.04,1.06,-0.71
279.84,-10.4,2.67,-1.26
279.88,-10.36,2.47,-0.82
279.92,-9.06,2.94,-0.27
279.96,-9.22,2.12,-0.59
280.01,-10.43,1.65,-1.57
280.05,-10.36,1.61,-1.69
280.09,-9.22,2,-1.22
280.13,-9.41,2.24,-1.49
280.17,-8.51,1.96,-1.41
280.22,-7.69,1.69,-0.9
280.26,-8.67,1.65,-2
280.3,-9.18,2.16,-1.65
280.34,-9.26,1.84,-1.49
280.38,-9.41,2.51,-1.88
280.43,-8.39,2.31,-1.88
280.47,-6.71,2.9,-2.16
280.51,-12.63,6.75,0.59
280.55,-20.01,6.24,-1.41
280.59,-4.94,0.2,0.9
280.64,-5.92,0.24,2.79
280.68,-13.93,3.96,8.04
280.72,-5.41,3.26,3.41
280.76,-6.35,5.84,4.12
280.8,-8.2,2.12,-0.24
280.85,-10.43,0.35,0.2
280.89,-11.22,-0.75,-0.86
280.93,-9.49,-0.9,-0.82
280.97,-8.55,1.33,0.67
281.01,-8.2,2.43,1.73
281.06,-9.65,1.88,1.53
281.1,-8.75,1.26,-2.28
281.14,-13.22,-0.98,-3.49
281.18,-17.73,0.31,-3.33
281.22,-13.3,4.98,8.2
281.27,-20.01,13.85,8.16
281.31,-8.67,4.31,1.77
281.35,-8.12,0.9,-0.35
281.39,-7.96,2,-0.43
281.43,-6.28,2.04,0.08
281.48,-3.92,2.86,1.53
281.52,-3.8,2.39,1.02
281.56,-6.12,1.29,-1.88
281.6,-9.69,1.69,-2.98
281.64,-9.81,2.51,-3.57
281.69,-11.34,1.96,-3.18
281.73,-9.92,-1.57,-1.22
281.77,-20.01,16.04,8.63
281.81,-13.26,3.26,4.12
281.85,-4.82,0.47,1.84
281.9,-12.59,3.57,5.92
281.94,-8,3.02,4.39
281.98,-5.84,6.86,1.69
282.02,-10.83,1.33,-1.22
282.06,-10.67,-0.47,-1.18
282.11,-8.12,-0.51,-2.51
282.15,-10.2,0.9,-0.78
282.19,-7.22,0.67,-0.2
282.23,-8.08,0.82,0.27
282.27,-10.63,2.08,-2.04
282.32,-12.75,-0.43,-0.86
282.36,-15.69,-0.98,1.22
282.4,-14.32,7.57,3.77
282.44,-16.2,8.43,7.65
282.48,-11.57,5.3,2.12
282.53,-9.69,2.24,0.63
282.57,-9.53,1.02,-0.98
282.61,-7.53,0,-1.73
282.65,-2.82,1.45,-0.51
282.69,-3.96,0.98,0.24
282.74,-4.59,0.98,-0.43
282.78,-7.92,2.67,-0.24
282.82,-12.91,4.67,-2.59
282.86,-15.93,-1.06,-8.04
282.9,-12.67,-0.98,-1.41
282.95,-15.49,5.41,-0.27
282.99,-5.92,3.14,2.71
283.03,-11.02,3.61,5.96
283.07,-8.87,3.41,5.61
283.11,-4.51,4.86,0.47
283.16,-7.92,3.33,-0.39
283.2,-8.32,2.08,0.47
283.24,-9.92,0.12,-1.26
283.28,-10.94,1.61,-2.12
283.32,-9.3,0.71,0.82
283.37,-8.59,0.55,1.77
283.41,-10.9,1.14,-0.47
283.45,-10.32,-0.08,-3.33
283.49,-13.38,-3.1,-0.75
283.53,-10.63,7.69,4.04
283.58,-16.24,9.81,4.67
283.62,-16.59,11.22,4.86
283.66,-11.65,1.57,1.57
283.7,-10.24,0.98,-1.73
283.74,-9.38,-0.27,-2.47
283.79,-5.02,1.33,-0.78
283.83,-0.27,-0.04,0.08
283.87,-0.43,-0.27,0.59
283.91,-3.88,2,1.84
283.95,-5.49,3.45,-0.08
284,-14.24,6.63,-0.98
284.04,-19.22,3.3,-7.61
284.08,-12.75,1.73,0.82
284.12,-20.01,6,4.55
284.16,-2.86,-1.14,3.3
284.21,-5.1,0.27,5.22
284.25,-15.34,1.92,7.81
284.29,-1.45,10.2,-4
284.33,-9.49,5.02,-1.77
284.37,-9.45,1.49,-0.27
284.42,-7.77,-0.47,0.82
284.46,-7.1,1.29,-0.39
284.5,-10.83,2.55,1.1
