"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","2022-05-25 22:12"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","104"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"619.464","-1.26","-6.51","2.35"
"619.496","0.31","-5.53","2.20"
"619.528","1.88","-6.39","3.02"
"619.56","3.10","-8.39","2.16"
"619.592","4.75","-10.83","4.20"
"619.624","5.81","-9.96","5.49"
"619.656","5.61","-9.34","0.75619686"
"619.778","-0.71","-8.59","-0.31"
"619.81","-0.16","-8.12","-0.31"
"619.842","-0.86","-10.43","1.73"
"619.874","1.10","-9.26","1.69"
"619.906","1.10","-7.77","2.71"
"619.938","-0.75","-8.51","1.26"
"619.97","-0.47","-8.08","0.67"
"620.002","0.27","-8.39","2.43"
"620.034","1.06","-8.00","2.59"
"620.066","1.65","-7.88","1.22"
"620.098","0.94","-8.04","2.47"
"620.13","1.18","-8.55","3.30"
"620.162","1.26","-8.71","2.63"
"620.194","0.00","-9.73","2.28"
"620.226","-1.69","-11.45","2.98"
"620.258","1.22","-10.75","3.80"
"620.29","2.63","-11.49","3.49"
"620.322","3.49","-9.61","3.18"
"620.354","2.59","-8.87","-0.47"
"620.386","0.43","-9.41","1.69"
"620.418","-4.71","-12.75","7.26"
"620.45","-1.88","-10.51","1.80"
"620.482","1.18","-10.04","0.63"
"620.514","1.10","-9.41","5.18"
"620.546","0.67","-8.79","3.88"
"620.578","1.14","-7.37","1.61"
"620.61","1.37","-6.43","0.82"
"620.642","0.82","-6.24","1.41"
"620.674","-1.45","-6.35","2.35"
"620.706","-0.59","-5.53","1.80"
"620.738","1.84","-6.63","3.53"
"620.77","3.30","-9.06","2.71"
"620.802","4.39","-11.34","4.00"
"620.835","5.02","-10.51","7.61"
"620.867","5.22","-10.94","0.98"
"620.899","2.04","-15.10","2.20"
"620.931","-4.47","-9.41","8.24"
"620.963","-0.12","-8.12","1.10"
"620.995","1.37","-8.51","-0.24"
"621.027","-0.43","-10.32","1.80"
"621.059","-0.94","-9.53","1.45"
"621.091","0.12","-8.28","1.18"
"621.123","0.12","-8.47","2.04"
"621.155","-0.04","-8.12","1.02"
"621.187","0.00","-7.85","1.10"
"621.219","0.12","-8.20","2.35"
"621.251","0.86","-8.08","1.69"
"621.283","0.98","-8.43","1.84"
"621.315","1.77","-8.59","2.67"
"621.347","2.24","-8.47","2.55"
"621.379","2.08","-9.06","2.28"
"621.411","0.86","-10.55","1.80"
"621.443","0.63","-10.47","2.90"
"621.475","-0.59","-9.89","1.96621507"
"621.629","-4.31","-13.02","5.33"
"621.661","-3.10","-11.34","1.06"
"621.693","-0.12","-9.89","2.67"
"621.725","0.51","-8.98","4.24"
"621.757","1.18","-8.28","3.02"
"621.789","1.88","-7.53","1.45"
"621.821","1.22","-6.16","1.84"
"621.853","-1.45","-6.24","1.84"
"621.887","-0.59","-5.53","1.80"
"621.919","1.80","-5.14","3.06621953"
"622.752","2.35","-9.10","0.35"
"622.784","0.39","-7.81","2.28"
"622.816","-2.12","-10.75","5.18"
"622.848","-2.35","-12.63","3.33"
"622.88","-0.67","-10.87","0.75"
"622.912","-0.31","-9.57","4.39"
"622.944","0.04","-8.63","4.04"
"622.976","1.41","-6.98","1.73"
"623.008","1.49","-6.32","1.33"
"623.04","0.24","-6.16","1.80"
"623.072","-0.71","-6.12","2.20"
"623.104","0.59","-5.22","1.92"
"623.136","2.24","-6.24","3.02"
"623.168","3.18","-8.75","1.57"
"623.2","4.35","-10.98","4.94"
"623.232","5.10","-11.10","7.37"
"623.264","4.08","-7.30","0.08"
"623.296","4.16","-14.47","0.39"
"623.328","-2.90","-11.30","13.10"
"623.36","-0.78","-11.34","1.92623391"
"623.514","-0.59","-8.20","2.51"
"623.546","-1.06","-8.51","1.02"
"623.578","0.27","-8.24","0.27"
"623.61","1.02","-8.16","2.28"
"623.642","1.69","-7.81","2.39"
"623.674","1.73","-8.12","1.45"
"623.706","1.26","-7.92","2.47"
"623.738","2.39","-8.16","2.82"
"623.77","1.77","-8.32","1.92"
"623.802","0.00","-10.00","2.00"
"623.834","-1.65","-10.40","3.33"
"623.866","-0.27","-10.24","3.49"
"623.898","0.31","-11.41","1.84"
"623.93","2.59","-11.30","5.45"
"623.962","1.65","-7.14","-0.78"
"623.994","1.73","-8.04","0.24"
"624.026","-0.90","-11.18","4.71"
"624.058","-3.22","-14.08","6.24"
"624.09","-0.24","-10.63","0.16"
"624.122","1.22","-8.71","3.41"
"624.154","1.49","-8.12","3.73"
"624.186","1.57","-7.57","2.12"
"624.218","1.33","-6.55","1.06"
"624.25","-0.08","-6.12","1.26"
"624.282","-1.61","-5.88","1.88"
"624.314","-0.51","-5.22","1.69"
"624.346","1.61","-5.81","3.45"
"624.378","3.49","-9.69","1.69"
"624.41","4.98","-11.69","5.45"
"624.442","5.41","-11.06","6.67"
"624.474","4.94","-12.75","-0.35"
"624.506","0.59","-12.98","4.51"
"624.538","-3.65","-11.06","9.38"
"624.57","1.14","-8.90","-1.06"
"624.602","1.41","-7.53","-0.39"
"624.634","-0.12","-9.30","2.86"
"624.666","-1.26","-10.83","2.12"
"624.698","-0.86","-7.53","0.47"
"624.73","-0.24","-8.67","1.69"
"624.762","0.00","-8.71","1.73"
"624.794","0.16","-7.69","1.77"
"624.826","0.43","-7.65","1.29"
"624.858","1.49","-8.39","1.37"
"624.89","2.04","-8.08","2.90"
"624.922","2.16","-8.08","3.02"
"624.954","1.96","-8.39","2.24"
"624.986","2.24","-8.79","1.57"
"625.018","-0.20","-10.24","3.45"
"625.051","-0.98","-10.90","2.90"
"625.083","0.55","-10.63","2.67"
"625.115","2.39","-11.57","4.55"
"625.147","1.92","-7.49","-0.67"
"625.179","1.73","-8.55","0.67"
"625.211","-2.12","-10.75","5.69"
"625.243","-3.77","-13.18","6.59625275"
"625.335","1.53","-9.34","4.94"
"625.368","1.26","-7.49","2.31"
"625.4","1.14","-6.12","0.71"
"625.432","0.16","-5.84","0.75"
"625.464","-1.80","-5.73","2.04"
"625.496","0.00","-5.02","1.84"
"625.528","1.77","-6.39","2.79"
"625.56","2.43","-9.06","1.45"
"625.592","3.84","-11.65","4.79"
"625.624","5.18","-11.65","7.41"
"625.656","4.39","-8.90","-1.37"
"625.688","4.04","-14.40","3.92"
"625.72","-3.33","-11.69","10.94"
"625.752","1.22","-8.67","-0.31"
"625.784","0.55","-6.79","-0.59"
"625.816","-0.47","-9.18","1.92"
"625.848","-1.65","-11.14","2.24"
"625.88","-1.49","-7.53","1.26"
"625.912","0.27","-7.45","1.37"
"625.944","-0.27","-8.43","0.90"
"625.976","0.08","-8.36","1.84"
"626.008","0.82","-8.16","2.43"
"626.04","1.65","-7.88","1.18"
"626.072","2.31","-8.32","2.55"
"626.104","1.77","-8.63","3.14"
"626.136","1.53","-8.20","2.04"
"626.168","1.49","-8.67","1.33"
"626.2","0.31","-11.18","2.82"
"626.232","-1.41","-10.63","3.41"
"626.264","-0.71","-10.51","1.65"
"626.297","2.35","-11.57","4.59"
"626.329","2.43","-8.90","0.78"
"626.361","0.86","-8.79","1.37"
"626.393","-2.71","-8.79","3.88"
"626.426","-4.08","-13.14","5.37"
"626.458","-0.90","-10.55","2.16"
"626.49","1.18","-9.96","2.82"
"626.522","1.26","-8.71","3.73"
"626.554","1.45","-7.81","2.35"
"626.586","1.65","-6.90","1.65"
"626.618","0.16","-6.32","1.33"
"626.65","-1.26","-6.08","1.80"
"626.682","-0.43","-5.22","1.65"
"626.714","1.37","-5.26","2.86"
"626.746","3.02","-7.45","1.80"
"626.778","4.16","-10.43","1.26"
"626.811","6.24","-13.65","9.38"
"626.843","5.02","-8.24","-0.20"
"626.875","3.77","-14.28","-1.57"
"626.907","-4.20","-11.73","12.43"
"626.939","-0.90","-9.77","1.69"
"626.971","0.90","-7.65","-1.41"
"627.003","0.27","-8.20","2.35"
"627.035","-0.98","-10.71","2.63"
"627.067","-1.22","-8.55","0.20"
"627.099","-0.31","-7.57","0.94627131"
"627.223","1.14","-7.81","1.84"
"627.256","1.33","-8.47","1.96"
"627.288","1.80","-8.00","2.51"
"627.32","2.47","-8.12","2.86"
"627.352","1.92","-8.20","1.77"
"627.384","1.02","-9.73","1.61"
"627.416","-1.02","-11.65","2.86"
"627.448","0.27","-10.67","3.73"
"627.48","1.88","-12.24","3.84"
"627.512","2.90","-9.89","3.41"
"627.544","2.31","-9.65","0.24"
"627.577","-0.43","-9.30","1.29"
"627.609","-4.63","-10.90","6.79"
"627.641","-3.88","-11.69","3.61"
"627.673","0.08","-10.00","0.59"
"627.705","2.47","-9.65","4.04"
"627.737","2.55","-8.63","4.24"
"627.77","2.04","-7.77","2.08"
"627.803","1.02","-6.51","1.06627835"
"628.624","-0.16","-10.55","2.86"
"628.657","-0.08","-10.12","2.55"
"628.689","2.35","-12.83","4.94"
"628.721","2.35","-8.28","0.78"
"628.753","1.49","-8.55","0.12"
"628.785","-1.92","-10.32","4.43"
"628.817","-4.55","-13.65","6.35"
"628.849","-2.59","-11.18","1.14"
"628.881","1.57","-10.04","2.63"
"628.913","1.92","-9.65","4.71"
"628.945","1.45","-8.08","1.80628976"
"629.067","-1.06","-5.37","1.73"
"629.099","0.75","-4.82","1.77"
"629.131","2.67","-7.26","3.02"
"629.163","3.69","-10.20","1.69"
"629.195","5.69","-13.18","9.41"
"629.227","4.82","-8.79","3.06"
