NAME:,walk_3_2.csv,,
EXPERIMENT TIME:,25/05/2022 15:48,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,87,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-8.9,-3.96,-3.45
0.041,-6.43,-2.79,-5.22
0.082,-9.96,-3.57,-4.04
0.123,-9.34,-1.69,-4.71
0.164,-7.34,-3.1,-5.14
0.205,-7.96,-4.24,-4.75
0.246,-6.59,-5.88,-5.14
0.287,-7.34,-6.04,-4.28
0.328,-6.94,-5.65,-4.31
0.369,-6.43,-6,-3.92
0.41,-6.55,-6.47,-4.35
0.451,-6.67,-7.14,-4.31
0.492,-7.3,-6.75,-5.49
0.533,-7.14,-6.67,-4.31
0.574,-8.16,-2.82,-5.26
0.615,-5.88,-0.82,-6.55
0.656,-5.02,-2.04,-8.98
0.697,-5.73,-3.96,-10.4
0.738,-12.83,-1.88,-14.2
0.779,-12.67,-3.53,-10.12
0.82,-5.49,1.18,-12.04
0.861,-7.06,1.41,-9.41
0.902,-5.37,0.31,-8.12
0.943,-2.86,1.61,-7.88
0.984,-2.04,2.39,-7.85
1.025,-3.41,2.75,-8.43
1.066,-3.69,2.82,-8.71
1.107,-2.79,2.04,-7.73
1.148,0.12,1.8,-8.12
1.189,1.92,2.16,-9.85
1.23,3.53,1.65,-11.14
1.271,4.08,3.26,-14.28
1.312,5.26,1.37,-19.97
1.353,-4.98,6.12,-19.93
1.394,-4.71,7.06,-15.42
1.435,3.65,-0.12,-18.24
1.476,-3.77,-0.2,-11.3
1.517,-5.33,4.28,-9.89
1.558,-0.35,3.22,-9.69
1.599,-0.59,1.96,-8.83
1.64,-0.78,1.73,-7.81
1.681,-0.08,2.63,-9.18
1.722,-2.12,3.1,-9.1
1.763,-1.14,2.24,-10.12
1.804,-0.67,0.9,-10.94
1.845,-2.24,2.16,-12.43
1.886,-1.26,2.98,-16.95
1.927,-0.78,0.59,-18.16
1.968,-6.86,2.39,-15.73
2.009,-1.84,0.67,-16.24
2.05,2.9,-0.94,-15.53
2.091,-0.98,2.79,-11.92
2.132,2.59,3.26,-13.1
2.173,0.27,2.51,-11.81
2.214,0.59,0.78,-11.85
2.255,2.39,0.08,-12.71
2.296,1.02,0.67,-11.96
2.337,1.84,0,-11.41
2.378,0.67,-0.16,-10
2.419,1.1,-0.08,-8.9
2.46,2.31,0.04,-9.14
2.501,2.24,0.04,-9.26
2.542,3.65,0.31,-11.06
2.583,5.77,0.9,-12.47
2.624,2.86,0.71,-13.18
2.665,-3.8,6.12,-12.71
2.706,0.27,6.43,-15.61
2.747,-2.04,1.96,-14.2
