NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,23/05/2022 21:03,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,124,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.319,10,-1.64,-9.87
0.335,-0.13,-1.79,-10
0.349,-0.1,-1.51,-9.97
0.551,-2.71,0.28,-14.16
0.575,-1.92,-3.76,-14.11
0.597,0.64,-4.42,-10.76
0.619,2.94,-5.62,-7.67
0.641,4.17,-4.4,-7.98
0.887,2.63,-1.48,-10.63
0.909,0,-2.22,-10.02
0.932,-0.89,-2.51,-9.48
0.955,-0.38,-1.56,-7.82
0.977,0.69,-0.49,-5.98
1.001,-0.36,-0.54,-8.05
1.247,-0.41,1.87,-12.04
1.27,0.49,-0.41,-12.99
1.292,0.43,-0.72,-10.53
1.314,2.79,-0.03,-8.26
1.336,0.79,-0.33,-5.98
1.358,-1.3,-0.26,-5.83
1.623,-2.97,-0.41,-6.01
1.645,-1.81,-0.36,-6.37
1.667,-0.89,1.89,-7.95
1.69,-3.09,2.81,-11.53
1.714,-4.6,-0.64,-13.75
1.736,-6.37,0.2,-13.91
1.758,-3.89,2.99,-16
1.78,0.15,-2.43,-18.87
1.802,1.38,-7.57,-11.38
1.825,4.5,-5.88,-5.11
1.847,7,-2.66,-9.48
1.869,4.65,-0.69,-14.19
1.891,-1.92,1.74,-11.07
2.147,-2.97,-0.05,-7.46
2.169,-2.17,-2.2,-4.5
2.192,-0.56,-1.43,-3.27
2.215,0.82,-1.07,-2.25
2.237,0.56,-0.15,-4.22
2.26,-0.26,1.25,-10.51
2.282,-0.43,3.04,-18.46
2.304,-1.41,-1,-17.05
2.326,0.08,2.99,-14.85
2.348,1.2,0.41,-15.59
2.37,0.61,-6.93,-13.19
2.393,3.27,-5.32,-9.3
2.446,0.64,-3.37,-5.78
2.469,-4.4,-4.58,-6.52
2.491,-7.69,-4.17,-9.43
2.513,-2.02,1.35,-11.32
2.775,3.4,-0.28,-9.69
2.804,3.53,-0.89,-6.26
2.827,0.26,-2.35,-3.3
2.849,-1.51,-1.64,-2.38
2.872,1.84,-7.39,-13.57
2.895,2.97,-5.83,-8.15
2.917,4.45,-3.68,-10.43
2.94,3.37,-3.4,-14.24
2.962,-1.38,-0.33,-13.73
2.984,-0.64,-2.33,-2.86
3.007,-0.69,1.35,-15.29
3.253,1.12,-2.71,-22.16
3.276,2.05,-1.35,-14.57
3.298,4.42,-0.74,-14.57
3.32,2.43,-6.62,-13.93
3.342,3.37,-9.07,-10.46
3.364,0.31,-4.93,-5.42
3.386,-4.42,-5.19,-5.19
3.408,-6.77,-6.95,-8.77
3.43,-1.64,-2.17,-11.17
3.453,4.27,-0.49,-10.63
3.475,5.55,-0.84,-6.8
3.498,1.02,-0.84,-3.73
3.52,-2.45,-2.91,-3.76
3.544,-3.14,-2.25,-3.94
3.566,-1.92,-0.77,-8.05
3.844,-0.66,0.23,-13.04
3.867,-3.17,-1.56,-13.32
3.889,-8.38,0.03,-11.58
3.911,-3.2,0.03,-15.39
3.934,0.61,-6.06,-15.41
3.956,5.67,-7.64,-13.34
3.979,3.07,-1.94,-14.06
4.001,-1.07,-2.22,-1.87
4.023,0.43,1.1,-10.43
4.045,1.69,1.05,-17.56
4.068,2.61,-3.22,-14.88
4.09,3.35,-0.33,-14.06
4.354,5.8,-3.2,-16.54
4.376,3.17,-8.84,-13.62
4.399,1.43,-6.11,-7.54
4.421,-1.02,-5.52,-3.99
4.443,-2.35,-7.82,-7.23
4.466,-2.68,-3.91,-12.01
4.489,1.51,-2.53,-11.2
4.511,3.63,-1.38,-9.48
4.533,2.3,-1.51,-6.16
4.555,-1.18,-1.33,-3.94
4.578,-3.07,-1.58,-3.2
4.6,-2.45,-1.81,-3.94
4.622,-1.07,-0.72,-8.23
4.644,-1.35,1.71,-13.19
4.667,-3.78,-0.66,-13.96
4.69,-7.46,-1.66,-11.78
4.712,-5.73,0.08,-14.72
4.735,1.23,-4.58,-15.67
4.992,0.38,-6.37,-11.25
5.016,1.84,-5.52,-7.21
5.039,5.29,-6.34,-9.69
5.061,3.96,-3.94,-15.31
5.084,-1.05,-0.03,-15.08
5.107,-2.3,-1.05,-9.51
5.129,-1.58,-2.38,-4.73
5.152,-0.74,-0.79,-3.09
5.175,-0.03,-0.77,-1.25
5.197,0.05,-2.76,-0.92
5.219,-1.07,0.05,-5.16
5.242,0.77,0.69,-14.47
5.264,4.55,-4.24,-15.98
5.287,1.35,-6.31,-10.79
5.31,0.13,-3.86,-5.27
5.333,-2.15,-5.96,-4.96
5.356,-4.58,-6.83,-10.2
5.379,-2.84,-2.22,-13.11
5.665,2.76,-0.18,-10.3
5.688,4.45,-0.79,-7.36
5.712,1.33,-0.77,-4.68
5.735,-1.07,-1.64,-3.99
5.758,-2.63,-2.02,-3.99
5.782,-2.53,-0.56,-5.52
5.805,-2.76,0.92,-10.99
5.828,-3.99,0.38,-12.83
5.85,-6.85,-1.51,-10.97
6.168,-8.9,1.74,-13.47
7.633,0,-2.76,-11.12
8.119,3.07,0.61,-14.7
8.681,2.25,-2.02,-16.92
8.923,3.3,-1.92,-14.65
8.947,3.68,-5.9,-7.54
8.97,0.59,-3.89,-5.14
8.993,-3.32,-7.75,-8.18
9.016,-6.37,-2.91,-11.96
9.275,0.51,-0.51,-10.4
9.298,3.66,-1,-8.77
9.321,3.04,-1.56,-5.19
9.344,-0.28,-1.51,-4.19
9.368,-1.51,1.23,-13.24
9.39,-3.71,-0.26,-11.3
9.413,-8,-1.79,-10.17
9.436,-7.41,0.54,-15.59
9.458,1.71,-4.96,-17.18
9.481,1.3,-6.8,-10.63
9.503,2.99,-6.26,-6.95
9.758,5.98,-6.7,-12.73
9.781,5.52,-2.12,-14.88
9.804,-1,0.41,-12.73
9.826,-4.45,-0.95,-9.05
9.848,-3.43,-1.71,-4.32
9.87,-0.89,-0.46,-2.66
9.893,0.92,-0.87,-1.81
9.915,0.46,-1.38,-1.97
9.938,0.46,0.36,-7.41
9.961,0.84,-0.36,-15.87
9.984,0.77,-2.63,-16.41
10.007,2.71,-0.79,-13.83
10.03,4.42,-0.69,-15.26
10.053,2.35,-6.37,-13.37
10.076,3.2,-6.03,-9.51
10.099,0.56,-3.94,-5.06
10.354,-2.3,-7,-6.37
10.377,-5.67,-5.01,-11.15
10.4,-1.81,-1.76,-12.12
10.423,2.25,-0.89,-8.9
10.446,-1,-2.3,-3.83
10.469,-1.66,-1.66,-5.39
10.492,-1.74,-0.18,-8.82
10.515,-1.89,0.43,-11.89
10.537,-2.71,0.26,-12.93
10.56,-5.57,-2.12,-11.09
10.583,-8.97,0.95,-12.55
10.606,-0.18,-1.74,-17.56
10.628,1.46,-5.52,-14.26
10.651,0.84,-6.8,-9.23
10.674,4.83,-6.01,-9.18
10.697,6.57,-5.04,-14.03
10.72,1.94,-0.61,-13.91
10.742,-4.5,0.05,-10.38
10.765,-3.17,-2.22,-6.57
11.051,-1.25,-0.82,-3.83
11.078,0.33,-0.43,-2.61
11.101,0.84,-1.3,-1.33
11.124,-0.46,-0.56,-3.58
11.147,-0.28,0.77,-11.02
11.17,0.51,-0.33,-17.41
11.193,2.28,-2.76,-15.13
11.216,2.94,1.94,-14.34
11.239,4.98,-3.78,-15.18
11.265,2.61,-7.08,-11.89
11.288,2.07,-4.7,-8.28
11.311,-6.6,-4.32,-11.81
11.333,2.97,-1.38,-6.83
11.356,-2.63,-1.28,-3.04
11.38,-2.1,-0.08,-8.23
11.403,-1.71,0.97,-12.88
11.426,-3.91,-0.05,-12.7
11.708,-7.49,-1.66,-11.61
11.733,-7.06,1.71,-14.32
11.757,1.2,-3.89,-16.85
11.78,1.43,-6.42,-11.89
11.804,4.35,-3.35,-14.72
11.827,-0.41,-0.41,-12.78
11.85,-3.43,-0.95,-9.15
11.873,-3.55,-1.3,-6.67
11.896,-1.48,-0.69,-4.65
11.919,0.33,-1.12,-3.22
11.942,1.02,-1.87,-1.46
11.965,-0.2,-1.38,-3.53
11.989,-1.64,0.54,-11.66
12.011,0.28,-0.08,-18.18
12.034,3.37,-3.37,-14.49
12.057,2.66,1.81,-14.29
12.08,4.37,-4.01,-15.01
12.103,3.63,-9.71,-10.12
12.127,2.58,-5.52,-6.9
12.15,-1.02,-4.83,-4.83
12.42,-4.88,-8.41,-7.52
12.443,-4.96,-4.01,-11.48
12.467,0.33,-1,-11.61
12.49,5.34,-1,-9.59
12.513,2.79,-1.46,-4.96
12.536,-0.64,-1.64,-3.73
12.559,-1.56,-1.92,-4.42
12.582,-2.61,-1.18,-6.03
12.606,-3.04,0.54,-10.1
12.628,-3.02,0.05,-12.76
12.652,-4.04,0.15,-11.27
12.675,-7.44,-1.53,-10.33
12.699,-3.83,-0.84,-15.16
12.722,1.84,-5.29,-18.1
12.745,1.46,-7.34,-11.45
12.768,5.39,-4.91,-8.51
12.791,6.49,-6.16,-11.91
12.815,3.07,-2.02,-13.34
12.838,-2.15,0.56,-12.42
12.861,-3.27,-2.68,-8.64
12.884,-1.18,-2.4,-5.52
12.906,-0.51,-0.23,-3.83
13.178,0.46,-0.43,-2.48
13.201,0.05,-1.48,-1.53
13.224,2.28,-2.3,-17.61
13.247,3.43,-1.58,-15.11
13.27,3.3,1.58,-15.39
13.293,2.43,-5.73,-12.68
13.316,1.99,-6.9,-10.94
13.339,1.38,-4.29,-7.54
13.362,-0.89,-6.8,-6.62
13.385,-3.96,-8.31,-8.67
