NAME:,yoniwal1.csv,,
EXPERIMENT TIME:,Tue May 24 16:48:04 GMT+03:00 2022,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,74,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
718.69,1.57,9.14,2.31
718.74,1.65,9.18,2.2
718.79,1.73,9.1,2.16
718.85,1.57,9.22,2.2
718.9,1.18,9.3,1.84
718.96,1.22,9.34,1.18
719.01,1.33,9.41,1.69
719.07,1.57,9.1,1.92
719.12,1.41,9.41,2.0
719.17,1.14,9.18,2.0
719.23,1.45,9.14,1.84
719.28,1.92,9.22,0.98
719.34,2,9.14,1.22
719.39,1.33,9.14,1.8
719.44,0.08,9.26,2.12
719.5,0.71,9.89,1.84
719.55,0.67,9.02,2.08
719.6,0.86,9.26,1.61
719.66,0.2,9.73,1.92
719.71,0.12,9.38,1.69
719.77,0.12,9.34,1.57
719.82,0.35,9.14,1.69
719.88,0.12,9.3,2.28
719.93,0.08,9.06,1.77
719.98,-0.08,9.85,1.92
720.04,-0.27,10.51,1.8
720.09,1.65,10.24,1.18
720.15,-0.31,11.22,2.04
720.2,2.47,12.2,1.33
720.25,2.16,8.24,1.06
720.31,1.84,10.24,1.73
720.36,1.37,9.65,1.18
720.41,1.96,8.59,0.75
720.47,2.55,8.59,1.73
720.52,1.41,7.45,2.98
720.58,1.29,7.26,3.1
720.63,1.33,7.14,3.61
720.68,1.18,6.9,4.43
720.74,1.18,7.96,4.86
720.79,1.69,9.06,4.47
720.85,1.77,11.06,5.3
720.9,-0.12,8.51,8.67
720.96,6.43,11.38,4.39
721.01,5.18,13.85,4.59
721.06,2.39,4.55,1.45
721.12,3.37,10.75,0.24
721.17,1.41,7.69,2.0
721.22,1.26,8,1.84
721.28,1.06,8.43,1.06
721.33,-0.08,9.3,1.88
721.39,1.53,9.06,1.33
721.44,0.98,8.79,1.88
721.49,0.2,9.1,2.31
721.55,0.78,8.87,1.61
721.6,0.43,10.55,2.43
721.66,-1.14,10.43,2.39
721.71,2.31,13.26,0.55
721.76,0.35,11.65,1.41
721.82,3.8,9.57,1.22
721.87,2.08,9.14,1.33
721.92,2.82,8.47,0.16
721.98,2.59,8.36,0.59
722.03,2.63,8.43,2.12
722.09,1.49,8.2,3.1
722.14,1.02,7.45,3.02
722.2,1.37,6.47,3.84
722.25,1.29,7.49,4.98
722.3,0.75,7.81,5.37
722.36,2.24,8.71,4.59
722.41,1.53,10.63,6.47
722.46,4.24,11.92,2.86
722.52,5.3,11.92,5.88
722.57,2.51,5.3,1.65
722.63,3.77,9.96,0.08
722.68,0.86,5.77,4.63
722.73,1.37,7.81,1.33
722.79,0.04,8.63,2.31
722.84,0.71,8.28,1.88
722.89,0.51,8.75,2.28
722.95,0.98,9.38,1.88
723,0,8.63,2.31
723.06,-0.08,9.34,1.8
723.11,1.18,9.81,1.84
723.16,-0.71,10.28,2.24
723.22,0.75,10.4,0.47
723.27,0.59,11.96,1.73
723.33,5.14,11.41,0.63
723.38,2.98,9.49,1.8
723.43,1.53,9.1,2.71
723.49,2,8.28,0.12
723.54,1.84,8,1.14
723.59,3.69,8.04,2.24
723.65,1.96,7.96,3.18
723.7,0.86,6.59,4.43
723.76,1.14,6.55,4.51
723.81,1.26,7.3,4.47
723.86,2.28,8.71,4.63
723.92,2.2,11.02,4.79
723.97,0.98,9.89,7.65
724.02,7.81,11.96,-0.59
724.08,4.94,8.51,3.49
724.13,2.79,5.69,0.86
724.18,2.67,10.75,1.1
724.24,1.69,6.83,1.22
724.29,0.86,7.92,1.92
724.35,1.29,8.59,1.77
724.4,0.78,9.61,2.04
724.45,-0.16,8.98,2.28
724.51,0.16,8.71,2.12
724.56,0.75,8.79,1.92
724.61,1.1,9.02,1.69
724.67,0.2,10.12,1.06
724.72,-1.49,10.47,2.71
724.78,1.14,11.26,0.75
724.83,-0.2,12.98,1.45
724.88,5.69,11.41,-0.51
724.94,1.29,10.4,2.0
724.99,2.12,8.55,2.28
725.05,1.69,8.12,0.82
725.1,1.41,8.12,1.49
725.15,2.59,7.81,2.79
725.21,1.37,7.14,3.45
725.26,0.78,6.43,3.84
725.31,0.55,7.65,4.67
725.37,1.18,8.24,4.71
725.42,1.73,8.83,4.75
725.48,2.2,10.67,5.65
725.53,1.45,9.73,6.47
725.58,6.98,11.92,1.37
725.64,4.16,5.96,2.86
725.69,2.2,7.88,0.24
725.75,3.88,9.89,0.27
725.8,2.16,7.18,1.18
725.85,0.16,8.39,1.29
725.91,0,8.63,2.24
725.96,0.04,9.45,2.24
726.02,0.71,9.06,1.92
726.07,0.08,8.83,2.12
726.12,0.2,8.87,2.0
726.18,0.27,9.57,0.67
726.23,1.26,10.59,2.47
726.28,-1.69,9.65,2.75
726.34,-0.08,13.18,-1.45
726.39,0.86,11.06,2.35
726.45,5.18,11.22,-0.55
726.5,1.49,10.98,1.96
726.55,3.06,8.2,-0.47
726.61,2.04,7.69,1.18
726.66,2.9,8.43,1.69
726.72,2.2,8.75,3.02
726.77,0.59,7.02,3.49
726.82,1.06,6.2,4.31
726.88,0.78,6.83,4.82
726.93,1.65,8.12,4.31
726.98,2.63,9.41,3.49
727.04,1.77,10.24,6.86
727.09,1.14,8.16,6.9
727.14,7.02,13.34,-0.12
