NAME:,yoniwal3.csv
EXPERIMENT TIME:,Tue May 24 16:53:25 GMT+03:00 2022
ACTIVITY TYPE:,Walking
COUNT OF ACTUAL STEPS:,77

Time [sec],ACC X,ACC Y,ACC Z
1041.35,1.33,9.10,2.31
1041.41,1.06,9.26,2.0
1041.46,1.69,9.30,1.26
1041.51,1.45,9.49,1.45
1041.57,1.69,9.18,1.26
1041.62,1.49,9.34,1.18
1041.68,1.10,9.41,1.1
1041.73,0.24,9.38,1.65
1041.78,0.59,9.38,1.84
1041.84,0.24,8.75,2.63
1041.89,0.47,9.34,2.12
1041.94,0.59,8.36,2.94
1042.00,0.20,8.98,2.71
1042.05,-0.43,9.34,2.0
1042.11,-0.43,9.41,2.16
1042.16,-0.39,9.14,2.24
1042.21,-0.82,9.45,1.96
1042.27,0.55,8.55,1.84
1042.32,0.00,10.36,1.37
1042.38,0.55,13.26,1.14
1042.43,0.08,11.26,2.08
1042.48,1.65,11.02,2.2
1042.54,1.69,7.41,1.77
1042.59,1.57,9.26,1.61
1042.65,0.59,8.98,0.67
1042.70,2.75,9.02,0.35
1042.75,2.98,9.06,0.75
1042.81,1.69,8.08,1.77
1042.86,1.53,8.00,2.82
1042.92,1.61,6.47,3.49
1042.97,1.37,6.04,4.08
1043.02,1.10,6.94,5.06
1043.08,2.47,9.65,4.82
1043.13,2.16,10.47,5.49
1043.19,-0.08,8.00,9.34
1043.24,5.18,6.43,2.82
1043.29,8.71,19.93,1.37
1043.34,0.24,5.14,2.12
1043.40,1.96,10.83,0.75
1043.45,2.51,7.61,1.65
1043.51,1.69,7.37,1.49
1043.56,0.55,7.22,2.08
1043.61,-0.24,8.94,2.31
1043.67,0.90,8.87,1.8
1043.72,1.02,9.02,1.41
1043.78,0.47,9.41,1.73
1043.83,0.31,9.34,1.14
1043.88,0.90,11.06,2.04
1043.94,-1.02,11.81,2.0
1043.99,0.71,11.06,1.18
1044.05,1.02,11.45,2.12
1044.10,5.10,9.30,0.51
1044.15,1.49,9.85,1.92
1044.20,0.82,10.00,2.51
1044.26,1.73,9.02,0.27
1044.31,2.35,8.55,1.45
1044.37,3.26,8.08,2.2
1044.42,1.61,7.49,2.75
1044.47,0.94,6.20,3.37
1044.53,1.41,7.18,3.96
1044.58,1.73,8.75,5.06
1044.64,1.14,9.81,5.06
1044.69,0.90,10.12,7.14
1044.74,1.49,9.41,7.69
1044.80,7.30,11.22,-0.27
1044.85,6.00,6.55,3.8
1044.91,1.73,6.71,1.77
1044.96,2.08,11.26,1.61
1045.01,2.39,5.96,2.39
1045.06,2.39,7.37,1.37
1045.12,0.04,8.47,2.28
1045.17,0.27,9.38,2.12
1045.23,0.71,8.98,2.04
1045.28,0.51,8.79,1.96
1045.33,1.14,8.43,1.92
1045.39,1.02,9.45,0.67
1045.44,0.86,10.43,1.92
1045.50,-0.75,11.30,2.9
1045.55,0.59,12.75,0.0
1045.60,2.08,12.87,1.18
1045.66,4.79,9.06,0.27
1045.71,0.94,10.55,2.2
1045.77,1.57,8.08,2.59
1045.82,0.75,8.63,0.78
1045.87,2.90,8.08,0.78
1045.93,2.71,7.57,2.39
1045.98,1.22,6.55,3.33
1046.04,1.06,5.88,3.69
1046.09,1.88,7.73,4.12
1046.14,2.35,10.08,5.49
1046.20,1.65,9.14,6.35
1046.25,2.82,12.63,8.08
1046.30,4.55,12.87,3.22
1046.36,5.57,3.92,4.63
1046.41,1.73,9.69,-0.35
1046.46,2.31,8.71,2.24
1046.52,2.35,6.24,2.35
1046.57,1.18,8.04,1.8
1046.63,-0.12,7.77,1.84
1046.68,0.82,8.98,1.69
1046.73,1.10,9.45,2.0
1046.79,-0.67,8.63,2.51
1046.84,0.90,8.59,2.39
1046.90,2.51,9.65,1.77
1046.95,-2.20,10.94,2.47
1047.00,-0.35,11.26,1.77
1047.06,1.06,13.49,2.47
1047.11,5.10,10.43,0.27
1047.16,1.41,9.49,2.12
1047.21,0.59,9.34,1.29
1047.27,1.84,8.59,0.9
1047.32,1.84,8.00,1.69
1047.38,2.86,8.04,2.39
1047.43,1.06,7.45,3.49
1047.48,0.47,6.24,3.45
1047.54,1.22,7.26,4.71
1047.59,1.73,9.61,4.94
1047.64,2.43,9.89,4.94
1047.69,1.22,9.96,8.94
1047.75,3.30,9.22,5.61
1047.80,7.18,10.94,3.88
1047.86,2.98,5.73,2.0
1047.91,3.33,6.67,-1.14
1047.96,2.31,6.86,2.0
1048.02,3.26,6.79,0.78
1048.07,0.20,8.04,2.31
1048.13,-1.45,9.41,2.86
1048.18,-0.04,8.98,2.67
1048.23,-0.08,8.90,1.88
1048.29,0.39,8.67,2.39
1048.34,1.53,9.26,1.29
1048.39,2.12,10.98,2.47
1048.45,-1.57,10.43,3.45
1048.50,0.67,11.57,0.31
1048.55,3.41,11.18,1.73
1048.61,3.92,8.28,0.71
1048.66,0.51,11.81,3.73
1048.71,1.41,8.67,2.86
1048.77,0.39,8.16,1.49
1048.82,3.02,7.85,1.73
1048.88,2.86,7.61,2.63
1048.93,1.61,5.81,3.57
