"NAME:","walk_3_1.csv"
"EXPERIMENT TIME:","23/05/2022 13:25"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS","89"

"Time [sec]","ACC X","ACC Y","ACC Z"
"63.99","-5.73","8.32","-0.16"
"64.02","-5.77","8.28","-0.04"
"64.04","-5.81","8.20","0.08"
"64.062938","-5.69","8.16","0.20"
"64.10","-5.73","8.16","0.00"
"64.132941","-5.77","8.24","0.04"
"64.172943","-5.77","8.20","-0.08"
"64.22","-5.69","8.24","-0.04"
"64.24","-5.77","8.28","0.12"
"64.26","-5.73","8.39","-0.12"
"64.282948","-5.69","8.47","0.08"
"64.33","-5.61","8.28","-0.04"
"64.352951","-5.57","8.39","0.08"
"64.392953","-5.61","8.28","0.04"
"64.442955","-5.61","8.47","-0.12"
"64.48","-5.37","8.24","-0.24"
"64.50","-5.49","8.43","-0.27"
"64.53","-5.45","8.32","-0.20"
"64.552960","-5.53","8.39","-0.20"
"64.592962","-5.73","8.36","-0.43"
"64.642964","-5.49","8.39","-0.43"
"64.682966","-5.22","8.55","0.00"
"64.72","-5.06","8.67","-0.27"
"64.752969","-4.90","8.83","-0.31"
"64.79","-4.98","8.87","-0.43"
"64.81","-4.86","8.87","-0.39"
"64.842973","-4.59","8.98","-0.43"
"64.88","-4.24","9.26","-0.55"
"64.90","-4.31","9.14","-0.43"
"64.92","-4.59","9.14","-0.47"
"64.952978","-4.59","9.34","-0.35"
"64.99","-4.28","9.53","-0.47"
"65.012981","-4.67","9.02","-0.51"
"65.062983","-5.61","7.73","-0.43"
"65.10","-6.43","8.75","-0.63"
"65.12","-6.86","9.53","-0.24"
"65.15","-6.43","8.90","0.16"
"65.17","-6.35","8.16","0.55"
"65.192989","-7.02","7.73","0.78"
"65.312993","-5.53","7.53","0.94"
"65.37","-6.20","8.12","1.26"
"65.402997","-6.08","7.88","1.41"
"65.44","-6.28","7.69","1.84"
"65.46","-6.08","7.92","1.84"
"65.483001","-5.77","8.12","1.49"
"65.533003","-5.77","7.85","2.24"
"65.573005","-6.24","8.94","2.08"
"65.623007","-6.75","9.14","3.06"
"65.66","-6.28","9.49","3.84"
"65.68","-6.20","9.10","3.53"
"65.70","-7.92","9.92","1.84"
"65.733012","-9.18","10.94","-1.33"
"65.77","-5.45","6.98","-0.16"
"65.793015","-2.82","4.24","1.26"
"65.843017","-6.12","8.83","-1.65"
"65.883019","-6.04","8.87","-1.06"
"65.933021","-5.96","6.20","0.20"
"65.973023","-5.84","7.53","-0.16"
"66.04","-3.84","8.16","-0.55"
"66.063027","-4.39","8.28","-0.27"
"66.113029","-4.75","8.63","-0.39"
"66.153031","-5.14","8.63","-0.43"
"66.193033","-5.02","8.36","0.27"
"66.24","-4.12","8.55","0.35"
"66.263036","-4.86","9.06","-0.16"
"66.313038","-4.86","10.00","-1.10"
"66.35","-5.69","9.92","-0.35"
"66.37","-5.88","9.96","1.69"
"66.393042","-4.04","10.55","1.45"
"66.443044","-5.84","13.02","-3.06"
"66.483046","-5.96","8.43","-4.67"
"66.533048","-6.47","5.61","0.12"
"66.57","-4.43","10.04","-0.43"
"66.593051","-4.47","10.59","-1.26"
"66.64","-4.55","6.55","-0.55"
"66.663054","-5.02","6.35","-0.04"
"66.70","-5.88","6.90","0.16"
"66.733057","-5.77","6.90","0.35"
"66.773059","-6.12","7.34","0.55"
"66.82","-5.65","7.14","0.86"
"66.84","-6.04","7.34","0.86"
"66.86","-5.02","7.85","1.49"
"66.883064","-4.67","7.96","2.04"
"66.933066","-6.35","7.73","2.35"
"66.97","-5.88","8.39","1.10"
"66.993069","-6.94","9.45","0.94"
"67.043071","-5.37","10.40","3.61"
"67.083073","-9.06","12.16","-1.96"
"67.123075","-8.16","7.65","-2.43"
"67.17","-5.45","5.61","-1.29"
"67.193078","-7.49","8.47","-1.77"
"67.233080","-5.06","8.32","-0.59"
"67.28","-4.94","6.90","-0.04"
"67.30","-4.71","5.73","0.16"
"67.32","-5.18","7.57","-0.20"
"67.353085","-4.98","8.08","-0.86"
"67.393087","-4.47","7.96","-0.35"
"67.43","-4.63","8.00","-0.04"
"67.463090","-4.55","8.00","-0.08"
"67.503092","-4.67","8.36","-0.12"
"67.543094","-5.45","8.16","-0.27"
"67.593096","-5.02","9.45","0.47"
"67.63","-4.43","10.59","-0.63"
"67.65","-4.75","10.28","0.04"
"67.68","-5.14","10.28","0.51"
"67.703101","-5.57","9.73","1.10"
"67.74","-5.02","11.30","-1.22"
"67.77","-4.35","10.04","-3.69"
"67.79","-5.53","8.79","-3.73"
"67.813106","-7.88","7.73","-3.18"
"67.853108","-6.04","9.38","-0.39"
"67.90","-4.51","9.73","-1.10"
"67.92","-3.69","7.45","-0.27"
"67.94","-3.06","6.32","0.55"
"67.96","-3.37","6.90","0.35"
"67.993114","-4.71","6.94","0.82"
"68.03","-6.51","6.59","0.82"
"68.05","-6.55","6.86","0.75"
"68.08","-6.20","7.34","0.71"
"68.103119","-5.45","7.92","0.75"
"68.143121","-5.06","7.61","1.92"
"68.19","-4.39","7.88","2.16"
"68.21","-4.86","8.08","2.04"
"68.23","-5.73","7.92","1.96"
"68.25","-6.28","8.36","1.80"
"68.28","-6.47","9.14","1.22"
"68.303128","-6.94","9.10","1.02"
"68.473134","-4.90","7.69","-2.20"
"68.51","-5.45","8.59","-1.14"
"68.53","-5.41","8.32","-0.98"
"68.56","-5.84","7.65","-0.51"
"68.583139","-5.45","5.92","-0.04"
"68.623141","-5.92","7.88","-0.51"
"68.67","-4.47","8.08","-0.51"
"68.69","-4.12","8.08","-0.08"
"68.71","-4.12","8.20","-0.12"
"68.733146","-4.00","7.96","-0.16"
"68.783148","-4.55","8.20","-0.27"
"68.82","-4.59","8.32","-0.16"
"68.843151","-4.67","8.08","-0.08"
"68.893153","-5.77","9.73","-0.04"
"68.93","-5.10","9.57","-0.04"
"68.95","-4.71","10.16","-0.98"
"68.98","-5.10","10.12","-0.39"
"69.003158","-5.61","9.89","1.53"
"69.04","-4.24","12.98","-1.77"
"69.06","-5.06","11.96","-2.24"
"69.09","-4.43","9.96","-3.65"
"69.113163","-5.73","7.96","-3.22"
