NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,22-05-22 20:08,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,112,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
43.19,-1.26,9.77,1.84
43.227,-2.04,10.55,2.12
43.266,-3.49,11.14,1.57
43.304,-3.26,10.87,1.84
43.343,-2.12,9.61,0.78
43.38,-2.31,8.71,0.59
43.418,-2.63,8.98,0.31
43.455,-2.82,9.65,0.86
43.493,-2.63,9.65,0.2
43.53,-2.86,9.57,-0.27
43.569,-3.49,9.61,-0.51
43.803,0.27,15.38,6.79
43.841,-1.41,7.65,3.02
43.878,-2.24,4.67,0.12
43.916,-2.67,7.85,1.69
43.953,3.1,11.69,6.63
43.991,0.16,10,4.16
44.028,-2.35,8.39,1.77
44.066,-3.61,7.34,0.47
44.103,-3.69,7.96,1.53
44.141,-3.73,8.87,3.3
44.178,-3.84,8.51,1.96
44.405,-0.31,11.73,6.43
44.444,1.41,9.14,4
44.48,-1.77,11.02,4.35
44.519,-4.9,11.85,3.26
44.557,-5.02,9.06,1.14
44.595,-5.1,7.73,1.45
44.632,-4.35,7.18,0.9
44.67,-1.8,7.92,0.98
44.707,-1.33,8.63,0.43
44.745,-3.06,7.81,-0.63
44.784,-4.75,7.22,-0.9
44.822,-3.57,8.63,0.35
44.976,-2.71,17.81,9.57
45.015,0.27,9.3,9.61
45.051,-1.8,5.1,0.59
45.089,-0.08,5.96,0.12
45.126,-1.29,8.51,2.82
45.164,-0.08,10.08,6.98
45.202,-0.63,7.49,3.65
45.24,-3.06,5.61,1.22
45.277,-5.33,7.69,0.98
45.315,-5.69,8.55,2.71
45.352,-6.24,8.04,0.55
45.39,-2.39,8.79,-0.24
45.428,-4.35,10.24,0.39
45.467,-6.75,10.36,1.77
45.62,-4.94,14.63,4.98
45.659,-3.65,11.92,6.39
45.697,-3.33,7.81,1.1
45.735,-3.1,5.84,0.2
45.772,-2.79,6.35,-0.04
45.811,-0.86,7.57,0.59
45.848,-1.29,8.04,-0.27
45.887,-5.06,7.81,-2.12
45.925,-6.24,7.45,-0.63
45.964,-4.31,13.02,4.39
46.002,-4.04,13.85,0.43
46.041,-4.59,11.96,-0.43
46.08,-0.27,14.91,9.22
46.119,-1.92,8.36,6.12
46.381,-4.28,6.9,1.84
46.419,-4.35,8.71,2.82
46.456,-3.77,8.79,1.65
46.494,-2,10.08,3.06
46.532,-5.45,10.12,1.33
46.571,-5.33,11.53,2.98
46.61,-0.63,10.9,6.16
46.648,2.12,9.89,4.67
46.685,-3.06,13.45,3.92
46.723,-5.61,12.32,5.65
46.762,-3.61,7.92,1.22
46.95,-3.41,7.69,-1.26
46.989,-5.33,7.14,-1.61
47.027,-4.35,11.1,2.04
47.066,-3.92,14.44,2.82
47.104,-4.94,12.16,-1.02
47.144,-2.39,16.24,6.98
47.182,0.47,9.14,8.47
47.219,-0.78,7.37,3.18
47.256,-2.2,8.71,2
47.294,-1.88,7.14,2.51
47.331,-1.45,7.92,4.04
47.369,-0.78,7.37,3.33
47.406,-1.53,5.88,2
47.444,-4,6.51,1.77
47.708,0.24,11.22,4.94
47.746,-2.47,13.22,3.53
47.785,-4.86,12.98,6.28
47.823,-3.41,10.51,3.1
47.862,-2.16,8.04,-0.51
47.9,-4.28,6.75,0.12
47.938,-5.02,6.2,0.59
47.975,-2.47,6.2,0.12
48.013,-1.37,6.28,-1.53
48.167,-4.94,12.91,0.04
48.205,-2.94,16,2.67
48.244,1.22,13.06,13.02
48.282,-1.92,6.47,2.94
48.32,-3.77,7.85,-0.27
48.359,-1.92,9.57,4.04
48.396,-0.39,9.61,5.06
48.433,-0.27,8.28,4.67
48.471,-1.14,5.69,1.88
48.509,-3.1,5.18,1.37
48.546,-4.35,6.98,2.16
48.584,-5.53,7.92,2.82
48.621,-6.75,8.63,1.14
48.658,-2.55,9.45,1.18
48.849,-2.31,14.44,4.67
48.888,-3.84,14.51,8.43
48.926,-2.35,8.71,2.08
48.964,-3.26,6.51,-1.96
49.002,-4.59,5.84,0.94
49.04,-2.43,6.12,1.06
49.077,-0.27,6.79,0.82
49.115,-2.04,7.96,-1.69
49.153,-4.16,8.2,-0.31
49.192,-5.33,10.71,1.49
49.23,-4.67,14.2,2.35
49.269,-2.04,17.46,3.3
49.307,0.43,13.42,10.94
49.346,-3.14,6.08,0.51
49.535,-1.1,4.86,0
