"NAME:","walk_4_1.csv"
"EXPERIMENT TIME:","25-05-22 15:15"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","60"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.001",".98","-8.16","1.10"
"0.172",".84","-7.69","1.14"
"0.175",".96","-8.28","0.98"
"0.177",".65","-8.39","1.65"
"0.179",".57","-7.69","1.41"
"0.181",".12","-7.57","0.98"
"0.184",".94","-7.49","0.43"
"0.355",".61","-7.02","-0.04"
"0.357",".86","-7.77","-0.39"
"0.359",".33","-8.39","0.90"
"0.361",".20","-8.47","1.65"
"0.362",".84","-8.08","2.20"
"0.364",".43","-7.57","1.84"
"0.533",".26","-6.71","0.78"
"0.535",".77","-6.90","0.71"
"0.537",".49","-6.98","0.67"
"0.539",".30","-7.34","0.51"
"0.541",".26","-7.45","0.78"
"0.716",".28","-7.18","0.94"
"0.718",".12","-7.57","1.41"
"0.72",".04","-7.65","1.18"
"0.722",".12","-7.65","0.90"
"0.724",".51","-7.65","0.71"
"0.726",".26","-7.53","1.02"
"0.901",".84","-6.86","1.10"
"0.947",".14","-8.08","2.90"
"0.951",".30","-8.79","0.39"
"0.955",".57","-14.55","8.47"
"0.958",".20","-10.36","0.67"
"0.961",".79","-9.65","-0.63"
"1.219",".43","-10.12","-2.71"
"1.223",".69","-8.83","-0.90"
"1.227",".65","-9.89","0.82"
"1.231",".20","-12.04","2.12"
"1.235",".31","-9.69","0.94"
"1.24",".47","-7.41","-0.20"
"1.244",".61","-5.02","-0.43"
"1.443",".73","-6.08","0.12"
"1.444",".55","-4.90","0.94"
"1.446",".49","-3.92","0.55"
"1.448",".55","-3.92","2.24"
"1.45",".67","-4.94","2.67"
"1.452",".98","-5.84","3.22"
"1.455",".61","-9.92","3.53"
"1.457",".26","-10.28","4.31"
"1.458","4.39","-7.85","5.61"
"1.629",".00","-11.65","6.59"
"1.631",".32","-14.08","4.04"
"1.633",".35","-10.83","-1.02"
"1.638",".96","-8.39","0.51"
"1.642",".75","-8.32","1.18"
"1.644",".57","-7.65","-0.67"
"1.826",".37","-7.22","0.47"
"1.828",".39","-6.90","0.82"
"1.83",".55","-7.14","1.69"
"1.832",".57","-6.98","0.75"
"1.834",".47","-6.79","0.55"
"1.836",".33","-6.67","1.02"
"2.007",".63","-6.32","1.06"
"2.009",".75","-6.51","0.86"
"2.011",".90","-6.00","1.26"
"2.013",".04","-6.75","1.53"
"2.014",".94","-8.28","2.55"
"2.016","6.43","-6.55","-1.10"
"2.188",".45","-9.30","2.35"
"2.19",".96","-13.96","0.94"
"2.191",".67","-14.16","-1.33"
"2.193",".86","-9.61","-2.39"
"2.195","1.41","-10.12","1.37"
"2.197",".82","-9.18","-0.78"
"2.369",".55","-11.10","1.96"
"2.371",".10","-10.28","1.26"
"2.372",".63","-6.20","0.08"
"2.374","1.73","-4.43","-0.31"
"2.376",".94","-4.86","0.39"
"2.377",".96","-5.57","1.10"
"2.549",".77","-4.20","0.55"
"2.551",".59","-3.80","2.00"
"2.553",".61","-5.41","4.04"
"2.555",".77","-7.22","3.41"
"2.556","5.77","-10.51","2.79"
"2.735",".71","-11.45","7.85"
"2.737",".53","-6.39","7.45"
"2.739",".26","-12.94","2.04"
"2.74","0.98","-16.67","0.27"
"2.742",".79","-10.67","5.92"
"2.744",".33","-6.39","-1.61"
"2.916",".12","-7.65","-1.37"
"2.937",".98","-8.28","-1.02"
"2.939",".67","-7.45","1.61"
"2.941",".69","-6.71","1.45"
"2.942",".33","-6.24","0.67"
"3.125",".67","-6.28","1.10"
"3.127",".00","-5.69","0.20"
"3.129",".77","-5.14","0.31"
"3.131",".04","-5.57","0.47"
"3.133",".10","-6.43","1.61"
"3.135",".30","-6.51","1.57"
"3.137",".10","-8.79","3.88"
"3.312",".32","-6.32","0.20"
"3.314",".53","-10.63","0.75"
"3.315",".75","-13.49","1.22"
"3.317",".12","-12.83","-2.16"
"3.319",".33","-8.20","-4.51"
"3.321",".82","-9.57","0.08"
"3.495",".79","-10.20","0.20"
"3.497",".55","-10.83","2.24"
"3.499",".73","-6.90","0.27"
"3.5",".82","-5.61","-0.67"
"3.502",".26","-4.59","-0.47"
"3.503","2.79","-4.63","-0.08"
"3.677",".51","-5.10","0.63"
"3.679",".00","-4.35","1.33"
"3.681",".98","-5.45","2.31"
"3.682",".80","-7.02","2.94"
"3.684",".65","-7.92","3.61"
"3.859",".12","-11.30","4.31"
"3.861",".34","-7.61","6.43"
"3.863",".36","-4.86","3.30"
"3.865","6.32","-11.14","3.14"
"3.866",".43","-16.83","3.88"
"3.868",".59","-8.59","3.61"
"4.042",".90","-6.43","-0.39"
"4.044",".12","-7.18","-2.20"
"4.046",".33","-8.32","-1.53"
"4.047",".86","-7.77","1.61"
"4.049",".84","-7.65","1.02"
"4.051",".61","-6.75","1.37"
"4.226",".92","-6.12","0.94"
"4.228",".43","-5.49","1.14"
"4.229",".10","-5.69","1.14"
"4.231",".63","-4.86","1.18"
"4.233",".92","-6.12","3.02"
"4.235",".06","-6.35","0.55"
"4.413",".30","-7.65","1.49"
"4.415",".43","-6.59","0.59"
"4.417",".84","-9.73","4.94"
"4.419",".00","-12.32","2.94"
"4.42",".67","-12.20","-1.61"
"4.597",".45","-11.10","-1.73"
"4.599",".31","-9.14","1.77"
"4.601",".69","-8.94","-0.35"
"4.602",".84","-11.30","1.88"
"4.604",".45","-9.30","2.12"
"4.606",".61","-6.79","0.12"
"4.781",".53","-4.86","-0.78"
"4.783",".90","-3.73","-0.04"
"4.785",".65","-5.14","0.75"
"4.786",".98","-3.65","0.55"
"4.788",".47","-4.12","2.51"
"4.79",".94","-6.35","3.73"
"4.966",".55","-6.63","3.73"
"4.968",".24","-9.81","3.33"
"4.97",".43","-11.02","8.00"
"4.972",".81","-9.85","9.73"
"4.973",".47","-14.95","-1.57"
"5.15",".37","-12.83","4.39"
"5.152",".29","-6.71","2.31"
"5.154",".06","-6.98","-2.47"
"5.156",".45","-7.77","-1.65"
"5.158",".53","-8.75","0.78"
"5.159","2.79","-7.85","1.65"
"5.161",".67","-5.96","1.96"
"5.338",".65","-6.20","0.94"
"5.34",".43","-6.08","1.10"
"5.342",".90","-5.10","0.24"
"5.343",".75","-5.49","0.71"
"5.345",".06","-5.53","2.20"
"5.347",".24","-5.57","2.12"
"5.524",".73","-7.81","3.30"
"5.526",".26","-7.02","-1.22"
"5.528",".69","-8.63","2.98"
"5.53",".10","-11.69","4.16"
"5.531",".59","-12.63","-1.33"
"5.709",".84","-11.38","-1.92"
"5.711",".37","-10.40","0.86"
"5.713",".41","-10.94","0.12"
"5.714",".71","-12.87","4.04"
"5.716",".41","-8.94","1.02"
"5.718",".80","-5.81","1.02"
"5.896",".37","-4.75","0.16"
"5.898",".04","-3.41","-1.06"
"5.9",".98","-4.86","0.39"
"5.902",".47","-3.45","0.67"
"5.903",".88","-3.73","1.29"
"5.905",".18","-5.06","2.98"
"6.083",".00","-7.10","3.49"
"6.085",".57","-8.94","1.29"
"6.087",".67","-10.08","7.57"
"6.088",".08","-7.88","7.61"
"6.09",".87","-10.04","6.20"
"6.268",".94","-18.16","-4.55"
"6.27",".75","-11.02","7.57"
"6.271",".31","-6.39","-0.63"
"6.273",".94","-7.14","-1.96"
"6.275",".67","-7.57","-1.57"
"6.277",".16","-8.12","2.82"
"6.455",".37","-6.94","1.22"
"6.457",".65","-6.59","1.26"
"6.459",".77","-7.22","1.18"
"6.461",".55","-5.92","0.51"
"6.462",".20","-5.14","1.02"
"6.464",".67","-4.90","1.53"
"6.644",".79","-4.98","1.49"
"6.646",".59","-6.35","0.94"
"6.648",".20","-7.37","4.39"
"6.65",".55","-7.02","0.43"
"6.652",".24","-7.57","2.90"
"6.653",".75","-8.98","2.67"
"6.833",".30","-14.12","0.86"
"6.835",".67","-11.22","-1.26"
"6.837",".45","-9.49","-1.10"
"6.839",".86","-9.53","-0.43"
"6.84",".08","-11.81","2.35"
"6.842",".12","-11.61","2.43"
"7.022",".90","-6.90","0.08"
"7.024",".33","-4.82","-0.39"
"7.026",".47","-2.86","-1.65"
"7.028",".94","-4.82","0.31"
"7.029",".55","-4.86","1.53"
"7.031",".20","-4.20","2.75"
"7.211",".98","-5.69","3.18"
"7.213",".63","-6.75","2.98"
"7.215",".63","-10.63","3.06"
"7.217",".32","-9.65","6.79"
"7.219",".57","-6.59","8.79"
"7.221",".67","-9.96","6.51"
"7.4","0.31","-17.57","-4.28"
"7.402",".29","-11.41","4.75"
"7.404",".90","-5.18","-0.86"
"7.406",".96","-7.30","-0.24"
"7.408",".26","-8.83","-2.12"
"7.409",".33","-8.83","2.28"
"7.59",".04","-6.75","1.84"
"7.592",".45","-6.08","1.37"
"7.594",".41","-5.92","1.06"
"7.596",".10","-5.06","1.06"
"7.598",".79","-6.04","1.02"
"7.599",".02","-5.37","1.18"
"7.78",".96","-5.61","1.96"
"7.782",".02","-7.06","3.37"
"7.786",".51","-6.86","0.00"
"7.789",".30","-11.49","3.53"
"7.97",".88","-12.55","-0.35"
"7.972",".30","-9.34","-2.35"
"7.973",".24","-9.02","-1.41"
"7.975",".45","-11.18","0.63"
"7.977",".43","-14.20","4.47"
"7.978",".35","-10.79","1.61"
"8.161",".71","-5.57","0.63"
"8.162",".43","-3.84","-2.00"
"8.164",".55","-2.31","-0.51"
"8.165","2.98","-4.16","0.08"
"8.17",".26","-4.04","1.18"
"8.171",".65","-4.63","3.26"
"8.353",".90","-6.08","3.02"
"8.355","5.33","-8.00","1.61"
"8.356",".94","-13.73","5.92"
"8.358",".43","-8.90","7.96"
"8.365","11.34","-5.10","8.51"
"8.367",".10","-17.77","-3.73"
"8.548",".06","-15.49","4.04"
"8.55",".39","-5.69","0.00"
"8.551",".43","-5.26","-2.55"
"8.553",".57","-7.92","-1.37"
"8.558",".98","-9.10","1.18"
"8.56",".79","-6.90","0.94"
"8.742",".12","-6.47","2.24"
"8.744",".26","-6.35","0.43"
"8.745",".02","-5.96","0.90"
"8.747",".82","-5.69","0.47"
"8.75",".41","-5.33","0.86"
"8.752",".90","-5.77","1.37"
"8.753",".10","-6.79","2.55"
"8.935",".75","-7.69","3.57"
"8.937",".08","-6.90","-1.49"
"8.939",".45","-9.53","4.43"
"8.94",".33","-12.47","3.06"
"8.942",".69","-11.65","-1.29"
"9.125",".35","-11.57","-1.69"
"9.127",".49","-10.36","0.55"
"9.128","1.26","-11.41","0.55"
"9.13","5.84","-12.79","3.92"
"9.131",".18","-7.88","0.63"
"9.133",".06","-6.08","-1.61"
"9.315",".82","-3.30","0.31"
"9.317",".28","-3.61","-0.20"
"9.318",".61","-4.12","1.06"
"9.32",".37","-2.67","-0.24"
"9.322",".67","-4.59","3.88"
"9.323",".94","-5.73","3.80"
"9.325","4.98","-8.00","2.86"
"9.507",".73","-14.47","4.51"
"9.509",".04","-7.65","8.16"
"9.511",".45","-5.02","10.32"
"9.513",".80","-15.34","-0.86"
"9.514","0.67","-15.69","4.71"
"9.516",".59","-6.67","1.69"
"9.699",".69","-5.18","-2.75"
"9.701",".53","-6.24","-1.53"
"9.703",".86","-7.81","-0.08"
"9.704",".51","-8.12","2.35"
"9.706",".86","-7.02","3.18"
"9.89",".65","-6.20","1.18"
"9.891",".80","-6.39","1.65"
"9.893",".73","-5.30","0.39"
"9.895",".81","-5.26","1.57"
"9.897",".88","-5.49","1.45"
"9.898",".08","-6.32","1.02"
"10.082",".82","-7.26","2.90"
"10.084",".55","-6.35","0.31"
"10.085",".94","-9.02","5.26"
"10.087",".47","-11.30","2.35"
"10.089",".10","-14.04","0.39"
"10.09",".67","-10.90","-2.31"
"10.275","3.14","-8.90","-0.78"
"10.277",".61","-11.61","1.22"
"10.279",".22","-13.81","4.59"
"10.281",".26","-8.90","1.14"
"10.283",".24","-5.30","-0.43"
"10.285",".90","-3.88","0.16"
"10.286",".92","-2.94","-1.37"
"10.471",".79","-4.47","0.67"
"10.473",".24","-3.26","1.65"
"10.474",".63","-5.26","4.04"
"10.476",".96","-5.61","3.53"
"10.478",".18","-6.75","2.90"
"10.662",".30","-12.79","2.39"
"10.664",".20","-9.22","9.85"
"10.666",".30","-10.04","10.36"
"10.668",".75","-16.08","-7.88"
"10.669",".41","-10.28","6.32"
"10.671",".98","-5.14","-0.86"
"10.673",".49","-7.14","-1.73"
"10.858",".57","-8.36","-1.92"
"10.86",".45","-8.36","2.28"
"10.861",".77","-7.22","1.29"
"10.863",".92","-6.24","2.12"
"10.865",".29","-6.59","1.29"
"10.867",".02","-5.88","0.78"
"11.051",".12","-5.02","0.47"
"11.053",".98","-5.41","0.63"
"11.055",".94","-5.88","0.59"
"11.057",".26","-7.34","3.06"
"11.058",".77","-8.04","3.30"
"11.244",".94","-5.10","-1.06"
"11.246",".43","-9.73","2.59"
"11.248",".47","-13.69","2.51"
"11.249",".47","-12.75","-2.82"
"11.251",".37","-10.43","-0.67"
"11.253","0.04","-9.49","-0.12"
"11.439",".22","-12.16","2.51"
"11.445",".79","-10.36","3.22"
"11.447",".63","-6.67","0.98"
"11.449",".02","-5.14","-0.24"
"11.451",".39","-4.04","-0.98"
"11.452",".26","-4.51","0.63"
"11.638",".10","-4.08","0.35"
"11.64",".84","-3.80","1.61"
"11.642",".14","-5.18","2.98"
"11.644",".18","-6.86","3.53"
"11.645",".24","-9.18","1.96"
"11.648",".77","-11.73","6.00"
"11.835",".53","-11.77","4.20"
"11.837","0.86","-18.67","-3.10"
"11.839","0.31","-10.87","8.47"
"11.84",".00","-5.33","-1.77"
"11.842",".30","-7.14","-0.59"
"11.844",".04","-9.26","-1.18"
"12.031",".75","-7.88","1.96"
"12.033",".04","-6.86","0.55"
"12.035",".29","-5.37","1.14"
"12.036",".94","-5.61","0.86"
"12.038",".77","-5.69","1.10"
"12.04",".98","-5.37","0.63"
"12.228",".04","-5.37","0.78"
"12.229",".30","-6.43","1.77"
"12.231",".59","-6.28","1.14"
"12.233",".75","-8.12","1.77"
"12.235",".67","-6.71","0.35"
"12.236",".96","-9.26","3.57"
"12.424",".02","-12.94","3.06"
"12.427",".28","-11.85","-2.90"
"12.428",".73","-10.98","-1.37"
"12.43",".20","-12.16","1.02"
"12.432",".00","-13.06","1.22"
"12.433",".81","-11.61","4.08"
"12.62",".26","-7.30","1.65"
"12.622",".26","-4.67","-0.55"
"12.624",".86","-3.53","-1.14"
"12.626",".82","-4.35","0.08"
"12.628",".06","-4.00","0.78"
"12.63",".41","-3.80","2.20"
"12.819",".59","-5.33","3.10"
"12.821",".53","-6.59","3.37"
"12.823",".16","-8.20","2.39"
"12.825",".96","-12.94","3.69"
"12.827",".67","-7.61","8.39"
"12.829",".39","-8.98","6.71"
"12.83",".75","-15.65","-5.69"
"13.019",".90","-13.14","5.22"
"13.021",".67","-6.47","0.20"
"13.023",".49","-8.28","-0.59"
"13.025",".63","-8.90","2.39"
"13.027",".43","-6.83","0.08"
"13.214",".16","-6.71","2.79"
"13.216",".69","-6.55","1.26"
"13.218",".26","-6.43","1.18"
"13.22",".96","-4.39","-0.08"
"13.222",".63","-6.16","1.53"
"13.223",".33","-5.18","2.04"
