NAME:,walk5,,
EXPERIMENT TIME:,24-05-22 16:33,,
Activity,Walking,,
COUNT OF ACTUAL STEPS,67,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-2.9,10.87,2.16
0.045,-3.37,11.65,3.41
0.09,-4.43,11.34,4.24
0.134,-6.75,7.45,2.51
0.178,-7.14,5.92,2.24
0.221,-5.77,9.02,3.45
0.265,-4.63,8.43,3.8
0.309,-5.06,8.67,2.43
0.353,-5.37,6.39,1.84
0.396,-5.02,6.83,1.22
0.44,-4.55,7.96,1.57
0.484,-4.16,7.69,0.55
0.528,-4.2,8.12,0.08287204
0.617,-4.75,8.94,-0.67
0.662,-5.1,7.65,-1.02
0.707,-6.51,9.81,-0.24
0.753,-6.24,10.47,-1.61
0.798,-10.71,11.45,2.24
0.843,-6.63,11.49,5.77
0.887,-1.92,4.28,4.28
0.931,-7.3,5.81,2.59
0.974,-6.47,6.55,0.82
1.018,-4.98,6.59,2
1.062,-4,7.3,2.43
1.106,-4.55,8.63,2.47
1.149,-4.59,8.04,1.61
1.193,-4.71,8.12,0.55
1.237,-3.77,8.08,0.75
1.281,-4.16,8.51,0.63
1.324,-4.24,8.67,0.94
1.368,-4.28,9.22,1.37
1.412,-3.65,9.69,1.41
1.457,-3.18,10.94,1.29
1.501,-2.08,11.65,2.82
1.546,-3.96,11.65,6.43
1.591,-6.59,10.63,6.2
1.635,-8.32,3.33,0.82
1.679,-5.92,9.49,4.12
1.722,-3.06,8.28,3.1
1.766,-4.04,6.98,2.2
1.81,-5.53,7.1,1.02
1.854,-5.96,6.28,0.39
1.897,-5.92,8.04,1.14
1.941,-5.26,9.45,1.69
1.985,-4.71,8.28,0.47
2.03,-4.24,7.45,-0.51
2.074,-5.06,8.83,-0.24
2.118,-5.06,8.67,0.08
2.162,-4.9,9.22,0.43
2.207,-4.51,9.92,-0.31
2.251,-4.39,9.26,-1.61
2.296,-9.49,8.63,-0.12
2.342,-12.08,11.38,6.55
2.386,-3.77,7.57,6.98
2.43,-7.14,4.94,3.26
2.473,-7.53,7.49,3.02
2.517,-6.04,4.98,1.53
2.561,-4.79,5.88,1.22
2.605,-5.37,9.06,2.67
2.648,-4.04,7.81,2.39
2.692,-5.06,7.65,1.84
2.736,-4.86,8.59,1.73
2.78,-3.84,7.37,1.06
2.823,-4.51,8.67,1.22
2.867,-3.84,8.51,1.61
2.911,-3.77,8.71,1.77
2.955,-4.51,9.1,1.45
2.998,-4.24,9.49,1.02
3.043,-4.24,10.67,1.02
3.088,-2.9,10.98,2.82
3.133,-4.98,10.51,5.61
3.178,-7.69,10.67,5.22
3.221,-6.63,2.75,0.94
3.265,-4.86,7.73,2.59
3.309,-3.96,7.96,3.18
3.353,-5.18,7.45,2.63
3.396,-5.92,6.94,1.37290072
3.886,-14.95,12.67,4.47
3.93,-2.82,6.75,4.94
3.973,-5.18,3.88,3.77
4.017,-6.75,7.45,2.2
4.061,-6.04,5.84,1.41
4.105,-5.02,7.92,2.75
4.148,-4.39,8.08,2.24
4.192,-5.06,8.32,1.77
4.236,-5.1,8.59,1.22
4.28,-4.79,8.67,1.22
4.323,-4.39,8.39,1.45
4.367,-3.37,8.79,1.37
4.411,-3.65,8.63,1.37
4.455,-3.73,9.1,1.3729113
4.542,-3.92,9.57,0.98
4.586,-3.26,9.57,0.39
4.63,-2.9,9.89,2.28
4.674,-5.3,10.4,4.2
4.719,-8.04,10.51,6.43
4.763,-7.57,4.79,1.06
4.807,-4.43,8.2,3.3
4.85,-4,9.02,2.24
4.894,-4.39,8.55,2.31
4.938,-4.47,6.63,1.26
4.982,-5.41,6.55,0.39
5.025,-5.61,9.14,1.8
5.069,-5.26,8.63,1.33
5.113,-4.86,7.61,0.31
5.157,-4.63,8.79,0.75
5.2,-4.63,8,0.31
5.245,-4.94,8.24,-0.12
5.289,-4.94,8.94,0.16
5.334,-4.55,9.06,-0.08
5.379,-5.02,9.3,-0.67
5.423,-5.14,9.77,-1.26
5.469,-5.06,10.2,-1.53
5.514,-8.04,9.49,-0.59
5.56,-12.2,11.3,3.73
5.604,-4.63,6.43,4.82
5.647,-3.84,3.88,2.08
5.692,-7.45,10.36,3.1
5.736,-5.41,4.86,0.35
5.78,-5.26,6.83,0.9
5.823,-4.98,8.36,1.8
5.867,-4.98,9.14,3.02
5.911,-4.39,8.55,2.63
5.955,-3.3,7.96,2.16
5.998,-3.49,8.55,1.69
6.042,-3.22,8.51,1.84
6.086,-3.69,8.2,1.69
6.13,-4.43,9.1,1.1
6.173,-4.59,8.79,0.78
6.217,-4.86,9.18,0.63
6.262,-4.12,10.4,1.1
6.307,-3.45,10.67,0.63
6.351,-3.84,11.1,2.9
6.396,-3.88,11.49,7.49
6.44,-9.06,8,4.28
6.484,-6.08,4.94,1.8
6.529,-5.06,10.55,4.47
6.572,-3.1,8.08,3.14
6.616,-3.65,7.49,2.71
6.66,-6.04,6.83,0.47
6.704,-6.28,7.69,1.18
6.747,-6,8.08,1.14
6.791,-4.55,7.41,0.51
6.835,-4.55,8.2,0.55
6.88,-5.22,8.12,-0.24
6.924,-5.77,7.96,-0.27
6.968,-4.86,9.1,0.55
7.013,-5.53,8.47,-0.7129369
7.103,-5.1,8.79,-1.26
7.147,-5.41,8.36,-1.88
7.192,-5.84,8.59,-2.51
7.238,-10.98,10.08,2.51
7.284,-13.85,13.65,7.18
7.328,-0.94,5.45,6.16
7.371,-4.59,8.75,4.12
7.415,-6.04,5.77,1.37
7.459,-4.94,6.28,0.75
7.503,-4.94,8.55,2.2
7.546,-3.92,8.79,2.86
7.59,-4.86,7.77,1.61
7.634,-5.02,8.2,1.8
7.678,-4.67,8.12,1.37
7.721,-4.55,8.43,1.06
7.765,-3.96,8.28,1.57
7.809,-4.86,9.02,1.33
7.853,-3.57,8.12,1.41
7.896,-3.14,9.41,1.45
7.94,-3.22,9.57,1.22
7.984,-3.45,9.45,0.71
8.029,-2.79,10.63,1.06
8.074,-3.22,10.63,-0.12
8.118,-6.39,9.89,6.47
8.164,-8.2,11.02,10.79
8.209,-12.16,6.43,3.92
8.253,-4.51,8.16,2.47
8.296,-2.59,7.92,3.18
8.34,-3.33,5.53,2.04
8.384,-6.39,7.81,1.84
8.428,-6.94,8.39,1.84
8.471,-7.06,6.55,0.16
8.515,-4.9,6.9,0
8.559,-4.31,7.65,0.43
8.604,-4.67,7.73,-0.08
8.648,-5.61,8.08,-0.39
8.693,-5.61,8.43,-0.04
8.737,-5.61,8.83,0.12
8.782,-5.33,9.41,-0.24
8.826,-4.55,9.18,-1.33
8.871,-5.57,8.12,-2.16
8.916,-6.08,8.36,-2.12295594
9.051,-1.57,4.98,3.88
9.095,-4.94,6.2,3.92295771
9.358,-5.49,8.67,1.26
9.401,-5.1,7.81,1.22
9.445,-4.59,8.43,1.61
9.489,-4.59,8.71,1.41
9.533,-4.31,8.47,1.49
9.576,-4,8.87,1.57
9.62,-3.53,9.18,1.33
9.664,-3.1,9.57,1.18
9.708,-3.33,9.85,0.9
9.753,-3.53,10.71,1.1
9.797,-4.59,11.1,4.39
9.841,-4.9,9.96,9.49
9.886,-11.92,6.2,1.37
9.93,-5.06,7.65,2.9
9.974,-4.67,10.2,2.67
10.018,-3.14,4.82,1.61
10.062,-5.1,6.28,1.8
10.106,-7.26,7.92,0.94
10.149,-7.1,7.92,0.9
10.193,-5.61,7.37,0.63
10.237,-4.67,7.57,0.51
10.281,-5.22,7.73,0.08
10.324,-5.1,8.94,0.39
10.369,-5.33,8.55,-0.04
10.413,-5.06,8.51,0.08
10.458,-5.1,8.63,-0.63
10.503,-5.06,8.83,-1.06
10.547,-5.49,8.63,-1.88
10.592,-5.53,9.41,-2.24
10.637,-8.28,8.59,-0.94
10.683,-12.67,11.85,2.59
10.726,-5.53,7.96,4.59
10.77,-1.73,3.8,2.98
10.814,-7.02,9.45,3.26
