NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:42,,
ACTIVITY TYPE:,Walking,,
Count of actual steps:,110,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
29.77,9.06,4.12,4.75
29.82,7.14,3.53,5.77
29.87,6.59,2.43,5.96
29.92,6.9,1.61,6.63
29.98,7.92,1.33,5.96
30.03,8.9,2.04,5.57
30.08,7.96,2.12,5.81
30.13,7.53,2.28,6.28
30.18,7.88,2.47,6.2
30.23,7.88,3.33,6.24
30.28,7.92,3.53,6.28
30.33,7.88,3.57,6
30.38,7.41,4.04,6.04
30.43,7.53,4.08,5.92
30.49,7.3,3.8,6.24
30.54,7.69,3.57,6.94
30.59,8.2,4.2,7.14
30.64,9.18,4.59,6.83
30.69,9.85,4.24,5.49
30.74,8.39,4.24,3.77
30.79,7.57,2.63,4.08
30.84,7.26,1.96,4.39
30.89,7.41,1.49,4.9
30.94,7.45,1.26,5.22
31,6.98,1.53,5.33
31.05,6.08,1.8,5.81
31.1,5.81,2.28,6.51
31.15,6.32,2.9,7.34
31.2,7.69,3.53,8.16
31.25,9.26,3.37,8.28
31.3,7.61,2.75,7.22
31.35,7.81,3.53,7.96
31.4,10.24,3.18,6.67
31.45,10.08,2.94,5.45
31.5,8.36,3.57,5.33
31.56,6.67,2.55,5.02
31.61,5.37,2.35,4.71
31.66,5.57,2.9,5.33
31.71,6.59,3.26,5.69
31.76,7.1,3.33,6.98
31.81,9.49,3.73,7.92
31.86,11.06,3.26,8.47
31.91,10.79,2.47,9.06
31.96,10.4,1.18,6.67
32.01,7.57,2.04,4.31
32.07,7.49,2.31,4.08
32.12,7.41,1.65,4.43
32.17,5.73,2.08,5.18
32.22,5.18,2.39,5.88
32.27,5.53,2.71,7.06
32.32,5.77,2.59,7.53
32.37,6.08,3.45,7.77
32.42,8.9,5.1,8
32.47,12.83,6.39,7.3
32.53,10.12,3.45,4.31
32.58,5.96,3.22,4.12
32.63,6.24,3.41,4.75
32.68,7.02,2.63,4.47
32.73,5.69,2.82,4.94
32.88,8.24,2.79,7.1
32.93,9.65,3.53,7.22
32.98,10.36,3.69,6.04
33.03,9.65,3.61,6.16
33.09,9.81,2.67,4.94
33.14,8.67,2.63,4.24
33.19,6.79,2.9,4.79
33.24,5.65,2.51,5.33
33.29,5.1,2.67,6.2
33.34,5.22,3.3,6.83
33.39,5.92,3.41,7.3
33.44,5.45,3.61,7.81
33.49,8.08,4.35,8.47
33.54,10.47,4.75,8.43
33.6,12.71,4.86,8.47
33.65,8.98,2.24,4.98
33.7,5.84,2.75,4.86
33.75,5.73,2.08,4.94
33.8,5.65,1.57,5.14
33.85,5.73,1.8,5.57
33.9,5.81,2.04,5.84
33.95,7.18,2.16,7.14
34,8.9,1.73,7.77
34.06,10,2.24,7.81
34.11,9.73,2.98,8.9
34.16,11.57,2.16,8.67
34.21,8.79,0.75,5.69
34.26,6.51,0.63,4.67
34.31,6.04,1.26,4.39
34.36,4.98,2.39,4.82
34.41,4.59,3.53,6.47
34.46,6.67,4.24,7.92
34.51,7.45,3.57,7.45
34.56,8.9,4.24,7.77
34.62,9.89,3.84,6.32
34.67,10.08,5.02,7.65
34.72,10.59,3.65,4.35
34.77,7.73,4,4.31
34.82,6.67,3.33,4.39
34.87,6.16,2.55,4.71
34.92,5.14,2.04,4.47
34.97,4.94,3.1,4.75
35.02,5.77,3.88,5.49
35.08,9.22,3.26,7.69
35.13,10.47,1.29,9.14
35.18,11.14,1.53,8.36
35.23,11.73,3.57,7.65
35.28,9.96,2.63,5.33
35.33,7.57,2.51,5.53
35.38,6.39,2.35,5.77
35.43,5.14,2.35,5.1
35.48,4.51,2.55,5.53
35.53,5.26,3.37,6.51
35.58,6,3.8,7.26
35.64,6.47,4.67,8.39
35.69,7.92,5.61,7.61
35.74,8.87,7.65,8.63
35.79,9.92,5.53,5.88
35.84,6.9,4.63,6.04
35.89,6.12,4,5.84
35.94,5.88,3.26,5.3
35.99,4.94,2.71,4.67
