NAME:,walk_4_2.csv,,
EXPERIMENT TIME:,24/05/2022 10:53,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1.192,0.24,0.43,9.18
2.724,0.27,0.31,8.28
4.188,0.35,1.53,9.53
5.691,0,1.02,9.61
7.192,-0.24,-1.26,11.06
8.782,2.08,-1.06,8
10.258,2.24,1.37,10.4
11.744,0.22,-0.51,7.85
13.253,1.49,-0.39,6.28
14.708,-2.71,0.47,7.81
16.283,2.12,-0.9,11.77
17.78,2.04,0.78,7.85
19.219,-2.75,-0.27,8.32
20.788,0.63,-0.47,9.3
22.221,-3.45,0.24,9.22
23.718,-2.16,0.2,8.36
25.227,-0.82,0.08,10.59
26.766,1.1,-0.63,9.49
28.276,1.92,0.75,9.73
29.732,-1.57,-0.31,7.45
31.245,-3.18,0.51,7.81
32.775,1.18,-0.78,13.42
34.27,1.65,0.86,11.61
35.811,0.86,-0.98,9.73
37.256,-3.06,0.78,8.28
38.75,-0.12,-0.63,9.81
40.247,-1.26,-0.35,6.32
41.75,-2.43,0.12,8.67
43.244,-2.12,-0.71,10.71
44.757,-1.14,0.78,10.51
46.252,-1.49,-0.55,10.2
47.783,-2.47,-0.59,7.61
49.311,-0.43,-0.2,8.16
50.814,2.71,-0.71,7.81
52.255,-2.16,-0.31,9.14
53.768,-0.82,0.39,8.32
55.327,0.63,-0.94,9.18
56.771,-3.8,-0.2,10.32
58.268,-2.9,-0.86,7.65
59.832,2.82,-0.51,11.26
61.264,0.27,-0.12,9.57
62.794,2.28,-0.78,9.69
87.761,1.49,-2.43,9.02
87.766,2.9,0.51,8.98
87.769,0.2,-0.12,8.28
87.773,1.18,-0.12,7.73
87.777,-2.24,-1.33,8.83
87.784,-2.28,-0.86,7.77
87.788,3.18,0.75,10
87.791,-0.35,-0.47,9.18
87.795,-2.59,-1.8,9.77
87.8,0.47,0.67,9.14
87.804,0.24,-1.02,9.3
87.813,0.67,0.24,9.41
87.817,0.59,0.35,9.18
87.821,0.55,0.39,9.22
87.825,0.59,0.35,9.14
87.828,0.55,0.39,9.18
88.35,55,0.35,9.14
