"NAME:","walk_2.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"211.80","-10.12","0.00","-0.12"
"211.91","-9.61","-0.12","0.00"
"212.01","-9.77","0.90","-0.04"
"212.11","-9.73","0.16","-0.08"
"212.21","-10.04","-0.63","-0.39"
"212.32","-11.65","2.31","-0.20"
"212.42","-11.92","-1.88","-1.88"
"212.53","-11.57","-3.37","1.80"
"212.63","-10.00","0.94","1.02"
"212.74","-7.45","0.31","2.08"
"212.84","-6.35","0.86","2.04"
"212.93","-10.20","2.82","3.37"
"213.04","-8.71","4.55","4.39"
"213.14","-12.08","-2.75","1.14"
"213.24","-11.02","-0.20","-0.08"
"213.35","-8.24","1.29","-0.43"
"213.45","-8.87","1.29","0.20"
"213.55","-9.65","-0.71","0.35"
"213.65","-11.53","0.35","-1.02"
"213.76","-9.77","-1.57","0.47"
"213.86","-10.40","-1.77","0.86"
"213.96","-7.69","-0.35","2.00"
"214.07","-5.81","1.26","2.28"
"214.16","-10.32","2.28","3.73"
"214.27","-9.45","2.00","6.04"
"214.37","-7.37","-2.08","0.94"
"214.47","-10.43","0.94","-0.31"
"214.57","-9.02","0.00","-0.24"
"214.68","-8.83","1.33","0.51"
"214.77","-11.26","0.20","0.20"
"214.88","-11.73","-1.26","-1.29"
"214.98","-15.06","-3.37","2.08"
"215.09","-7.34","2.28","0.78"
"215.19","-5.14","0.35","1.84"
"215.29","-7.26","2.20","3.49"
"215.39","-11.49","4.16","5.10"
"215.49","-10.12","-1.69","2.82"
"215.59","-9.65","1.26","-0.94"
"215.70","-8.16","-0.82","-0.39"
"215.80","-8.87","0.78","-0.51"
"215.90","-10.63","0.08","0.12"
"216.00","-11.14","0.94","0.00"
"216.11","-10.08","-1.88","-1.84"
"216.21","-11.92","-1.22","1.45"
"216.32","-6.59","0.27","1.80"
"216.42","-5.49","0.90","2.55"
"216.52","-11.96","2.16","3.57"
"216.62","-15.14","2.08","3.57"
"216.72","-7.26","-0.67","-0.90"
"216.82","-9.57","-0.86","0.16"
"216.93","-9.41","0.00","-0.75"
"217.03","-8.55","2.31","0.59"
"217.13","-11.34","0.55","-0.20"
"217.23","-9.89","-2.71","-2.08"
"217.34","-14.08","-5.02","1.02"
"217.44","-7.53","2.75","0.39"
"217.54","-5.57","0.08","1.57"
"217.64","-6.63","2.16","2.94"
"217.74","-10.40","4.82","5.06"
"217.84","-9.96","-1.22","2.43"
"217.95","-10.08","0.43","-0.78"
"218.05","-7.77","-0.20","-0.55"
"218.15","-8.79","0.98","-0.43"
"218.26","-10.75","-0.35","0.20"
"218.36","-11.38","0.59","0.39"
"218.46","-11.69","-1.45","0.55"
"218.57","-11.45","-1.14","1.45"
"218.67","-6.39","1.88","0.75"
"218.77","-5.88","0.12","2.71"
"218.87","-14.44","1.80","3.57"
"218.97","-12.51","2.47","2.82"
"219.07","-6.79","-2.12","0.08"
"219.18","-10.16","0.35","-0.86"
"219.28","-9.38","-0.55","-0.90"
"219.38","-9.06","0.98","0.39"
"219.49","-11.81","0.04","0.47"
"219.59","-10.08","-1.49","-1.45"
"219.69","-13.42","-2.94","1.88"
"219.80","-7.41","2.08","0.94"
"219.90","-5.88","0.94","1.69"
"220.00","-6.98","1.49","2.94"
"220.10","-9.89","5.02","4.67"
"220.20","-13.30","-2.04","-0.59"
"220.30","-10.12","0.24","-0.35"
"220.41","-8.20","0.12","-0.86"
"220.51","-8.71","1.18","-0.12"
"220.61","-11.02","0.39","0.43"
"220.71","-11.69","0.78","0.47"
"220.82","-16.12","-1.61","1.92"
"220.92","-9.89","0.59","0.98"
"221.02","-6.51","0.71","1.29"
"221.12","-4.47","0.47","2.94"
"221.22","-16.51","1.61","4.67"
"221.32","-14.91","-3.33","3.22"
"221.43","-7.37","-0.98","-1.61"
"221.53","-9.41","-1.80","-1.53"
"221.63","-9.53","0.78","-0.55"
"221.74","-10.08","1.37","1.02"
"221.84","-11.73","-0.71","0.82"
"221.94","-14.67","-2.39","2.51"
"222.05","-9.45","3.69","-0.27"
"222.15","-6.28","-0.59","1.45"
"222.25","-5.02","0.78","2.98"
"222.35","-16.59","1.29","3.96"
"222.45","-13.81","-1.53","1.69"
"222.56","-9.45","-1.22","-1.80"
"222.66","-9.18","-0.43","-0.43"
"222.77","-10.04","1.02","-0.63"
"222.87","-9.69","0.75","0.75"
"222.97","-11.26","0.59","-0.51"
"223.07","-8.39","-1.18","-1.69"
"223.18","-12.75","-3.41","1.73"
