NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,25-05-22 18:12,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-1.41,-1.49,10.2
0.036,-1.77,-1.41,10.24
0.057,-1.8,-1.77,10.2
0.081,-1.73,-1.8,10.16
0.114,-1.92,-1.77,10.08
0.146,-1.92,-1.57,10
0.179,-2.08,-1.45,10
0.211,-1.77,-1.65,10.43
0.243,-1.73,-1.18,10.12
0.276,-1.61,-0.78,10.12
0.311,-1.18,-1.06,10.36
0.378,-0.9,-1.02,10.43
0.391,-1.22,-0.55,9.89
0.517,-1.61,-0.31,9.81
0.527,-1.73,-1.1,10.32
0.546,-2.08,-1.37,10.08
0.549,-2.08,-1.02,10.04
0.575,-2.31,-0.78,10.12
0.608,-2.16,0.16,10.43
0.641,-1.65,-0.04,10.08
0.676,-1.37,0.12,10.24
0.709,-1.22,-0.31,10.32
0.74,-0.78,0.27,9.65
0.774,-1.57,0.47,10.36
0.807,-1.1,-0.12,8.9
0.84,-2.2,0.47,9.49
0.865,-1.49,0.63,9.34
0.882,-1.73,0.04,9.53
0.914,-1.96,0.16,9.81
0.946,-2.86,1.18,10.36
0.979,-1.8,-0.51,10.24
1.012,-1.88,1.06,11.85
1.048,-3.22,3.49,12.47
1.08,-3.61,3.49,13.81
1.114,-4.08,2.31,12.75
1.145,-5.61,-1.1,12.4
1.178,-4.47,-2.86,9.34
1.21,-3.26,-2.98,11.02
1.247,-2.24,-1.73,11.06
1.279,-3.57,-2.04,9.38
1.311,-2.51,-1.65,7.96
1.344,-2.79,-2.43,8.04
1.377,-2.67,-2.39,8.9
1.41,-2.59,-2.67,8.55
1.445,-1.41,-2.9,9.1
1.477,-1.22,-3.06,9.69
1.511,-0.78,-2.28,9.22
1.542,-0.12,-1.8,8.87
1.575,0.55,-1.8,8.24
1.608,0.71,-1.26,8.36
1.628,1.65,-1.88,8.59
1.657,1.84,-2.43,9.81
1.691,1.69,-1.14,10.55
1.724,-0.63,-2.9,10.87
1.763,3.8,-3.3,13.14
1.798,4.71,-1.18,11.1
1.83,0.43,-2.79,11.89
1.864,-5.77,-7.3,16.48
1.895,-5.1,-3.96,15.81
1.928,-3.57,2.55,6.98
1.961,-2.79,0.67,6.75
1.976,-2.82,-5.33,14.87
2.001,-0.55,-3.8,9.1
2.034,-1.14,0.2,7.92
2.066,-1.88,0.9,7.49
2.101,-2.35,-0.71,7.06
2.131,-3.22,-0.9,8.55
2.167,-2.67,-2.28,7.26
2.241,-2.2,-0.39,7.18
2.261,-3.06,0.55,9.22
2.308,-3.73,0.71,9.49
2.325,-1.84,-0.2,9.69
2.375,-1.14,-0.12,11.1
2.391,-2.35,0.67,11.1
2.428,-2.86,2.35,11.06
2.444,-1.61,-0.04,13.53
2.46,-7.34,-1.14,12.51
2.494,-7.18,3.06,9.69
2.526,-9.73,-1.29,14.4
