NAME:,team10 walk2,,
EXPERIMENT TIME:,Mon May 23 13:26:02 GMT+03:00 2022,,
ACTIVITY TYPE:,Walk,,
COUNT OF ACTUAL STEPS:,95,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-7.65,6.23,-2.87
0.1,-7.5,5.78,-2.75
0.2,-7.5,6.12,-0.84
0.3,-6.16,6.46,-3.25
0.4,-9.6,5.39,-2.22
0.5,-8.34,4.51,-0.5
0.6,-7.96,3.98,0
0.7,-8.18,3.33,0.65
0.8,-8.49,4.02,1.19
0.9,-11.63,4.86,0.88
1,-9.33,3.86,-3.6
1.1,-8.07,4.7,-1.91
1.2,-5.66,4.86,-2.6
1.3,-6.27,5.16,-1.03
1.4,-8.11,3.79,-2.41
1.5,-11.09,10.44,-3.56
1.6,-9.26,5.32,-6.88
1.7,-8.26,7.27,-2.79
1.8,-4.02,1.72,-1.42
1.9,-6.73,2.29,-0.27
2,-9.75,6.85,0.99
2.1,-11.28,6.69,-1.72
2.2,-4.44,4.55,-4.05
2.3,-7.46,6.12,-2.56
2.4,-5.05,3.82,-3.02
2.5,-6.65,6.08,-1.57
2.6,-8.45,6.04,-1.61
2.7,-8.41,10.02,-4.25
2.8,-9.06,5.47,-6.2
2.9,-8.07,7.53,-1.95
3,-3.63,2.07,-1.68
3.1,-6.08,0.8,-1.11
3.2,-11.51,7.42,3.1
3.3,-10.25,8.64,0.19
3.4,-7.34,7.88,-2.75
3.5,-6.04,4.59,-3.79
3.6,-5.12,4.09,-2.26
3.7,-5.97,6.23,-0.92
3.8,-9.18,7.08,-0.96
3.9,-9.83,8.07,-7.34
4,-9.71,7.5,-5.43
4.1,-6.43,5.55,-2.33
4.2,-4.4,2.37,-1.6142591
4.9,-7.99,5.93,-3.06
5,-9.64,7.38,-2.56
5.1,-6.2,5.97,-5.62
5.2,-10.75,8.03,-4.17
5.3,-4.93,3.25,-1.95
5.4,-4.93,2.33,-0.5
5.5,-9.22,6.77,-3.29
5.6,-4.59,6,0.38
5.7,-7.27,0.61,-4.51
