NAME: ,team10 walk5,,
EXPERIMENT TIME: ,Mon May 23 13:30:03 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,92,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-8.45,4.67,-2.41
0.1,-8.03,3.98,-2.94
0.2,-11.21,4.63,-1.76
0.3,-8.49,4.55,0.57
0.4,-7.11,2.33,0.08
0.5,-8.11,3.48,1.03
0.6,-10.4,3.17,-0.04
0.7,-12.89,3.6,-0.08
0.8,-11.24,6.35,-4.25
0.9,-7.88,3.48,-2.98
1,-6,4.13,-2.33
1.1,-7.99,4.86,-0.5
1.2,-9.98,2.1,-2.37
1.3,-10.29,5.2,-1.6844851
2.1,-11.17,6.39,-3.37
2.2,-7.38,3.94,-2.45
2.3,-5.85,4.63,-1.64
2.4,-7.11,5.2,-0.08
2.5,-9.6,5.16,-0.27
2.6,-11.51,6.92,-4.4
2.7,-8.87,5.47,-4.78
2.8,-7.96,4.82,-2.33
2.9,-6.62,2.29,-0.57
3,-7.08,1.26,1.45
3.1,-13.08,1.99,3.94
3.2,-12.74,2.52,-3.63
3.3,-11.05,5.78,-2.72
3.4,-7.11,3.33,-2.26
3.5,-7.08,4.7,-0.96
3.6,-8.61,4.93,-1.38
3.7,-10.44,5.51,-0.69
3.8,-8.68,5.2,-5.55
3.9,-10.06,6.43,-2.98
4,-6.73,2.94,-2.26
4.1,-5.16,1.53,-0.61
4.2,-10.25,4.17,-0.88
4.3,-10.4,5.66,-2.49
4.4,-4.36,2.41,-4.21
4.5,-7.04,5.01,-1.61
4.6,-6.2,4.28,-2.26
4.7,-6,3.82,-0.8
4.8,-10.25,5.16,-0.23
4.9,-11.24,7.34,-4.9
5,-9.33,6,-5.09
5.1,-9.75,5.66,-2.72
5.2,-5.01,1.57,-1.91
5.3,-6.69,1.72,-0.15
5.4,-14.61,3.02,4.47
5.5,-17.1,4.78,-4.25
5.6,-12.81,8.41,-2.94
5.7,-5.51,2.68,-3.17
5.8,-6.69,4.7,-2.41
5.9,-8.03,4.63,-1.61
6,-9.79,6.16,-0.19
6.1,-7.23,5.51,-5.47
6.2,-10.56,7.08,-2.98
6.3,-6.23,3.98,-2.18
6.4,-5.35,1.03,-1.11
6.5,-10.4,4.74,-0.69
6.6,-9.06,4.9,0.61
6.7,-8.61,1.64,-3.44
6.8,-7.92,4.63,-2.45
6.9,-6.62,3.9,-2.68
7,-7.34,4.93,-1.45
7.1,-9.37,3.82,-2.18
7.2,-10.06,5.62,-0.574491
7.8,-9.64,5.74,0.46
7.9,-6.08,0.84,-2.6
8,-7.5,6.62,-2.22
8.1,-5.58,3.56,-1.7644919
8.8,-5.89,2.26,-0.65
8.9,-9.26,3.14,0.8
9,-10.52,6.65,0.9644928
10.2,-11.17,7.15,-0.38
10.3,-6.62,1.07,-4.44
10.4,-7,5.55,-1.95
10.5,-5.78,3.56,-2.64
10.6,-7.69,4.67,-1.76
10.7,-9.48,3.48,-1.84
10.8,-10.25,9.14,-3.25
10.9,-10.17,6.65,-6.27
11,-8.61,6.58,-2.1
11.1,-4.51,0.8,-2.1
11.2,-6.31,1.22,-0.38
11.3,-13.08,4.7,2.03
11.4,-11.97,4.59,-3.21
11.5,-4.86,3.94,-2.52
11.6,-7.04,4.74,-1.03
11.7,-5.58,3.21,-3.29
11.8,-6.27,3.4,-1.19
11.9,-10.4,5.09,-1.87
12,-10.63,8.3,-2.98
12.1,-10.02,5.47,-5.55
12.2,-9.56,5.51,-3.82
12.3,-3.82,1.84,-1.42
12.4,-7.38,2.79,-0.88
12.5,-10.02,3.94,0.34
12.6,-10.59,4.9,-2.72
12.7,-3.94,1.91,-2.72
12.8,-7.84,4.74,-1.76
12.9,-5.39,2.87,-3.75
13,-6.85,3.4,-1.45
13.1,-9.26,3.98,-1.84
13.2,-9.87,8.03,-1.84
13.3,-8.38,5.05,-6.23
13.4,-10.06,6.12,-3.14
13.5,-5.93,2.83,-1.72
13.6,-4.74,0.73,-0.38
13.7,-12.47,3.71,1.26
13.8,-7.76,4.86,-2.1
13.9,-4.51,2.49,-3.44
14,-8.87,6,-0.88
14.1,-4.59,2.75,-2.91
14.2,-8.41,5.05,-1.19
14.3,-9.29,4.25,-2.37
14.4,-9.33,7.65,-1.45
14.5,-8.99,5.35,-5.47
14.6,-11.55,6.46,-4.32
14.7,-6.85,3.25,-1.95
14.8,-4.32,0.54,-0.73
14.9,-10.29,4.86,-0.5
15,-8.83,5.74,0.23
15.1,-6.5,1.42,-4.4444989
15.9,-6.43,3.71,-1.95
16,-3.94,1.15,-1.53
16.1,-10.06,4.21,-0.61
16.2,-10.86,6.69,-0.96
16.3,-4.55,1.11,-4.25
16.4,-8.26,4.82,-2.26
16.5,-4.9,2.6,-3.14
16.6,-6.73,4.47,-2.14
16.7,-7.88,5.47,-1.64
16.8,-10.52,10.25,-5.93
16.9,-9.91,4.47,-6.16
17,-8.76,4.82,-2.91
17.1,-4.17,1.42,-0.92
17.2,-5.81,0.65,-0.99
17.3,-12.54,2.87,2.64
17.4,-14.69,3.06,-1.87
17.5,-5.28,3.52,-4.93
17.6,-7.99,4.63,-2.91
17.7,-4.82,2.1,-3.1
17.8,-6.62,5.12,-0.8
17.9,-10.48,5.01,-1.11
18,-9.37,7.65,-2.14
18.1,-9.33,6.16,-8.57
18.2,-11.05,4.93,-5.66
18.3,-5.47,2.26,-2.07
18.4,-5.39,1.61,-1.61
18.5,-10.86,4.9,0.54
18.6,-9.48,5.62,-1.34
18.7,-6.5,2.29,-3.48
18.8,-8.99,4.67,-3.82
18.9,-7.11,2.6,-4.21
19,-5.74,3.67,-2.03
19.1,-7.61,3.9,-2.37
19.2,-10.59,5.55,-1.11
19.3,-9.41,4.63,-5.05
19.4,-11.74,5.89,-6.27
19.5,-10.06,5.55,-2.87
19.6,-3.86,1.45,-2.41
19.7,-7.76,1.38,-1.03
19.8,-9.98,4.4,0.46
19.9,-8.64,4.28,0.88
20,-8.72,2.07,-5.78
20.1,-11.78,4.36,-3.67
20.2,-5.97,2.33,-3.44
20.3,-6.69,3.25,-2.03
20.4,-8.64,4.25,-2.29
20.5,-10.4,4.93,0.04
20.6,-9.64,5.05,-5.09
20.7,-13.23,4.74,-5.93
20.8,-7.65,4.82,-2.45
20.9,-4.02,1.11,-1.3845047
21.6,-8.61,5.47,-1.15
21.7,-8.99,5.12,-1.22
21.8,-11.13,8.03,-5.81
21.9,-10.59,6.58,-6.54
22,-9.26,4.47,-3.21
