"NAME:","walk_5_2.csv"
"EXPERIMENT TIME:","23-05-2022 12:19"
"ACTIVITY TYPE:","Walk"
"COUNT OF ACTUAL STEPS","90"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.12","-1.37","1.48"
"0.029","-10.14","-1.33","1.49"
"0.059","-10.16","-1.30","1.47"
"0.088","-10.17","-1.30","1.47"
"0.117","-10.19","-1.29","1.49"
"0.146","-10.20","-1.27","1.50"
"0.175","-10.19","-1.27","1.50"
"0.204","-10.18","-1.26","1.49"
"0.234","-10.18","-1.26","1.48"
"0.263","-10.19","-1.27","1.47"
"0.293","-10.19","-1.28","1.46"
"0.321","-10.18","-1.31","1.42"
"0.35","-10.18","-1.31","1.42"
"0.379","-10.17","-1.30","1.42"
"0.409","-10.16","-1.31","1.42"
"0.438","-10.16","-1.31","1.42"
"0.468","-10.16","-1.30","1.42"
"0.496","-10.16","-1.30","1.42"
"0.525","-10.17","-1.30","1.42"
"0.554","-10.18","-1.31","1.42"
"0.584","-10.17","-1.32","1.42"
"0.613","-10.17","-1.33","1.44"
"0.643","-10.17","-1.34","1.43"
"0.671","-10.19","-1.34","1.44"
"0.7","-10.19","-1.33","1.43"
"0.729","-10.18","-1.34","1.44"
"0.759","-10.16","-1.36","1.42"
"0.788","-10.15","-1.36","1.40"
"0.818","-10.14","-1.36","1.40"
"0.846","-10.13","-1.37","1.40"
"0.875","-10.14","-1.37","1.37"
"0.904","-10.15","-1.37","1.35"
"0.934","-10.14","-1.36","1.36"
"0.963","-10.12","-1.37","1.38"
"0.993","-10.08","-1.39","1.39"
"1.021","-10.04","-1.42","1.38"
"1.05","-10.01","-1.45","1.37"
"1.079","-9.98","-1.52","1.40"
"1.108","-9.95","-1.58","1.43"
"1.136","-9.86","-1.58","1.51"
"1.164","-9.76","-1.61","1.61"
"1.193","-9.79","-1.67","1.68"
"1.22","-9.93","-1.72","1.75"
"1.248","-10.08","-1.70","1.77"
"1.278","-10.20","-1.59","1.80"
