NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,25/05/2022 15:39,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,70,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
1.39,-8.2,5.88,0.08
1.43,-7.96,5.77,0.35
1.47,-8.04,5.92,0.47
1.52,-7.96,5.69,0.47
1.56,-8.12,5.92,0.47
1.6,-7.81,5.69,0.59
1.64,-8.32,5.69,0.51
1.68,-8,5.53,0.59
1.72,-8,5.73,0.63
1.77,-7.92,5.84,0.43
1.81,-8,6.04,0.51
1.85,-7.96,6.2,0.51
1.89,-7.88,6.28,0.43
1.93,-7.81,6.51,0.12
1.98,-6.98,6.43,0.08
2.02,-7.3,6.94,0.51
2.06,-7.26,6.35,0.67
2.1,-7.37,5.84,1.06
2.14,-7.37,6.32,1.14
2.18,-7.22,6.35,0.9
2.23,-7.06,6.79,0.78
2.27,-6.71,6.67,0.39
2.31,-6.35,6.79,0.51
2.35,-6.51,6.86,0.47
2.39,-6.47,6.59,0.67
2.43,-6.47,6.59,0.82
2.48,-6.32,6.32,1.1
2.52,-7.22,6.63,1.61
2.56,-8.04,6.86,1.18
2.6,-8.2,8.51,0.63
2.64,-5.77,8.32,0.71
2.68,-7.69,7.26,-0.59
2.73,-8.08,8.32,-2.28
2.77,-7.92,7.57,-2.55
2.81,-6.28,6.39,-2.86
2.85,-7.85,5.96,-2.59
2.89,-8.9,4.9,-2.86
2.94,-8.75,5.65,-2.04
2.98,-8.12,4.9,-2
3.02,-8.55,4.31,-1.84
3.06,-7.81,4.2,-2.67
3.1,-8.79,4.67,-2.04
3.15,-8.94,4.67,-1.88
3.19,-8.98,4.63,-1.77
3.23,-8.94,4.71,-1.33
3.27,-8.83,4.79,-1.26
3.31,-8,3.96,-1.14
3.36,-8.87,4.24,-0.9
3.4,-8.39,5.49,-0.43
3.44,-8.71,4.55,-0.86
3.48,-9.53,4.43,-0.71
3.52,-10.43,3.88,-0.9
3.57,-11.77,7.73,-2.59
3.61,-8.51,7.88,-2.08
3.65,-7.26,5.02,-2.43
3.69,-10.43,7.26,-1.29
3.73,-10,4.71,-1.37
3.78,-7.81,4.31,-0.59
3.82,-7.41,5.84,-0.55
3.86,-6.67,6.32,-0.47
3.9,-6.47,5.81,0.16
3.94,-7.22,6.08,-0.67
3.99,-7.18,5.22,-0.35
4.03,-7.53,5.3,0.47
4.07,-6.63,5.53,0.71
4.11,-6.51,5.61,1.41
4.15,-8.24,5.92,1.26
4.2,-7.88,6.2,1.14
4.24,-7.57,5.88,1.41
4.28,-7.73,8.39,1.57
4.32,-9.26,8.94,-1.92
4.36,-5.37,8.39,-0.67
4.41,-6.94,7.37,-5.3
4.45,-6.75,6.12,-4.28
4.49,-5.77,7.61,-3.65
4.53,-5.96,7.1,-3.65
4.57,-7.1,5.41,-2.98
4.61,-7.65,4.12,-1.18
4.66,-8.55,4.9,-1.77
4.7,-8.16,5.14,-1.29
4.74,-7.69,5.33,-1.49
4.78,-8.24,5.18,-0.78
4.82,-8.55,5.02,-0.82
4.87,-8.63,4.98,-0.94
4.91,-9.49,4.82,-0.78
4.95,-10.12,4.55,-0.31
4.99,-11.89,6.51,-1.65
5.03,-10.67,8.9,-2.59
5.08,-7.1,6.67,-2.63
5.12,-10.2,9.61,-0.78
5.16,-9.61,6,-1.02
5.2,-6.98,4,-0.67
5.24,-5.92,6.24,-0.51
5.29,-5.3,6.63,-0.86
5.33,-6.75,6.55,0.35
5.37,-6.59,5.73,0.24
5.41,-6.28,5.22,1.22
5.45,-7.37,5.22,1.96
5.5,-8.9,6,3.14
5.54,-8.63,6.86,1.18
5.58,-6.9,7.96,1.26
5.62,-11.06,11.14,-1.88
5.66,-5.33,9.14,-1.84
5.71,-7.85,7.77,-5.49
5.75,-6.35,5.14,-5.1
5.79,-6.67,5.65,-3.06
5.83,-6.9,6.32,-2.43
5.87,-7.3,4.55,-2.59
5.92,-7.88,4.67,-1.69
5.96,-8.94,4.94,-0.98
6,-8.24,5.06,-1.06
6.04,-8.08,4.98,-1.02
6.09,-7.81,5.02,-0.9
6.13,-8.47,5.06,-0.82
6.17,-9.14,4.47,-0.86
6.21,-9.18,5.41,-0.39
6.25,-9.96,4.04,0.04
6.3,-13.34,7.88,-2.71
6.34,-8.32,6.98,-2.63
6.38,-8.24,6.35,-1.73
6.42,-10.24,7.34,-1.33
6.46,-9.53,3.8,-2.2
6.51,-7.1,5.26,-0.63
6.55,-5.45,7.02,-2
6.59,-6.63,6.35,-0.43
6.63,-6.47,6,-1.02
6.67,-6.24,5.18,-0.98
6.72,-5.61,4.82,0.67
6.76,-6.08,6.28,1.57
6.8,-8.87,8.55,2.47
6.84,-9.22,7.3,0.43
6.88,-7.37,5.3,2.16
6.92,-13.3,10.63,-3.1
6.97,-4.71,8.87,-4.51
7.01,-5.77,7.53,-3.88
7.05,-7.45,5.65,-4.67
7.09,-7.3,7.06,-2.16
7.13,-6.51,6.86,-3.14
7.18,-7.92,4.75,-2.71
7.22,-6.98,4.12,-1.84
7.26,-8.43,4.79,-1.26
7.3,-8.36,5.45,-1.65
7.34,-7.61,4.75,-0.67
7.39,-8.12,5.49,-0.86
7.43,-8.08,5.49,-1.37
7.47,-8.59,5.37,-0.27
7.51,-10.36,4.31,-0.82
7.55,-12.98,7.73,-2.39
7.6,-10.04,9.3,-2.63
7.64,-6.94,5.65,-3.73
7.68,-8.43,8.71,-0.94
7.72,-10.47,7.45,-1.22
7.76,-8.04,3.77,-0.55
7.81,-6.47,6,-0.43
7.85,-5.18,6.86,-1.1
7.89,-5.06,5.22,-0.04
7.93,-6.04,5.81,-0.82
7.97,-5.84,5.14,0
8.02,-6.43,4.82,0.86
8.06,-7.45,6.12,1.96
8.1,-9.69,7.61,1.41
8.14,-8.79,6.59,1.1
8.18,-8.87,8.55,2.75
8.22,-7.1,5.92,-1.84
8.27,-7.92,9.45,-0.82
8.31,-5.41,6.35,-5.73
8.35,-7.57,6.55,-3.77
8.39,-6.83,7.06,-3.84
8.43,-7.96,5.84,-2.31
8.48,-7.81,4.75,-2.28
8.52,-7.77,4.75,-1.37
8.56,-8.43,5.61,-1.45
8.6,-8.12,4.98,-1.41
8.64,-8.04,5.06,-1.14
8.69,-8.51,5.26,-0.75
8.73,-9.06,5.18,-0.43
8.77,-9.38,4.79,-0.9
8.81,-10.12,4.9,-1.14
8.85,-11.96,7.53,-1.8
8.9,-9.65,7.81,-2.16
8.94,-7.22,6.08,-3.22
8.98,-8.43,7.77,-0.71
9.02,-9.57,7.1,-1.37
9.06,-8.16,5.37,-0.59
9.11,-6.9,6,-0.94
9.15,-6.79,6.75,-0.55
9.19,-6.16,6.12,-0.59
9.23,-6.43,6.12,-0.47
9.27,-5.49,5.65,0.24
9.32,-5.92,5.49,1.06
9.36,-7.06,5.96,1.65
9.4,-8.12,7.92,2.67
9.44,-8,6.55,2
9.48,-8.71,9.34,0.24
9.52,-7.96,8.04,-3.18
9.57,-7.37,8.43,0.35
9.61,-7.49,7.02,-5.77
9.65,-7.14,5.65,-3.06
9.69,-5.88,8.08,-3.02
9.73,-7.18,6.9,-2.67
9.77,-7.65,5.22,-2.16
9.82,-7.81,4.94,-1.41
9.86,-8.28,5.77,-1.53
9.9,-7.57,6.39,-1.61
9.94,-7.69,5.61,-1.69
9.98,-8.47,5.41,-1.8
10.03,-8.39,4.67,-1.18
10.07,-8.08,5.77,-1.37
10.11,-8.71,3.65,-1.69
10.15,-8.08,2.79,-1.65
10.19,-11.65,8.51,-2.63
10.24,-8.9,11.89,-3.53
10.28,-5.77,11.38,-3.92
10.32,-8.08,9.53,-3.02
10.36,-6.71,6.43,-3.18
10.4,-6.63,6.98,-2.16
10.45,-7.57,6.59,-1.41
10.49,-7.22,5.73,-0.59
10.53,-5.88,6.39,-0.63
10.57,-6.32,5.81,0.04
10.61,-6.51,5.41,0.75
10.66,-6.08,4.94,2.43
10.7,-6.94,5.84,1.92
10.74,-6.32,7.02,3.06
10.78,-6.83,7.73,3.3
10.82,-7.41,11.38,1.37
10.87,-5.96,8.98,0.2
10.91,-7.22,10.28,-4.59
10.95,-5.84,8,-4.86
10.99,-5.61,6.2,-4.47
11.03,-8,7.49,-3.84
11.07,-8.32,6.55,-3.61
11.12,-6.83,4.9,-3.92
11.16,-8.87,4.55,-3.06
11.2,-8.24,4.75,-3.3
11.24,-8.79,4.63,-2.82
11.28,-9.53,5.14,-2.82
11.33,-9.26,4.24,-1.73
11.37,-9.65,2.43,-0.43
11.41,-9.92,4.12,0.98
11.45,-9.34,3.06,0.39
11.49,-8.59,5.26,0.9
11.54,-10.28,5.1,-1.37
11.58,-11.69,7.77,-2.28
11.62,-7.77,5.73,-1.84
11.66,-10.04,7.41,-0.12
11.7,-11.38,7.81,-0.35
11.75,-6.94,5.33,-1.37
11.79,-6.16,6.51,-1.02
11.83,-6.16,6,-1.06
11.87,-5.41,5.77,-0.43
11.91,-6.63,6.28,-0.16
11.96,-6.2,5.1,0.16
12,-6.63,4.75,0.94
12.04,-7.73,5.88,2.67
12.08,-9.96,6.67,3.41
12.12,-7.81,4.67,1.37
12.16,-7.81,10.51,0.27
12.21,-6.79,9.85,-2
12.25,-6.24,7.34,-2.24
12.29,-6.75,6.24,-5.73
12.33,-6.51,6.35,-2.35
12.37,-5.84,7.34,-2.47
12.42,-7.45,5.49,-2.31
12.46,-7.65,4.51,-1.96
12.5,-8.47,5.26,-1.37
12.54,-8,5.37,-1.14
12.58,-7.85,5.33,-1.18
12.63,-8.16,5.02,-0.43
12.67,-8.75,5.33,-0.55
12.71,-8.75,4.94,-0.59
12.75,-9.1,5.22,-0.35
12.79,-9.57,5.49,-2.24
12.84,-10.59,8.32,-1.1
12.88,-8.59,6.98,-2.98
12.92,-6.63,6.86,-2.28
12.96,-8.08,8.04,-0.63
13,-8.63,7.34,-1.33
13.05,-6.75,5.81,-1.02
13.09,-6.39,6.86,-0.67
13.13,-4.79,6.35,0.24
13.17,-6.51,5.88,-0.71
13.21,-6.04,5.49,-0.04
13.26,-5.77,5.53,0.2
13.3,-7.26,4.98,2.24
13.34,-9.02,6.43,2.59
13.38,-8.79,7.02,1.49
13.42,-8.32,9.3,1.61
13.46,-5.92,8.16,-1.69
13.51,-6.43,9.38,-2.04
13.55,-6.32,6,-5.45
13.59,-6.83,4.98,-2.82
13.63,-6.12,7.3,-2.86
13.67,-7.96,5.53,-1.88
13.72,-7.57,4.51,-1.49
13.76,-8.16,4.94,-1.29
13.8,-8.98,4.98,-1.53
13.84,-8.47,4.79,-1.53
13.88,-8.28,4.59,-0.43
13.93,-9.3,5.26,-0.59
13.97,-8.47,5.18,-0.78
14.01,-9.26,4.67,-1.1
14.05,-10.59,4.94,-2.31
14.09,-11.18,10.24,-2.86
14.14,-7.61,7.45,-2.86
14.18,-6.94,8.04,-1.45
14.22,-8.32,8.59,-0.9
14.26,-7.34,5.14,-1.18
14.3,-6.51,6.12,-0.08
14.35,-5.77,7.61,-1.26
14.39,-5.84,6.51,-0.98
14.43,-6.04,5.45,0.39
14.47,-4.86,5.73,0.04
14.51,-6.16,5.06,0.82
14.56,-7.1,5.1,1.53
14.6,-9.22,6.63,2.55
14.64,-9.34,6.39,2
14.68,-7.65,6.71,2.12
14.72,-12.4,9.77,-4.08
14.76,-5.02,7.85,-2.35
14.81,-5.77,8.04,-5.81
14.85,-8.47,7.22,-2.79
14.89,-4.9,7.41,-3.18
14.93,-7.85,4.16,-1.84
14.97,-7.81,4.43,-2.35
15.02,-8.04,4.71,-1.45
15.06,-8.83,5.33,-1.26
15.1,-7.96,4.98,-0.59
15.14,-8.59,4.86,-0.78
15.18,-9.3,5.49,-0.43
15.23,-8.67,5.02,-0.12
15.27,-9.92,5.1,-0.94
15.31,-9.81,5.3,-1.14
15.35,-11.77,8.87,-2.9
15.39,-6.71,6.43,-2.98
15.44,-8.28,8.71,-0.78
15.48,-9.26,6.28,-0.63
15.52,-6.83,4.63,-1.33
15.56,-6.98,6.24,-0.2
15.6,-5.57,7.45,-0.35
15.65,-6.2,6.59,-0.27
15.69,-5.92,5.26,0.2
15.73,-5.84,5.96,0.35
15.77,-6.71,5.18,1.29
15.81,-7.3,5.88,2.79
15.86,-8.9,6.28,3.41
15.9,-8.87,5.45,2.47
15.94,-6.79,7.14,2.39
15.98,-10.43,12.47,-3.14
16.02,-5.49,8.67,-1.69
16.07,-6.59,6.79,-4.63
16.11,-7.18,6.55,-3.18
16.15,-6,6.63,-2.28
16.19,-7.22,6.08,-2.43
16.23,-8.04,4.9,-2.71
16.27,-7.41,4.71,-1.26
16.32,-8.98,4.59,-1.26
16.36,-8.08,5.45,-1.02
16.4,-7.45,5.02,-0.75
16.44,-8.16,5.37,-0.43
16.49,-8.59,5.02,-0.59
16.53,-9.02,4.71,-1.02
16.57,-9.73,5.77,-0.71
16.61,-11.45,6.35,-0.98
16.65,-11.77,7.49,-2.43
16.69,-7.22,6.79,-3.33
16.74,-8.75,8.39,-0.9
16.78,-9.89,7.65,-1.06
16.82,-7.14,4.86,-1.26
16.86,-6.98,7.02,-0.82
16.91,-6.32,6.55,-1.29
16.95,-5.73,6.16,-0.16
16.99,-5.02,5.53,0.47
17.03,-5.14,5.33,0.78
17.07,-6.04,5.49,2.24
17.11,-7.53,5.96,3.22
17.16,-8.94,6.71,2
17.2,-6.79,6.35,1.88
17.24,-11.22,12.91,-0.98
17.28,-6.67,9.34,-1.88
17.32,-6.98,6.79,-3.84
17.36,-7.14,5.53,-3.88
17.41,-6.98,5.65,-2.12
17.45,-5.77,9.26,-2.98
17.49,-7.69,5.61,-1.92
17.53,-7.73,4.43,-1.14
17.58,-8.79,4.75,-0.98
17.62,-8.28,4.75,-0.39
17.66,-7.92,4.79,-0.98
17.7,-8,5.18,-0.71
17.74,-8.47,5.53,-0.63
17.78,-8.32,5.14,-0.78
17.83,-8.63,5.14,-0.47
17.87,-10.04,4.39,-1.57
17.91,-11.89,7.45,-1.84
17.95,-9.61,6.55,-2.35
18,-6.98,5.96,-1.77
18.04,-8.32,7.26,-1.26
18.08,-9.73,5.41,-1.06
18.12,-8.59,5.14,-0.12
18.16,-7.96,6.63,-0.86
18.2,-6.83,6.16,-0.63
18.25,-6.51,5.81,-0.67
18.29,-6.16,5.57,-0.2
18.33,-5.96,5.14,-0.24
18.37,-6.9,5.18,0.98
18.42,-7.14,6.24,1.69
18.46,-9.14,7.45,1.57
18.5,-7.69,6.39,2.12
18.54,-12.51,7.88,1.53
18.58,-4.43,8.12,-1.8
18.62,-7.69,7.49,-2.35
18.67,-7.02,5.77,-5.14
18.71,-6.63,5.49,-1.57
18.75,-7.57,7.06,-2.98
18.79,-7.92,6.28,-1.53
18.83,-7.88,5.81,-2.04
18.88,-7.37,5.37,-1.45
18.92,-7.96,6.04,-1.49
18.96,-7.57,5.57,-1.61
