"NAME:","walk_1_2.csv"
"EXPERIMENT TIME:","2022-05-25 22:14"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","110"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"747.774","0.47","-9.41","-2.24"
"747.806","-0.75","-9.85","-1.57"
"747.838","-4.04","-10.75","3.53"
"747.869","0.24","-9.45","4.04747899"
"748.172","-1.10","-11.65","1.10"
"748.205","-1.61","-11.38","5.57"
"748.238","1.02","-11.77","3.02748268"
"0.003","-5.73","1.53748628","-1.41"
"749.146","2.39","-7.61","4.71"
"749.177","1.22","-7.81","1.14"
"749.209","1.14","-7.41","1.45749239"
"0.051","-11.34","1.14749569","1.29"
"750.616","0.31","-9.22","2.94"
"750.647","-3.49","-12.67","7.37750679"
"0.00404","9.89751039","3.33","-11.34"
"751.129","-3.96","-10.90","10.98"
"751.161","1.92","-10.12","-0.59"
"751.193","2.20","-8.39","-0.90"
"751.225","-0.31","-9.92","1.37"
"751.257","-2.08","-10.67","2.24"
"751.289","-2.00","-7.26","0.47"
"751.321","-0.27","-7.81","1.22"
"751.353","0.43","-7.85","1.65"
"751.385","0.98","-7.53","0.86"
"751.417","1.84","-7.85","1.96"
"751.449","2.71","-7.85","1.88"
"751.481","2.16","-7.81","2.04"
"751.513","1.37","-8.04","2.43"
"751.545","1.06","-8.28","2.63"
"751.577","1.37","-9.85","0.90"
"751.609","0.47","-11.73","1.06"
"751.641","-1.77","-10.79","3.84"
"751.672","-2.04","-13.22","3.96751702"
"751.857","-0.04","-10.16","0.90"
"751.889","1.14","-9.26","3.69"
"751.921","0.39","-8.16","3.65"
"751.953","0.63","-6.90","2.28"
"751.985","0.82","-6.04","0.98"
"752.017","0.27","-5.65","0.51"
"752.049","-1.33","-5.61","1.41"
"752.081","-0.31","-5.10","2.35"
"752.113","2.16","-6.67","2.59"
"752.145","3.92","-11.22","2.82"
"752.177","5.61","-13.53","6.71"
"752.209","5.81","-9.10","5.26"
"752.241","5.45","-11.57","-3.57"
"752.273","3.06","-18.99","6.43"
"752.305","-4.98","-9.92","9.45"
"752.337","-0.82","-8.59","-2.12"
"752.369","0.51","-8.24","-1.80"
"752.401","-1.77","-10.87","3.10"
"752.433","-3.10","-8.79","3.33"
"752.465","-1.73","-7.92","0.20"
"752.497","-1.53","-7.92","1.22"
"752.529","0.31","-7.85","1.65"
"752.561","1.26","-7.92","1.49"
"752.593","1.53","-7.85","2.63"
"752.625","1.88","-8.36","1.49"
"752.657","2.28","-7.57","2.16"
"752.689","2.86","-7.69","3.57"
"752.721","1.18","-8.43","1.45"
"752.753","0.04","-10.67","0.71"
"752.785","-2.31","-11.81","4.24"
"752.817","0.82","-10.40","2.51"
"752.849","3.41","-12.75","3.92"
"752.881","2.47","-9.18","1.49"
"752.913","2.12","-9.89","0.55"
"752.945","-1.41","-10.12","3.77"
"752.977","-5.14","-13.14","6.00"
"753.009","-1.77","-10.28","1.14"
"753.041","2.12","-9.41","2.71"
"753.073","1.88","-9.06","4.39"
"753.105","1.26","-7.81","2.39"
"753.137","1.06","-6.16","0.47"
"753.169","0.35","-5.06","-0.12"
"753.201","-1.22","-5.73","1.84"
"753.233","-1.33","-4.98","1.84"
"753.265","0.94","-5.30","2.43"
"753.297","3.22","-8.87","1.80"
"753.329","4.51","-14.71","6.83"
"753.361","5.10","-10.00","7.10"
"753.393","5.69","-10.83","-3.18"
"753.425","1.49","-15.38","5.02"
"753.457","-3.65","-9.92","9.73"
"753.489","-0.20","-9.14","-0.90"
"753.521","1.29","-9.10","-0.27"
"753.553","-0.86","-9.96","1.65753583"
