NAME:,walk_2_2.csv,,
EXPERIMENT TIME:,25/05/2022 15:47,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,90,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.16,-1.29,-11.38
0.041,0.16,-1.18,-11.92
0.082,0.08,-2.51,-11.38
0.123,0.2,0.39,-11.96
0.164,-0.51,2.08,-11.41
0.205,-0.67,0,-9.92
0.246,1.18,0.04,-10.67
0.287,0.47,0.16,-10.04
0.328,0.47,0.08,-10.08
0.369,0.2,-0.16,-9.77
0.41,0.55,-0.31,-10.79
0.451,-0.16,-0.63,-11.81
0.492,-1.45,-0.71,-14.51
0.533,-1.84,-1.18,-17.53
0.574,-4.75,0,-17.02
0.615,-6.2,-0.75,-15.02
0.656,-1.49,-3.88,-16.51
0.697,-2.47,-4.39,-13.34
0.738,0,-2.75,-12.47
0.779,2.47,-2.51,-11.61
0.82,-0.55,-1.77,-8.98
0.861,1.8,-1.41,-11.26
0.902,1.18,-2.39,-10.94
0.943,0.27,-1.92,-10.75
0.984,1.57,-1.69,-11.69
1.025,-0.35,-2.39,-9.77
1.066,0.9,-2.51,-9.96
1.107,1.26,-1.53,-9.45
1.148,1.84,-1.49,-9.96
1.189,5.41,-1.45,-13.3
1.23,4.98,-1.96,-13.96
1.271,-4.04,1.96,-11.77
1.312,-0.2,3.49,-14.75
1.353,2.24,-2.71,-14.98
1.394,-2.51,-2.04,-10.16
1.435,-0.59,1.61,-10.59
1.476,1.73,1.41,-11.34
1.517,0.2,-2,-10.2
1.558,0.59,-0.71,-12.24
1.599,-1.88,-0.04,-11.92
1.64,-2.71,0.24,-11.69
1.681,-3.06,0.43,-11.02
1.722,-2.59,0.9,-10.94
1.763,-1.65,1.14,-12.16
1.804,-3.22,-0.2,-13.45
1.845,-1.45,-1.37,-17.65
1.887,-3.77,-1.33,-16.28
1.928,-7.18,-0.08,-12.91
1.969,-0.16,-3.02,-15.81
2.01,1.53,-1.41,-15.53
