NAME:,walk_5_1.csv,,
EXPERIMENT TIME:,25/05/2022 15:52,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-0.86,1.77,-11.81
0.041,-1.1,1.61,-12.16
0.082,-2.31,0.12,-12.43
0.123,-3.14,1.45,-12.4
0.164,-1.53,2.94,-12.08
0.205,-1.1,2.31,-11.34
0.246,-0.78,1.22,-10.55
0.287,0.63,0.82,-10.51
0.328,0.67,1.96,-10.04
0.369,1.45,1.33,-10.4
0.41,3.26,0.78,-12.32
0.451,5.33,-1.33,-13.49
0.492,0.31,-0.63,-11.26
0.533,-2.86,4.86,-11.73
0.574,3.02,2.31,-13.38
0.615,1.69,-1.1,-10.36
0.656,3.37,1.26,-8.71
0.697,3.22,2.71,-9.34
0.738,0.04,1.02,-9.22
0.779,0.78,1.45,-11.34
0.82,-0.75,1.84,-11.38
0.861,-1.06,1.96,-10.71
0.902,-1.33,1.96,-10.12
0.943,-0.12,2.67,-10.04
0.984,-0.67,1.26,-10.36
1.025,-0.35,0.9,-11.69
1.066,-2.12,1.45,-12.79
1.107,-2,2.2,-14.83
1.148,-2.43,1.69,-15.93
1.189,-4.35,2.35,-14.28
1.23,-3.3,0.2,-13.14
1.271,-0.63,1.14,-13.65
1.312,-1.1,2.75,-13.38
1.353,-0.55,0.78,-13.42
1.394,0.04,1.26,-13.26
1.435,-1.1,1.49,-12.55
1.476,1.29,0.75,-13.1
1.517,1.22,0.24,-12.47
1.558,1.77,0.08,-11.26
1.6,1.53,0.08,-9.96
1.641,1.49,-0.12,-8.87
1.682,1.69,-0.51,-8
1.723,2.94,1.1,-8.51
1.764,4.08,0.98,-9.85
1.805,6.79,1.53,-13.89
1.846,1.8,0.35,-13.73
1.887,-4.86,4.94,-14.16
1.928,0,5.14,-17.42
1.969,-2.47,0.39,-14.83
2.01,-2.43,0.78,-10.55
2.051,-0.63,3.41,-9.53
2.093,0.04,0.9,-8.9
2.134,0.47,0.82,-9.81
2.175,-0.08,1.02,-11.1
2.216,-1.69,0.75,-11.81
2.257,-5.02,1.84,-11.89
2.298,-4.28,2.04,-12.43
2.339,-3.3,2.28,-13.38
2.38,-3.3,2.86,-14.36
2.421,-2.51,2.82,-15.89
2.462,-4.9,2.86,-14.08
2.503,-3.65,1.41,-13.1
2.544,-0.94,2.35,-13.49
2.585,-0.12,4.08,-14.87
2.626,0.04,1.8,-16.16
2.667,-1.61,-0.16,-15.22
2.708,-1.69,0.24,-14.36
2.749,0.75,1.57,-13.89
2.79,2.43,0.2,-12.83
2.831,1.26,-0.82,-10.24
2.872,1.88,-0.71,-8.94
2.913,2.31,-0.27,-7.92
2.954,4,-2.12,-9.02
2.995,2.16,-2.63,-9.89
3.036,2.51,1.22,-11.49
3.077,1.8,2.86,-11.41
3.118,-3.84,5.57,-11.02
3.159,1.14,2.28,-13.65
3.2,-0.82,3.69,-14.63
3.241,-2.43,3.14,-12.83
3.282,-2.24,2.9,-12.32
3.323,-2.59,0.59,-11.57
3.364,-0.82,-1.49,-12.4
3.405,-1.84,2.24,-12.63
3.446,-2.63,0.63,-12.47
3.487,-4.71,0.27,-11.18
3.528,-4.71,0.55,-11.34
3.569,-3.88,1.92,-12.59
3.61,-4.63,1.69,-13.61
3.651,-3.26,1.77,-16.4
3.692,-6.08,3.06,-14.04
3.733,-3.77,1.61,-13.96
3.774,-0.24,1.92,-14.95
3.815,-1.22,4.82,-15.1
3.856,-0.78,2.12,-14.98
3.897,-1.96,0.55,-13.69
3.938,-0.39,1.61,-13.77
3.979,1.22,1.45,-13.53
4.02,1.29,0.55,-12.08
4.061,2.08,-0.12,-11.14
4.102,0.63,-0.55,-8.83
4.143,2.31,-0.24,-8.63
4.184,4.59,-0.31,-9.02
4.225,5.14,-0.51,-10.2
4.266,6.75,-0.24,-12.12
4.307,-0.08,0.27,-12
4.348,-0.71,5.14,-15.61
4.389,-0.24,5.49,-17.1
4.43,-2.28,1.8,-13.69
4.471,-1.57,3.18,-10.9
4.512,-0.51,2.47,-10.47
4.553,-0.39,1.06,-11.1
4.594,-0.47,1.49,-12.79
4.635,-2.08,1.92,-13.61
4.676,-4.04,1.92,-13.53
4.717,-6.79,1.41,-11.57
4.758,-6.35,2.86,-12.75
4.799,-4.98,2.79,-14.08
4.84,-2.98,2.55,-16.63
4.881,-6.35,3.3,-14.51
4.922,-4.24,2.24,-15.34
4.963,-2,1.84,-16.51
5.004,-1.84,3.49,-17.06
5.045,-1.57,2.24,-16.48
5.086,-0.12,0.94,-15.89
5.127,1.53,1.37,-14.87
5.168,3.22,1.57,-13.65
5.209,3.22,0.43,-11.96
5.25,2.31,0.04,-10
5.291,0.98,-1.02,-8.24
5.332,3.77,-0.71,-9.02
5.374,4.04,0.24,-9.81
5.415,6.43,-0.55,-12.24
5.456,5.61,-2.12,-13.42
5.497,-2.9,4.55,-12.32
5.538,3.26,7.22,-17.46
5.579,-0.2,2.47,-14.32
5.62,1.14,2.16,-12.47
5.661,0.2,5.06,-12.36
5.702,0.04,1.18,-12.43
