NAME:,ofekwalk2.csv
EXPERIMENT TIME:,Tue May 24 18:46:43 GMT+03:00 2022
ACTIVITY TYPE:,Walking
COUNT OF ACTUAL STEPS:,112

Time [sec],ACC X,ACC Y,ACC Z
953.10,2.16,8.94,1.49
953.15,2.16,9.26,1.53
953.20,2.20,9.02,1.41
953.26,2.55,8.98,1.14
953.31,2.35,8.79,1.61
953.36,1.96,8.28,1.45
953.42,0.59,7.96,1.41
953.47,1.73,10.87,1.49
953.52,2.08,7.69,1.06
953.58,2.59,8.24,0.67
953.63,1.96,11.85,4.35
953.68,0.90,10.79,3.8
953.74,1.53,8.32,3.37
953.79,1.02,7.30,3.88
953.84,0.51,7.34,4.04
953.90,1.65,8.00,3.84
953.95,0.98,7.81,5.02
954.00,0.67,7.88,5.65
954.06,0.82,11.02,6.43
954.11,5.30,12.98,4.75
954.16,4.94,4.79,4.0
954.22,4.86,9.73,0.98
954.27,2.20,7.81,0.98
954.33,3.80,7.26,1.41
954.38,1.53,7.45,1.29
954.43,2.51,8.08,1.53
954.49,0.71,8.71,2.2
954.54,0.51,8.08,1.57
954.59,4.28,7.96,1.49
954.65,-0.39,10.00,1.45
954.70,-0.39,11.22,3.73
954.76,3.92,11.69,-0.47
954.81,3.92,12.28,-0.59
954.86,-1.06,13.18,1.49
954.92,2.59,10.71,0.98
954.97,0.59,4.86,1.57
955.02,1.02,4.63,3.06
955.08,2.24,4.82,2.9
955.13,2.47,7.18,5.41
955.18,1.22,12.59,1.65
955.24,0.71,14.59,10.43
955.29,10.32,12.20,2.39
955.34,-1.53,3.18,3.84
955.40,4.75,12.71,-0.39
955.45,3.96,5.30,0.35
955.51,0.43,8.63,-0.94
955.56,-0.12,9.30,1.69
955.61,2.67,6.86,-1.33
955.67,-0.20,7.61,2.98
955.72,1.18,10.83,2.08
955.77,3.41,11.45,0.82
955.83,6.12,11.14,-1.41
955.88,4.82,14.04,-0.24
955.93,-4.98,12.20,2.04
955.99,2.12,9.45,0.98
956.04,0.86,2.90,2.2
956.10,1.26,5.53,2.9
956.15,2.79,5.57,3.33
956.20,0.20,8.04,5.26
956.26,2.47,10.51,1.14
956.31,-0.94,13.85,9.81
956.36,7.02,11.96,4.71
956.42,-0.39,3.88,5.06
956.47,2.08,9.30,3.26
956.53,2.08,6.63,1.14
956.58,-0.82,8.12,0.2
956.63,0.86,7.96,1.96
956.69,-1.02,8.00,3.77
956.74,-0.35,6.75,3.41
956.79,-1.06,10.94,2.67
956.85,3.30,10.16,2.9
956.90,4.86,10.36,-1.1
956.95,6.16,14.87,-0.43
957.01,-4.20,12.36,2.08
957.06,1.80,9.92,2.47
957.12,-1.18,4.90,1.88
957.17,-0.47,3.69,2.59
957.22,2.86,5.14,2.86
957.28,2.31,7.61,6.63
957.33,2.47,10.08,0.98
957.39,-0.55,14.79,9.57
957.44,9.85,12.32,-0.75
957.49,-2.82,3.53,5.14
957.55,5.65,14.32,-0.71
957.60,3.69,4.39,1.49
957.66,-3.33,6.71,4.35
957.71,0.55,8.71,1.65
957.76,-2.35,8.94,2.86
957.82,1.45,8.24,1.69
957.87,-5.37,12.51,2.0
957.93,5.61,11.96,1.33
957.98,7.65,12.32,-2.82
958.03,0.20,10.71,2.31
958.09,0.43,12.55,1.06
958.14,-1.80,4.94,3.18
958.20,1.29,4.79,1.8
958.25,0.31,3.57,2.82
958.30,1.88,5.53,3.45
958.36,1.37,10.55,3.41
958.41,6.55,15.34,3.73
958.46,3.49,12.32,0.86
958.52,4.20,4.47,3.1
958.57,-1.61,7.85,1.06
958.62,7.30,7.88,1.1
958.68,2.20,6.59,1.22
958.73,-0.20,8.24,-2.55
958.78,-0.04,8.08,1.45
958.84,-1.02,8.43,2.24
958.89,2.63,8.47,1.41
958.95,-4.43,11.22,2.59
959.00,3.69,12.47,1.61
959.05,5.53,10.32,-2.04
959.11,3.53,14.00,0.12
959.16,-1.18,8.98,3.96
959.22,0.20,8.90,1.49
