NAME: ,walk_4_1,,
EXPERIMENT TIME: ,Mon May 23 16:19:07 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,93,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,1.45,-9.79,-1.19
0.1,1.26,-7.76,-1.64
0.2,1.45,-11.67,1.95
0.3,1.68,-7.42,1.45
0.4,1.61,-8.45,1.3
0.5,0.84,-8.49,2.68
0.6,1.19,-8.45,2.87
0.7,4.47,-10.59,3.06
0.8,2.26,-12.09,-2.56
0.9,2.68,-9.79,-1.26
1,1.42,-6.62,-2.26
1.1,0.57,-9.06,-1.22
1.2,1.26,-9.03,-1.8
1.3,0.19,-11.59,-1.64
1.4,4.32,-11.59,-3.86
1.5,2.33,-12.97,-3.37
1.6,2.33,-7.99,-0.73
1.7,0.99,-4.4,-0.65
1.8,0.92,-7.73,1.03
1.9,-0.11,-12.12,4.74
2,4.9,-8.41,-0.34
2.1,5.01,-14.88,-3.21
2.2,0.54,-8.99,-2.49
2.3,1.87,-6.69,-1.72
2.4,-0.19,-9.1,-1.07
2.5,1.26,-10.9,0
2.6,3.1,-15.22,-4.7
2.7,4.32,-12.12,-4.28
2.8,1.34,-9.75,-1.155485
3.5,0.84,-6.54,-1.53
3.6,-1.42,-4.67,-0.54
3.7,2.83,-13.54,-1.99
3.8,-0.08,-13.69,-2.68
3.9,4.47,-12.89,-5.78
4,4.17,-12.89,-1.22
4.1,-0.23,-3.48,-1.91
4.2,1.07,-2.94,-0.34
4.3,1.07,-12.47,2.29
4.4,3.9,-17.71,-1.42
4.5,-0.99,-11.74,-1.38
4.6,0.8,-11.24,-2.26
4.7,1.07,-5.66,-1.19
4.8,-0.23,-7.46,-1.45
4.9,-0.11,-8.53,-0.34
5,-0.54,-13.69,-4.55
5.1,6.62,-14.19,-5.97
5.2,3.63,-13.16,-1.57
5.3,-0.19,-3.79,-2.26
5.4,0.46,-4.05,-0.11
5.5,2.68,-11.21,2.29
5.6,4.78,-14.5,1.84
5.7,1.34,-7.65,-1.99
5.8,0.61,-11.89,-1.15
5.9,1.15,-7,-2.52
6,0.84,-7.46,-1.76
6.1,-0.23,-8.95,-1.38
6.2,-0.23,-12.12,-1.11
6.3,1.87,-11.17,-3.48
6.4,2.45,-12.77,-2.98
6.5,2.1,-9.91,-1.22
6.6,0.38,-3.75,-1.76
6.7,2.49,-7.3,2.1
6.8,-2.14,-12.12,2.37
6.9,2.83,-3.9,0
7,2.29,-9.41,-2.1
7.1,1.03,-7.04,-2.07
7.2,0.34,-8.57,-1.53
7.3,0.46,-9.22,-1.72
7.4,0.69,-13.27,-1.38
7.5,3.33,-10.48,-3.63
7.6,2.52,-14.76,-3.67
7.7,0.69,-8.45,-1.42
7.8,0.54,-3.9,-2.03
7.9,2.41,-7.92,-0.57
8,-0.38,-9.79,4.67
8.1,0.57,-8.18,-1.42
8.2,2.33,-11.82,-6.27
8.3,0,-6.77,-2.1
8.4,0.42,-7.8,-5.58
8.5,2.75,-7.19,-3.71
8.6,2.29,-9.64,-4.285543
9.2,4.63,-11.67,3.33
9.3,4.82,-17.48,-2.75
9.4,-0.42,-8.41,-2.07
9.5,-1.22,-10.33,-1.45
9.6,1.3,-7.11,-1.61
9.7,0.69,-6.35,-1.07
9.8,-0.38,-12.2,-2.26
9.9,3.82,-12.35,-3.02
10,4.25,-12.54,-3.4
10.1,1.19,-8.26,-1.87
10.2,0.8,-4.59,-1.19
10.3,0.46,-7.73,0.61
10.4,3.17,-11.82,4.51
10.5,3.75,-16.03,-3.21
