"NAME:","walk_5_1.csv"
"EXPERIMENT TIME:","23/05/2022 13:33"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS","84"

"Time [sec]","ACC X","ACC Y","ACC Z"
"12.36","-5.88","8.24","0.12"
"12.38","-5.77","8.16","0.16"
"12.40","-5.69","8.28","0.12"
"12.43","-5.77","8.28","0.20"
"12.45549","-5.77","8.16","0.04"
"12.49551","-5.88","8.24","0.20"
"12.54","-5.69","8.20","0.20"
"12.56","-5.92","8.28","0.04"
"12.58","-5.88","8.24","0.16"
"12.60556","-5.77","8.16","0.12"
"12.65","-5.84","8.20","0.08"
"12.67559","-5.96","8.24","0.24"
"12.71561","-5.88","8.32","0.12"
"12.76563","-6.16","8.20","0.24"
"12.80","-5.81","8.08","0.39"
"12.82","-6.08","8.20","0.12"
"12.84","-6.16","8.08","0.16"
"12.87568","-6.04","8.00","0.24"
"12.91","-5.92","8.20","0.04"
"12.93571","-5.96","8.32","0.08"
"13.00574","-5.69","8.32","0.27"
"13.04","-3.49","7.92","-0.08"
"13.07577","-3.06","7.88","-1.06"
"13.11579","-5.02","8.87","-0.94"
"13.15581","-4.04","8.87","-1.80"
"13.20583","-6.04","9.34","-1.33"
"13.24","-5.18","8.87","-0.59"
"13.26","-4.39","9.30","-0.31"
"13.29","-3.61","9.30","-0.63"
"13.31","-3.33","9.10","-1.02"
"13.33","-3.45","9.06","-0.86"
"13.35590","-3.77","9.38","-0.94"
"13.40","-3.18","9.14","-1.61"
"13.42593","-3.41","9.26","-1.49"
"13.46595","-2.82","9.14","-1.33"
"13.51","-2.67","10.00","-1.80"
"13.53","-3.10","9.73","-1.65"
"13.55","-3.49","9.53","-1.22"
"13.57","-3.37","10.12","-1.22"
"13.59","-3.65","12.16","-2.51"
"13.62","-4.16","12.32","-2.67"
"13.64","-4.55","9.92","-2.20"
"13.66","-6.47","8.36","-1.26"
"13.69","-6.43","6.98","-1.22"
"13.71606","-5.53","7.18","-1.26"
"13.75","-6.51","8.87","-2.39"
"13.78","-6.16","6.94","-2.12"
"13.80610","-5.96","5.92","-1.14"
"13.84","-5.37","6.51","-0.75"
"13.86613","-5.33","6.39","-0.47"
"13.91615","-6.55","7.14","-0.90"
"13.95617","-6.51","7.69","0.35"
"14.00619","-6.55","8.00","0.16"
"14.04","-6.67","6.55","0.67"
"14.06622","-6.16","6.16","0.67"
"14.11624","-6.39","7.06","1.06"
"14.15","-6.47","7.14","1.57"
"14.17627","-6.08","7.34","1.61"
"14.22629","-6.86","8.98","1.73"
"14.28632","-7.06","10.71","2.43"
"14.33","-9.89","13.10","-3.26"
"14.35635","-7.41","7.45","-2.28"
"14.39637","-4.79","4.04","-1.29"
"14.44","-5.45","7.65","-0.75"
"14.46640","-5.33","7.26","-1.26"
"14.51","-5.77","6.83","-0.39"
"14.53","-4.98","6.79","-0.75"
"14.55644","-4.39","8.12","-1.06"
"14.59","-4.31","8.39","-0.86"
"14.62","-4.04","8.04","-0.78"
"14.64","-4.47","8.32","-0.59"
"14.66649","-4.43","8.32","-0.63"
"14.70","-4.24","8.43","-0.59"
"14.73652","-4.59","8.28","-0.82"
"14.77654","-5.14","8.63","-0.20"
"14.81","-6.08","9.26","-0.08"
"14.84","-5.88","10.16","-0.63"
"14.86","-4.79","10.24","-0.82"
"14.88659","-4.90","10.87","-0.71"
"14.92","-4.94","11.06","0.39"
"14.95","-6.04","13.77","-2.51"
"14.97","-3.45","11.49","-5.53"
"14.99","-5.45","8.71","-5.45"
"15.01","-7.77","6.47","-2.94"
"15.04","-7.92","5.33","-1.77"
"15.06","-6.04","5.96","0.08"
"15.08","-5.37","9.61","-0.98"
"15.10","-3.92","8.51","-1.10"
"15.12","-2.71","5.33","0.71"
"15.15","-3.88","5.88","0.08"
"15.17672","-5.37","6.63","-0.59"
"15.32","-3.37","7.37","2.04"
"15.34","-4.55","6.90","1.45"
"15.37","-5.14","7.45","2.24"
"15.39","-5.92","6.55","1.88"
"15.41681","-6.55","8.16","2.39"
"15.46","-6.98","8.67","-0.16"
"15.48","-9.10","8.71","2.39"
"15.50","-6.39","10.00","4.43"
"15.52686","-5.73","11.34","2.94"
"15.57","-9.22","10.00","-2.35"
"15.59689","-8.75","7.57","-1.77"
"15.63691","-3.88","5.61","-0.75"
"15.68","-6.28","7.49","-0.86"
"15.70","-6.43","7.65","-1.06"
"15.72","-6.32","6.71","-0.82"
"15.74696","-6.08","6.55","-0.86"
"15.79","-4.82","6.86","-0.35"
"15.81","-4.12","7.65","-0.55"
"15.83","-3.88","8.36","-0.16"
"15.85701","-3.96","8.98","-0.51"
"15.90","-4.31","8.43","-0.12"
"15.92","-4.39","7.69","-0.35"
"15.94","-4.51","7.61","-0.08"
"15.96706","-4.79","7.96","0.04"
"16.01708","-5.37","8.79","0.16"
"16.05","-5.41","9.81","-0.59"
